NAME:,walk_1_2,,
EXPERIMENT TIME:,08/06/2023 10:45,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,85,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.003,1.35,-1.87,-11.32
0.093,1.35,-1.87,-11.32
0.149,1.35,-1.87,-11.32
0.229,1.35,-1.87,-11.32
0.308,1.35,-1.87,-11.32
0.397,1.35,-1.87,-11.32
0.469,1.35,-1.87,-11.32
0.575,1.35,-1.87,-11.32
0.661,0.85,-2.24,-12.57
0.725,0.51,-3.57,-12.59
0.807,0.58,-3.5,-12.29
0.899,0.58,-3.5,-12.29
0.966,0.58,-3.5,-12.29
1.043,0.58,-3.5,-12.29
1.128,0.58,-3.5,-12.29
1.221,0.58,-3.5,-12.29
1.305,0.58,-3.5,-12.29
1.367,0.58,-3.5,-12.29
1.467,1.05,-3.23,-11.35
1.545,1.39,-1.69,-10.33
1.603,0.75,-1.26,-10.25
1.693,0.75,-1.26,-10.25
1.767,0.75,-1.26,-10.25
1.858,0.75,-1.26,-10.25
1.935,0.75,-1.26,-10.25
2.021,0.75,-1.26,-10.25
2.101,0.75,-1.26,-10.25
2.196,0.75,-1.26,-10.25
2.275,1.05,-0.3,-9.56
2.342,2.01,0.48,-11.62
2.442,3.73,-1.1,-13.11
2.519,3.73,-1.1,-13.11
2.597,3.73,-1.1,-13.11
2.677,3.73,-1.1,-13.11
2.757,3.73,-1.1,-13.11
2.839,3.73,-1.1,-13.11
2.919,3.73,-1.1,-13.11
2.987,3.73,-1.1,-13.11
3.062,3.4,-0.9,-13.6
3.154,2.25,-1.94,-12.62
3.244,0.97,-0.14,-10.23
3.319,0.97,-0.14,-10.23
3.4,0.97,-0.14,-10.23
3.481,0.97,-0.14,-10.23
3.549,0.97,-0.14,-10.23
3.642,0.97,-0.14,-10.23
3.718,0.97,-0.14,-10.23
3.809,0.97,-0.14,-10.23
3.891,0.03,-0.78,-9.75
3.968,0.04,-0.34,-10.43
4.044,-0.27,-0.37,-12.58
4.12,-0.27,-0.37,-12.58
4.202,-0.27,-0.37,-12.58
4.302,-0.27,-0.37,-12.58
4.371,-0.27,-0.37,-12.58
4.464,-0.27,-0.37,-12.58
4.526,-0.27,-0.37,-12.58
4.602,-0.27,-0.37,-12.58
4.708,1.12,-1.03,-14.29
4.769,1.12,-2.64,-13.13
4.855,0.99,-4.01,-12.68
4.94,0.99,-4.01,-12.68
5.024,0.99,-4.01,-12.68
5.104,0.99,-4.01,-12.68
5.2,0.99,-4.01,-12.68
5.261,0.99,-4.01,-12.68
5.336,0.99,-4.01,-12.68
5.418,0.99,-4.01,-12.68
5.493,0.08,-3.86,-10.3
5.576,0.31,-2.21,-10.02
5.656,1.12,-1.06,-9.14
5.735,1.12,-1.06,-9.14
5.816,1.12,-1.06,-9.14
5.899,1.12,-1.06,-9.14
5.999,1.12,-1.06,-9.14
6.082,1.12,-1.06,-9.14
6.143,1.12,-1.06,-9.14
6.226,1.12,-1.06,-9.14
6.305,1.39,-1.14,-10.68
6.384,0.81,-1.09,-12.45
6.466,0.46,-3.58,-12.75
6.568,0.46,-3.58,-12.75
6.652,0.46,-3.58,-12.75
6.736,0.46,-3.58,-12.75
6.805,0.46,-3.58,-12.75
6.876,0.46,-3.58,-12.75
6.972,0.46,-3.58,-12.75
7.048,0.46,-3.58,-12.75
7.137,0.22,-3.74,-11.35
7.213,1.23,-4.26,-10.32
7.301,0.84,-1.82,-9.58
7.362,0.84,-1.82,-9.58
7.446,0.84,-1.82,-9.58
7.536,0.84,-1.82,-9.58
7.632,0.84,-1.82,-9.58
7.694,0.84,-1.82,-9.58
7.784,0.84,-1.82,-9.58
7.857,0.84,-1.82,-9.58
7.946,1.6,-0.9,-9.77
8.004,1.4,-0.24,-9.81
8.111,1.88,0.18,-11.73
8.175,1.88,0.18,-11.73
8.252,1.88,0.18,-11.73
8.352,1.88,0.18,-11.73
8.437,1.88,0.18,-11.73
8.501,1.88,0.18,-11.73
8.57,1.88,0.18,-11.73
8.667,1.88,0.18,-11.73
8.735,1.41,-0.92,-13.96
8.841,1.44,-2.17,-13.9
8.911,1.28,-2.97,-13.19
8.985,1.28,-2.97,-13.19
9.056,1.28,-2.97,-13.19
9.145,1.28,-2.97,-13.19
9.221,1.28,-2.97,-13.19
9.324,1.28,-2.97,-13.19
9.398,1.28,-2.97,-13.19
9.476,1.28,-2.97,-13.19
9.55,1.58,-2.65,-12.02
9.624,0.86,-1.82,-11.14
9.705,0.39,-1.37,-10.76
9.81,0.39,-1.37,-10.76
9.878,0.39,-1.37,-10.76
9.981,0.39,-1.37,-10.76
10.051,0.39,-1.37,-10.76
10.119,0.39,-1.37,-10.76
10.201,0.39,-1.37,-10.76
