NAME:,run_1_1,,
EXPERIMENT TIME:,08/06/2023 10:34,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.004,-2.79,-9.04,3.1
0.093,-2.79,-9.04,3.1
0.157,-2.79,-9.04,3.1
0.219,-2.79,-9.04,3.1
0.297,-2.79,-9.04,3.1
0.376,-3.14,-8.85,3.18
0.454,-3.49,-8.76,3.26
0.591,-3.69,-8.81,3.18
0.649,-3.69,-8.81,3.18
0.701,-3.69,-8.81,3.18
0.791,-3.69,-8.81,3.18
0.87,-3.69,-8.81,3.18
0.967,-3.69,-8.81,3.18
1.028,-3.69,-8.81,3.18
1.116,-3.69,-8.81,3.18
1.182,-4.86,-11.17,1.96
1.277,-5.27,-9.73,0.8
1.356,-4.05,-6.76,-0.27
1.439,-4.05,-6.76,-0.27
1.502,-4.05,-6.76,-0.27
1.58,-4.05,-6.76,-0.27
1.663,-4.05,-6.76,-0.27
1.744,-4.05,-6.76,-0.27
1.823,-4.05,-6.76,-0.27
1.919,-4.05,-6.76,-0.27
2.001,-2.82,-3.7,0.1
2.068,-0.8,-1.77,-0.65
2.153,-2.13,-2.56,1.33
2.23,-2.13,-2.56,1.33
2.31,-2.13,-2.56,1.33
2.394,-2.13,-2.56,1.33
2.468,-2.13,-2.56,1.33
2.566,-2.13,-2.56,1.33
2.653,-2.13,-2.56,1.33
2.733,-2.13,-2.56,1.33
2.814,-0.58,1.45,0.8
2.896,-1.48,0.22,2.46
2.971,-2.98,-1.09,6.68
3.049,-2.98,-1.09,6.68
3.142,-2.98,-1.09,6.68
3.201,-2.98,-1.09,6.68
3.283,-2.98,-1.09,6.68
3.361,-2.98,-1.09,6.68
3.453,-2.98,-1.09,6.68
3.54,-2.98,-1.09,6.68
3.602,-2.17,-0.77,5.84
3.693,-2.5,-0.9,5.73
3.778,-1.41,-5.24,1.19
3.859,-1.41,-5.24,1.19
3.931,-1.41,-5.24,1.19
4.015,-1.41,-5.24,1.19
4.091,-1.41,-5.24,1.19
4.189,-1.41,-5.24,1.19
4.264,-1.41,-5.24,1.19
4.341,-1.41,-5.24,1.19
4.435,-2.24,-8.02,1.28
4.513,-2.04,-8.04,5.39
4.599,-1.19,-8.17,6.46
4.68,-1.19,-8.17,6.46
4.757,-1.19,-8.17,6.46
4.832,-1.19,-8.17,6.46
4.917,-1.19,-8.17,6.46
5.003,-1.19,-8.17,6.46
5.073,-1.19,-8.17,6.46
5.151,-1.19,-8.17,6.46
5.229,-3.07,-8.37,8.58
5.31,-3.62,-11.92,10.15
5.389,-2.17,-11.92,9.18
5.492,-2.17,-11.92,9.18
5.563,-2.17,-11.92,9.18
5.627,-2.17,-11.92,9.18
5.734,-2.17,-11.92,9.18
5.806,-2.17,-11.92,9.18
5.894,-2.17,-11.92,9.18
5.971,-2.17,-11.92,9.18
6.049,-1.53,-12.75,9.69
6.127,-1.94,-14.19,5.94
6.237,-1.86,-14.02,6.32
6.31,-1.86,-14.02,6.32
6.379,-1.86,-14.02,6.32
6.471,-1.86,-14.02,6.32
6.548,-1.86,-14.02,6.32
6.599,-1.86,-14.02,6.32
6.689,-1.86,-14.02,6.32
6.767,-1.86,-14.02,6.32
6.844,-2.58,-14.93,6.18
6.93,-3.2,-15.69,4.6
7.011,-3.45,-15.6,3.5
7.101,-3.45,-15.6,3.5
7.185,-3.45,-15.6,3.5
7.258,-3.45,-15.6,3.5
7.328,-3.45,-15.6,3.5
7.419,-3.45,-15.6,3.5
7.522,-3.45,-15.6,3.5
7.602,-3.45,-15.6,3.5
7.658,-2.96,-14.91,2.37
7.76,-0.31,-14.91,4.24
7.839,-1.01,-14.5,4.18
7.898,-1.01,-14.5,4.18
8.004,-1.01,-14.5,4.18
8.064,-1.01,-14.5,4.18
8.151,-1.01,-14.5,4.18
8.242,-1.01,-14.5,4.18
8.327,-1.01,-14.5,4.18
8.385,-1.01,-14.5,4.18
8.485,-1.1,-14.66,4.08
8.56,-1.82,-14.49,3.41
8.637,-1.87,-15.15,4.37
8.72,-1.87,-15.15,4.37
8.793,-1.87,-15.15,4.37
8.872,-1.87,-15.15,4.37
8.953,-1.87,-15.15,4.37
9.03,-1.87,-15.15,4.37
9.137,-1.87,-15.15,4.37
9.21,-1.87,-15.15,4.37
9.301,-3.31,-16.42,7.66
9.363,-1.92,-15.3,6.96
9.436,-1.22,-15.3,6.56
9.529,-1.22,-15.3,6.56
9.606,-1.22,-15.3,6.56
9.687,-1.22,-15.3,6.56
9.784,-1.22,-15.3,6.56
9.86,-1.22,-15.3,6.56
9.936,-1.22,-15.3,6.56
10.014,-1.22,-15.3,6.56
10.111,1.8,-18.71,5.83
10.181,0.6,-20.01,4.96
10.26,-1.14,-16.96,5.56
10.339,-1.14,-16.96,5.56
10.416,-1.14,-16.96,5.56
10.491,-1.14,-16.96,5.56
10.589,-1.14,-16.96,5.56
10.668,-1.14,-16.96,5.56
10.757,-1.14,-16.96,5.56
10.814,-1.14,-16.96,5.56
10.913,-0.52,-10.64,7.58
10.996,2.04,-10.64,6.83
11.077,2.29,-10.12,6.26
11.146,2.29,-10.12,6.26
11.224,2.29,-10.12,6.26
11.313,2.29,-10.12,6.26
11.404,2.29,-10.12,6.26
11.466,2.29,-10.12,6.26
11.558,2.29,-10.12,6.26
11.637,2.29,-10.12,6.26
11.716,-0.01,-16.44,2.46
11.795,-1.83,-15.01,3.63
11.871,-2.59,-12.16,2.24
11.951,-2.59,-12.16,2.24
12.031,-2.59,-12.16,2.24
12.119,-2.59,-12.16,2.24
12.207,-2.59,-12.16,2.24
12.292,-2.59,-12.16,2.24
12.352,-2.59,-12.16,2.24
12.456,-2.59,-12.16,2.24
12.533,0.59,-12.16,1.95
12.607,-0.89,-13.59,1.67
12.686,1.03,-11.3,1.32
12.765,1.03,-11.3,1.32
12.844,1.03,-11.3,1.32
12.925,1.03,-11.3,1.32
13.007,1.03,-11.3,1.32
13.087,1.03,-11.3,1.32
13.167,1.03,-11.3,1.32
13.242,1.03,-11.3,1.32
13.345,-1.16,-10.66,1.65
13.419,-0.64,-3.27,0.63
13.485,-1.43,-5.6,1.27
13.601,-1.43,-5.6,1.27
13.666,-1.43,-5.6,1.27
13.749,-1.43,-5.6,1.27
13.834,-1.43,-5.6,1.27
13.892,-1.43,-5.6,1.27
13.971,-1.43,-5.6,1.27
14.053,-1.43,-5.6,1.27
14.132,-1.86,-3.62,2.58
14.235,-2.07,-2.69,2.09
14.303,-1.22,-1.8,1.92
14.376,-1.22,-1.8,1.92
14.464,-1.22,-1.8,1.92
14.544,-1.22,-1.8,1.92
14.623,-1.22,-1.8,1.92
14.703,-1.22,-1.8,1.92
14.782,-1.22,-1.8,1.92
14.87,-1.22,-1.8,1.92
14.944,-1.84,1.99,-0.22
15.029,-2.03,0.67,0.08
15.12,-2,-1.52,2.54
15.195,-2,-1.52,2.54
15.287,-2,-1.52,2.54
15.376,-2,-1.52,2.54
15.427,-2,-1.52,2.54
15.532,-2,-1.52,2.54
15.61,-2,-1.52,2.54
15.688,-2,-1.52,2.54
15.765,-0.59,0.3,3.35
15.864,0.82,-0.72,3.97
15.933,2.05,-5.81,6.2
16.01,2.05,-5.81,6.2
16.091,2.05,-5.81,6.2
16.183,2.05,-5.81,6.2
16.268,2.05,-5.81,6.2
16.337,2.05,-5.81,6.2
16.415,2.05,-5.81,6.2
16.496,2.05,-5.81,6.2
16.572,2.22,-7.01,5.43
16.65,0.9,-12.98,9.44
16.73,-1.05,-12.98,4.65
16.806,-1.05,-12.98,4.65
16.913,-1.05,-12.98,4.65
17,-1.05,-12.98,4.65
17.06,-1.05,-12.98,4.65
17.147,-1.05,-12.98,4.65
17.227,-1.05,-12.98,4.65
17.312,-1.05,-12.98,4.65
17.382,-0.56,-20.01,10.6
17.456,-0.9,-20.01,6.76
17.538,-0.59,-10.9,7.07
17.625,-0.59,-10.9,7.07
17.701,-0.59,-10.9,7.07
17.801,-0.59,-10.9,7.07
17.877,-0.59,-10.9,7.07
17.953,-0.59,-10.9,7.07
18.027,-0.59,-10.9,7.07
18.117,-0.59,-10.9,7.07
18.206,-0.9,-10.9,0.86
18.281,0.82,-3.48,0.2
18.36,0.65,-6.25,0.78
18.442,0.65,-6.25,0.78
18.515,0.65,-6.25,0.78
18.594,0.65,-6.25,0.78
18.677,0.65,-6.25,0.78
18.767,0.65,-6.25,0.78
18.851,0.65,-6.25,0.78
18.918,0.65,-6.25,0.78
18.992,-0.48,1.87,0.84
19.082,-1.65,-1.05,0.73
19.163,-1.97,-7.37,0.35
19.259,-1.97,-7.37,0.35
19.337,-1.97,-7.37,0.35
19.412,-1.97,-7.37,0.35
19.491,-1.97,-7.37,0.35
19.583,-1.97,-7.37,0.35
19.674,-1.97,-7.37,0.35
19.742,-1.97,-7.37,0.35
19.819,-1.09,-10.49,0.29
19.901,-3.44,-15,6.42
19.983,-2.92,-13.96,5.88
20.061,-2.92,-13.96,5.88
20.149,-2.92,-13.96,5.88
20.215,-2.92,-13.96,5.88
20.324,-2.92,-13.96,5.88
20.396,-2.92,-13.96,5.88
20.469,-2.92,-13.96,5.88
20.554,-2.92,-13.96,5.88
20.633,-3.26,-18.97,10.72
20.711,0.03,-18.82,5.1
20.787,-1.11,-16.16,5.28
20.865,-1.11,-16.16,5.28
20.949,-1.11,-16.16,5.28
21.038,-1.11,-16.16,5.28
21.099,-1.11,-16.16,5.28
21.191,-1.11,-16.16,5.28
21.28,-1.11,-16.16,5.28
21.345,-1.11,-16.16,5.28
21.435,-1.62,-16.16,0.54
21.504,-3.23,-10.57,0.65
21.593,-2.12,-7.49,-0.12
21.674,-2.12,-7.49,-0.12
21.764,-2.12,-7.49,-0.12
21.847,-2.12,-7.49,-0.12
21.911,-2.12,-7.49,-0.12
22.004,-2.12,-7.49,-0.12
22.087,-2.12,-7.49,-0.12
22.162,-2.12,-7.49,-0.12
22.241,-2.59,-1.94,0.6
22.321,-2.18,-0.63,0.25
22.409,-1.77,-1.19,0.76
22.499,-1.77,-1.19,0.76
22.588,-1.77,-1.19,0.76
22.655,-1.77,-1.19,0.76
22.732,-1.77,-1.19,0.76
22.822,-1.77,-1.19,0.76
22.91,-1.77,-1.19,0.76
22.99,-1.77,-1.19,0.76
23.059,-1.97,1.16,0.31
23.136,-4.21,-2.55,2.33
23.21,-4.13,-8.75,3.15
23.289,-4.13,-8.75,3.15
23.367,-4.13,-8.75,3.15
23.452,-4.13,-8.75,3.15
23.531,-4.13,-8.75,3.15
23.618,-4.13,-8.75,3.15
23.692,-4.13,-8.75,3.15
23.801,-4.13,-8.75,3.15
23.87,-3.74,-12.5,8.28
23.953,0.13,-15.85,6.12
24.031,-0.1,-11.09,5.71
24.097,-0.1,-11.09,5.71
24.204,-0.1,-11.09,5.71
