"NAME:","walk_1_1.csv"
"EXPERIMENT TIME:","07/06/2023 21:24"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","60"

"Time [sec]","ACC X","ACC Y","ACC Z"
"530.93","5.61","-0.2","-0.24"
"531.02","10.16","-0.04","-5.14"
"531.11","14.32","-1.96","-5.81"
"531.2","9.49","-1.26","1.49"
"531.29","12.08","0.31","1.69"
"531.38","8.08","-0.27","2.12"
"531.47","9.65","2.12","-0.51"
"531.56","10.87","0.59","3.18"
"531.65","14.36","-0.94","1.02"
"531.74","10.9","-2.55","4.43"
"531.84","11.45","1.69","0.43"
"531.93","2.9","-0.59","2.12"
"532.02","7.3","-0.35","-1.65"
"532.11","12.55","0.08","1.49"
"532.2","14.24","-0.47","0.63"
"532.29","8.83","-0.9","-0.47"
"532.38","9.18","-1.8","3.3"
"532.47","9.06","0.67","1.49"
"532.56","8.79","2.2","-0.12"
"532.66","11.85","0.47","2.31"
"532.75","10.9","1.1","3.06"
"532.84","19.02","-1.06","2.16"
"532.93","10.63","2.12","-1.18"
"533.02","5.69","-0.9","2.51"
"533.11","9.96","0.47","-1.8"
"533.2","9.38","0.27","-1.65"
"533.29","10.16","-0.63","0.04"
"533.38","12.16","0.51","2.04"
"533.47","8.9","1.1","0.86"
"533.57","9.61","1.53","1.22"
"533.66","11.34","-0.55","3.45"
"533.75","13.42","1.96","1.26"
"533.84","8.79","-2.9","2.24"
"533.93","12.2","1.73","-0.27"
"534.02","7.73","-0.12","2.0"
"534.11","8.36","-0.04","-0.82"
"534.2","9.18","-0.75","0.08"
"534.29","13.85","2.08","-0.98"
"534.38","10.87","0.67","1.37"
"534.48","11.22","-0.55","3.69"
"534.57","8.59","0.75","1.53"
"534.66","9.77","1.33","1.61"
"534.75","12.98","0.27","4.28"
"534.84","13.57","-1.22","6.0"
"534.93","15.69","-0.24","2.35"
"535.02","9.92","1.65","-0.51"
"535.11","7.69","-3.33","3.3"
"535.2","8.43","0.16","-1.57"
"535.29","13.61","1.49","-1.69"
"535.38","13.06","-4.2","3.06"
"535.48","6.2","-0.67","0.94"
"535.57","10.63","-0.63","1.88"
"535.66","9.3","0.71","2.04"
"535.75","9.18","1.02","1.57"
"535.84","10.98","0.94","0.55"
"535.93","8.16","-3.84","2.75"
"536.02","16.75","0.35","1.92"
"536.11","6.51","0.51","-0.55"
"536.2","6.67","0.27","-0.94"
"536.29","8.87","2.28","-1.14"
"536.39","14.63","-1.69","-1.26"
"536.48","10.9","-1.37","5.77"
"536.57","14.2","0.35","2.59"
"536.66","7.45","0.08","1.29"
"536.75","10.43","2.16","0.43"
"536.84","9.77","0.12","3.61"
"536.93","13.77","-2.51","3.1"
"537.02","12.87","-2.31","2.2"
"537.11","9.45","1.49","1.29"
"537.21","5.1","0.78","-1.8"
"537.3","7.06","-0.47","-3.33"
"537.39","6.55","-8.94","7.22"
"537.48","15.53","-7.26","3.84"
"537.57","7.65","-1.06","-6.39"
"537.66","12.16","0.2","7.22"
"537.75","8.12","3.14","3.26"
"537.84","10.43","4.0","0.43"
"537.93","9.38","4.2","1.73"
"538.02","11.34","-0.43","2.71"
"538.11","11.61","0.67","2.82"
"538.21","10.79","4.04","-2.31"
"538.3","5.61","-0.94","-2.51"
"538.39","9.22","1.61","-5.18"
"538.48","9.22","1.26","-5.88"
"538.57","10.94","-3.49","0.51"
"538.66","11.26","-0.51","0.27"
"538.75","11.1","0.24","2.04"
"538.84","8.79","1.1","-0.27"
"538.93","9.85","1.8","0.2"
"539.02","11.81","1.29","1.65"
"539.12","13.22","0.75","2.55"
"539.21","13.81","-1.29","3.1"
"539.3","10.51","1.8","-0.94"
"539.39","7.14","-1.41","2.16"
"539.48","8.79","0.63","-1.02"
"539.57","11.85","0.63","0.75"
"539.66","11.3","-1.73","-1.65"
"539.75","6.24","-0.31","0.16"
"539.84","12.36","-1.02","3.18"
"539.93","9.45","0.55","1.33"
"540.03","9.89","2.0","0.2"
"540.12","10.4","2.79","2.59"
"540.21","13.69","-0.71","1.22"
"540.3","18.91","-1.26","3.88"
"540.39","6.04","1.45","-2.47"
"540.48","7.88","-0.75","2.43"
"540.57","7.14","0.12","-2.71"
"540.66","14.67","-1.96","-2.47"
"540.75","14.4","-4.08","2.75"
"540.85","4.75","-1.26","1.06"
"540.94","11.81","1.53","3.88"
"541.03","9.77","3.22","0.63"
"541.12","8.79","0.16","1.26"
"541.21","11.53","-0.27","0.2"
"541.3","6.79","-1.92","3.92"
"541.39","14.95","2.43","0.63"
"541.48","6.12","1.65","0.0"
"541.57","6.32","0.98","-2.55"
"541.66","13.06","-1.22","-1.84"
"541.76","11.96","-3.61","-0.43"
"541.85","5.92","-0.98","1.14"
"541.94","12.12","0.94","3.18"
"542.03","9.65","1.92","0.9"
"542.12","8.94","1.26","0.71"
"542.21","11.49","1.33","1.8"
"542.3","6.39","-2.47","3.57"
"542.39","19.93","2.2","1.37"
"542.48","6.79","0.08","0.31"
"542.57","6.63","0.43","-0.63"
"542.66","9.02","1.02","-2.28"
"542.76","11.26","-0.12","-1.53"
"542.85","8.9","-1.06","2.86"
"542.94","12.79","-0.12","4.39"
"543.03","8.83","2.08","1.41"
"543.12","9.14","2.71","-0.39"
"543.21","10.83","1.96","1.41"
"543.3","10.08","-3.8","2.67"
"543.39","17.22","0.16","1.57"
"543.48","7.02","-0.39","-0.12"
"543.58","6.9","0.67","-0.59"
"543.67","9.02","0.94","-3.65"
"543.76","11.69","0.67","-6.12"
"543.85","14.67","-1.26","5.77"
"543.94","10.63","0.51","0.08"
"544.03","6.32","0.43","0.39"
"544.12","9.92","2.24","0.04"
"544.21","11.53","0.86","3.69"
"544.3","14.2","0.04","3.14"
"544.39","13.89","-0.55","1.06"
"544.49","9.3","1.65","0.27"
"544.58","4.79","-0.75","1.02"
"544.67","9.18","2.16","-4.51"
"544.76","15.89","0.12","-4.55"
"544.85","9.65","-1.49","3.65"
"544.94","9.26","-1.02","1.06"
"545.03","7.81","1.06","1.41"
"545.12","9.85","2.39","-0.24"
"545.21","10.63","0.39","4.12"
"545.3","13.53","-0.2","-0.43"
"545.39","12.63","-2.86","5.53"
"545.49","10.94","3.61","0.71"
"545.58","3.92","-1.18","1.22"
"545.67","7.06","0.59","-2.2"
"545.76","10.51","1.29","0.55"
"545.85","13.45","-2.2","0.51"
"545.94","8.16","-0.39","0.43"
"546.03","9.22","-0.94","3.84"
"546.12","8.79","1.88","0.24"
"546.21","9.38","1.1","0.43"
"546.3","10.71","1.33","1.06"
"546.4","10.4","-3.18","2.71"
"546.49","15.61","0.47","0.47"
"546.58","8.12","1.61","0.39"
"546.67","5.81","0.08","0.08"
"546.76","9.22","1.06","-3.14"
"546.85","14.71","-0.08","-5.3"
"546.94","12.83","0.24","4.59"
"547.03","10.94","-1.06","2.43"
"547.12","7.22","1.14","1.29"
"547.21","10.16","2.67","-0.12"
"547.31","11.69","0.0","3.1"
"547.4","14.24","-0.08","1.22"
"547.49","12.98","-2.75","3.3"
"547.58","11.02","2.79","0.27"
"547.67","6.39","0.12","0.59"
"547.76","6.39","0.78","-2.47"
