NAME:,idan_walk_2,,
EXPERIMENT TIME:,Thu Jun 01 11:48:04 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
14.82267034,-8.28,-3.37,-1.92
14.91494502,-8.2,-3.41,-2.28
14.97366528,-12.08,-5.61,-2.71
15.05755136,-13.45,-6.55,-3.73
15.14143744,-7.85,-6.86,-6.39
15.24210074,-13.81,-1.22,-4.04
15.29243238,-7.61,-4.51,-3.92
15.40148429,-7.14,-0.51,-2.82
15.54409062,-8.71,-1.06,-2
15.61119949,-9.18,-2.39,-1.65
15.66153114,-12.59,-1.92,-2.35
15.72025139,-16.36,1.18,-6.28
15.78736026,-7.77,-1.73,-8.28
15.88802355,-12.12,-4.55,-4.12
15.94674381,-7.34,-0.27,-3.3
16.06418432,-7.37,-2,-2.79
16.11451597,-7.06,-3.45,-2.16
16.19840205,-10,-3.69,-3.65
16.26551091,-10.08,-4.2,-0.86
16.3577856,-16.44,-8.47,-5.96
16.81077043,-6.94,-2.31,-7.34
17.32247552,-9.96,-4.24,-5.3
17.37280717,-6,-2.75,-3.06
17.38958438,-7.61,-0.16,-2.71
17.39797299,-8.71,-1.06,-12.47
17.41475021,-9.18,-2.67,-1.61
17.49863629,-11.1,-3.57,-2.86
17.56574515,-11.38,-6.39,-3.8
17.64963123,-6.75,-5.61,-6.79
17.73351731,-13.61,-3.14,-4.24
17.80062618,-5.84,-3.41,-3.33
17.89290086,-7.57,-0.2,-2.86
17.98517555,-8.39,-0.63,-2.28
18.05228442,-9.02,-2.24,-3.14
18.1445591,-11.85,-1.92,-1.1
18.25361101,-16.2,-0.12,-5.61
18.32071987,-7.96,-2.75,-6.32
18.39621734,-9.53,-2,-4.31
18.46332621,-6.75,-1.92,-3.1
18.53882368,-7.88,-3.18,-2.59
18.64787558,-8.36,-3.06,-2.31
18.71498445,-10.12,-3.14,-3.88
18.7737047,-10.55,-3.41,-0.67
18.86597939,-13.61,-10.28,-7.34
18.95825408,-10.28,-2.28,-6.28
19.02536294,-9.73,-3.69,-4.63
19.11763763,-6.35,-1.92,-3.57
19.21830093,-7.81,-0.47,-2.71
19.28540979,-8.51,-0.94,-2.98
19.36090726,-12.75,-2.04,-2.82
19.42801613,-11.06,-0.35,0.27
19.51190221,-16.08,-0.51,-8.87
19.59578829,-8.98,-1.65,-3.96
19.67967437,-7.53,-1.14,-4.75
19.77194906,-8.24,-2.79,-3.06
19.83905792,-7.96,-3.69,-2.59
19.922944,-9.02,-3.02,-1.96
19.99844147,-10.36,-2.86,-2.51
20.08232755,-9.69,-5.37,-2.75
20.19976806,-12.08,-6.47,-6.2
20.25848832,-14.75,-3.33,-2.94
20.32559718,-6.32,-4.2,-3.37
20.40109466,-6.55,-0.55,-3.22
20.48498074,-8.36,-0.16,-2.39
20.57725542,-9.49,-1.96,-2.55
20.66953011,-12.16,-0.08,-2.16
20.74502758,-11.65,2.16,-2.47
20.81213645,-14.32,-3.53,-7.61
20.87924531,-10.94,-3.02,-3.65
20.97990861,-6.71,-0.67,-4.2
21.06379469,-8,-2.55,-3.92
21.13090355,-8.39,-3.77,-2.04
21.2818985,-8.39,-2.71,-1.77
