NAME:,walk_2_1,,
EXPERIMENT TIME:,Thu Jun 08 14:03:40 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,117,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
17.978,7.37,0.27,-0.78
18.079,7.69,1.57,-0.27
18.18,7.49,-2.55,-1.8
18.281,9.34,-3.96,-0.75
18.382,12.87,-3.02,-1.06
18.483,9.06,-1.92,-1.77
18.584,11.3,-4.47,-1.18
18.685,4.31,0.75,0.55
18.786,8.12,-1.69,1.84
18.887,11.1,-5.49,4.35
18.988,11.49,0.9,-0.59
19.089,11.45,-3.8,-2.2
19.19,5.92,-1.29,-0.98
19.291,9.22,-3.88,-0.04
1.52E+04,12.47,-1.1,-0.78
19.594,12.04,-3.45,-0.86
19.695,6.32,-0.86,0.31
19.796,5.88,-2.16,1.14
19.897,11.69,-2.67,0.27
19.998,19.93,-2.47,1.26
20.099,6.32,-2.04,-0.47
20.2,6.16,-0.16,-0.43
20.301,8.24,-1.77,-1.26
20.402,9.38,-2.43,0.47
20.503,13.77,-3.65,-1.65
20.604,9.89,-2.12,-0.63
20.705,10.59,-4.59,-1.26
1412.7191,3.45,-0.12,0.51
21.008,11.65,-5.81,6.51
21.109,10.98,2.47,-0.63
21.21,10.59,-2.63,-1.53
21.311,6.63,-2.43,-1.29
21.412,8.9,-5.73,-0.59
21.513,12.04,-3.84,-0.94
21.614,14.71,-3.88,-3.49
21.715,14.12,-0.35,-1.88
21.816,6.04,-1.84,-0.12
21.917,5.49,-2.55,2.71
22.018,13.49,-3.49,-1.06
22.119,18.83,-1.53,0
22.22,7.73,-0.39,-0.39
22.321,6.51,0.24,-0.27
22.422,8.47,-3.8,-1.02
22.523,8.75,-3.1,-1.06
22.624,13.49,-3.02,0.08
22.725,11.92,-2.71,-4.43
22.826,13.45,-1.96,-2
22.927,5.33,-0.2,0.67
23.028,5.69,-2.24,2.12
23.129,12.83,-2.79,1.57
23.23,17.18,-1.41,1.61
23.331,10.75,-3.41,-0.16
23.432,5.57,0.51,-0.94
23.533,8.94,-3.22,-1.26
23.634,9.77,-1.73,0.63
23.735,15.53,-3.77,-0.82
23.836,10.24,-0.47,-2.16
23.937,10.75,-2.86,-0.63
24.038,3.22,-0.47,0.75
24.139,8.83,-1.45,1.73
24.24,10.75,-5.18,4.71
24.341,15.77,0.86,0.39
24.442,14.4,-5.1,-2.31
24.543,6.43,-1.45,-2.28
24.644,9.22,-5.49,-0.67
24.745,10.2,-2.94,0.75
24.846,15.93,-4.08,-5.26
24.947,12.67,1.8,-0.43
25.048,8.28,-3.73,-0.51
25.149,3.73,-1.29,1.61
25.25,11.65,-2.59,-1.1
25.351,11.73,-5.1,-1.53
25.452,6,0,-1.29
25.553,9.45,2.9,-0.04
25.654,5.88,-3.06,-1.73
25.755,9.34,-4.04,-0.47
25.856,11.41,-4.28,0.24
25.957,13.3,-3.41,-4.63
26.058,13.53,-1.06,-0.24
26.159,5.81,-1.18,-0.67
26.26,5.81,-2.59,1.73
26.361,14.75,-2.79,0.94
26.462,20.01,-2.28,-0.51
26.563,12.87,-3.14,-1.37
26.664,5.92,-0.98,-1.41
26.765,9.53,-4.28,-0.9
26.866,8.9,-2.43,-0.04
26.967,15.38,-3.49,-1.49
27.068,10.63,-0.82,-1.8
27.169,8.79,-5.02,-0.43
27.27,4.35,-0.31,1.33
27.371,9.92,-2.98,1.45
27.472,9.3,-5.77,3.92
27.573,6.79,2.71,-1.02
27.674,11.22,-0.67,-0.27
27.775,7.57,-3.92,-1.22
27.876,7.96,-3.92,0
27.977,10.2,-3.96,0.08
28.078,13.14,-4.51,-4.04
28.179,15.38,-2.75,-1.61
28.28,5.65,-0.55,0.39
28.381,5.45,-3.02,1.41
28.482,14.32,-2.82,1.1
28.583,20.01,-1.96,-0.98
28.684,7.26,-3.45,-0.2
28.785,7.1,0.43,-0.2
28.886,7.92,-3.8,-1.06
28.987,9.41,-2.04,-0.71
29.088,13.85,-3.41,-0.67
29.189,9.65,-1.06,-1.96
29.29,10.71,-5.06,-1.06
29.391,4.16,-0.16,1.06
29.492,8.75,-2.39,0.98
29.593,11.49,-4.98,4.98
29.694,10.67,1.73,-0.98
29.795,12.51,-2.28,-0.98
29.896,6.71,-4.67,-0.94
29.997,9.02,-4.08,0.63
30.098,9.3,-5.02,0.16
30.199,14,-2.55,-2.98
30.3,14.32,0.04,-0.59
30.401,6.12,-2.79,0.47
30.502,5.37,-1.96,2.63
30.603,13.53,-3.92,0.75
30.704,15.42,0.71,-0.98
30.805,7.3,-2.24,-0.27
30.906,8.75,1.53,-0.75
31.007,7.81,-3.92,-1.22
31.108,8.71,-4.67,-0.2
31.209,12.51,-1.73,-0.24
31.31,9.06,-1.37,-1.49
31.411,12.28,-4.98,-0.2
1519.7775,5.22,0.35,0.86
31.714,11.77,-4.47,5.33
31.815,17.69,-0.12,-2.82
31.916,9.38,-5.1,-0.86
32.017,7.18,-1.88,-0.51
32.118,8.71,-4.04,-0.24
32.219,9.96,-2.16,-0.71
32.32,13.85,-3.73,-1.77
32.421,9.96,-0.47,-0.86
32.522,9.57,-5.1,-1.14
32.623,5.69,-1.37,0.75
32.724,7.81,-2.82,0.2
32.825,11.45,-5.69,3.37
32.926,18.83,-0.98,-3.02
33.027,6.32,-4.24,-1.45
33.128,9.22,2.55,-1.84
33.229,5.61,-2.98,-2.59
33.33,10.71,-0.59,-2.55
33.431,10.55,-1.96,-1.92
33.532,8.12,-4.98,-1.92
33.633,9.22,-2.28,-2.04
33.734,10.4,-1.8,-1.88
33.835,12.79,-5.92,-3.22
33.936,9.34,-2.47,-3.73
34.037,11.41,-2.59,-2.24
34.138,7.49,-0.43,-0.27
34.239,7.49,-1.22,0.08
34.34,8.83,-1.18,0.78
34.441,9.38,-3.06,1.65
34.542,20.01,2.71,-7.26
34.643,8.43,-0.47,-1.84
34.744,8.32,-0.75,-2.28
34.845,9.1,-3.73,-1.8
34.946,6.94,-4.82,0.9
35.047,12.24,-2.67,1.14
35.148,11.1,-3.73,-5.02
35.249,11.89,0.51,-2.08
35.35,6.9,-2.86,0.47
35.451,5.18,-4.63,2.82
35.552,11.41,-3.8,1.26
35.653,12.55,-0.43,1.49
35.754,10,-2.86,-1.45
35.855,11.34,-3.06,0.12
35.956,7.73,-3.02,-0.63
36.057,7.61,-4.24,-1.1
36.158,11.1,-2.2,-1.49
36.259,13.18,-7.26,-2
36.36,10.67,-3.8,-1.49
36.461,10.98,-1.61,-1.26
36.562,4.82,-0.82,-0.24
36.663,9.41,-0.75,2.35
1.69E+04,8.87,-6.16,3.41
36.966,13.06,-2.28,-1.33
37.067,6.79,-2.55,-0.98
37.168,10.32,-4.67,0.27
37.269,9.96,-5.33,-0.94
37.37,14.32,-5.22,-2.9
37.471,11.89,-0.71,-0.75
37.572,7.96,-2.28,0
37.673,6.08,-1.26,-0.35
37.774,10.28,-0.63,1.61
37.875,9.77,-4.79,2.82
37.976,6.16,1.84,-1.84
38.077,10.36,1.33,-0.12
38.178,7.49,-4.55,-1.22
38.279,8.24,-4.9,-0.12
38.38,11.41,-4,0.04
38.481,12.32,-6.12,-2.94
38.582,12.67,-1.92,0.16
38.683,7.77,-1.61,0.27
38.784,5.1,-1.65,0.98
38.885,11.26,-2.31,0
38.986,10.08,-4.86,2.55
39.087,8.83,2.51,-1.65
39.188,10.4,0.35,0
39.289,7.37,-3.61,-1.65
39.39,8.2,-4.39,0.98
39.491,9.73,-5.18,0.35
39.592,12.71,-2.59,-2.98
39.693,13.73,-0.94,-1.37
39.794,5.81,-3.65,2.08
39.895,6.35,-3.18,2.86
39.996,11.81,-3.14,1.41
40.097,10.87,-2.9,5.41
40.198,9.96,2.04,-0.98
40.299,12.24,-2.9,-2.63
40.4,5.84,-3.53,-1.29
40.501,8.47,-3.96,-0.31
40.602,11.18,-4,0
40.703,12.43,-8.12,-0.31
40.804,10.71,-3.88,-2.39
40.905,12.12,-1.45,-0.24
41.006,7.34,-2.98,0.59
41.107,3.77,-0.9,2.16
41.208,11.3,-4.98,3.8
41.309,14.08,-0.82,1.49
41.41,11.53,0,-1.06
41.511,6.9,-3.02,-2.2
41.612,6.16,-1.45,-0.86
41.713,8.94,-3.84,-0.2
41.814,18.12,-5.92,-3.06
41.915,9.57,-0.04,-1.45
42.016,11.38,-3.96,-1.02
42.117,5.69,-0.51,1.37
42.218,4.9,-1.53,1.33
42.319,16.51,-4.9,3.37
42.42,11.34,-0.71,1.96
42.521,9.1,-2.04,0.31
42.622,8.28,-2.04,-1.26
42.723,7.41,-2.31,-1.41
42.824,8.51,-4.39,-0.39
42.925,17.18,-7.34,-1.45
43.026,9.38,-1.61,-1.77
43.127,11.34,-2.12,-1.37
43.228,6.67,0.24,0.59
43.329,5.45,-0.71,1.37
43.43,7.85,-2.39,3.69
43.531,20.01,-4.94,3.77
43.632,10.2,0.86,-0.55
43.733,9.81,-1.02,-0.24
43.834,5.53,-0.63,-2.43
43.935,6.47,-3.92,-0.75
44.036,10.59,-4.82,-0.63
44.137,10.55,-3.57,0.04
44.238,13.85,-4.82,-1.73
44.339,11.14,-3.22,0.47
44.44,7.22,-0.67,-0.35
44.541,5.22,0.04,1.29
44.642,10.28,-3.22,1.96
44.743,10.24,-6.98,4.28
44.844,8.16,2.51,-1.69
44.945,10.47,-0.35,-1.37
45.046,7.3,-3.22,-0.9
45.147,9.65,-6.04,0.94
45.248,9.3,-3.26,0.67
45.349,13.57,-4.82,-1.65
45.45,10.4,-1.65,-1.14
45.551,9.38,-5.33,0.12
45.652,4.79,-1.1,1.33
45.753,9.34,-1.73,1.61
45.854,11.49,-6.55,4.51
45.955,8.59,2.98,0.24
46.056,12.59,-1.69,-1.1
46.157,6.98,-1.37,-0.82
46.258,9.61,-6.28,-0.08
46.359,9.41,-4.86,0.04
46.46,13.61,-3.3,-0.63
46.561,10.36,-0.78,-1.14
46.662,11.96,-5.88,0.08
46.763,4.63,-1.96,1.45
46.864,7.49,-2.16,1.88
46.965,12.47,-3.41,1.92
47.066,19.18,-2,1.02
47.167,6.71,-1.88,-0.9
47.268,7.77,0.08,-0.71
47.369,8.39,-4.82,-0.75
47.47,7.88,-3.69,0.82
47.571,11.22,-3.8,0.9
47.672,13.45,-3.26,-4.04
47.773,12.16,-3.96,0.39
47.874,6.63,-1.37,0.35
47.975,5.49,-1.02,1.8
48.076,12.79,-3.06,-0.78
48.177,9.69,-6.04,1.22
48.278,5.81,3.53,-2.08
48.379,15.49,0.35,-1.53
48.48,6.47,-3.49,-1.37
48.581,8.9,-4.86,1.06
48.682,9.77,-3.73,1.37
48.783,14.32,-4.43,-2.67
48.884,16.32,-1.02,-0.55
48.985,8.24,-1.8,0.78
49.086,6.39,-1.14,1.92
49.187,7.73,-3.26,2.98
