"NAME:","Run_4_1"
"EXPERIMENT TIME:","2023/06/06 12:16:33"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","120"

"Time[sec]","ACC X","ACC Y","ACC Z"
"12.232945312500078","-2.47","-20.01","6.94"
"13.042945312500024","-5.41","-20.01","-7.81"
"13.123945312499927","4.71","-5.02","-2.47"
"13.204945312500058","7.22","4.39","-1.06"
"13.609945312500031","-3.02","-4.98","-4.08"
"13.690945312499935","-3.49","9.61","-20.01"
"13.771945312500065","3.92","-20.01","-10.94"
"13.852945312499969","0.90","-6.83","-3.02"
"13.9339453125001","3.84","2.71","-0.08"
"14.014945312500004","-3.10","1.14","-1.29"
"14.095945312499907","1.18","-19.93","-2.94"
"14.176945312500038","9.45","-16.04","-0.43"
"14.257945312499942","2.59","3.84","-1.61"
"14.338945312500073","-3.49","-8.83","-1.14"
"14.419945312499976","-1.10","5.10","-13.26"
"14.500945312500107","0.27","-20.01","-11.41"
"14.581945312500011","3.84","-11.96","-3.73"
"14.662945312499915","3.61","3.53","-0.24"
"14.743945312500045","-2.00","-0.63","-1.92"
"14.824945312499949","5.30","-20.01","-2.12"
"14.90594531250008","9.14","-20.01","-2.67"
"14.986945312499984","0.00","-5.10","-1.14"
"15.067945312499887","-6.63","-5.84","2.98"
"15.148945312500018","4.43","-2.67","3.57"
"15.229945312499922","3.33","-5.92","-20.01"
"15.310945312500053","-5.06","-16.12","-7.41"
"15.391945312499956","-5.33","5.14","2.00"
"15.472945312500087","1.26","-1.02","-5.49"
"15.553945312499991","5.73","11.85","-20.01"
"15.634945312499894","7.14","-20.01","-10.94"
"15.715945312500025","-3.65","-8.90","0.59"
"15.796945312499929","-2.71","0.04","2.55"
"15.87794531250006","2.82","2.67","-0.16"
"15.958945312499964","4.82","-0.43","-18.28"
"16.039945312500095","-5.22","-17.81","-8.32"
"16.120945312499998","-6.86","4.79","0.94"
"16.2019453124999","1.65","-3.92","-6.59"
"16.282945312500033","3.30","13.89","-19.42"
"16.363945312499936","3.22","-20.01","-18.40"
"16.444945312500067","-3.57","-7.96","0.20"
"16.52594531249997","-4.90","-4.00","1.18"
"16.606945312500102","1.37","2.55","2.08"
