"NAME:","walk_2_1.csv"
"EXPERIMENT TIME:","2023/06/18 17:37"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","78"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-10.47","-0.08","-2.24"
"0.101","-10.28","-0.51","-2.28"
"0.202","-10.32","-0.59","-2.39"
"0.303","-10.51","-0.94","-2.35"
"0.404","-10.40","-0.55","-2.08"
"0.505","-9.77","0.00","-2.59"
"0.606","-12.63","-0.47","-0.75"
"0.707","-9.89","1.02","0.08"
"0.808","-9.14","-1.18","0.00"
"0.909","-10.43","0.55","-0.39"
"1.01","-12.79","1.14","-0.86"
"1.111","-12.04","0.86","-3.30"
"1.212","-10.28","-2.55","-3.49"
"1.313","-9.73","-0.78","-2.39"
"1.414","-10.24","-0.90","-1.65"
"1.515","-9.57","-1.96","-0.86"
"1.616","-11.49","-0.35","-1.10"
"1.717","-11.30","-2.90","-0.75"
"1.818","-11.96","-0.43","-2.79"
"1.919","-10.40","-0.24","-3.10"
"2.02","-10.08","0.08","-2.00"
"2.121","-9.30","-0.39","-1.61"
"2.222","-9.45","-0.16","-0.71"
"2.323","-11.18","-0.39","-0.90"
"2.424","-11.73","-0.71","-0.55"
"2.525","-8.55","-0.63","-4.04"
"2.626","-11.30","0.47","-1.92"
"2.727","-8.12","-1.37","-1.53"
"2.828","-10.04","-0.67","-1.41"
"2.929","-10.63","-1.37","-0.67"
"3.03","-11.30","-2.12","0.82"
"3.131","-13.22","-2.08","-4.59"
"3.232","-12.83","-1.61","-2.55"
"3.333","-9.14","-0.35","-1.61"
"3.434","-9.02","0.04","-0.86"
"3.535","-9.38","-1.22","0.55"
"3.636","-13.45","0.27","1.06"
"3.737","-16.32","3.61","-3.18"
"3.838","-9.77","-1.33","-4.35"
"3.939","-7.49","-1.45","-2.39"
"4.04","-10.98","-1.53","-1.41"
"4.141","-9.92","-1.18","-0.47"
"4.242","-12.16","-2.67","1.22"
"4.343","-15.26","-3.57","-1.88"
"4.444","-8.63","-0.75","-2.75"
"4.545","-9.65","0.35","-1.69"
"4.646","-8.98","0.82","-1.80"
"4.747","-9.30","0.04","-0.20"
"4.848","-10.98","0.04","0.08"
"4.949","-11.26","-2.90","1.14"
"5.05","-9.10","0.78","-4.08"
"5.151","-11.61","-0.08","-2.28"
"5.252","-7.37","-1.41","-1.61"
"5.353","-9.89","-0.67","-0.82"
"5.454","-10.90","-1.57","-0.20"
"5.555","-11.73","-3.22","1.49"
"5.656","-12.59","0.20","-5.22"
"5.757","-12.83","-1.45","-2.00"
"5.858","-8.63","-0.31","-1.61"
"5.959","-8.39","0.51","-0.94"
"6.06","-9.41","-1.18","-0.59"
"6.161","-11.49","0.39","2.28"
"6.262","-14.40","0.51","-2.35"
"6.363","-12.79","-0.24","-3.61"
"6.464","-8.90","0.04","-3.06"
"6.565","-10.51","-1.80","-0.75"
"6.666","-9.02","-1.14","0.31"
"6.767","-11.06","-3.33","1.45"
"6.868","-15.89","-2.00","-3.88"
"6.969","-10.79","-1.26","-2.28"
"7.07","-8.43","-0.31","-1.84"
"7.171","-9.53","0.78","-1.29"
"7.272","-9.77","-0.75","-0.08"
"7.373","-12.36","0.51","0.16"
"7.474","-16.16","4.08","-1.57"
"7.575","-10.24","-1.22","-3.18"
"7.676","-7.61","-0.08","-2.31"
"7.777","-9.73","-1.65","-1.57"
"7.878","-10.00","-0.94","-0.31"
"7.979","-12.04","-3.61","0.67"
"8.08","-15.14","-2.35","-2.86"
"8.181","-10.98","-0.78","-2.16"
"8.282","-8.32","-0.12","-2.39"
"8.383","-8.90","0.43","-1.33"
"8.484","-9.30","-1.41","0.55"
"8.585","-13.02","1.29","1.06"
"8.686","-14.12","1.06","-2.20"
"8.787","-10.79","0.90","-4.55"
"8.888","-9.02","-1.29","-2.51"
"8.989","-10.43","-1.29","-1.18"
"9.09","-8.63","-0.82","-0.47"
"9.191","-12.32","-1.73","1.53"
"9.292","-12.71","-1.29","-6.63"
"9.393","-11.81","-2.04","-2.20"
"9.494","-8.28","-0.04","-1.45"
"9.595","-8.39","0.67","-1.57"
"9.696","-11.92","-0.39","-0.47"
"9.797","-12.32","-0.43","1.22"
"9.898","-8.55","0.00","-4.55"
"9.999","-12.59","-0.98","-2.51"
"10.1","-8.24","-1.18","-1.61"
"10.201","-9.49","-0.78","-0.35"
"10.302","-11.34","0.04","-1.02"
"10.403","-11.06","-1.65","1.49"
"10.504","-12.94","-0.16","-5.41"
"10.605","-11.85","-0.31","-2.98"
"10.706","-8.83","-0.08","-2.04"
"10.807","-8.63","-0.43","-0.63"
"10.908","-10.94","-0.94","0.12"
"11.009","-12.63","1.33","2.08"
"11.11","-12.16","0.82","-2.98"
"11.211","-11.41","1.06","-3.30"
"11.312","-8.28","-1.45","-2.43"
"11.413","-9.57","-1.06","-0.67"
"11.514","-10.16","-1.02","-0.20"
"11.615","-12.16","-0.20","1.84"
"11.716","-12.63","0.00","-5.69"
"11.817","-14.20","-2.55","-2.43"
"11.918","-8.59","0.63","-1.73"
"12.019","-8.87","0.16","-1.61"
"12.12","-9.73","-0.90","0.12"
"12.221","-13.61","-0.04","1.41"
"12.322","-12.36","2.51","-2.43"
"12.423","-15.02","-0.63","-3.69"
"12.524","-7.30","-0.63","-2.35"
"12.625","-9.92","-2.04","-0.67"
"12.726","-10.04","-2.59","-0.04"
"12.827","-10.83","-2.28","1.96"
"12.928","-12.67","-1.84","-4.98"
"13.029","-13.06","-1.22","-2.47"
"13.13","-8.51","-0.12","-1.65"
"13.231","-7.88","0.04","-1.84"
"13.332","-10.83","-0.78","-0.43"
"13.433","-12.40","0.20","0.75"
"13.534","-16.59","3.41","-1.96"
"13.635","-9.96","-2.51","-4.35"
"13.736","-8.32","-0.04","-2.24"
"13.837","-10.12","-2.35","-1.45"
"13.938","-9.49","-1.06","-0.12"
"14.039","-13.42","-2.98","0.39"
"14.14","-17.02","-4.47","-5.18"
"14.241","-11.81","-2.04","-1.29"
"14.342","-7.73","-0.39","-2.00"
"14.443","-8.39","0.59","-2.00"
"14.544","-8.98","-0.24","-0.39"
"14.645","-12.00","0.67","0.04"
"14.746","-14.12","1.57","-2.35"
"14.847","-9.30","-3.77","-3.92"
"14.948","-8.28","-0.35","-2.08"
"15.049","-9.69","-1.88","-1.18"
"15.15","-10.20","-0.67","0.47"
"15.251","-12.79","-3.77","1.18"
"15.352","-17.57","-1.41","-3.73"
"15.453","-11.96","-2.71","-2.08"
"15.554","-7.69","0.00","-1.26"
"15.655","-8.98","0.47","-1.41"
"15.756","-8.75","-0.75","-0.43"
"15.857","-13.06","0.00","0.67"
"15.958","-16.12","1.53","-1.49"
"16.059","-9.73","-1.22","-3.49"
"16.16","-6.71","0.27","-2.24"
"16.261","-9.92","-1.69","-1.77"
"16.362","-9.14","-0.55","-0.16"
"16.463","-11.38","-4.00","0.35"
"16.564","-17.77","-3.10","-3.77"
"16.665","-10.36","-1.41","-2.75"
"16.766","-9.34","-0.31","-1.92"
"16.867","-8.12","1.06","-2.16"
"16.968","-9.14","-0.20","-0.27"
"17.069","-12.47","0.59","0.31"
"17.17","-17.38","4.43","-2.90"
"17.271","-10.59","-2.12","-3.96"
"17.372","-6.67","-0.39","-2.24"
"17.473","-10.36","-1.37","-1.02"
"17.574","-10.32","-1.14","-0.27"
"17.675","-11.85","-3.10","1.10"
"17.776","-14.63","-3.65","-4.79"
"17.877","-10.43","-0.04","-1.61"
"17.978","-8.12","-1.33","-2.35"
"18.079","-8.39","1.33","-1.41"
"18.18","-9.53","-1.41","-0.43"
"18.281","-12.83","1.61","0.82"
"18.382","-15.38","2.67","-3.45"
"18.483","-10.00","-3.69","-4.94"
"18.584","-6.86","0.08","-2.47"
"18.685","-9.96","-1.96","-1.26"
"18.786","-10.20","-1.53","-0.86"
"18.887","-12.91","-5.41","1.33"
"18.988","-14.75","-1.57","-4.12"
"19.089","-11.34","-2.16","-2.39"
"19.19","-8.36","-0.20","-2.08"
"19.291","-8.55","0.75","-1.29"
"19.392","-9.26","-1.10","0.31"
"19.493","-11.96","1.22","1.77"
"19.594","-15.26","3.10","-2.39"
"19.695","-10.75","-1.22","-4.00"
"19.796","-8.55","-0.71","-2.31"
"19.897","-9.69","-1.61","-0.94"
"19.998","-7.73","-0.90","0.20"
"20.099","-12.47","-3.22","0.98"
"20.2","-14.16","-1.65","-5.02"
"20.301","-12.59","-3.18","-2.75"
"20.402","-7.61","0.47","-1.41"
"20.503","-8.83","-0.12","-0.86"
"20.604","-9.49","-1.53","-0.20"
"20.705","-13.93","-0.47","1.33"
"20.806","-15.89","2.51","-2.55"
"20.907","-10.83","-0.12","-4.86287390.00"
"21.109","-10.36","-1.10","-1.37"
"21.21","-10.55","-1.06","-0.24"
"21.311","-10.59","-4.55","1.61"
"21.412","-17.38","-2.63","-2.51"
"21.513","-8.43","-0.16","-2.12"
"21.614","-9.96","-0.16","-2.79"
"21.715","-8.94","1.06","-1.84"
"21.816","-8.04","-0.27","-0.63"
"21.917","-10.94","-0.86","-1.45"
"22.018","-12.98","0.39","-1.14"
"22.119","-9.22","-2.39","-4.94"
"22.22","-9.53","-0.04","-2.04"
"22.321","-7.96","-1.84","-1.69"
"22.422","-9.61","-1.69","-0.51"
"22.523","-11.02","-0.31","0.47"
"22.624","-10.83","-0.82","1.84"
"22.725","-12.47","-0.43","-6.35"
"22.826","-12.75","-2.20","-2.90"
"22.927","-8.71","0.63","-1.53"
"23.028","-8.83","0.00","-1.02"
"23.129","-10.67","-1.45","0.24"
"23.23","-11.89","-0.04","1.65"
"23.331","-15.38","4.63","-4.35"
"23.432","-11.77","-1.06","-3.57"
"23.533","-7.92","-0.75","-2.28"
"23.634","-9.85","-1.14","-1.14"
"23.735","-10.71","-1.65","-0.67"
"23.836","-11.45","-1.84","0.27"
"23.937","-13.26","-4.79","-2.43"
"24.038","-6.75","1.29","-2.82"
"24.139","-10.90","-1.65","-2.67"
"24.24","-8.59","0.71","-1.53"
"24.341","-8.71","-0.12","-1.10"
"24.442","-11.02","-0.82","-0.12"
"24.543","-10.51","-1.37","0.39"
"24.644","-12.59","-0.78","-2.71"
"24.745","-12.28","1.77","-2.90"
"24.846","-8.83","-0.86","-2.75"
"24.947","-10.51","-0.59","-1.77"
"25.048","-10.55","-2.08","-1.29"
"25.149","-10.32","-2.24","-1.02"
"25.25","-10.24","-2.08","-1.10"
"25.351","-12.79","1.02","-3.30"
"25.452","-9.49","0.82","-2.75"
"25.553","-10.71","2.79","-3.10"
"25.654","-10.12","0.75","-2.63"
"25.755","-10.71","-0.63","-3.18"
"25.856","-10.98","1.69","-3.06"
"25.957","-10.32","1.18","-2.55"
"26.058","-10.12","2.39","-2.79"
"26.159","-9.77","-0.82","-1.45"
"26.26","-12.40","0.24","-2.47"
"26.361","-7.61","0.59","-2.59"
"26.462","-11.85","0.71","-5.18"
"26.563","-9.73","-1.80","-3.41"
"26.664","-10.24","-0.63","-2.59"
"26.765","-10.71","-1.29","-2.00"
"26.866","-9.22","-3.73","-1.33"
"26.967","-9.89","-2.20","-0.78"
"27.068","-11.85","0.90","-0.43"
"27.169","-11.53","-4.16","-1.06"
"27.27","-8.28","1.26","-5.57"
"27.371","-10.55","-3.22","-2.98"
"27.472","-9.22","1.22","-2.90"
"27.573","-11.49","-0.82","-2.08"
"27.674","-8.12","-0.04","-0.67"
"27.775","-9.73","-0.90","-1.06"
"27.876","-10.90","-0.31","0.31"
"27.977","-13.85","-0.67","-1.22"
"28.078","-10.08","0.08","-5.30"
"28.179","-10.71","-0.35","-2.51"
"28.28","-9.41","-1.57","-2.59"
"28.381","-9.69","-1.18","-0.75"
"28.482","-10.43","-0.12","-1.73"
"28.583","-10.83","-1.26","0.39"
"28.684","-14.79","-3.96","-2.67"
"28.785","-9.02","1.22","-2.90"
"28.886","-10.28","-1.65","-2.08"
"28.987","-8.83","0.82","-1.84"
"29.088","-9.30","-0.04","-1.41"
"29.189","-10.32","-1.41","0.24"
"29.29","-11.96","-0.39","2.08"
"29.391","-16.63","3.69","-4.00"
"29.492","-10.71","0.59","-3.88"
"29.593","-9.06","-0.51","-3.02"
"29.694","-9.89","-1.33","-1.45"
"29.795","-8.87","-1.80","-0.63"
"29.896","-11.34","-1.22","-0.67"
"29.997","-11.81","-0.86","1.57"
"30.098","-11.92","0.20","-5.45"
"30.199","-12.28","-2.90","-2.63"
"30.3","-8.12","0.86","-1.73"
"30.401","-9.77","-0.43","-1.29"
"30.502","-8.79","-1.37","-0.27"
"30.603","-13.42","-0.63","0.94"
"30.704","-15.85","3.57","-2.35"
"30.805","-10.71","-0.20","-4.24"
"30.906","-9.22","0.12","-2.31"
"31.007","-9.89","-1.02","-1.45"
"31.108","-9.81","-1.69","-0.59"
"31.209","-12.63","-2.75","0.00"
"31.31","-12.43","-3.26","-0.31"
"31.411","-8.12","1.88","-4.12"
"31.512","-10.20","-2.71","-2.59"
"31.613","-9.06","1.06","-2.04"
"31.714","-9.22","-0.98","-1.26"
"31.815","-9.38","-0.71","0.04"
"31.916","-12.51","-0.63","2.39"
"32.017","-16.12","4.12","-1.84"
"32.118","-10.12","0.43","-3.92"
"32.219","-8.94","-0.51","-2.67"
"32.32","-10.75","-2.31","-1.61"
"32.421","-8.90","-1.22","-0.78"
"32.522","-9.92","-1.49","0.24"
"32.623","-9.57","-1.22","0.63"
"32.724","-10.59","1.33","-6.63"
"32.825","-12.00","-1.73","-2.51"
"32.926","-8.79","0.04","-1.69"
"33.027","-9.96","-0.75","-1.18"
"33.128","-9.06","-1.57","0.55"
"33.229","-11.89","0.59","1.41"
"33.33","-17.38","3.77","-2.35"
"33.431","-9.81","-1.65","-4.51"
"33.532","-9.26","-0.43","-2.51"
"33.633","-9.69","-2.31","-1.77"
"33.734","-9.22","-1.41","-1.06"
"33.835","-13.18","-2.08","-0.98"
"33.936","-13.30","-5.81","-2.24"
"34.037","-7.96","2.20","-5.77"
"34.138","-11.02","-2.47","-2.86"
"34.239","-7.69","1.14","-1.65"
"34.34","-9.06","0.00","-0.63"
"34.441","-10.90","-1.65","-0.20"
"34.542","-10.87","-2.47","1.41"
"34.643","-10.20","0.04","-4.67"
"34.744","-10.63","0.51","-1.92"
"34.845","-8.79","-0.94","-1.88"
"34.946","-9.69","-1.06","-0.63"
"35.047","-9.92","-0.20","-0.27"
"35.148","-12.28","-2.79","0.63"
"35.249","-13.10","-0.59","-4.24"
"35.35","-12.75","-1.02","-3.41"
