"NAME:","walk_3_1"
"EXPERIMENT TIME:","2023-06-09 16:45:05"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","90"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.051","1.61","-5.06","8.16"
"0.102","1.37","-5.14","8.55"
"0.153","1.37","-5.14","8.2"
"0.204","1.41","-5.33","8.83"
"0.255","1.18","-5.02","8.16"
"0.306","1.29","-5.14","8.32"
"0.357","1.45","-5.33","8.32"
"0.408","1.33","-5.14","8.32"
"0.459","1.61","-5.41","8.36"
"0.51","1.61","-5.33","8.24"
"0.561","1.41","-5.33","8.71"
"0.612","1.41","-5.33","8.47"
"0.663","1.33","-5.22","8.08"
"0.714","1.45","-5.26","8.43"
"0.765","1.57","-5.18","8.12"
"965.4465","1.69","-5.33","8.39"
"1.377","1.53","-5.26","8.51"
"1.428","1.57","-5.33","8.43"
"1.479","1.37","-5.06","8.16"
"1.53","1.61","-5.37","8.59"
"1.581","1.41","-5.18","8.2"
"1.632","1.49","-5.14","8.12"
"1.683","1.18","-5.06","8.51"
"974.626","1.1","-5.3","8.51"
"1.836","0.86","-5.06","8.36"
"1.887","0.51","-4.71","8.98"
"1.938","0.9","-5.02","9.22"
"1.989","1.06","-4.79","8.75"
"2.04","1.61","-5.45","8.59"
"2.091","1.8","-5.33","8.08"
"2.142","1.8","-4.63","7.77"
"2.193","1.69","-4.55","8.51"
"2.244","2.9","-6.12","9.14"
"2.295","2.43","-5.41","8.94"
"2.346","1.96","-4.28","7.45"
"2.397","1.8","-3.45","6.59"
"2.448","2.31","-4.9","8.51"
"2.499","2.04","-4.86","8.87"
"2.55","0.51","-5.3","12.08"
"2.601","2.12","-7.1","11.81"
"2.652","2.47","-5.61","9.34"
"2.703","1.57","-5.3","7.1"
"2.754","0.55","-6.2","8.59"
"2.805","2.39","-7.49","7.22"
"2.856","0.78","-7.14","8.2"
"2.907","-0.27","-5.26","8.0"
"2.958","-0.08","-3.61","6.43"
"3.009","0.51","-3.57","6.0"
"3.06","1.37","-4.12","6.71"
"3.111","1.45","-4.71","7.49"
"3.162","1.69","-5.1","8.71"
"3.213","1.33","-3.33","8.28"
"3.264","2.16","-5.65","10.98"
"3.315","1.92","-6.98","11.96"
"3.366","3.18","-8.08","11.14"
"3.417","1.92","-5.53","7.53"
"3.468","2.0","-7.1","9.69"
"3.519","1.96","-6.67","8.59"
"3.57","0.75","-4.2","5.88"
"3.621","0.43","-3.14","4.9"
"3.672","0.71","-3.61","5.57"
"3.723","0.59","-4.08","6.71"
"3.774","0.43","-4.9","8.32"
"3.825","0.12","-6.98","10.94"
"3.876","0.43","-7.41","10.2"
"3.927","2.67","-9.65","12.16"
"3.978","2.04","-6.55","8.43"
"4.029","-2.51","-3.8","8.59"
"4.08","0.35","-6.43","8.67"
"4.131","0.86","-4.71","6.59"
"4.182","1.29","-3.14","4.63"
"4.233","1.22","-2.55","5.3"
"4.284","0.82","-3.53","8.79"
"4.335","0.43","-4.24","11.53"
"4.386","3.88","-8.04","13.77"
"4.437","1.33","-5.18","10.47"
"4.488","2.39","-6.83","10.24"
"4.539","1.33","-4.98","6.47"
"4.59","0.27","-4.9","9.06"
"4.641","0.51","-5.53","8.12"
"1004.20575","0.0","-4.16","6.39"
"4.794","-0.2","-2.71","6.28"
"4.845","0.55","-4.98","8.32"
"4.896","1.18","-7.22","10.0"
"4.947","1.06","-7.88","10.75"
"4.998","2.28","-9.45","12.0"
"5.049","2.79","-8.28","9.14"
"5.1","-1.14","-4.43","7.37"
"5.151","0.0","-4.51","8.75"
"5.202","1.77","-4.51","6.12"
"5.253","1.33","-3.26","5.41"
"5.304","1.45","-3.1","5.1"
"5.355","1.53","-5.37","8.36"
"5.406","4.04","-8.75","10.83"
"5.457","0.59","-5.77","10.94"
"5.508","2.55","-7.45","10.28"
"5.559","3.3","-7.06","9.49"
"5.61","2.63","-5.77","6.47"
"5.661","2.51","-7.06","8.71"
"5.712","1.57","-5.41","7.26"
"5.763","0.63","-3.3","5.1"
"5.814","0.47","-2.71","5.73"
"5.865","-0.08","-3.1","6.35"
"5.916","0.59","-5.81","10.16"
"5.967","0.78","-7.65","9.69"
"6.018","0.16","-6.86","10.16"
"6.069","0.59","-7.37","11.1"
"6.12","2.24","-8.9","10.16"
"6.171","0.04","-5.18","6.83"
"6.222","-0.59","-4.2","8.0"
"6.273","1.77","-4.98","6.35"
"6.324","0.86","-2.43","4.75"
"6.375","-0.04","-1.1","4.67"
"1021.548","0.51","-5.02","9.18"
"7.395","0.04","-2.0","5.22"
"7.446","-0.08","-2.59","7.3"
"7.497","2.2","-5.96","10.0"
"7.548","2.04","-5.73","9.92"
"7.599","2.12","-7.1","11.57"
"7.65","1.61","-6.63","10.71"
"7.701","2.31","-7.02","10.24"
"7.752","1.65","-5.65","7.3"
"7.803","1.73","-6.12","7.85"
"7.854","1.02","-4.86","6.2"
"7.905","0.35","-3.73","5.61"
"7.956","-0.51","-2.59","6.0"
"8.007","-1.45","-2.63","8.12"
"8.058","1.37","-6.43","8.98"
"8.109","-0.24","-6.79","10.04"
"8.16","0.82","-7.53","9.77"
"8.211","2.2","-9.26","12.32"
"8.262","1.22","-6.98","9.49"
"8.415","-0.24","-2.63","5.26"
"8.466","0.59","-2.39","4.75"
"8.517","0.98","-2.94","5.69"
"8.568","2.12","-5.1","8.43"
"8.619","2.94","-6.9","10.0"
"8.67","0.55","-5.45","11.38"
"8.721","1.84","-6.86","11.3"
"8.772","2.59","-6.08","9.26"
"8.823","1.96","-5.26","6.16"
"8.874","1.8","-6.43","8.04"
"8.925","1.14","-5.65","6.9"
"8.976","0.78","-4.08","6.35"
"9.027","-0.43","-2.39","6.04"
"9.078","0.0","-3.96","8.12"
"9.129","0.51","-5.14","9.53"
"9.18","0.39","-7.37","10.71"
"9.231","0.86","-7.45","10.32"
"9.282","2.43","-9.14","11.53"
"9.333","0.39","-6.2","7.65"
"9.384","-2.47","-2.71","8.36"
"9.435","1.37","-5.22","7.73"
"9.486","0.35","-3.02","5.41"
"9.537","1.26","-2.9","5.18"
"9.588","1.06","-3.22","6.55"
"9.639","2.9","-6.16","9.96"
"9.69","2.31","-6.86","9.81"
"9.741","1.96","-8.12","12.55"
"1055.2064","1.88","-7.37","10.98"
"9.894","0.71","-5.06","7.81"
"9.945","1.49","-6.67","7.61"
"9.996","1.29","-4.98","6.83"
"10.047","-0.2","-2.86","5.41"
"10.098","0.12","-2.79","5.33"
"10.149","1.06","-4.51","8.36"
"10.2","0.67","-4.86","8.43"
"10.251","2.28","-8.71","11.18"
"10.302","2.51","-7.45","12.28"
"10.353","3.69","-8.04","9.02"
"10.404","0.63","-5.61","6.75"
"10.455","-0.43","-4.35","7.85"
"1062.3467","1.1","-5.26","7.49"
"10.608","1.02","-1.65","4.59"
"10.659","2.39","-2.98","6.86"
"10.71","3.96","-6.51","10.71"
"10.761","1.37","-6.0","11.73"
"10.812","2.43","-7.69","10.79"
"10.863","3.1","-5.02","8.32"
"10.914","4.2","-6.47","7.65"
"10.965","2.75","-6.55","8.24"
"11.016","2.08","-5.06","5.69"
"11.067","0.9","-4.43","7.85"
"11.118","1.14","-4.16","5.96"
"11.169","0.27","-3.18","6.9"
"1069.4858","-0.16","-4.55","8.71"
"11.322","0.9","-7.22","10.28"
"11.373","2.67","-8.94","11.38"
"11.424","1.18","-7.14","9.18"
"11.475","-1.22","-4.39","9.57"
"11.526","1.57","-6.39","7.77"
"11.577","0.12","-2.67","5.37"
"11.628","0.2","-1.29","3.57"
"11.679","0.0","-2.98","8.83"
"11.73","1.96","-5.1","11.38"
"11.781","1.02","-4.35","10.59"
"11.832","2.08","-5.41","10.67"
"11.883","2.94","-7.45","11.73"
"11.934","3.3","-7.61","9.65"
"11.985","0.82","-5.88","8.43"
"12.036","1.02","-6.16","8.04"
"12.087","0.51","-4.43","6.32"
"12.138","-0.24","-2.51","4.59"
"12.189","-1.14","-1.45","6.04"
"12.24","0.39","-3.57","8.36"
"12.291","-0.04","-4.24","8.98"
"12.342","0.47","-6.98","10.79"
"12.393","1.8","-8.32","12.12"
"12.444","1.65","-8.16","10.36"
"-106.35676","8.0","1194211.2","-6.04"
"13.371","1.22","-6.28","9.41"
"13.422","0.31","-4.86","8.75"
"13.473","3.06","-8.28","10.75"
"13.524","0.16","-5.77","8.16"
"13.575","-0.9","-4.79","8.98"
"13.626","0.16","-4.39","6.83"
"1094.0563","2.12","-5.45","8.2"
"13.779","1.02","-1.92","6.28"
"13.83","1.84","-3.61","7.92"
"13.881","1.8","-3.92","9.06"
"13.932","2.86","-6.28","11.3"
"13.983","1.84","-6.67","12.67"
"14.034","3.22","-7.49","10.83"
"14.085","0.94","-5.02","6.43"
"14.136","0.9","-5.06","7.26"
"14.187","0.94","-4.51","6.71"
"14.238","0.51","-4.31","7.06"
"14.289","0.2","-3.45","6.16"
"14.34","0.43","-4.12","7.49"
"14.391","-0.08","-4.98","9.14"
"14.442","0.55","-8.87","11.85"
"14.493","0.67","-8.55","11.14"
"14.544","2.67","-9.34","10.4"
"14.595","-1.41","-5.65","7.53"
"14.646","-0.98","-5.61","10.04"
"14.697","0.04","-4.16","6.35"
"14.748","-0.47","-1.73","4.59"
"14.799","-0.12","-1.53","5.57"
"14.85","1.33","-3.61","8.16"
"1106.2969","2.82","-5.92","10.16"
"15.003","2.35","-6.43","11.85"
"15.054","3.37","-7.26","10.36"
"15.105","2.86","-4.63","6.63"
"15.156","1.88","-6.2","9.45"
"15.207","1.06","-4.86","6.63"
"15.258","0.24","-3.65","5.1"
"15.309","0.0","-3.92","6.98"
"15.36","0.63","-5.1","7.96"
"15.411","1.37","-5.77","8.94"
"15.462","0.55","-4.75","8.87"
"15.513","2.24","-6.55","9.81"
"15.564","3.1","-7.3","11.77"
"1113.4355","3.06","-7.88","10.79"
"15.717","0.12","-5.1","8.04"
"15.768","1.45","-4.94","6.98"
"15.819","1.06","-2.67","5.3"
"15.87","0.16","-1.02","5.02"
"15.921","1.49","-4.08","8.55"
"15.972","2.94","-5.33","10.59"
"16.023","2.82","-6.79","11.69"
"16.074","2.04","-6.32","10.32"
"16.125","3.49","-6.9","9.69"
"16.176","2.2","-4.55","7.22"
"16.227","1.22","-5.14","8.63"
"16.278","1.69","-5.06","6.86"
"16.329","0.55","-3.37","6.12"
"16.38","0.94","-2.67","5.45"
"16.431","0.51","-3.3","7.88"
"16.482","2.24","-6.0","10.32"
"16.533","1.29","-7.41","11.3"
"16.584","0.55","-7.02","9.81"
"16.635","2.43","-9.26","11.57"
"16.686","1.96","-6.98","7.49"
"16.737","-1.73","-4.28","7.14"
"16.788","0.94","-5.92","8.9"
"16.839","0.35","-2.55","5.37"
"16.89","0.82","-2.63","5.73"
"16.941","0.98","-2.86","5.77"
"16.992","2.63","-6.0","9.81"
"17.043","2.0","-5.14","8.9"
"17.094","1.57","-6.59","12.0"
"17.145","2.55","-7.06","10.28"
"17.196","2.98","-5.73","8.75"
"17.247","2.35","-4.71","7.06"
"17.298","2.16","-7.06","9.81"
"17.349","1.8","-5.65","7.02"
"17.4","0.78","-2.98","4.9"
"17.451","0.75","-2.51","4.86"
"17.502","0.78","-3.49","6.43"
"17.553","2.04","-6.28","10.43"
"17.604","0.43","-6.24","10.83"
"17.655","1.33","-6.59","10.0"
"17.706","2.0","-8.2","11.53"
"17.757","1.73","-7.37","9.85"
"1135.3657","-0.43","-4.67","7.92"
"17.91","0.98","-4.08","6.67"
"17.961","1.06","-2.94","5.53"
"18.012","1.18","-3.06","6.0"
"18.063","2.2","-4.71","8.16"
"18.114","2.98","-5.69","9.26"
"18.165","1.88","-6.51","10.98"
"18.216","1.45","-6.59","10.43"
"18.267","2.28","-5.88","9.53"
"18.318","2.51","-5.92","7.77"
"18.369","1.69","-7.26","9.81"
"18.42","2.12","-6.51","7.14"
"1141.9958","0.08","-3.33","5.53"
"19.338","2.16","-7.22","10.32"
"19.389","2.79","-6.28","7.26"
"19.44","1.53","-6.39","8.51"
"19.491","1.1","-5.88","7.57"
"19.542","1.29","-4.94","7.18"
"19.593","0.47","-2.55","4.86"
"19.644","0.39","-2.55","5.45"
"19.695","0.63","-4.71","9.26"
"19.746","0.67","-6.32","9.65"
