NAME:,walk_2_1.csv,,
EXPERIMENT TIME:,18/06/2023 05:32,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS: ,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,9.81,-0.24,-0.43
0.071014404,9.69,-0.16,-0.35
0.14199829,9.65,-0.2,-0.2
0.2130127,9.69,-0.24,-0.16
0.28399658,9.45,-0.51,0.04
0.355011,9.77,-0.67,-0.16
0.42599487,9.14,-0.78,0.04
0.49700928,10.51,-1.53,-0.31
0.56799316,10.67,1.57,-1.18
0.63900757,10.2,0.55,-0.78
0.710022,9.53,-0.35,-0.98
0.78100586,9.38,-0.55,-1.45
0.85202026,8.98,0.04,-1.73
0.92300415,9.38,-0.51,-1.69
0.99401855,10.08,-0.98,-1.88
1.0650024,11.61,-1.1,-1.29
1.1360168,11.3,-1.1,0.16
1.2070007,12.94,-1.22,0.55
1.2780151,8.67,-3.8,1.77
1.348999,7.3,-2.08,1.8
1.4200134,9.18,-1.88,1.41
1.4909973,8,-0.16,0.43
1.5620117,8.71,-0.98,0.75
1.6329956,10.08,-0.55,-0.75
1.70401,8.16,0,-0.16
1.7749939,9.65,-0.63,-0.59
1.8460083,10.67,-0.63,-1.61
1.9169922,11.45,-0.31,-0.82
1.9880066,12.36,5.18,2.98
2.059021,8.47,-6,0.2
2.130005,9.1,-0.04,-0.55
2.2010193,8.59,-0.98,0.27
2.2720032,8.08,-1.33,-0.67
2.3430176,8.55,-0.78,-0.47
2.4140015,8.79,-0.98,-0.98
2.4850159,9.61,-1.41,-1.1
2.5559998,11.14,-1.26,-0.78
2.6270142,12.59,0.16,-0.94
2.697998,11.89,-3.14,3.22
2.7690125,6.2,-1.73,2
2.8399963,8.36,-3.3,0.59
2.9110107,8.51,-1.22,0.78
2.9819946,8.63,-1.18,-0.75
3.053009,8.94,-0.71,-0.16
3.123993,8.98,0.12,-0.98
3.1950073,9.73,0.47,-0.9
3.2660217,11.02,-0.2,-0.04
3.3370056,11.18,0.31,-1.84
3.40802,11.34,-0.98,2.28
3.479004,9.85,-6.2,2.31
3.5500183,10.51,0.67,1.29
3.6210022,8.24,-1.18,0.94
3.6920166,8.04,-1.41,-0.51
3.7630005,8,-1.26,-0.98
3.834015,8.75,-0.47,-1.61
3.9049988,9.41,-0.24,-2.04
3.9760132,11.34,-1.8,-2.59
4.046997,12.83,0.67,-1.1
4.1180115,9.96,-3.92,2.39
