"NAME:","walk_4_2.csv"
"EXPERIMENT TIME:","05/06/2023 12:30 "
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","88"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-3.06","1.37","-8.63"
"0.070007324","-2.51","0.16","-9.49"
"0.1499939","-2.43","0.63","-10.24"
"0.22000122","-3.53","1.10","-11.38"
"0.29000854","-2.51","0.35","-9.34"
"0.3600006","-1.69","1.53","-10.51"
"0.43000793","-3.30","3.06","-9.45"
"0.5","-4.16","4.79","-20.01"
"0.5700073","-1.26","2.28","-6.32"
"0.6399994","-5.10","5.45","-9.77"
"1.5700073","-1.77","4.39","-7.06"
"1.6399994","-5.14","5.18","-7.45"
"1.7100067","-1.49","-2.86","-5.77"
"1.7799988","-3.06","2.51","-11.77"
"1.8500061","-1.61","3.37","-14.28"
"1.9199982","-2.00","-0.78","-9.73"
"1.9900055","-2.82","1.69","-14.59"
"2.0599976","-5.26","3.33","-11.73"
"2.130005","-0.16","-1.57","-1.84"
"2.2100067","-5.26","13.06","-15.49"
"2.2799988","0.43","1.10","-4.67"
"2.350006","-3.88","9.34","-12.32"
"2.4199982","-5.30","2.04","-9.30"
"2.4900055","-4.47","6.67","-9.77"
"2.5599976","-2.59","4.86","-9.53"
"2.630005","-2.82","7.65","-11.41"
"2.699997","-3.26","9.81","-15.02"
"2.7700043","-1.61","4.59","-9.34"
"2.8399963","-3.45","9.49","-11.73"
"2.9199982","-0.39","4.47","-5.18"
"2.9900055","-2.12","4.86","-7.41"
"3.0599976","-2.28","4.94","-4.71"
"3.130005","-2.16","4.20","-8.08"
"3.199997","-3.22","-5.22","-11.30"
"3.2700043","-2.47","2.20","-13.93"
"3.3399963","-1.14","-3.53","-10.71"
"3.4100037","-5.02","8.28","-12.16"
"3.4799957","-4.94","7.69","-7.49"
"3.550003","-1.18","1.06","-5.81"
"3.619995","-4.20","8.51","-4.86"
"3.699997","-0.55","3.02","-13.30"
"3.7700043","-3.37","6.51","-4.98"
"3.8399963","-3.30","-0.82","-15.42"
"3.9100037","-4.75","2.86","-10.79"
"3.9799957","-2.90","5.49","-12.20"
"4.050003","-4.63","8.08","-11.22"
"4.119995","-2.00","5.37","-10.55"
"4.1900024","-20.01","-4.79","-20.01"
"4.2599945","-4.04","9.69","-15.89"
"4.3399963","-1.57","4.04","-1.18"
"4.4100037","-2.75","5.84","-9.89"
"4.4799957","-3.73","2.28","-4.86"
"4.550003","-1.49","-0.59","-14.04"
"4.619995","2.31","-2.75","-19.22"
"4.6900024","-1.84","0.12","-16.59"
"4.7599945","-1.37","0.78","-8.63"
"4.830002","-5.18","9.57","-12.98"
"4.899994","-2.39","3.84","-1.77"
"4.970001","-0.63","5.41","-17.73"
"5.0400085","-2.59","5.14","-3.73"
"5.119995","-2.12","2.12","-13.65"
"5.1900024","-7.73","5.06","-12.24"
