"NAME:","walk_1_1.csv"
"EXPERIMENT TIME:","2023/06/18 17:36"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","80"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-10.16","-1.61","-2.28"
"0.101","-10.12","-2.20","-1.49"
"0.202","-9.61","-1.06","-2.24"
"0.303","-10.63","-1.88","-2.00"
"0.404","-10.51","-2.00","-1.41"
"0.505","-10.90","-2.47","-1.10"
"0.606","-12.67","-2.16","-2.35"
"0.707","-9.49","0.00","-4.24"
"0.808","-12.43","-1.26","-3.18"
"0.909","-8.79","-0.08","-1.88"
"1.01","-10.20","0.04","-1.49"
"1.111","-9.53","-0.04","-1.10"
"1.212","-11.22","-0.04","-0.90"
"1.313","-12.00","0.78","-0.63"
"1.414","-10.16","0.39","-3.57"
"1.515","-10.87","0.31","-2.71"
"1.616","-7.73","-1.18","-2.55"
"1.717","-11.14","-0.43","-2.24"
"1.818","-10.24","-0.59","-1.73"
"1.919","-12.00","-1.53","-0.55"
"2.02","-12.55","-2.35","-2.35"
"2.121","-8.75","0.98","-3.30"
"2.222","-9.34","-0.55","-3.10"
"2.323","-8.83","1.10","-2.55"
"2.424","-10.08","-0.20","-1.33"
"2.525","-10.51","-0.24","-0.63"
"2.626","-11.85","-0.86","0.59"
"2.727","-9.06","0.43","-3.49"
"2.828","-15.10","0.82","-2.08"
"2.929","-6.51","-1.65","-2.31"
"3.03","-10.32","0.47","-1.22"
"3.131","-9.34","-2.04","-1.33"
"3.232","-12.04","-1.84","-0.16"
"3.333","-9.22","1.73","-4.79"
"3.434","-14.00","-2.55","-2.47"
"3.535","-6.55","0.47","-1.49"
"3.636","-10.20","-0.16","-1.33"
"3.737","-11.14","0.12","-0.59"
"3.838","-12.00","-0.12","1.61"
"3.939","-8.94","0.08","-4.59"
"4.04","-10.94","1.57","-2.39"
"4.141","-8.36","-1.49","-2.08"
"4.242","-9.34","-1.14","-0.63"
"4.343","-12.16","-1.41","-1.41"
"4.444","-12.98","0.51","-0.35"
"4.545","-7.81","2.31","-4.47"
"4.646","-11.69","-1.41","-3.73"
"4.747","-7.96","0.71","-1.61"
"4.848","-8.67","0.71","-0.90"
"4.949","-12.55","1.26","-1.84"
"5.05","-14.08","-0.43","-2.98"
"5.151","-7.81","-1.77","-4.47"
"5.252","-8.24","0.24","-3.10"
"5.353","-9.73","-1.77","-1.96"
"5.454","-8.79","0.00","-0.43"
"5.555","-13.26","-1.65","-0.67"
"5.656","-13.45","-1.80","-1.80"
"5.757","-9.41","1.02","-4.28"
"5.858","-8.04","-0.51","-2.75"
"5.959","-8.43","0.47","-1.02"
"6.06","-10.79","0.71","-0.16"
"6.161","-11.22","0.94","0.75"
"6.262","-12.98","2.67","-4.51"
"6.363","-11.77","0.55","-2.39"
"6.464","-6.94","0.16","-2.43"
"6.565","-11.38","-2.08","-1.69"
"6.666","-8.47","-0.78","-0.51"
"6.767","-12.28","-0.08","0.59"
