NAME:,walk_1_1,,
EXPERIMENT TIME:,Thu Jun 08 13:32:17 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,119,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
0,9.92,-1.57,-0.31
0.101,10.08,-2.39,-1.02
0.202,9.96,-2.59,-0.9
0.303,9.41,-2.94,-1.41
0.404,9.85,-3.22,-1.8
0.505,11.22,-4.04,-0.71
0.606,14.12,-1.14,-4
0.707,12.91,-2.43,-1.92
0.808,6.75,-0.27,0.04
0.909,4.94,-1.65,1.96
1.01,15.61,-4.51,0.39
1.111,17.57,0.39,0.51
1.212,10.83,-2.08,0
1.313,5.77,-0.24,-1.57
1.414,10.24,-5.22,0.04
1.515,12.63,-1.88,0.31
1.616,11.81,-1.37,-3.26
1.717,13.45,-2.9,-1.88
1.818,3.61,0.82,0.82
1.919,9.34,-2.55,1.18
2.02,15.61,0.39,1.1
2.121,5.73,-0.67,0.24
2.222,7.77,1.73,-0.55
2.323,7.85,-4,-1.49
2.424,12.04,-4.04,0.2
2.525,14.91,0.12,-4.43
2.626,14.79,-1.53,-1.06
2.727,3.22,-0.39,-0.12
2.828,7.85,-0.59,1.33
2.929,13.18,-3.92,4.47
3.03,11.34,0.47,-0.78
3.131,11.61,-1.22,-1.33
3.232,5.49,-4.04,-1.33
3.333,10.83,-2.94,-0.16
3.434,14.16,-1.96,-2.51
3.535,13.49,-2.08,-0.51
3.636,5.96,-2.94,-0.67
3.737,3.22,-0.82,0.94
3.838,17.5,-5.1,-0.08
3.939,17.97,-0.35,-2.47
4.04,9.06,-3.84,-1.37
4.141,5.1,-1.65,-1.33
4.242,10.04,-3.53,-0.9
4.343,10.55,-4.04,0.12
4.444,11.92,-1.33,-2.47
4.545,10.59,-3.88,-0.2
4.646,3.18,0.63,1.06
4.747,8.39,-1.88,1.06
4.848,14.98,-2.75,0.82
4.949,6.79,-0.51,0.16
5.05,7.02,2.39,-0.78
5.151,7.96,-4.82,-1.33
5.252,10.04,-2.51,0.08
5.353,15.49,-3.18,-4.67
5.454,14.59,-0.86,0.63
5.555,5.3,-1.92,-0.39
5.656,5.3,-1.22,1.22
5.757,19.26,-2.2,2.08
5.858,14,0.75,-1.26
1083.3461,9.85,-4.94,-1.14
6.161,10.79,-4.12,-1.29
6.262,11.26,-4.94,0.27
6.363,9.96,-1.88,-3.37
6.464,10.9,-3.14,-0.59
6.565,3.61,0.86,0.75
6.666,9.69,-2.12,0.67
6.767,12.87,-3.37,0.27
6.868,5.41,0.12,-1.22
6.969,7.41,1.57,-0.47
7.07,8.36,-3.69,-1.61
7.171,11.49,-3.3,0
7.272,16.48,-0.47,-3.26
7.373,14.71,-2.31,-0.04
7.474,4.79,-0.39,-0.71
7.575,4.43,-1.61,1.45
7.676,16.75,-3.33,1.14
7.777,12.55,0.63,-0.47
7.878,9.92,-3.02,-0.27
7.979,5.26,-2.51,-1.06
8.08,9.3,-3.73,-0.24
