"NAME: ","run_4_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:55:26"
"ACTIVITY TYPE: ","RUNNING"
"COUNT OF ACTUAL STEPS: ","160"

"Time[sec]","ACC X","ACC Y","ACC Z"
"0.0","1.22","3.02","7.92"
"0.1","1.45","1.80","7.73"
"0.2","1.37","1.53","8.16"
"0.3","1.88","1.45","8.28"
"0.4","2.59","0.63","5.84"
"0.5","2.35","0.08","5.96"
"0.6","1.18","1.14","8.94"
"0.7","0.90","4.16","12.20"
"0.8","0.08","3.53","9.81"
"0.9","0.00","2.94","3.30"
"1.0","1.26","2.71","4.82"
"1.1","1.53","2.20","8.67"
"1.2","3.80","1.65","13.22"
"1.3","1.77","0.31","7.69"
"1.4","1.10","-2.90","2.79"
"1.5","1.61","-0.12","6.55"
"1.6","1.88","5.18","15.22"
"1.7","1.69","5.02","11.61"
"1.8","1.49","2.00","0.16"
"1.9","0.67","-0.90","3.69"
"2.0","3.61","3.37","11.53"
"2.1","2.47","1.65","13.57"
"2.2","0.82","-1.73","2.75"
"2.3","1.69","-2.04","4.04"
"2.4","1.65","-1.49","13.65"
"2.5","2.39","2.47","13.18"
"2.6","-0.35","1.96","1.45"
"2.7","-0.47","2.39","6.04"
"2.8","4.86","0.94","11.53"
"2.9","3.14","-1.77","8.79"
"3.0","1.37","-4.86","2.86"
"3.1","2.82","-1.45","6.51"
"3.2","2.90","3.41","14.95"
"3.3","1.77","3.80","8.94"
"3.4","0.78","1.10","1.29"
"3.5","-0.47","1.18","5.45"
"3.6","2.71","5.14","17.46"
"3.7","4.90","1.61","10.32"
"3.8","1.49","-2.59","-1.29"
"3.9","2.51","-3.33","2.82"
"4.0","2.94","0.08","13.96"
"4.1","0.67","4.31","10.90"
"4.2","0.71","3.96","3.26"
"4.3","-0.94","3.18","7.73"
"4.4","2.43","0.59","12.47"
"4.5","3.92","-0.12","8.12"
"4.6","2.94","-4.71","4.16"
"4.7","3.26","-3.80","6.12"
"4.8","2.79","-0.51","16.63"
"4.9","2.71","2.35","7.61"
"5.0","-1.84","-1.57","1.49"
"5.1","2.16","2.39","6.83"
"5.2","4.31","7.37","15.93"
"5.3","3.49","-3.02","6.75"
"5.4","0.27","-6.79","-0.75"
"5.5","2.90","-9.65","6.90"
"5.6","3.45","5.02","16.79"
"5.7","0.00","1.96","4.98"
"5.8","-1.37","4.43","4.63"
"5.9","2.55","3.53","10.40"
"6.0","4.47","-3.92","9.02"
"6.1","3.33","-2.20","4.79"
"6.2","1.41","-4.63","0.43"
"6.3","-1.06","-4.00","16.75"
"6.4","-0.94","1.77","13.06"
"6.5","-2.12","0.78","4.24"
"6.6","0.98","1.88","5.73"
"6.7","3.26","2.47","20.01"
"6.8","2.28","-2.67","4.12"
"6.9","0.12","-4.16","-0.20"
"7.0","1.96","-4.82","10.67"
"7.1","3.22","2.55","19.30"
"7.2","-0.47","2.75","2.86"
"7.3","-0.55","4.79","2.86"
"7.4","1.29","2.08","8.94"
"7.5","3.96","-4.90","15.61"
"7.6","0.47","-4.67","2.63"
"7.7","1.57","-5.26","-1.49"
"7.8","3.49","-5.45","14.20"
"7.9","3.18","4.98","16.40"
"8.0","-0.98","5.06","1.49"
"8.1","-2.08","2.16","4.47"
"8.2","2.79","1.84","20.01"
"8.3","5.26","-3.37","10.51"
"8.4","0.35","-3.92","-2.00"
"8.5","2.55","-3.33","3.10"
"8.6","7.22","1.22","16.63"
"8.7","2.98","3.30","8.98"
"8.8","-3.65","3.69","-4.24"
"8.9","1.96","3.45","12.20"
"9.0","6.75","2.43","10.04"
"9.1","1.88","-5.22","5.69"
"9.2","-0.12","-5.14","-0.31"
"9.3","0.47","0.43","15.26"
"9.4","4.39","4.67","13.61"
"9.5","2.12","0.98","-0.27"
"9.6","-3.77","3.96","8.20"
"9.7","3.26","2.79","14.40"
"9.8","1.92","-2.24","6.98"
"9.9","1.10","-2.35","-1.18"
"10.0","-1.57","5.14","10.43"
"10.1","4.35","6.24","18.55"
"10.2","1.41","0.86","4.51"
"10.3","-0.16","0.98","0.98"
"10.4","3.37","2.16","12.91"
"10.5","6.16","0.59","8.24"
"10.6","2.82","-2.00","0.59"
"10.7","-0.12","-3.96","0.20"
"10.8","8.87","2.24","17.73"
"10.9","5.73","4.59","9.85"
"11.0","-0.82","1.29","1.49"
"11.1","1.10","3.41","6.71"
"11.2","1.77","3.88","17.18"
"11.3","3.92","-0.12","6.08"
"11.4","1.65","-0.08","0.78"
"11.5","4.79","-1.41","6.24"
"11.6","3.18","1.92","19.89"
"11.7","0.35","4.24","9.18"
"11.8","-3.33","5.06","-0.94"
"11.9","-2.31","5.73","7.65"
"12.0","5.88","0.86","17.26"
"12.1","3.69","-0.27","2.71"
"12.2","2.24","-4.47","0.90"
"12.3","8.55","-1.33","15.77"
"12.4","2.98","2.28","10.55"
"12.5","-0.31","4.86","5.96"
"12.6","-2.43","3.18","1.26"
"12.7","2.71","2.79","20.01"
"12.8","4.71","-3.88","12.59"
"12.9","3.06","-4.24","-0.86"
"13.0","2.86","-6.35","3.57"
"13.1","3.80","2.08","16.87"
"13.2","4.20","1.49","7.88"
"13.3","-0.04","1.41","0.47"
"13.4","-0.27","2.28","5.96"
"13.5","4.94","1.18","15.02"
"13.6","4.86","-0.82","3.37"
"13.7","2.31","-3.84","0.35"
"13.8","6.35","-3.73","11.61"
"13.9","5.06","3.69","13.30"
"14.0","1.10","5.14","2.79"
"14.1","-0.71","0.67","3.18"
"14.2","5.69","-2.24","18.24"
"14.3","6.39","-3.49","10.08"
"14.4","3.10","-1.73","-0.63"
"14.5","3.18","-3.88","2.04"
"14.6","5.69","0.12","15.89"
"14.7","2.12","3.37","7.06"
"14.8","0.47","3.14","1.37"
"14.9","2.20","2.86","6.55"
"15.0","4.43","-1.84","11.49"
"15.1","4.59","-1.33","4.51"
"15.2","4.98","-1.14","4.63"
"15.3","1.37","-0.35","11.22"
"15.4","4.16","2.63","10.67"
"15.5","-1.18","1.73","0.75"
"15.6","1.06","3.77","8.28"
"15.7","2.31","4.94","15.97"
"15.8","2.59","0.24","6.55"
"15.9","2.39","-4.94","0.59"
"16.0","3.10","-4.24","11.14"
"16.1","2.79","1.37","14.59"
"16.2","0.59","3.18","4.20"
"16.3","1.92","1.77","5.77"
"16.4","5.26","2.08","15.81"
"16.5","3.14","-1.69","6.59"
