NAME:,elon0,,
EXPERIMENT TIME:,Thu Jun 01 12:05:19 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,95,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
14.52906906,-5.26,6.2,-1.69
14.58778931,-8.83,10.79,-4.16
14.73039565,-8.51,8.9,0.63
14.79750451,-3.84,1.22,-2.51
14.86461338,-13.34,8.43,-3.3
14.91494502,-7.88,3.88,-2.86
14.9904425,-5.26,3.41,-2.12
15.07432858,-7.45,3.18,1.49
15.15821466,-16.91,11.45,5.22
15.25887795,-19.89,10.24,0.55
15.3092096,-3.45,1.8,-4.47
15.40148429,-11.81,5.3,-3.41
15.48537037,-8.2,6.83,-4
15.56925645,-4.55,6.2,-1.14
15.64475392,-7.18,5.02,0
15.77897165,-15.38,14.16,-3.26
15.84608051,-14.44,11.92,-7.14
15.89641216,-5.65,7.41,-0.39
15.98029824,-8.59,5.33,-2.82
16.06418432,-7.34,3.57,-2.98
16.12290458,-7.18,2.86,-0.43
16.21517926,-8.43,5.3,-0.12
16.29906534,-11.34,5.26,1.77
16.37456282,-8.32,4.12,-6.04
16.4584489,-11.06,8.51,-0.78
16.58427802,-5.33,3.06,-1.41
16.65138688,-5.73,5.88,-2.35
16.71849574,-5.06,7.1,-1.84
16.78560461,-8.16,5.96,-1.33
16.86949069,-12.55,7.92,1.41
16.95337677,-12.55,6.75,-8.16
17.96839834,-6.79,13.34,0.43
18.46332621,-4.9,4.55,-1.33
18.95825408,-5.88,3.49,-2.35
18.96664269,-7.45,2.63,-1.06
18.9834199,-10.32,6.67,-14.16
19.46157056,-16.71,12.63,3.45
19.96488704,-18.55,7.81,-0.82
20.45981491,-2.31,2.47,-5.37
20.46820352,-11.69,5.65,-11.26
20.47659213,-7.53,3.26,1.1
20.49336934,-15.89,9.41,4.79
20.50175795,-20.01,8.71,-3.69
20.50175795,-6.16,2.86,-12.95
20.51853517,-7.41,4.28,-2.12
20.59403264,-5.61,2.67,-1.02
20.67791872,-8.71,4.9,-0.78
20.74502758,-10.2,4.79,1.02
20.82891366,-6.35,6.35,-6.04
20.91279974,-14.28,8.51,-2.35
21.00507443,-4.24,3.73,-1.1
21.08896051,-4.71,5.41,-1.84
21.14768077,-4.94,6.83,-2
21.23995546,-9.02,8.75,-3.61
21.32384154,-3.26,9.61,-1.61
21.3909504,-6.9,3.65,-1.65
21.53355674,-13.57,7.92,-2.9
21.59227699,-5.92,5.49,-2.71
21.65938586,-5.73,2.39,-0.51
21.7097175,-6.04,2.35,0.39
21.80199219,-18.01,12.08,5.77
21.88587827,-19.73,9.73,-0.24
21.96976435,-2.08,0.59,-5.22
22.06203904,-13.65,5.92,-3.26
22.13753651,-6.75,7.26,-3.3
22.20464538,-4.12,5.77,-1.02
22.3304745,-6.08,5.81,-0.2
22.39758336,-12.47,14.36,-3.41
22.46469222,-11.02,14.4,-5.26
22.53180109,-5.69,3.73,-1.88
22.61568717,-10.71,6.32,-3.3
22.69118464,-6.98,4.04,-2.9
22.77507072,-6.35,3.18,-0.75
22.8589568,-7.53,3.37,-0.2
22.95123149,-15.1,8.36,1.96
23.01834035,-15.53,7.14,-1.26
23.10222643,-5.69,4.86,-1.49
23.19450112,-9.49,5.3,-2.71
23.29516442,-7.1,6.71,-2.79
23.36227328,-4.24,5.53,-1.73
23.42938214,-5.81,5.92,-0.43
23.49649101,-12.4,12.94,-2.55
23.5971543,-7.96,12.12,-2.43
23.66426317,-5.18,3.02,-2.75
23.74814925,-12.16,7.18,-3.53
23.83203533,-5.22,5.57,-1.37
23.92431002,-5.77,2.79,-1.26
23.99980749,-6.55,3.37,0.31
24.06691635,-16.12,11.26,4.16
24.15080243,-20.01,9.61,-2.9
24.25146573,-6.98,3.69,-1.41
24.31857459,-9.57,5.06,-2.79
24.38568346,-7.61,6.79,-2.98
24.51990118,-4.16,6.32,-1.57
24.55345562,-6.9,5.22,-0.16
24.6373417,-12.08,13.02,-3.02
24.72122778,-10.08,14.95,-5.1
24.80511386,-5.53,3.26,-2.67
24.89738854,-10.83,6.12,-3.45
24.94772019,-7.37,4.39,-2.31
25.03160627,-5.88,3.1,-0.98
25.12388096,-6.75,3.06,0.24
25.19937843,-16,11.41,2.86
25.34198477,-13.38,8.36,0.9
25.40909363,0.59,2.2,-6.86
25.45942528,-13.85,7.3,-4.86
25.94596454,-6.63,6.98,-2.75
26.44928102,-4.16,4.79,-2.12
26.46605824,-6,5.14,-1.65
26.46605824,-10.59,11.02,-2.55
26.47444685,-5.1,9.38,-6
26.49122406,-1.88,2.59,-2.9
26.57511014,-12.98,6.67,-3.37
26.65899622,-7.57,6.98,-3.45
26.75127091,-3.8,5.92,-1.88
26.83515699,-5.92,5.77,-0.78
26.91904307,-10.2,10,-3.06
26.98615194,-5.88,12.2,-1.84
27.06164941,-8,2.08,-5.81
27.20425574,-11.14,8.28,-0.78
27.262976,-6,5.1,-1.53
27.33008486,-7.14,3.57,-1.69
27.38880512,-7.77,3.69,-1.45
27.4726912,-8.79,5.22,-2.28
27.55657728,-9.69,6.16,0.78
27.64046336,-14.47,4.79,-6.9
27.70757222,-6.2,6.39,-1.8
27.7914583,-8.08,7.02,-4.2
27.90051021,-7.14,6.51,-2.67
27.97600768,-5.77,6.2,-2.63
28.07667098,-7.3,6.16,-1.84
28.13539123,-9.3,5.45,-0.98
28.2108887,-6.71,9.49,-0.39
28.26960896,-10.24,7.26,-8.67
28.36188365,-7.81,8,-1.18
28.46254694,-4.24,5.33,-3.06
28.54643302,-8.75,4.63,-3.02
28.59676467,-8.94,5.69,-3.1
28.68903936,-9.18,4.31,-1.69
28.77292544,-8.47,6.79,-0.59
28.85681152,-8.24,6.43,0.47
28.94908621,-10.67,5.61,0.31
29.0413609,-7.65,3.61,-7.3
29.11685837,-10.59,11.06,-1.1
29.18396723,-7.57,4.59,-2.82
29.2510761,-6.2,6.39,-2.28
29.35173939,-4.39,5.96,-2.67
29.41045965,-9.1,7.37,-2.86
29.50273434,-7.57,13.38,-3.65
29.58662042,-6.51,7.02,-6.28
29.6705065,-7.92,6.67,-3.02
29.75439258,-7.06,6,-3.22
29.81311283,-7.57,4.35,-3.1
29.91377613,-8.79,3.26,-0.98
30.00605082,-6.2,3.49,0.12
30.07315968,-14.2,9.69,1.49
30.14026854,-20.01,8.39,-2.67
30.23254323,-1.37,0.9,-5.3
30.32481792,-12.55,4.43,-2.79
30.39192678,-7.26,7.53,-3.45
30.48420147,-4.35,5.96,-1.53
30.56808755,-5.18,5.33,-0.35
30.62680781,-11.18,12.36,-1.53
30.71069389,-7.65,13.45,-1.18
30.79457997,-5.02,1.96,-3.73
30.87846605,-11.96,6.79,-3.61
30.95396352,-7.22,4.35,-1.26
31.02946099,-5.3,3.3,-0.51
31.16367872,-7.57,2.63,0.98
31.21401037,-14.79,11.57,1.77
31.27273062,-15.85,7.37,1.22
31.3566167,1.45,0.67,-6.28
31.44050278,-14.44,6.04,-6.43
31.93543066,-6,7.81,-2.16
32.44713574,-4.16,5.33,-1.22
32.47230157,-5.77,6.55,-0.94
32.47230157,-10.04,9.49,-2.51
32.48907878,-5.18,9.49,0.78
32.48907878,-1.61,6.47,-5.33
32.57296486,-15.85,7.73,-4.86
32.64846234,-5.02,5.61,0.35
32.74073702,-4.55,5.37,-1.8
32.86656614,-5.14,7.37,-1.61
32.93367501,-10.12,8.12,-2.67
33.00078387,-6.2,10.4,-0.31
33.06789274,-6.16,3.26,-5.73
33.1350016,-12.4,11.69,-0.31
33.21888768,-6.32,4.39,-1.65
33.30277376,-4.94,3.61,-1.18
33.38665984,-7.61,2.75,0.27
33.47893453,-12.83,12.79,-1.96
33.56282061,-8.24,2.9,3.02
33.62154086,-7.22,8.9,-3.14
33.70542694,-12.47,9.3,0.86
33.83964467,-4.94,4.86,0.08
33.89836493,-5.61,4.98,-2.04
33.96547379,-4.94,6.79,-1.49
34.02419405,-9.38,7.02,-2.86
34.10808013,-8.51,9.18,-0.35
34.20035482,-5.26,3.06,-5.37
34.2926295,-12.36,11.77,-1.49
34.35134976,-6.39,4.75,-1.88
34.43523584,-5.69,3.26,-0.59
34.53589914,-7.14,3.02,-0.04
34.59461939,-11.61,9.73,-2.39
34.67850547,-14.08,7.3,-0.08
34.77916877,-0.78,1.73,-5.41
34.84627763,-14.67,5.37,-5.77
34.9133865,-5.84,7.06,-2.08
34.99727258,-3.84,4.98,-1.18
35.08954726,-5.77,6.63,-1.49
35.15665613,-10.55,8.55,-3.57
35.24054221,-5.65,11.92,-0.31
35.32442829,-7.57,2.94,-2.98
35.41670298,-11.85,8.83,-1.84
35.50058906,-6.08,5.49,-1.22
35.58447514,-5.26,3.14,-0.82
35.64319539,-7.77,2.47,0.98
35.74385869,-13.73,13.38,1.22
35.82774477,-14.75,6.63,1.92
35.89485363,-1.45,3.3,-8.08
35.98712832,-15.06,7.14,-6.63
36.06262579,-4.98,6.12,-0.78
36.12973466,-3.8,5.06,-1.92
36.21362074,-5.81,6.51,-2.04
36.29750682,-10,9.45,-0.9
36.3813929,-5.02,11.96,-1.37
36.45689037,-6.32,3.77,-3.96
36.54077645,-12.55,8.79,-2.28
36.63305114,-5.1,5.02,-2.12
36.70016,-5.65,3.1,-0.98
36.83437773,-7.49,2.51,-0.2
36.90148659,-13.42,11.49,0.47
36.96020685,-9.77,5.1,2.98
37.04409293,-2.43,3.96,-6.28
37.10281318,-14.63,8.2,-4.86
37.20347648,-4.9,5.26,-0.35
37.28736256,-4.43,5.69,-1.53
37.36286003,-4.94,6.9,-1.8
37.4383575,-11.61,7.41,-1.45
37.90811955,-3.3,12.79,-1.45
38.41982464,-8.08,3.18,-6.04
38.42821325,-10.79,11.18,-0.24
38.9063639,-5.77,4.9,-0.82
38.93152973,-5.88,3.57,-8.47
39.40968038,-5.22,6.35,-2.59
39.91299686,-11.06,6.9,-3.57
39.91299686,-6.43,10.2,-1.1
39.92138547,-6.9,3.65,-17.33
40.40792474,-4.55,6.24,-0.43
40.91124122,-3.53,5.65,-1.73
40.92801843,-5.45,6.86,-1.61
40.92801843,-8.87,7.96,-9.65
40.94479565,-1.14,5.73,-5.69
40.94479565,-14.59,7.26,-5.88
40.94479565,-4.79,5.65,-0.47
40.94479565,-4.16,5.84,-6.9
40.9951273,-6.83,2.86,-6.59
41.09579059,-12.55,10.71,0.04
41.14612224,-6.08,5.06,-1.8
41.23839693,-6,3.02,-1.22
41.32228301,-6.94,2.94,0.16
41.40616909,-10.43,7.3,-3.45
41.49005517,-9.69,3.06,0.31
41.6326615,-3.88,5.69,-4.12
41.69977037,-13.89,10.04,-3.22
41.7333248,-5.73,4.71,-0.82
41.81721088,-4.67,5.92,-1.22
41.90109696,-5.53,6.35,-1.53
41.96820582,-8.39,7.14,-3.8
42.0520919,-7.73,5.73,2.82
42.13597798,-14.04,11.18,-7.53
42.21986406,-6.59,6.71,-0.39
42.29536154,-8.12,5.53,-1.06
42.3624704,-8.79,4.94,-2.75
42.50507674,-6.39,2.94,-0.94
42.58057421,-7.45,3.65,-0.08
42.63929446,-12.24,5.1,1.73
42.69801472,-15.69,3.88,-6.9
42.7819008,-6.63,6.28,0.9
42.86578688,-8.2,3.45,-2.75
42.94128435,-7.06,6.43,-2.9
43.02517043,-5.1,6.67,-1.1
43.10905651,-7.65,6.04,-0.94
43.2013312,-11.65,10.94,-1.26
43.27682867,-13.34,12.08,-7.65
43.40265779,-5.65,8.32,-0.12
43.46976666,-7.73,5.92,-1.57
43.53687552,-7.1,3.65,-3.18
43.59559578,-7.02,3.33,-0.55
43.67948186,-7.73,3.41,-0.27
43.76336794,-11.49,6.86,2.94
43.84725402,-17.93,5.18,-5.41
43.91436288,-6.39,5.1,1.49
43.99824896,-8.75,2.79,-2.55
44.08213504,-6.83,7.14,-2.9
44.17440973,-4.94,6.94,-1.1
44.24151859,-7.45,6.04,-1.1
44.3589591,-12.12,10.67,-1.26
44.41767936,-12.98,8.98,-9.38
44.48478822,-7.3,10.9,-0.63
44.55189709,-6.2,4.82,-1.33
44.63578317,-7.22,4.04,-2.55
44.71966925,-7.41,3.1,-0.82
44.80355533,-8.39,4.47,-1.61
44.89583002,-10.2,7.45,0.31
44.97132749,-13.02,5.49,-4.51
45.05521357,-9.18,6.63,2.31
45.14748826,-7.41,2.86,-1.92
45.1978199,-7.45,6.35,-3.18
45.33203763,-5.26,7.57,-1.49
45.39075789,-7.37,5.33,-1.37
45.45786675,-12.71,10.04,-0.82
45.52497562,-14.36,9.69,-9.18
45.6172503,-7.77,9.38,0.9
45.70113638,-5.02,5.37,-0.35
45.81018829,-7.22,4.12,-1.84
45.86051994,-7.57,3.65,-0.59
45.93601741,-7.69,3.84,-1.02
46.39739085,-10.04,9.18,0.16
46.90909594,-10.94,4.55,-4.16
46.90909594,-10.98,8,2.35
46.91748454,-5.84,3.49,-1.1
46.93426176,-6.63,6.08,-7.69
46.94265037,-7.41,3.77,-1.92
46.99298202,-6.86,2.79,-0.94
47.09364531,-9.3,6.32,-1.61
47.15236557,-10.08,5.53,0.82
47.22786304,-7.96,5.77,-7.53
47.36208077,-12.59,9.81,-2.16
47.42918963,-4,3.73,-0.71
47.47952128,-4.24,5.57,-1.45
47.55501875,-5.14,6.55,-1.14
47.64729344,-10.4,7.65,-4.16
47.73117952,-3.84,9.65,-1.45
47.8150656,-6.83,3.49,-2.28
47.88217446,-12.75,9.77,-2.28
47.96606054,-6.35,4.63,-2.35
48.04994662,-4.71,3.22,-1.02
48.18416435,-7.22,2.94,0.86
48.24288461,-16.44,13.1,3.77
48.30999347,-16.36,9.3,0.67
48.37710234,-3.69,2.51,-3.45
48.45259981,-12.67,5.26,-3.49
48.53648589,-7.49,7.53,-2.71
48.62876058,-3.57,4.9,-2.12
48.68748083,-6.59,6.39,-0.31
48.77136691,-10.63,13.57,-1.92
48.84686438,-8.98,14.98,-5.57
48.93075046,-5.73,4.16,-2.71
49.01463654,-10.59,6.86,-4.39
49.14885427,-8.47,3.37,-2.28
49.20757453,-5.22,2.9,-1.1
49.283072,-7.96,3.1,0.55
49.35018086,-12.87,7.65,2.39
49.42567834,-20.01,6.12,-6.2
49.4927872,-6.24,4.04,0.55
49.57667328,-8.55,3.14,-2.79
49.67733658,-7.92,7.02,-3.73
49.76122266,-4.98,6.67,-1.02
49.82833152,-6.67,5.53,-1.22
49.90382899,-12.55,11.85,-2.08
49.99610368,-12.67,14.16,-7.77
50.10515558,-6.12,6.71,-2.08
50.16387584,-8,5.92,-2.43
50.2309847,-7.88,4.16,-2.86
50.331648,-5.92,3.14,-0.98
50.39036826,-7.81,3.92,0
50.47425434,-12.51,5.77,2.67
50.55814042,-19.85,7.41,-6.63
50.6504151,-5.02,3.65,0.08
50.72591258,-8.94,3.14,-1.53
50.79302144,-7.3,6.98,-3.02
50.87690752,-4.86,6,-2.39
50.9607936,-8.87,6.16,-0.9
51.0614569,-13.69,10.59,-1.8
51.12856576,-12.2,11.34,-8.59
51.19567462,-5.81,6.51,-1.49
51.30472653,-7.77,5.96,-2.86
51.380224,-7.77,4.31,-3.18
51.43894426,-7.14,3.65,-1.37
51.53960755,-8.94,4.47,-0.47
51.62349363,-10.67,6.28,1.33
51.70737971,-11.73,5.45,-6.47
51.76609997,-10.63,8.43,1.14
51.84998605,-8.28,2.16,-2.43
52.38685696,-7.88,6.67,-3.14
52.87339622,-5.06,7.1,-1.41
52.89856205,-7.85,5.26,-1.26
52.89856205,-13.18,10.71,-1.57
52.90695066,-13.14,10.43,-17.45
52.90695066,-3.77,3.18,-2.16
53.04116838,-10.67,4.82,-3.18
53.10827725,-6.86,7.14,-2.98
53.17538611,-4.59,6.39,-1.37
53.21732915,-6.47,5.84,-0.55
53.30121523,-9.92,11.34,-2.39
53.39348992,-4.94,10.67,-2.55
53.49415322,-7.45,3.53,-3.18
53.55287347,-11.77,7.77,-2.63
53.63675955,-6.59,5.14,-1.96
53.72064563,-6,3.3,-1.29
53.80453171,-7.26,3.14,-0.67
