"NAME:","walk_1_1"
"EXPERIMENT TIME:","2023-06-09 16:41:40"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","70"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.051","3.3","-3.14","8.51"
"0.102","3.73","-3.3","8.98"
"0.153","3.3","-3.1","8.79"
"0.204","3.49","-3.49","9.41"
"0.255","3.37","-3.26","8.87"
"0.306","3.49","-3.41","8.9"
"0.357","3.26","-3.57","8.83"
"0.408","3.41","-3.49","8.94"
"0.459","3.22","-3.26","8.71"
"0.51","3.22","-3.14","8.59"
"0.561","3.53","-3.1","8.24"
"0.612","4.16","-3.37","8.39"
"0.663","3.88","-2.82","7.18"
"0.714","2.39","-2.63","7.37"
"0.765","2.86","-3.73","10.43"
"0.816","3.96","-4.16","10.24"
"0.867","3.1","-3.69","10.24"
"0.918","2.98","-4.04","10.12"
"0.969","3.1","-4.63","9.92"
"1.02","1.49","-2.86","7.41"
"1.071","2.2","-3.92","10.2"
"1.122","1.57","-2.59","8.75"
"1.173","2.24","-2.0","7.85"
"1.224","2.94","-2.16","8.16"
"1.275","2.47","-2.47","10.59"
"1.326","3.73","-2.31","9.06"
"1.377","3.22","-1.53","8.94"
"1.428","3.92","-2.86","9.41"
"1.479","4.86","-3.41","10.12"
"1.53","3.92","-3.84","10.79"
"1.581","4.16","-3.65","9.96"
"482.99158","2.9","-3.49","9.49"
"1.734","3.8","-4.51","9.53"
"1.785","3.22","-3.49","7.14"
"1.836","1.69","-1.92","6.0"
"1.887","2.79","-2.28","6.43"
"1.938","1.92","-1.77","7.1"
"1.989","3.65","-3.14","8.71"
"2.04","2.43","-4.2","11.65"
"2.091","3.61","-4.35","11.38"
"2.142","3.84","-5.3","12.28"
"2.193","2.9","-3.53","9.1"
"2.244","2.67","-4.2","10.79"
"2.295","3.26","-3.8","8.47"
"2.346","2.79","-1.65","5.77"
"2.397","2.24","-0.9","5.65"
"2.448","2.43","-0.71","5.57"
"2.499","3.41","-1.57","8.2"
"2.55","5.14","-3.1","10.2"
"2.601","5.49","-4.43","12.0"
"2.652","4.98","-4.24","9.81"
"2.703","5.06","-3.06","7.26"
"2.754","4.59","-5.57","12.08"
"2.805","2.0","-3.61","6.94"
"2.856","2.0","-2.08","4.51"
"2.907","3.1","-3.57","7.57"
"2.958","3.69","-3.92","7.53"
"3.009","4.24","-4.82","9.85"
"3.06","4.12","-4.39","8.55"
"3.111","4.47","-4.82","11.06"
"3.162","5.22","-4.51","10.36"
"3.213","5.33","-6.2","10.71"
"3.264","3.53","-4.75","8.36"
"3.315","2.28","-3.14","7.57"
"3.366","3.33","-2.9","6.83"
"3.417","4.31","-2.59","5.84"
"3.468","3.61","-1.65","5.02"
"501.86288","5.02","-2.47","6.12"
"4.284","7.85","-6.79","10.2"
"4.335","2.35","-4.67","8.79"
"4.386","2.12","-2.59","7.53"
"511.04132","2.82","-4.67","7.85"
"4.539","2.51","-1.84","6.04"
"4.59","3.26","-1.77","6.08"
"4.641","4.75","-2.9","9.3"
"4.692","4.98","-3.8","9.3"
"4.743","5.84","-5.26","11.81"
"4.794","6.08","-5.41","10.24"
"4.845","4.08","-4.59","9.3"
"4.896","3.65","-4.39","8.71"
"4.947","1.33","-3.53","5.65"
"4.998","4.16","-3.65","6.47"
"5.049","1.77","-2.0","6.39"
"5.1","2.59","-1.69","5.73"
"518.1813","4.98","-3.73","9.02"
"5.253","0.59","-3.26","11.22"
