NAME:,run_5_1,,
EXPERIMENT TIME:,Thu Jun 08 16:01:49 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,169,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
0,10.12,-6.08,-2.63
0.101,4.04,-0.12,0.27
0.202,20.01,-9.1,0.63
0.303,10.04,-8.24,0.55
0.404,-4.79,8.39,4.63
0.505,17.34,-0.31,4
0.606,11.1,-2.9,5.96
0.707,10.2,-1.96,-5.37
0.808,-1.65,4.94,-0.24
0.909,20.01,-7.53,-4.59
1.01,13.02,-12,5.18
1.111,-6.24,0.31,-2.51
1.212,3.73,-4.94,2.59
1.313,10.4,-9.85,4.47
1.414,14.4,2.35,-8.28
1.515,2.28,-2.35,4.43
1.616,14.12,-1.92,3.18
1.717,5.18,-2.47,1.8
1.818,-4.43,1.22,-1.06
1.919,-1.29,-13.57,2.75
2.02,14.2,-12.94,0.98
2.121,4.39,7.88,-1.96
2.222,20.01,-19.85,-0.39
2.323,8.16,-11.92,4.47
2.424,-3.49,9.02,-8.16
2.525,20.01,1.65,9.77
2.626,9.26,-2.59,5.69
2.727,9.69,3.45,-5.53
2.828,10.36,-1.88,-3.41
2.929,13.26,-5.49,-2.79
3.03,3.57,-2.79,3.37
3.131,1.33,1.88,2.59
3.232,2.35,-6,7.41
3.333,4,-12.63,-0.63
3.434,1.57,4.79,-2.43
3.535,20.01,-8.24,-0.75
3.636,7.06,-14.79,2.12
3.737,2.71,4.94,-3.37
3.838,20.01,-0.94,-20.01
3.939,3.8,-1.69,4.39
4.04,6.59,-14.32,-0.63
4.141,-0.67,2.67,0.35
4.242,20.01,-5.22,-1.69
4.343,19.85,-12.08,5.81
4.444,-7.81,6.35,-0.24
4.545,20.01,-8.2,1.45
4.646,5.53,-7.1,6.71
4.747,14.12,2.31,-8
4.848,1.73,6.32,-2.55
4.949,20.01,-1.53,-6.04
5.05,7.61,-5.18,3.3
5.151,-5.06,3.33,-1.45
5.252,11.81,-6.67,0.43
5.353,11.3,-10.36,5.96
5.454,14.04,5.1,-6.86
5.555,2.82,3.18,-1.14
5.656,20.01,-7.3,-4.12
5.757,7.73,-3.53,2.55
5.858,-0.59,4.08,-1.06
5.959,6.47,-14.87,5.02
6.06,12.08,-20.01,0.63
6.161,7.45,7.53,-4.28
6.262,19.85,-4.59,-7.65
6.363,10.98,-6.67,2.59
6.464,-5.37,2.04,-1.06
6.565,15.34,10.59,-4.75
6.666,1.73,-8.43,7.3
6.767,11.57,-11.57,-1.22
6.868,-0.24,2.55,-3.65
6.969,20.01,-8.51,-6
7.07,10.67,-15.77,3.33
7.171,-4.2,7.96,-2.59
7.272,20.01,-0.71,20.01
7.373,10.04,1.41,4.08
7.474,8.9,-9.85,-0.55
7.575,1.53,2.28,-4.75
7.676,20.01,-4.2,-4.35
7.777,8.16,-11.92,5.61
7.878,-5.96,5.26,-6.28
7.979,-1.53,-20.01,2.39
8.08,15.26,-12.47,3.96
8.181,6.24,4.86,-5.96
8.282,7.65,1.96,-3.96
8.383,11.26,-7.88,-0.24
8.484,8.67,-1.29,1.96
8.585,-3.18,6.16,-4.04
8.686,-0.98,-10.51,3.77
8.787,9.65,-19.97,2.39
8.888,6.55,5.92,-1.1
8.989,11.77,-0.78,-0.16
9.09,17.26,-4.35,3.02
9.191,0.31,-2.82,-0.24
9.292,8.79,10.75,-15.46
9.393,1.92,-2.9,5.73
9.494,13.85,-18.24,-1.65
9.595,2.16,5.41,-3.18
9.696,18.99,-19.14,-0.12
9.797,16.71,-3.26,4.04
9.898,-2.71,7.06,-0.67
9.999,9.85,-1.29,13.06
10.1,8.79,2.16,1.61
10.201,1.53,-13.02,-1.29
10.302,2.63,3.49,-0.94
10.403,20.01,-14.59,-12.59
10.504,18.95,-18.63,5.06
10.605,-4.16,3.22,0.9
10.706,20.01,-1.45,-0.47
10.807,4.04,1.53,6.35
10.908,6.94,-14.75,-0.2
11.009,-0.94,4.08,1.45
11.11,20.01,-20.01,-1.69
11.211,15.69,-10.94,5.37
11.312,-9.96,5.06,-0.82
11.413,20.01,-10.87,-13.34
11.514,5.37,-5.53,4.2
11.615,5.88,-6.39,-1.41
11.716,1.73,2.94,1.77
11.817,20.01,-20.01,-4.86
11.918,16.63,-7.57,5.22
12.019,-6.83,9.65,-1.57
12.12,20.01,-4.04,-1.69
12.221,4.35,0.47,3.96
12.322,3.1,-3.37,-3.77
12.423,-0.04,-1.53,0.9
12.524,20.01,2.67,2.82
12.625,17.69,-13.18,2.31
12.726,-16.2,7.57,0.31
12.827,-5.3,-20.01,-20.01
12.928,9.41,-4.67,3.37
13.029,9.85,3.92,-5.22
13.13,4.16,-0.04,-9.65
13.231,8.83,-2.82,1.53
13.332,6.75,-5.3,0.51
13.433,-12.47,7.1,-0.75
13.534,5.41,-0.08,-2.82
13.635,20.01,-15.73,1.41
13.736,6.08,5.69,-3.8
13.837,3.02,-10.63,-2.63
13.938,6.67,-0.43,1.49
14.039,-4.82,-0.86,-1.53
14.14,5.37,2.47,-1.14
14.241,4.12,-17.69,2.94
14.342,16,-14.67,1.29
14.443,4.04,7.02,-4.94
14.544,9.1,-10.75,1.22
14.645,4.82,-15.1,3.41
14.746,5.33,0.75,-3.06
14.847,9.81,7.1,-20.01
14.948,8.71,-1.69,0.63
15.049,8.75,-11.69,1.8
15.15,4.43,4.24,-3.61
15.251,15.34,-9.41,-4.35
15.352,10.2,-12.16,3.88
15.453,1.1,3.37,-4.63
15.554,3.92,10.94,2.47
15.655,2.63,-1.37,4.71
15.756,8.71,-13.69,1.18
15.857,3.49,4.82,-3.1
15.958,2,-12.63,1.37
16.059,9.06,-5.53,4.2
16.16,6.86,-4.75,0.24
16.261,0.9,11.41,-9.81
16.362,1.96,-7.73,4.24
16.463,14.75,-16.4,0.82
16.564,8.83,3.61,-3.45
16.665,12.47,0.16,-8.32
16.766,15.18,-9.02,2.94
16.867,3.53,-2.94,-1.41
16.968,-2.2,6.2,-1.29
17.069,4.35,-2.28,4.08
17.17,12.36,-14.2,-1.18
17.271,2.39,6.28,-2.51
17.372,18.71,-11.77,-7.02
17.473,14.47,-5.61,1.53
17.574,1.88,0.78,-1.53
17.675,8.28,10.79,-12.16
17.776,7.61,-5.26,4.2
17.877,11.3,-16.4,0.16
17.978,0.75,3.96,-2.94
18.079,19.69,-13.49,-5.3
18.18,16,-11.22,2.75
18.281,-2.08,2.59,-1.77
18.382,8.32,11.81,-0.27
18.483,2,-4.31,3.92
18.584,10.28,-15.97,-0.35
18.685,3.3,5.53,1.02
18.786,20.01,-15.34,-3.65
18.887,16.2,-12.98,4.28
18.988,-4,3.33,-0.47
19.089,5.26,10.71,-1.41
19.19,7.53,-8.71,0.59
19.291,7.85,-14.51,1.65
19.392,3.02,6.75,-2.28
19.493,20.01,-8.51,-1.92
19.594,16.71,-10.71,3.14
19.695,-5.33,2.51,-1.88
19.796,3.88,5.81,1.53
19.897,3.41,-11.81,4.31
19.998,13.14,-18.51,-0.31
20.099,1.88,6.39,-2.63
20.2,20.01,-5.22,-8.67
20.301,11.14,-7.92,1.73
20.402,0.12,-0.55,-0.78
20.503,-1.41,4.67,-0.59
20.604,3.3,-15.3,3.18
20.705,5.84,-18.44,1.57
20.806,8.2,7.06,-3.14
20.907,-0.12,-14.12,6.98
21.008,6.35,-6.83,0.47
21.109,0.9,-0.47,0.12
21.21,-0.39,0.94,0.51
21.311,6.98,-16.71,2.71
21.412,9.38,-17.85,0.2
21.513,3.73,2.24,-2.75
21.614,13.96,-6.28,-6.71
21.715,10.2,-5.77,2.98
21.816,0.75,-1.37,-2.63
21.917,-0.75,4.47,4.94
22.018,-3.77,-12.32,3.14
22.119,1.73,-15.81,3.88
22.22,8.79,4.98,-2.98
22.321,12.98,-6.86,-3.33
22.422,8.67,-10.2,2.51
22.523,5.14,-3.3,0.12
22.624,-3.33,7.77,2.04
22.725,3.49,-8.71,3.45
22.826,11.65,-20.01,2.9
22.927,6.75,3.45,-6.98
23.028,2.98,1.18,0.71
23.129,12,-4.12,-0.63
23.23,8.16,-3.26,-1.29
23.331,-5.26,3.3,1.33
23.432,9.14,-20.01,-9.61
