"NAME:","walk_4_1.csv"
"EXPERIMENT TIME:","2023/06/18 17:39"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","75"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-10.32","-1.41","-1.33"
"0.101","-10.55","-1.41","-1.45"
"0.202","-10.43","-1.57","-1.57"
"0.303","-10.43","-1.29","-1.84"
"0.404","-10.20","-1.84","-1.92"
"0.505","-10.16","-1.53","-1.73"
"0.606","-10.04","-1.84","-1.92"
"0.707","-10.16","0.55","-2.43"
"0.808","-13.18","-2.24","-0.55"
"0.909","-10.55","1.06","-0.16"
"1.01","-9.06","-2.12","-0.43"
"1.111","-10.00","-0.86","0.04"
"1.212","-10.43","-1.29","-0.43"
"1.313","-11.41","1.26","0.43"
"1.414","-11.81","0.16","-2.90"
"1.515","-10.98","-0.12","-3.57"
"1.616","-10.00","-1.18","-2.71"
"1.717","-9.81","-2.35","-2.20"
"1.818","-9.61","-1.53","-0.47"
"1.919","-12.08","-0.90","-0.94"
"2.02","-11.49","-2.82","0.16"
"2.121","-10.43","0.00","-5.49"
"2.222","-11.65","-2.00","-3.37"
"2.323","-8.94","0.43","-2.51"
"2.424","-9.02","0.08","-1.45"
"2.525","-9.81","-0.90","-0.43"
"2.626","-12.75","0.75","1.61"
"2.727","-13.96","2.47","-3.73"
"2.828","-12.40","0.08","-2.75"
"2.929","-8.79","-0.71","-2.82"
"3.03","-10.28","-1.53","-1.10"
"3.131","-9.89","-1.65","-0.43"
"3.232","-11.89","-4.35","1.69"
"3.333","-14.00","-1.06","-4.51"
"3.434","-12.71","-3.37","-2.63"
"3.535","-7.41","0.86","-1.92"
"3.636","-9.96","0.00","-1.06"
"3.737","-9.02","-1.02","0.35"
"3.838","-11.14","0.00","2.08"
"3.939","-14.44","2.43","-3.65"
"4.04","-13.73","0.08","-2.39"
"4.141","-7.69","-1.26","-2.31"
"4.242","-10.36","-2.04","-0.98"
"4.343","-9.53","-0.71","-0.78"
"4.444","-12.87","-4.55","-0.12"
"4.545","-10.71","-1.10","-4.04"
"4.646","-11.49","-0.78","-2.39"
"4.747","-7.88","-0.67","-1.41"
"4.848","-8.79","0.00","-1.06"
"4.949","-9.89","-1.37","0.27"
"5.05","-11.06","-2.90","-0.39"
"5.151","-8.36","-1.88","-4.12"
"5.252","-11.96","-0.20","-1.80"
"5.353","-8.28","-0.63","-1.92"
"5.454","-9.57","-2.08","-0.98"
"5.555","-10.16","-0.12","0.12"
"5.656","-11.89","-1.57","0.59"
"5.757","-13.10","-0.47","-6.12"
"5.858","-14.00","-2.90","-3.88"
"5.959","-8.36","0.39","-2.08"
"6.06","-9.30","0.35","-1.29"
"6.161","-9.41","-1.84","0.27"
"6.262","-12.08","0.39","2.00"
"6.363","-13.53","2.63","-3.45"
"6.464","-13.14","0.59","-1.69"
"6.565","-8.20","-0.90","-2.59"
"6.666","-10.08","-1.29","-1.26"
"6.767","-10.43","-0.86","-0.39"
"6.868","-10.83","-1.57","2.12"
"6.969","-13.69","-1.88","-5.30"
"7.07","-12.67","-2.28","-2.31"
"7.171","-8.98","0.35","-1.73"
"7.272","-8.63","0.20","-1.45"
"7.373","-10.43","-0.78","-0.04"
"7.474","-12.47","0.75","1.65"
"7.575","-10.00","-0.08","-3.33"
"7.676","-12.63","-0.20","-2.28"
"7.777","-7.85","-1.02","-2.24"
"7.878","-8.75","-0.94","-0.78"
"7.979","-11.92","-0.63","0.78"
"8.08","-11.61","-1.92","-0.51"
"8.181","-9.34","1.88","-3.53"
"8.282","-10.47","-1.37","-2.04"
"8.383","-7.57","1.18","-0.82"
"8.484","-10.08","-1.37","-0.20"
"8.585","-11.85","0.82","-1.02"
"8.686","-16.55","1.14","-2.55"
"8.787","-7.88","-2.04","-3.26"
"8.888","-7.65","-1.10","-2.63"
"8.989","-9.61","-1.77","-0.86"
"9.09","-9.73","-1.41","-0.27"
"9.191","-11.26","-1.37","1.61"
"9.292","-15.02","-2.47","-5.49"
"9.393","-12.04","-1.26","-2.82"
"9.494","-8.87","-0.12","-2.08"
"9.595","-8.24","0.16","-1.22"
"9.696","-10.67","-1.18","0.47"
"9.797","-12.67","0.94","2.16"
"9.898","-12.43","0.78","-3.30"
"9.999","-13.22","1.77","-2.24"
"10.1","-7.53","-0.86","-1.73"
"10.201","-9.26","-1.37","-0.82"
"10.302","-11.65","-0.39","0.43"
"10.403","-11.49","-1.96","-0.12"
"10.504","-9.53","0.98","-4.51"
"10.605","-9.45","0.00","-2.31"
"10.706","-8.87","0.82","-2.04"
"10.807","-8.75","-0.82","-0.24"
"10.908","-12.36","1.41","-0.75"
"11.009","-12.51","-1.73","1.61"
"11.11","-10.28","-1.61","-4.24"
"11.211","-9.65","-0.16","-1.06"
"11.312","-9.38","-1.29","-1.41"
"11.413","-10.00","-0.98","-0.71"
"11.514","-10.36","-2.20","0.82"
"11.615","-14.44","-5.06","-2.67"
"11.716","-8.75","1.61","-2.71"
"11.817","-8.94","-2.31","-2.63"
"11.918","-7.30","0.86","-1.29"
"12.019","-8.51","-0.47","-0.35"
"12.12","-11.61","-0.12","-0.16"
"12.221","-16.12","0.94","-2.79"
"12.322","-7.30","-2.90","-3.88"
"12.423","-7.65","-0.08","-2.28"
"12.524","-8.12","-1.73","-1.10"
"12.625","-10.67","-1.45","-0.20"
"12.726","-12.75","-4.20","1.33"
"12.827","-16.63","-2.43","-3.80"
"12.928","-12.43","-1.14","-2.55"
"13.029","-7.92","-1.33","-1.57"
"13.13","-8.32","0.86","-1.33"
"13.231","-8.79","-1.10","-0.12"
"13.332","-11.61","-0.35","0.27"
"13.433","-14.55","0.43","-2.55"
"13.534","-9.14","-2.35","-4.39"
"13.635","-8.90","0.16","-2.04"
"13.736","-8.63","-1.45","-1.80"
