NAME:,matan w 3,,
EXPERIMENT TIME:,Thu Jun 01 12:00:05 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,110,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
0,9.3,-2.79,-3.45
0.008388608,9.1,-3.65,-3.49
0.016777216,8.83,-3.77,-3.61
0.016777216,8.59,-4,-4.12
0.025165824,7.92,-1.73,-1.73
0.092274688,9.18,-2.39,-1.77
0.226492416,12.83,-1.1,-3.14
0.301989888,11.65,-1.33,-5.1
0.369098752,3.65,-3.53,-5.96
0.436207616,10.08,-3.02,-5.45
0.50331648,7.3,-3.02,-5.1
0.578813952,8.16,-3.06,-3.33
0.662700032,7.77,-2.71,-2.39
0.746586112,9.06,-2.43,-1.45
0.8388608,11.34,-3.53,-2.2
0.92274688,13.57,-8.79,-5.41
0.981467136,4.59,0.08,-3.3
1.107296256,9.69,-3.88,-4.59
1.17440512,8.83,-4.55,-2.59
1.241513984,7.22,-1.61,-3.53
1.308622848,8.12,-2.2,-2.47
1.409286144,7.61,-1.45,-1.57
1.4680064,13.81,-3.77,-1.22
1.55189248,14.98,-2.63,-4.2
1.63577856,4.71,-1.57,-4.55
1.711276032,7.34,-2.86,-3.73
1.795162112,11.81,-2.82,-5.06
1.895825408,7.88,-3.18,-3.26
1.954545664,6.9,-3.1,-1.73
2.05520896,8.16,-3.02,-1.1
2.122317824,16.63,-4.63,-2.08
2.256535552,12.63,-8.16,-5.06
2.323644416,5.06,0.55,-2.59
2.373976064,9.85,-4.51,-3.8
2.466250752,9.3,-4.12,-3.69
2.541748224,9.45,-1.84,-3.57
2.60046848,6.04,-0.86,-1.29
2.692743168,7.85,-1.65,-2.86
2.776629248,14.28,-1.18,-1.69
2.860515328,12.55,0.51,-4.79
2.927624192,3.06,-2.47,-4.9
3.028287488,9.38,-1.37,-3.45
3.095396352,7.1,-0.67,-3.96
3.238002688,7.85,-4.16,-2.2
3.296722944,6.63,-3.84,-0.71
3.347054592,10.36,-3.18,-2.67
3.43932928,12.71,-4.39,-4.35
3.489660928,6.39,-3.84,-4.86
3.573547008,8.83,-0.08,-3.61
3.674210304,10.28,-6.67,-2.94
3.749707776,6.08,-1.18,-2.71
3.841982464,8.28,-2.82,-2.12
3.90070272,8.43,-2.04,-1.37
4.043309056,17.22,0.24,0.2
4.102029312,11.85,-0.51,-4.79
4.177526784,3.96,-2.67,-4.47
4.244635648,9.81,-1.18,-5.96
4.32013312,10.79,-2.12,-3.45
4.395630592,6.35,-3.18,-1.88
4.479516672,6.2,-4.16,0.12
4.555014144,6.98,-4.04,-3.45
4.647288832,12.24,-4.9,-4.98
4.731174912,7.3,-3.3,-3.8
4.815060992,8.98,0.16,-4.63
4.882169856,10.63,-6.24,-2.28
4.94927872,6.2,-0.71,-2.43
5.477761024,7.73,-2.31,-2.28
5.972688896,8.59,-1.77,-1.61
5.99785472,14.59,-2.08,0.63
6.006243328,14.24,-1.18,-4.82
6.014631936,5.14,-1.77,-4.79
6.023020544,4.94,1.18,-4.43
6.090129408,9.38,-6.12,-3.65
6.174015488,8.2,-2.12,-2.04
6.266290176,6.67,-1.49,-2.55
6.350176256,8.04,-2,-0.86
6.434062336,10.24,-2.16,-5.45
6.492782592,15.3,-5.92,-6.79
6.576668672,7.45,-0.78,-4.47
6.66894336,7.06,-3.3,-3.49
6.75282944,10.36,-0.63,-5.69
6.870269952,7.81,-3.69,-2.55
6.928990208,6.86,-3.77,-1.84
7.00448768,8.2,-2.59,-0.9
7.079985152,14.24,-2.31,-1.1
7.155482624,12.36,-8,-3.69
7.247757312,5.14,-0.08,-4.2
7.29808896,7.65,-2.04,-4.82
7.390363648,10.08,-6.86,-3.41
7.474249728,9.14,-2.16,-2.51
7.558135808,7.26,-1.02,-1.53
7.642021888,7.06,-1.96,0.35
7.709130752,13.77,-2.9,-2.79
7.818182656,17.3,-3.96,-7.96
7.876902912,7.45,0,-4.39
8.019509248,7.45,-2.9,-2.9
8.086618112,12.16,-3.33,-3.65
8.120172544,7.57,-3.57,-2.43
8.212447232,6.51,-3.02,-1.45
8.279556096,7.3,-3.61,-2.28
8.371830784,15.46,-3.37,-4.86
8.438939648,10.71,-7.26,-7.18
8.522825728,7.26,2.63,-4.98
8.606711808,10.83,-6.32,-4.16
8.698986496,7.53,-1.37,-3.1
8.774483968,9.26,-0.94,-3.1
8.908701696,7.53,-2.08,-0.31
8.97581056,12.08,-2.31,-3.3
9.042919424,17.42,-5.37,-9.41
9.084862464,5.81,-0.55,-3.92
9.177137152,7.73,-0.98,-4.35
9.261023232,12.59,-2.67,-4.43
9.361686528,6.32,-3.53,-2.94
9.420406784,6.59,-3.37,-1.18
9.512681472,8.24,-3.22,-1.84
9.588178944,13.53,-5.14,-1.22
9.6468992,12.75,-7.61,-4.63
9.789505536,6.12,0.47,-2.16
9.865003008,9.73,-6.71,-3.65
9.923723264,8.16,-1.73,-2.71
9.999220736,5.22,-1.57,-2.31
10.0663296,8.36,-1.8,-1.06
10.15860429,11.45,-1.61,-6.83
10.21732454,12.94,-7.61,-6.67
10.30121062,9.61,1.57,-6.75
10.3850967,6.24,-3.77,-4.79
10.46898278,12.4,-0.94,-4.04
10.55286886,5.61,-2.9,-2.71
10.65353216,6.16,-3.06,-2.28
10.72064102,8.9,-2.43,-2
10.78774989,16.36,-6.67,-1.69
10.93035622,12.28,-7.57,-4.2
10.98068787,6,-0.71,-4.2
11.45883853,9.06,-4.28,-3.77
11.9537664,9.45,-4.39,-2.28
11.98732083,6,-1.92,-2.55
11.99570944,9.02,-1.14,-3.49
12.02087526,10.28,-4.08,-1.45
12.07959552,12.32,-6.16,-4.82
12.1634816,7.77,-1.8,-4.98
12.24736768,8.71,-3.33,-4.98
12.33125376,10.04,-4.31,-3.3
12.41513984,6.94,-0.94,-1.96
12.49902592,7.45,-2.47,-1.65
12.59968922,7.81,-1.77,-3.73
12.66679808,16.4,-3.3,-7.73
12.73390694,10.04,-2.24,-4.31
12.87651328,4.31,-2.86,-5.1
12.9016791,10.2,-0.47,-4.28
12.98556518,7.81,-1.61,-3.33
13.06945126,6.24,-2.55,-2.31
13.15333734,7.49,-3.49,-0.78
13.22044621,6.98,-4.35,-1.8
13.30433229,11.53,-4.67,-4.71
13.38821837,6.98,-3.14,-5.81
13.48049306,7.65,-1.41,-4.12
13.54760192,9.1,-4.55,-2.59
13.61471078,6.79,-1.65,-2.35
13.76570573,8.32,-2.86,-2.43
13.83281459,7.65,-1.14,-2.9
13.86636902,14.24,-0.94,0.78
13.9502551,14.32,-2.75,-6.75
14.03414118,4.28,-1.8,-4.79
14.12641587,8.28,-2.82,-3.84
14.18513613,11.1,-1.65,-4.71
14.26902221,8.55,-3.14,-2.31
14.35290829,6.28,-3.41,-1.1
14.43679437,8.16,-2.98,-3.14
14.51229184,14.12,-4.94,-5.41
14.65489818,6.28,-4.94,-3.96
14.72200704,6.47,0,-4.47
14.7891159,8.59,-5.73,-4.12
14.83944755,9.02,-2.39,-3.57
14.93172224,7.57,-0.27,-2.16
15.00721971,6.51,-2.2,-0.86
15.09110579,13.93,-2.51,-1.33
15.18338048,15.89,-3.14,-5.3
15.23371213,6.24,-2.28,-3.41
15.32598682,6.79,-0.67,-4.59
15.4182615,12.51,-2.28,-4.47
15.48537037,6.59,-3.96,-2.59
15.6195881,6.9,-3.18,-0.98
15.68669696,8.16,-3.92,-3.45
15.75380582,14.16,-3.73,-1.77
15.82091469,9.34,-8,-5.53
15.91318938,4.98,1.88,-3.77
15.99707546,11.81,-8.98,-4.67
16.0474071,9.61,-2.59,-2.86
16.1480704,7.45,-1.22,-2.39
16.22356787,6.32,-1.33,-1.06
16.30745395,12.47,-3.33,-2.28
16.44167168,11.18,-4.59,-4.35
16.50039194,8.39,-0.16,-6.39
16.57588941,5.02,-1.77,-5.22
16.64299827,14.16,-3.26,-2.67
16.71010714,7.26,-1.96,-2.9
16.78560461,5.81,-4.04,-1.14
16.8778793,8.12,-4.16,-1.77
16.96176538,14.04,-4.79,-1.69
17.43991603,14.47,-6.86,-4.94
17.96839834,4.35,-0.31,-2.59
17.96839834,9.45,-5.61,-5.41
17.99356416,8.83,-3.84,-3.53
17.99356416,9.38,-1.14,-2.94
18.01034138,7.45,-3.61,-2.67
18.10261606,6.2,-2.63,-0.63
18.16972493,10.4,-2.63,-1.61
18.25361101,11.92,-3.53,-1.77
18.36266291,6.94,-3.77,-4.94
18.42138317,8.79,0.47,-4.9
18.49688064,9.1,-7.37,-1.88
18.5556009,7.26,-2.35,-3.14
