NAME:,matan r 1,,
EXPERIMENT TIME:,Thu Jun 01 12:44:24 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,165,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
0,8.43,2.94,-4.55
0.016777216,9.18,3.02,-4.67
0.033554432,10.32,1.61,-5.81
0.04194304,9.14,0.59,-5.53
0.109051904,5.41,1.77,-11.18
0.192937984,10,4.35,-13.42
0.276824064,10.55,4.12,-10.55
0.343932928,4.59,0.39,-4.24
0.427819008,-2.86,-0.39,-2.94
0.511705088,1.26,-2.31,-4
0.603979776,20.01,-2.2,-19.5
0.687865856,15.38,0.98,-8.98
0.75497472,1.06,0.63,-2.98
0.822083584,-6.71,1.8,-4.39
0.947912704,3.92,3.92,-13.65
1.00663296,20.01,4.79,-13.81
1.073741824,11.65,1.06,-4.75
1.157627904,-2.51,-1.1,-2.75
1.241513984,-0.39,-1.69,-3.45
1.333788672,10.24,-3.06,-8.12
1.392508928,20.01,-0.82,-7.02
1.476395008,9.53,1.53,-2.28
1.568669696,-6.94,0.86,-2.75
1.652555776,1.84,2.63,-3.92
1.728053248,20.01,8.51,-19.46
1.795162112,14.83,-1.26,-5.37
1.912602624,0.35,0.82,-2.12
1.97132288,-4.16,-2.08,-3.26
2.038431744,2.98,-2.04,-3.45
2.122317824,20.01,-4.82,-11.34
2.206203904,15.49,2.94,-5.96
2.290089984,-7.73,0.78,-2.39
2.373976064,0.43,2.16,-3.3
2.466250752,11.02,3.92,-7.65
2.524971008,20.01,3.53,-5.61
2.608857088,9.49,0.47,-4
2.759852032,-6,-3.88,-1.84
2.818572288,0.04,-0.63,-3.45
2.860515328,20.01,0.75,2.59
2.944401408,20.01,-2.12,-6.94
3.011510272,3.73,4.24,0.55
3.095396352,-8,2.04,-4.28
3.179282432,3.26,1.45,-2.98
3.27155712,20.01,5.69,-19.5
3.3554432,14.83,2.86,-4.86
3.414163456,-2.79,0.16,-2.08
3.506438144,-2.08,-2.71,-2.98
3.640655872,3.06,-4.47,-14.83
3.699376128,20.01,-0.47,-7.96
3.766484992,11.73,4.16,-4.51
3.850371072,-9.96,1.02,-1.61
3.909091328,1.26,1.02,-3.3
4.009754624,20.01,1.45,-14.04
4.06847488,17.57,3.84,-5.41
4.15236096,2.43,-1.1,-2.39
4.23624704,-4.51,-4.16,-2.98
4.328521728,1.84,-5.92,-12.91
4.412407808,20.01,0.94,-8.63
4.471128064,13.53,5.26,-4.47
4.596957184,-9.77,0.27,-0.67
4.672454656,1.37,1.73,-2.75
4.73956352,13.14,5.02,-7.41
4.789895168,20.01,0.63,-5.37
4.873781248,7.85,-1.26,-4.43
4.966055936,-6.59,-0.75,-2.86
5.49453824,3.49,0.16,-3.33
5.989466112,20.01,-5.22,-12
6.023020544,13.73,4.51,-7.77
6.031409152,-4.59,-0.71,-3.06
6.03979776,0.12,2.39,-2.55
6.03979776,11.85,3.49,-12.51
6.106906624,1.02,-1.22,-2.31
6.190792704,4.94,4.43,-13.14
6.274678784,20.01,5.02,-6.63
6.358564864,10.16,2.35,-2.63
6.41728512,-6.08,-1.1,-6.55
6.526337024,2.98,-2.08,-3.96
6.593445888,20.01,-0.75,-12.12
6.660554752,15.57,3.8,-4.55
6.736052224,1.69,1.61,-2.39
6.828326912,-4.16,1.14,-3.53
6.912212992,10.08,2.16,-10.87
6.996099072,20.01,5.06,-13.06
7.063207936,7.61,0.2,-4.55
7.147094016,-3.41,-0.39,-2.51
7.230980096,0.71,-0.78,-4.51
7.323254784,10.79,-4.16,-20.01
7.398752256,16.44,4.47,-5.22
7.474249728,5.45,0.47,-3.45
7.616856064,-6.47,2.16,-2.71
7.67557632,5.81,4.9,-6.2
7.71751936,20.01,5.49,-11.02
7.80140544,9.57,3.37,-5.88
7.876902912,-2.67,-3.33,-1.77
7.960788992,-2.51,-1.96,-3.61
8.05306368,20.01,5.88,-12.79
8.13694976,20.01,-4.28,-7.65
8.22083584,7.14,3.26,-4.47
8.287944704,-7.88,3.45,-1.33
8.371830784,0.67,1.18,-4.75
8.438939648,20.01,-1.14,-20.01
8.573157376,16.91,1.22,-7.45
8.623489024,2.67,-0.86,-2.04
8.698986496,-8.08,-3.1,-1.77
8.757706752,2.24,-4.31,-7.3
8.841592832,20.01,-3.77,-14.12
8.942256128,14.47,-1.69,-6.63
9.009364992,-9.53,3.33,-3.69
9.10163968,-3.02,2.04,-4.35
9.177137152,16.16,3.14,-11.73
9.261023232,20.01,3.49,-8.47
9.39524096,7.85,-2.24,-4.08
9.453961216,-7.1,-3.49,-1.22
9.529458688,1.96,-0.94,-5.53
9.588178944,20.01,-5.49,-20.01
9.672065024,17.06,-2.12,-6.9
9.739173888,-3.1,2.28,-2.51
9.823059968,-3.14,2.55,-4.16
9.906946048,3.33,4.04,-5.88
9.999220736,20.01,7.45,-20.01
10.07471821,11.57,-1.69,-6.83
10.13343846,-5.14,-1.18,-1.02
10.21732454,-0.9,-1.73,-3.06
10.35154227,20.01,-2.04,-9.22
10.50253722,19.26,-3.69,-7.73
10.53609165,5.1,2.28,-2.86
10.55286886,-8.28,4.63,-2.94
10.63675494,2.9,0.51,-2.9
10.72902963,20.01,-0.24,-20.01
10.81291571,14.98,2.51,-6.51
10.87163597,-2.71,-1.8,-2.16
10.96391066,-2.39,-2.59,-3.26
11.47561574,3.37,-5.37,-17.14
11.98732083,20.01,-3.18,-8.51
12.00409805,7.14,4.39,-5.65
12.01248666,-10.12,3.22,0.39
12.02087526,2,1.53,-4.86
12.02087526,20.01,-3.8,-20.01
12.02926387,-7.34,2.75,-0.24
12.07959552,0.12,0.67,-2.86
12.17187021,20.01,8.32,-10
12.25575629,15.89,2.82,-9.18
12.38997402,2.67,-1.65,-2.79
12.42352845,-4.98,-4.39,-2.79
12.49063731,1.96,-6.2,-13.45
12.57452339,20.01,-4.55,-15.46
12.65840947,10.36,0.78,-5.77
12.75068416,-7.1,2.82,-0.59
12.80940442,-1.06,1.77,-2.63
12.8932905,20.01,8.39,-12.47
12.99395379,17.06,4.75,-9.77
13.05267405,5.37,-3.22,-4.59
13.14494874,-6.51,-3.61,-1.65
13.22883482,1.57,0.08,-3.88
13.35466394,20.01,-6.32,-20.01
13.39660698,14.4,-1.96,-5.57
13.46371584,-4.16,2.28,-0.9
13.54760192,-4.04,4.24,-0.12
13.631488,1.18,3.33,-20.01
13.71537408,20.01,6.55,-11.22
13.80764877,10.75,-2.63,-5.26
13.88314624,-9.61,-1.92,-0.35
13.9502551,2.63,-1.33,-5.14
14.03414118,20.01,-0.98,-20.01
14.1599703,15.18,-7.41,-6.55
14.22707917,-0.39,4.31,-3.3
14.29418803,-4.75,2.28,-2.86
14.3696855,3.06,2.98,-7.69
14.44518298,20.01,5.73,-12.51
14.52906906,10.75,-0.63,-5.37
14.62134374,-6.83,-0.27,-1.61
14.680064,-2.04,-2.43,-2.55
