NAME:,walk_5_1,,
EXPERIMENT TIME:,Thu Jun 08 14:11:21 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,112,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
0,16.59,1.73,-2.31
0.101,9.34,-2.98,4.47
0.202,9.1,-0.08,-0.71
0.303,5.96,-1.57,-1.22
0.404,9.45,-3.88,-0.59
0.505,8.9,-2.67,-0.2
0.606,8.36,-4.31,-0.94
0.707,10.71,-5.57,0.47
0.808,18.67,-2.12,-2.79
0.909,11.22,-4.67,-1.14
1.01,5.02,-0.16,1.41
1.111,5.14,-1.45,2.98
1.212,7.57,-3.88,3.53
1.313,9.77,-4.51,6.55
1.414,10.04,2.63,-0.55
1.515,12.91,-2.08,-0.86
1.616,3.84,-1.14,-0.24
1.717,8.55,-5.02,-0.24
1.818,11.45,-2.59,1.14
1.919,17.14,-7.69,-2.98
2.02,12.2,0,-0.78
2.121,4.35,-1.49,-0.78
2.222,3.1,-0.51,2.16
2.323,11.45,-3.41,3.84
2.424,12.24,-8.2,3.3
2.525,7.49,-0.12,-0.04
2.626,9.57,-3.14,0.55
2.727,6.24,0.35,-0.82
2.828,7.53,-4.35,-1.8
2.929,12.83,-4.39,2.28
3.03,13.1,-2.04,-3.22
3.131,13.73,-4.04,-0.59
3.232,2.51,0.27,1.18
3.333,9.92,-1.73,2.16
3.434,8.94,-5.88,2.98
3.535,19.93,2.12,-2.63
3.636,7.34,-1.14,0.51
3.737,8.12,-0.31,0.04
3.838,6.94,-1.57,-0.82
3.939,9.96,-4.98,-0.67
4.04,13.06,-4.47,1.14
4.141,11.26,-1.57,-2.63
4.242,9.77,-3.02,-0.12
4.343,0.98,0.08,1.49
4.444,9.57,-0.27,3.77
4.545,7.73,-8.24,6.94
4.646,9.18,3.84,-0.51
4.747,12.28,-4.71,-1.33
4.848,4.59,-1.26,0.12
4.949,10.12,-5.69,-0.9
5.05,10.71,-2.75,-0.12
5.151,12.51,-8.2,-2.9
5.252,14.16,-1.37,-0.16
5.353,5.06,-1.92,0.08
5.454,2.28,-0.9,1.69
5.555,12.75,-5.77,0.75
5.656,16.87,-1.18,2.04
5.757,7.57,-0.59,-0.12
5.858,6.39,0.12,0.51
5.959,7.45,-2.59,0.63
6.06,8.55,-1.73,1.29
6.161,16.44,-5.57,-0.16
6.262,9.92,0.43,-1.77
6.363,11.65,-5.14,-1.1
6.464,2.79,-1.45,2.12
6.565,5.92,-1.29,1.96
6.666,12.04,-7.34,6.2
6.767,12.04,2.35,3.45
6.868,13.3,-4.82,-1.69
6.969,4.47,-1.61,-0.75
7.07,8.51,-5.37,0.63
7.171,9.77,-3.14,0.24
7.272,15.34,-6.83,-2.08
7.373,12.12,-1.65,-0.51
7.474,6.86,-2.86,0.2
7.575,3.84,-0.43,2.31
7.676,9.69,-4.2,2.08
7.777,11.85,-6.08,2.82
7.878,7.06,4.2,1.33
7.979,10.2,-2.47,0.24
8.08,5.22,-1.1,-0.55
8.181,10.9,-5.02,-0.75
8.282,11.41,-2.79,1.06
8.383,12.12,-6.55,-2.59
8.484,15.34,-1.26,-2.71
8.585,6,0.51,0.55
8.686,4.28,-1.41,1.61
8.787,10.47,-4.9,1.61
8.888,16.99,-1.84,0.39
8.989,6.47,-2.2,0.04
9.09,9.69,0.59,-0.82
9.191,5.61,-3.22,-0.59
9.292,9.92,-5.61,-0.47
9.393,10.28,-3.33,2.71
9.494,14.55,-3.77,-3.22
9.595,11.96,-3.77,0.71
9.696,6.32,-1.26,1.06
9.797,4.43,-1.33,1.22
9.898,10.04,-4.16,1.69
9.999,16.83,0.55,-1.69
10.1,5.84,-0.43,-0.35
10.201,9.49,-0.12,-0.12
10.302,7.14,-2.47,-1.14
10.403,8,-4.63,0.08
10.504,11.06,-1.69,1.65
10.605,13.53,-7.45,-2.24
10.706,14.83,-2.79,-0.12
10.807,7.37,-1.02,0.51
10.908,2.59,-0.12,1.22
11.009,11.65,-3.06,2.08
11.11,8.51,-6.39,5.3
11.211,18.4,-0.47,3.06
11.312,11.18,-5.1,-0.39
11.413,4,-0.94,-0.08
11.514,7.18,-2.82,0.94
11.615,9.41,-2.08,0.35
5.51E+04,13.45,-6.75,-1.18
11.918,10.32,-4.9,-0.78
12.019,3.41,0.04,2.12
5.51E+04,9.18,-0.75,2.31
12.524,5.53,0.12,0.04
12.625,8.43,-4.75,-0.27
12.726,10.28,-1.96,-0.16
5.52E+04,12.28,-3.57,0.75
13.029,12.59,-2.2,-0.71
13.13,4,-1.14,1.02
13.231,7.14,-1.14,2.04
13.332,9.89,-6.67,2.12
13.433,20.01,0.67,0.47
13.534,5.41,-3.45,-0.08
13.635,7.88,0.47,0.59
13.736,7.41,-1.96,-1.1
13.837,8.94,-4.28,0.16
13.938,11.61,-3.45,1.37
14.039,13.26,-3.22,-3.92
14.14,13.18,-3.45,0.12
14.241,4.86,0.12,1.02
14.342,6.71,-2,2.08
14.443,10.94,-4.94,1.57
14.544,13.65,-2.82,1.37
14.645,5.61,0.16,-0.43
14.746,8.71,2.28,1.14
14.847,7.49,-2.9,-1.14
14.948,8.9,-5.1,0.47
15.049,10.75,-3.65,0.27
15.15,12.36,-6.51,-0.59
15.251,12.4,-1.96,-0.24
15.352,8.98,-2.43,0.43
15.453,3.8,-1.77,2.16
15.554,8,-3.26,2.24
15.655,9.65,-6.32,4.75
15.756,7.22,1.88,0.39
15.857,11.45,-2.47,-0.98
15.958,6.43,-2.98,0
16.059,8.16,-5.37,0.08
16.16,10.04,-2.71,-1.14
16.261,14.4,-6,-2.16
16.362,9.53,-0.98,-1.88
16.463,9.92,-3.57,-0.31
16.564,2.63,-2.24,2.31
16.665,7.53,-2.31,2.86
16.766,11.45,-7.34,5.61
16.867,7.41,3.1,0.16
16.968,10.2,-0.98,0.12
17.069,6.47,-3.02,-0.59
17.17,8.55,-6.35,0.08
17.271,10.32,-4.24,-0.27
17.372,13.89,-5.61,-2.82
17.473,11.77,-2.08,-1.73
17.574,7.81,-1.02,0.16
17.675,3.06,-3.3,0.86
17.776,10.87,-2.59,2.04
17.877,9.73,-5.81,1.8
17.978,5.69,1.29,-0.47
18.079,11.26,-0.16,-0.12
18.18,6.55,-3.1,-0.75
18.281,8.94,-5.92,0.16
18.382,9.73,-3.45,0.75
18.483,14.28,-6.83,-2.31
18.584,12.59,-1.33,0
18.685,6.08,-1.65,1.1
18.786,4.55,-1.26,1.96
18.887,11.1,-3.18,1.22
18.988,9.3,-6.39,2.98
19.089,5.96,0.16,-0.9
19.19,10.28,1.14,0.78
19.291,6.08,-2.43,-0.63
19.392,7.14,-6.08,0.39
19.493,10.75,-3.1,0.51
19.594,13.61,-7.34,-2.67
19.695,10.94,-1.96,-0.82
19.796,8.79,-3.1,-0.24
19.897,3.41,-1.73,1.1
19.998,10.24,-1.14,2
20.099,10.12,-8.75,4.63
20.2,7.3,2.43,0.71
20.301,11.41,-0.16,-1.02
20.402,6.04,-2.82,-0.43
20.503,10,-6.28,-0.67
20.604,9.92,-2.79,0.43
20.705,14.16,-5.45,-2.35
20.806,12.2,-1.69,-1.53
20.907,7.65,-2.63,-0.35
21.008,3.33,-0.78,1.37
21.109,9.49,-2.12,1.8
21.21,8.2,-10.36,5.73
21.311,7.69,3.45,0.27
21.412,12.16,-0.86,-0.86
21.513,5.37,-3.18,-0.55
21.614,9.18,-6.16,-0.08
21.715,10.16,-2.79,0.75
21.816,14.36,-7.45,-2.35
21.917,13.18,-0.39,-0.86
22.018,7.96,-2.94,0.16
22.119,3.77,-0.9,1.41
22.22,11.45,-2.79,1.61
22.321,9.53,-9.06,5.92
22.422,10.94,3.02,1.49
22.523,12.51,-5.3,-0.82
22.624,4.55,-2.16,-0.24
22.725,7.77,-5.18,-0.12
22.826,9.96,-2.55,1.06
22.927,15.02,-4.31,-2.04
23.028,10.98,-2,-0.27
23.129,8.08,-2.75,-0.47
23.23,2.79,-1.18,1.73
23.331,10.51,-1.84,1.73
23.432,10.36,-5.69,2.31
23.533,4.04,1.37,-0.2
23.634,11.18,1.92,-0.47
23.735,5.77,-4.08,-0.82
23.836,8.98,-5.02,-0.04
23.937,11.06,-4.55,1.8
24.038,12.43,-2.79,-4.59
24.139,14.08,-3.33,0
24.24,5.41,-1.45,0.98
24.341,5.84,-1.49,2
24.442,14.32,-5.69,1.77
24.543,19.06,-1.41,3.1
24.644,6.55,-3.26,0.12
24.745,6.79,-1.1,-0.2
24.846,6.71,-3.53,0.51
24.947,9.53,-3.45,-0.31
25.048,13.22,-4.59,-0.16
25.149,9.26,-0.39,0.08
25.25,9.96,-4.82,-0.27
