"NAME:","walk_4_1"
"EXPERIMENT TIME:","2023-06-09 16:46:36"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"9.744","1.45","-4.55","6.59"
"9.795","0.16","-3.45","6.63"
"9.846","2.0","-5.06","7.53"
"9.897","2.71","-3.65","5.1"
"9.948","0.78","-1.14","4.59"
"9.999","0.86","-2.35","7.02"
"10.05","2.31","-6.32","11.57"
"10.101","2.28","-6.2","10.55"
"10.152","1.77","-6.86","10.98"
"10.203","4.31","-8.43","10.04"
"1876.3784","3.45","-6.67","6.98"
"10.407","0.55","-2.79","4.9"
"10.458","0.51","-1.92","5.49"
"10.509","0.59","-2.59","5.96"
"10.56","1.49","-4.9","9.73"
"10.611","1.37","-8.16","12.08"
"10.662","0.51","-7.53","10.87"
"10.713","3.33","-9.92","11.61"
"10.764","1.8","-6.08","6.9"
"10.815","-1.22","-4.31","6.98"
"10.866","0.39","-4.47","6.16"
"10.917","1.41","-4.28","5.88"
"10.968","1.77","-3.02","4.94"
"1884.0293","0.82","-2.86","6.63"
"11.121","1.77","-6.0","9.65"
"11.172","1.88","-6.71","11.02"
"11.223","2.04","-6.86","10.43"
"11.274","2.86","-6.35","8.67"
"11.325","1.33","-5.57","7.77"
"11.376","1.69","-6.79","8.24"
"11.427","0.82","-4.71","6.86"
"11.478","0.43","-2.39","4.9"
"11.529","0.31","-2.39","6.2"
"11.58","1.18","-4.31","8.2"
"11.631","1.84","-6.12","8.9"
"11.682","1.92","-8.2","10.4"
"11.733","1.33","-7.45","10.12"
"11.784","3.22","-9.22","10.9"
"11.835","0.9","-6.28","7.57"
"11.886","-1.45","-4.59","8.43"
"11.937","1.73","-5.57","6.71"
"11.988","1.29","-2.71","5.45"
"12.039","0.59","-2.0","5.18"
"12.09","1.37","-3.1","7.02"
"12.141","2.63","-6.2","10.79"
"12.192","2.55","-6.47","10.0"
"12.243","1.29","-5.84","10.59"
"12.294","2.94","-7.81","10.43"
"12.345","2.9","-5.49","6.2"
"12.396","2.31","-7.26","8.94"
"12.447","1.65","-5.88","6.63"
"1898.8179","1.88","-4.28","4.9"
"13.416","1.14","-4.94","6.59"
"13.467","1.14","-6.04","7.3"
"13.518","1.33","-5.73","7.45"
"13.569","2.0","-4.24","4.86"
"13.62","0.04","-2.39","4.94"
"13.671","0.24","-2.94","6.35"
"13.722","1.06","-5.57","10.67"
"13.773","0.67","-5.73","9.53"
"13.824","-0.04","-5.49","10.24"
"13.875","3.92","-10.24","11.89"
"13.926","2.75","-7.49","7.92"
"13.977","-1.1","-3.69","7.26"
"14.028","0.04","-2.79","4.9"
"14.079","-0.43","-3.53","6.71"
"14.13","2.39","-5.06","6.32"
"14.181","0.08","-3.22","7.85"
"14.232","3.41","-7.18","9.96"
"14.283","1.65","-5.92","11.1"
"14.334","2.2","-6.86","10.4"
"14.385","2.79","-6.75","9.73"
"14.436","2.59","-5.92","7.34"
"14.487","1.65","-7.06","8.71"
"14.538","2.12","-6.28","6.35"
"14.589","0.63","-3.53","4.86"
"14.64","0.47","-2.75","5.3"
"14.691","0.59","-4.12","7.45"
"14.742","1.41","-5.65","8.9"
"14.793","0.47","-6.79","10.43"
"14.844","0.55","-6.98","9.61"
"14.895","1.88","-8.28","11.1"
"14.946","2.98","-7.92","8.36"
"14.997","-0.86","-2.55","6.51"
"15.048","0.86","-5.77","7.88"
"15.099","1.37","-4.43","6.0"
"15.15","1.61","-3.26","5.26"
"15.201","0.2","-1.77","6.55"
"15.252","3.3","-6.32","9.57"
"15.303","1.65","-5.37","9.85"
"15.354","2.55","-7.81","11.22"
"1927.8898","2.47","-7.45","10.67"
"15.507","1.77","-6.71","8.79"
"15.558","2.0","-7.26","8.98"
"15.609","0.98","-3.61","5.1"
"15.66","-0.63","-1.26","4.71"
"15.711","0.78","-2.71","5.73"
"15.762","1.84","-5.02","8.59"
"15.813","1.53","-5.96","9.57"
"15.864","1.18","-7.41","10.63"
"15.915","1.37","-7.92","11.38"
"15.966","3.77","-9.02","9.85"
"16.017","0.04","-4.82","6.51"
"16.068","-0.43","-5.3","8.98"
"1935.0275","1.41","-5.92","6.75"
"16.221","0.55","-1.96","4.9"
"16.272","0.9","-3.14","7.45"
"16.323","2.94","-5.96","10.2"
"16.374","1.26","-5.14","10.59"
"16.425","2.47","-6.9","11.18"
"16.476","3.33","-7.18","10.24"
"16.527","2.82","-5.37","7.18"
"16.578","1.61","-6.39","8.04"
"16.629","1.49","-6.24","6.98"
"16.68","0.39","-3.8","5.77"
"16.731","0.47","-2.94","5.77"
"16.782","0.98","-3.69","6.94"
"16.833","2.28","-7.02","9.77"
"16.884","1.1","-7.1","9.18"
"16.935","0.98","-6.32","8.98"
"16.986","2.79","-7.53","10.24"
"17.037","1.84","-6.08","8.98"
"17.088","0.24","-5.88","8.63"
"17.139","0.27","-5.61","7.45"
"17.19","0.55","-4.0","6.59"
"17.241","0.86","-2.31","4.98"
"17.292","0.43","-2.16","6.2"
"17.343","2.67","-4.9","7.69"
"17.394","2.28","-4.98","9.22"
"17.445","2.08","-6.12","11.53"
"17.496","1.88","-6.67","10.59"
"17.547","2.75","-6.08","9.06"
"1949.8192","2.35","-5.22","6.94"
"17.7","1.69","-6.24","6.63"
"17.751","0.31","-3.77","5.65"
"17.802","-0.31","-2.35","5.88"
"17.853","0.0","-2.82","6.75"
"17.904","0.24","-4.51","9.69"
"17.955","0.43","-6.67","8.75"
"18.006","0.04","-6.71","9.81"
"18.057","2.28","-9.38","11.69"
"18.108","1.96","-8.2","8.51"
"18.159","-0.39","-6.04","7.65"
"18.21","1.37","-7.34","9.41"
"18.261","1.45","-4.43","7.02"
"18.312","0.16","-1.8","4.94"
"18.363","0.82","-2.04","5.3"
"18.414","0.9","-2.47","6.9"
"18.465","2.35","-4.67","9.14"
"1959.0005","2.94","-7.18","12.16"
