"NAME:","walk_5_1"
"EXPERIMENT TIME:","2023-06-09 16:48:54"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","110"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.051","1.14","-5.73","7.85"
"0.102","1.26","-6.24","8.16"
"0.153","1.14","-5.45","7.41"
"0.204","1.02","-5.77","8.08"
"0.255","1.14","-6.12","8.36"
"0.306","1.02","-5.84","8.04"
"0.357","0.98","-5.65","7.69"
"0.408","1.1","-5.88","8.24"
"0.459","1.06","-5.53","8.04"
"0.51","0.94","-5.37","8.24"
"0.561","1.06","-5.57","8.12"
"0.612","1.29","-5.92","7.81"
"0.663","1.26","-5.88","7.73"
"0.714","1.49","-6.04","7.88"
"0.765","1.29","-5.22","7.41"
"0.816","1.29","-5.41","7.85"
"0.867","2.12","-6.2","7.88"
"0.918","2.82","-5.57","7.92"
"0.969","2.94","-6.71","8.94"
"1.02","1.88","-4.75","6.98"
"1.071","1.77","-5.02","6.51"
"1.122","1.88","-5.26","7.22"
"1.173","1.77","-5.77","8.39"
"1.224","1.18","-5.33","8.79"
"1.275","0.75","-6.2","9.06"
"1.326","-0.08","-7.77","10.12"
"164.13422","-1.65","-6.43","10.63"
"1.479","-0.9","-5.14","6.98"
"1.53","0.0","-7.57","9.53"
"1.581","0.04","-4.98","7.02"
"1.632","0.86","-4.47","6.75"
"1.683","0.27","-3.37","5.77"
"1.734","0.98","-5.06","6.71"
"1.785","1.41","-6.51","9.14"
"1.836","1.37","-6.75","9.26"
"1.887","1.49","-8.43","11.69"
"1.938","0.51","-7.3","9.41"
"1.989","1.8","-7.45","8.12"
"2.04","-0.12","-5.96","6.51"
"2.091","-0.08","-5.96","6.94"
"2.142","-0.27","-5.88","7.22"
"2.193","0.39","-5.77","6.59"
"2.244","-0.2","-4.12","5.84"
"2.295","-0.08","-4.16","6.51"
"2.346","-0.31","-5.37","9.26"
"176.37393","-0.24","-7.06","8.83"
"3.264","0.67","-4.24","6.94"
"3.315","0.67","-5.18","7.18"
"3.366","0.0","-5.14","8.59"
"3.417","-0.75","-6.55","9.69"
"3.468","-1.57","-6.39","10.08"
"3.519","0.24","-8.94","11.1"
"3.672","-0.78","-3.14","6.32"
"3.723","0.47","-4.43","7.3"
"3.774","0.94","-3.92","5.92"
"3.825","0.63","-3.8","6.67"
"3.876","1.1","-6.32","10.12"
"3.927","0.27","-6.83","10.83"
"3.978","0.59","-8.24","11.38"
"4.029","1.49","-8.87","11.1"
"4.08","0.98","-5.81","7.41"
"4.131","-0.31","-4.94","7.41"
"4.182","0.12","-4.75","6.71"
"4.233","0.9","-5.06","8.2"
"4.284","0.39","-4.08","6.9"
"4.335","1.1","-4.47","7.53"
"4.386","-0.35","-3.22","7.57"
"4.437","-0.82","-5.26","9.57"
"4.488","-1.96","-5.81","11.1"
"4.539","0.04","-8.59","11.81"
"4.59","-0.08","-7.34","9.45"
"4.641","-1.14","-4.16","8.08"
"4.692","0.04","-4.63","7.34"
"4.743","0.43","-4.0","6.86"
"4.794","0.98","-3.41","5.84"
"4.845","0.35","-3.06","6.75"
"4.896","1.14","-5.73","10.36"
"4.947","0.63","-6.39","10.63"
"200.34381","0.47","-7.57","10.87"
"5.1","0.82","-5.92","7.77"
"5.151","0.04","-4.16","8.63"
"5.202","-0.24","-3.77","6.86"
"5.253","0.98","-5.37","7.96"
"5.304","0.39","-4.28","5.26"
"5.355","-0.59","-3.88","5.53"
"5.406","-0.43","-5.69","11.02"
"5.457","-1.49","-5.57","9.45"
"5.508","-0.86","-6.35","9.77"
"5.559","-0.24","-8.51","11.92"
"5.61","-1.22","-5.92","7.3"
"5.661","-2.39","-5.06","9.57"
"5.712","-0.08","-5.37","7.61"
"207.99377","0.75","-3.77","6.08"
"5.865","0.71","-3.69","6.63"
"5.916","0.67","-6.0","9.85"
"5.967","0.43","-7.57","11.45"
"6.018","1.14","-8.51","10.83"
"6.069","1.45","-8.2","10.04"
"6.12","0.67","-5.88","6.39"
"6.171","-0.08","-5.96","8.83"
"6.222","-0.43","-4.08","6.51"
"6.273","-1.22","-2.79","4.9"
"6.324","1.18","-4.98","6.86"
"6.375","-0.47","-3.49","7.45"
"6.426","0.04","-5.37","10.24"
"6.477","-0.98","-6.47","11.38"
"6.528","-0.75","-6.94","10.83"
"6.579","0.75","-8.51","10.0"
"6.63","-1.65","-5.18","7.92"
"6.681","-0.51","-5.1","8.08"
"6.732","0.12","-4.0","6.59"
"6.783","1.88","-4.04","5.65"
"6.834","1.26","-1.96","6.08"
"6.885","1.49","-4.63","7.37"
"6.936","2.59","-7.96","11.53"
"6.987","0.2","-4.98","10.12"
"7.038","1.14","-7.73","10.43"
"7.089","1.33","-6.63","9.34"
"7.14","1.26","-4.59","6.51"
"7.191","1.02","-6.63","11.18"
"7.242","0.04","-4.67","12.12"
"7.293","2.63","-6.16","7.37"
"7.344","0.63","-3.3","4.79"
"7.395","0.04","-3.41","5.33"
"7.446","0.55","-4.71","8.28"
"7.497","-0.35","-4.35","7.88"
"7.548","0.43","-6.35","9.41"
"7.599","1.06","-7.49","11.81"
"7.65","0.39","-6.2","9.14"
"7.701","-1.22","-4.08","7.34"
"7.752","-0.04","-5.45","8.39"
"7.803","2.28","-5.88","8.98"
"7.854","1.18","-2.55","6.04"
"7.905","1.18","-2.75","6.94"
"229.92378","2.0","-5.84","11.18"
"8.058","1.06","-7.26","13.06"
"8.109","1.1","-6.9","11.14"
"8.16","1.1","-5.73","7.37"
"8.211","0.12","-5.73","8.12"
"8.262","-0.75","-4.94","6.47"
"9.231","-0.35","-4.16","6.24"
"9.282","0.78","-6.79","10.67"
"9.333","0.16","-4.2","6.79"
"9.384","0.39","-2.51","5.84"
"9.435","-0.2","-1.06","5.14"
"9.486","0.31","-3.77","10.12"
"9.537","-0.94","-5.02","10.43"
"9.588","-0.98","-5.77","11.14"
"9.639","-0.08","-7.73","12.94"
"9.69","0.39","-7.26","10.36"
"9.741","-1.14","-3.88","8.51"
"9.792","-0.59","-4.08","7.57"
"9.843","0.16","-3.8","6.43"
