NAME:,walk_3_1,,
EXPERIMENT TIME:,Thu Jun 08 14:06:53 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,124,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
0,9.53,-2.79,2.67
0.101,9.34,-2.47,2.63
0.202,9.1,-2.75,2.9
0.303,8.79,-3.1,3.14
0.404,7.77,-1.69,3.22
0.505,10.32,-4.24,4.59
0.606,6.47,-1.84,1.53
0.707,13.53,-1.84,0.71
0.808,5.69,-1.73,-2.04
0.909,7.41,-2.98,-0.08
1.01,10.4,-6.47,1.92
1.111,12.98,-4.98,-6.79
1.212,16.4,-2.75,-1.65
1.313,1.8,-0.35,2.35
1.414,8.04,-0.86,1.92
1.515,9.92,-7.69,5.81
1.616,6.71,2.28,0.94
1.717,12,-1.45,-0.86
1.818,4.39,-5.1,-0.78
1.919,9.38,-3.88,0.9
2.02,19.1,-3.57,-3.02
2.121,11.41,-1.49,-0.24
2.222,5.53,-3.18,0.86
2.323,3.37,-1.49,2.47
2.424,10.36,-4.08,2.47
2.525,18.83,-1.69,0.12
2.626,10.67,-5.02,-0.59
2.727,6.59,0.86,-1.37
2.828,4.43,-4.67,0.04
2.929,9.92,-3.96,1.73
3.03,17.93,-2.51,-4.47
3.131,12.24,0.2,0.08
3.232,7.61,-3.37,0.31
3.333,3.45,-0.59,1.92
3.434,7.65,-2.9,1.22
3.535,8.39,-6.08,3.88
3.636,6.79,2.04,-3.65
3.737,11.89,1.88,0.2
3.838,5.88,-5.61,-0.51
3.939,3.53,-1.73,1.8
4.04,8.28,-8.04,1.06
4.141,10.24,3.14,-4.59
4.242,16.75,-7.81,4.67
4.343,1.61,-7.73,2.79
4.444,-1.73,1.61,1.41
4.545,12.55,-1.1,-0.43
4.646,2.35,-10.87,2.55
4.747,12.79,-1.06,-0.08
4.848,4.16,-4.71,1.57
4.949,6.47,0,-1.84
5.05,20.01,-12.87,4.79
5.151,6.08,-8.79,3.14
5.252,-0.51,2.04,1.45
5.353,14.59,5.06,-4.39
5.454,16.51,-16.95,4.04
5.555,10,-0.78,0.08
5.656,1.53,-2.98,1.53
5.757,7.37,-2.24,-3.65
5.858,20.01,-5.61,1.73
5.959,3.37,-5.84,3.8
6.06,3.41,2.71,-0.98
6.161,20.01,-0.98,-3.61
6.262,6.55,-4.71,5.1
6.363,7.92,-2.67,0.12
6.464,5.69,-2.94,0.59
6.565,7.18,-4.82,-1.96
6.666,20.01,-1.14,2.75
6.767,8.39,-8.55,1.33
6.868,-1.26,0.86,2.43
6.969,20.01,-4.24,4.2
7.07,20.01,-7.41,3.14
7.171,12.75,-7.73,-0.67
7.272,4.51,0.94,0.12
7.373,10.36,-3.96,-2.43
7.474,7.57,-6.04,2.08
7.575,16.51,-3.06,-5.26
7.676,17.46,-4.2,-0.04
7.777,2.24,0.16,-0.08
7.878,6.47,1.45,1.57
7.979,14.91,-7.41,2.82
8.08,6.2,0.67,-0.67
8.181,14.91,1.37,-2.12
8.282,2.67,-4.16,-2.63
8.383,10.94,-8.04,0.39
8.484,10.24,-3.3,1.02
8.585,13.14,-2.2,-1.57
8.686,9.53,-6.16,0.39
8.787,2.2,0.16,1.65
8.888,6.86,-4.51,0.98
8.989,14.91,-0.94,-0.35
9.09,4.75,-2.43,0.35
9.191,10.04,3.26,-0.08
9.292,6.08,-4.51,-0.63
9.393,9.38,-4.63,-0.24
9.494,13.85,-3.3,0.55
9.595,10.94,-1.29,-0.94
9.696,10.2,-6.08,0.67
9.797,3.88,0.47,2.24
9.898,7.77,0.24,1.18
9.999,8.55,-9.22,3.8
10.1,5.73,2.71,0.08
10.201,16.04,-0.82,-0.55
10.302,4.31,-2.63,-1.33
10.403,3.77,-3.06,1.18
10.504,6.83,-4.86,3.37
10.605,20.01,4.43,-3.88
10.706,12.98,-9.73,2.47
10.807,-0.51,-0.08,2.04
10.908,3.33,0.55,-0.98
11.009,12.83,4.04,-0.78
11.11,3.84,-6.9,5.3
11.211,9.89,-2.31,-0.51
11.312,3.18,-1.26,-0.55
11.413,10.43,-0.08,-2.08
11.514,15.06,-4.9,3.73
11.615,1.77,-0.63,3.65
11.716,1.73,0.39,0.2
11.817,20.01,-12.24,-2.04
11.918,10.36,-2.55,3.61
12.019,2.98,-6.35,0.27
12.12,2.43,-0.24,0.86
12.221,10,-3.37,-0.47
12.322,14.16,-7.3,6
12.423,2.75,-3.1,1.37
12.524,-1.8,0.31,0.04
12.625,15.1,-4.04,5.06
12.726,5.02,-8.55,-3.14
12.827,13.57,-0.55,-2.82
12.928,2.71,-2.82,-1.45
13.029,10.51,-3.45,1.8
13.13,20.01,-0.78,-6.63
13.231,15.69,-3.22,-0.63
13.332,3.84,-1.41,0.27
13.433,2,1.02,1.69
13.534,16.16,-6.79,1.57
13.635,20.01,-0.24,-1.41
13.736,10.2,-6.04,-0.35
13.837,4.35,-0.98,0.55
13.938,10.2,-4.55,-1.26
14.039,9.22,-4.51,2
14.14,14.67,-2.51,-4.71
14.241,13.81,-3.84,-0.16
14.342,2.75,-0.04,0.78
14.443,7.88,0.24,1.61
14.544,12.79,-7.14,5.77
14.645,7.26,2.35,-0.24
14.746,10.94,0.9,-0.47
14.847,4.55,-2.79,-1.65
14.948,9.26,-6.2,1.02
15.049,11.06,-4.86,1.06
15.15,12.75,-1.92,-1.92
15.251,11.22,-5.45,0.71
15.352,2.16,0.47,1.49
15.453,9.45,-2.2,1.22
15.554,12.4,-6.04,-1.06
15.655,5.81,0.12,0.63
15.756,10.12,4.55,-0.12
15.857,5.06,-4.82,-1.37
15.958,10.79,-5.73,1.65
16.059,15.26,-2.9,-2.75
16.16,13.42,-0.39,0.51
16.261,6.47,-5.02,0.47
16.362,3.92,-1.53,1.18
16.463,10.98,-4.08,0.47
16.564,20.01,-5.81,2.12
16.665,13.14,-6.43,0.59
16.766,6,-3.18,-0.35
16.867,5.45,-1.14,-0.82
16.968,3.92,-5.3,2.86
17.069,12.91,1.33,-1.41
17.17,13.38,-9.65,2.59
17.271,5.14,-2.86,2.39
17.372,0.71,1.8,0.59
17.473,15.89,-1.06,-5.33
17.574,8.28,-10.63,5.02
17.675,13.06,-1.69,0.55
17.776,2.39,-1.18,0.82
17.877,8.51,-4.12,-0.98
17.978,20.01,0.63,0.08
18.079,6.63,-5.45,2.24
18.18,-1.18,1.88,2
18.281,18.08,2.04,-2.16
18.382,10.43,-11.49,2.98
18.483,10.47,-0.63,0.75
18.584,5.02,-1.57,-1.1
18.685,5.41,-4.59,-0.59
18.786,20.01,2.79,-0.78
18.887,8.94,-10.04,3.69
18.988,3.84,2.12,1.88
19.089,6.08,0.71,0.08
19.19,15.38,-0.04,1.33
19.291,9.96,-6.32,4.08
19.392,12.12,-2.67,-1.49
19.493,2.31,-1.96,0.82
19.594,4.39,-4.63,1.53
19.695,18.55,-2.35,-0.67
19.796,13.57,-8.32,0.94
19.897,0.75,1.14,0.9
19.998,7.53,-0.27,1.18
20.099,9.53,-7.41,7.14
20.2,5.77,1.84,-0.16
20.301,12.28,1.92,-1.26
20.402,3.57,-3.69,-1.84
20.503,11.34,-5.26,-0.16
