NAME:,run_1_1.csv,,
EXPERIMENT TIME:,18/06/2023 05:56,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS: ,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,9.92,0.94,-2.79
0.071006775,9.77,1.26,-2.75
0.14200592,9.85,1.37,-2.94
0.21300507,9.92,1.14,-3.22
0.2840042,9.65,1.49,-2.55
0.35500336,9.57,1.1,-2.63
0.4260025,9.61,1.02,-2.71
0.49700165,10,1.77,-2.67
0.5680008,9.41,2.08,-2.71
0.63899994,11.3,1.84,-3.06
0.7100067,8.24,2.12,-2.08
0.78100586,8.87,1.65,-1.65
0.852005,9.57,3.53,-0.63
0.92300415,13.49,0.98,-0.9
0.9940033,14.71,1.1,1.18
1.0650024,10.71,1.69,1.37
1.1360016,5.14,1.18,-0.75
1.2070007,3.53,3.22,-10
1.2779999,14.04,3.61,-4.79
1.3490067,14.87,0.51,-3.61
1.4200058,14.32,-0.31,0.55
1.491005,16.2,-3.3,-1.65
1.5620041,4.28,1.02,-2.79
1.6330032,1.88,0.47,-2.24
1.7040024,10.32,2.98,-6.94
1.7750015,19.61,2.79,-1.18
1.8460007,15.3,-0.31,0
1.9169998,6.43,3.45,-0.55
1.9880066,1.1,0.2,-3.02
2.0590057,0.67,3.22,-1.26
2.130005,16.79,-2.47,-8.36
2.201004,16.08,1.8,4.67
2.2720032,13.53,1.41,-1.88
2.3430023,9.3,-0.35,-3.69
2.4140015,0.94,1.37,-2.47
2.4850006,0.9,3.37,-2.43
2.5559998,20.01,-0.43,0.39
2.6270065,20.01,1.37,0.35
2.6980057,8.04,2.82,-0.59
2.7690048,0.86,0.47,-1.33
2.840004,-1.37,3.02,-1.57
2.911003,19.38,6,-1.37
2.9820023,17.46,3.84,-3.45
3.0530014,16,-1.45,-2.24
3.1240005,6.12,-1.49,-2.31
3.1949997,0.43,1.77,-2.71
3.2660065,3.53,1.41,-3.49
3.3370056,20.01,-0.67,-2.08
3.4080048,20.01,3.06,-1.84
3.479004,9.57,1.18,-1.02
3.550003,1.45,-0.16,-2.55
3.6210022,-4.31,3.65,-3.06
3.6920013,11.96,1.53,-17.06
3.7630005,17.85,2.94,-2.04
3.8339996,12.75,0.67,-1.73
3.9050064,9.89,-0.63,-2.43
3.9760056,5.61,-0.78,-4.59
4.0470047,-2.55,3.69,-3.02
4.118004,15.69,3.73,-7.61
4.189003,20.01,0.16,-3.3
4.260002,10.94,3.06,-2.47
4.3310013,1.53,2.2,-1.29
4.4020004,-3.69,2.2,-3.45
4.4729996,13.18,6.83,-19.53
4.5440063,20.01,-0.16,-4.08
4.6150055,13.3,2.55,-2.79
4.6860046,7.45,1.14,-1.37
4.757004,2.43,-0.24,-4.31
4.828003,1.77,1.69,-5.41
4.899002,15.61,2.2,-1.02
4.970001,20.01,1.41,-0.75
5.0410004,7.96,1.77,-2.04
5.1119995,0,1.69,-1.33
5.1830063,-2.9,2.59,-2.31
5.2540054,15.69,-1.26,2.71
5.3250046,18.67,2.35,-3.02
5.3960037,14.79,-0.67,-0.86
5.467003,4.79,3.14,-0.82
5.538002,2.86,-0.63,-4.31
5.609001,2.79,0.24,-4.04
5.6800003,17.3,2.86,-2.98
5.7509995,20.01,1.1,0.47
5.822006,8.08,1.14,-1.41
5.8930054,4.04,0.86,-2.59
5.9640045,-4.55,3.3,-3.1
6.0350037,10.63,-0.08,-7.73
6.106003,20.01,-1.69,-6.55
6.177002,13.38,2.67,-0.08
6.248001,6.83,0.47,-1.53
6.3190002,2.75,-1.02,-4
6.3899994,1.49,0.78,-4.75
6.461006,14.36,0.75,-5.81
6.5320053,20.01,-1.61,2
6.6030045,10.55,0,-2.51
6.6740036,2.28,2.24,-1.65
6.7450027,-2.79,3.18,-3.8
6.816002,12.98,5.61,-13.3
6.887001,19.85,0.04,-4.94
6.958,16.71,0.71,1.22
7.0289993,6.47,0.9,-0.82
7.100006,2.98,-0.08,-2.04
7.1710052,1.26,1.22,-5.18
7.2420044,11.06,1.88,-6.47
7.3130035,19.97,1.84,-0.86
7.3840027,17.46,-1.18,-1.73
7.455002,5.45,2.28,-0.75
7.526001,-6.2,-2.24,-4.43
7.597,5.53,1.73,2.63
7.668007,20.01,-0.39,-11.92
7.739006,16.59,5.49,-0.86
7.810005,10.32,-0.59,-1.49
7.8810043,5.1,-0.35,-4.28
7.9520035,1.65,-1.33,-4.98
8.023003,2.67,3.33,-11.06
8.094002,20.01,-0.59,-2.31
8.165001,20.01,-2.39,-2.2
8.236,5.37,2.82,-0.31
8.307007,-4.24,-1.33,-4.2
8.378006,3.8,2.79,-1.06
8.449005,14,-2.55,-8.83
8.520004,18.12,6.98,0.27
8.591003,12,-1.88,-2.12
8.662003,5.49,-0.63,-4.2
8.733002,0.71,1.14,-3.84
8.804001,3.96,3.02,-2.71
8.875,20.01,0.35,-1.14
8.946007,20.01,-0.98,-0.27
9.017006,8.55,1.84,-2.16
9.088005,-1.22,-0.35,-3.61
9.159004,0.24,3.92,0.12
9.230003,9.49,1.77,8.67
9.3010025,20.01,0.75,-7.26
9.372002,11.65,1.41,-3.26
9.443001,13.3,-0.43,-2.98
9.514,-3.14,-0.31,-4.35
9.585007,4.08,0.04,-2.39
9.656006,20.01,5.26,0
9.727005,20.01,-0.12,-0.51
9.798004,8.43,-0.04,-0.94
9.869003,1.06,1.49,-2.08
9.940002,-1.41,2.55,-1.49
10.011002,14.08,-0.63,6.83
10.082001,17.14,3.61,-1.22
10.153,13.18,-1.37,-1.65
10.224007,12.79,-0.94,-2.9
10.295006,-0.9,2.47,-2.55
10.366005,3.37,0.08,-2.39
10.437004,19.22,-1.84,-5.45
10.508003,20.01,0.24,-0.75
10.579002,11.02,0.27,-1.73
10.650002,2.98,0.51,-2.12
10.721001,-3.22,5.49,-1.92
10.792,18.28,-1.57,-20.01
10.863007,20.01,-2.43,-4.75
10.934006,15.77,2.51,0.78
11.005005,7.69,-0.82,-3.45
11.076004,5.18,0.24,-3.73
11.147003,0.55,0.94,-3.77
11.218002,14.51,1.53,-4.51
11.289001,20.01,-0.35,-1.53
11.360001,11.61,0.04,-1.02
11.431,5.14,1.49,-1.57
11.502007,-3.88,3.41,-1.77
11.573006,12.51,1.84,-15.1
11.644005,20.01,-1.73,-3.92
11.715004,14.08,3.88,-1.14
11.786003,11.26,-1.41,-2.55
11.857002,3.84,0.24,-2.12
11.928001,0.35,1.18,-3.92
11.999001,13.65,1.92,-5.84
12.07,20.01,-0.39,-0.39
12.141006,12.51,-2.04,-0.39
12.212006,5.3,4.31,-1.84
12.283005,-5.81,2.16,-4.2
12.354004,11.14,-1.22,-11.89
12.425003,20.01,-2.47,-6.28
12.496002,14.63,3.77,-2.2
12.567001,11.1,0.08,-1.41
12.6380005,3.41,-1.33,-2.63
12.709,0.59,0.51,-4.67
12.780006,10.12,6.67,-3.69
12.851006,20.01,-4.28,0.75
12.922005,9.38,-1.61,-1.45
12.993004,5.1,1.29,-0.47
13.064003,-2.12,0.86,-5.02
13.135002,12.04,4.31,-19.14
13.206001,19.65,-1.8,-5.3
13.277,14.47,1.06,-1.8
13.348,10.51,0.55,-1.26
13.419006,1.88,0.24,-3.49
13.4900055,0.67,0.2,-5.1
13.561005,11.85,3.41,-3.06
13.632004,20.01,-0.82,-0.16
13.703003,14.47,-0.43,-2.75
13.774002,6.04,1.37,-0.08
13.845001,-3.41,0.24,-5.14
13.916,6.08,3.49,-9.85
13.9869995,19.06,-4.31,-4.98
14.058006,18.28,0.55,0.82
14.129005,10.4,-1.22,-3.37
14.200005,1.49,2.43,-2.51
14.271004,-1.06,0.94,-4.28
14.342003,10.55,2.82,-6.55
14.413002,20.01,-2.47,-0.71
14.484001,12.67,-2.86,-0.43
14.555,6.2,1.26,-0.78
14.625999,-4.39,1.84,-4.55
14.697006,5.88,4.24,-5.02
14.768005,18.32,-4.59,-7.18
14.8390045,16.63,2.86,-0.59
14.910004,11.06,0.67,-3.06
