NAME:,walk_5_2.csv,,
EXPERIMENT TIME:,14/06/2023 21:50,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.0,7.14,4.39,7.73
0.090026855,7.37,3.69,8.0
0.18005371,7.22,3.61,8.43
0.26000977,6.59,3.3,9.06
0.35003662,6.94,3.8,8.51
0.4300537,6.16,2.86,9.41
0.52001953,6.16,3.14,8.59
0.6100464,6.63,3.14,9.02
0.69000244,7.57,3.49,10.04
0.7800293,6.55,6.0,13.96
0.8600464,2.04,6.24,9.53
0.9500122,6.79,5.18,9.3
1.0400391,5.61,2.24,6.98
1.1199951,4.63,3.45,3.57
1.210022,9.06,6.9,2.59
1.2900391,11.22,5.77,3.88
1.3800049,10.04,2.47,7.45
1.4700317,6.71,2.79,7.53
1.5500488,1.29,4.9,7.96
1.6400146,6.98,0.67,7.85
1.7200317,5.57,1.65,8.12
1.8099976,7.49,6.04,9.3
1.8900146,6.24,6.12,14.87
1.9800415,2.51,9.57,11.77
2.0700073,5.96,3.65,10.87
2.1500244,4.98,3.49,2.04
2.2400513,5.49,4.24,2.08
2.3200073,13.45,6.12,6.79
2.4100342,16.71,6.79,10.67
2.5,5.81,1.29,8.67
2.580017,7.3,3.65,6.79
2.670044,6.51,1.57,8.28
2.75,5.77,1.92,5.57
2.8400269,7.88,4.39,9.02
2.9300537,5.69,4.75,14.04
3.0100098,3.41,8.39,11.26
3.1000366,6.83,5.14,8.43
3.1800537,4.43,2.16,2.9
3.2700195,4.39,2.75,2.55
3.3600464,11.77,7.41,8.0
3.4400024,10.59,12.67,5.02
3.5300293,4.98,2.04,10.43
3.619995,5.61,5.3,6.32
3.7000122,5.57,3.69,6.67
3.790039,6.9,2.63,7.81
3.869995,7.73,4.16,8.87
3.960022,7.73,5.22,11.1
4.050049,3.84,6.67,12.98
4.130005,9.77,6.47,8.36
4.2200317,4.24,1.26,5.26
4.300049,5.37,1.61,1.69
4.3900146,9.57,4.0,4.04
4.4800415,11.22,8.75,2.59
4.5599976,8.12,2.28,10.47
4.6500244,8.16,3.37,8.24
4.7300415,4.94,4.9,6.55
4.8200073,5.57,2.12,6.47
4.910034,7.06,2.47,9.45
4.9900513,6.0,4.79,13.38
5.080017,3.37,10.0,11.65
5.160034,8.71,5.26,6.59
5.25,3.65,0.24,4.31
5.330017,6.39,1.1,-0.08
5.420044,10.43,3.02,1.69
5.51001,10.43,11.69,1.02
5.590027,6.43,0.27,12.08
5.6800537,9.57,6.63,6.83
5.76001,4.16,1.77,6.86
5.8500366,5.73,1.57,7.14
5.9400024,6.51,2.43,9.77
6.0200195,2.39,6.28,14.28
6.1100464,5.33,12.98,12.24
6.1900024,5.37,5.57,4.71
6.2800293,6.47,-1.88,4.71
6.369995,6.08,2.39,2.31
6.450012,14.16,4.98,7.61
6.540039,15.65,5.33,11.61
6.619995,8.28,2.0,9.3
6.710022,2.55,0.39,6.28
6.800049,6.28,3.49,7.26
6.880005,5.02,0.94,5.65
6.9700317,8.24,3.57,10.36
7.0599976,4.2,6.94,12.94
7.1400146,6.9,10.28,12.67
7.2300415,7.69,4.79,7.02
7.3099976,3.92,-0.04,4.39
7.4000244,5.65,1.77,1.88
7.4900513,15.14,4.82,9.22
7.5700073,18.24,5.73,12.51
7.660034,6.98,2.08,10.04
7.7400513,6.2,4.24,5.57
7.830017,6.16,1.96,7.53
7.920044,6.51,1.26,5.88
8.0,9.1,3.45,9.06
8.090027,7.1,4.0,13.77
8.170044,7.92,10.51,10.87
8.26001,8.2,3.92,7.49
8.350037,3.53,0.59,4.12
8.430054,6.86,1.33,1.53
8.52002,14.28,6.55,8.08
8.600037,8.16,6.98,9.81
8.690002,5.22,0.59,8.87
8.77002,4.12,2.71,5.1
8.860046,5.14,1.1,6.67
8.950012,7.02,1.45,5.33
9.030029,9.18,5.06,9.41
9.119995,8.24,6.59,14.08
9.200012,6.83,10.51,13.22
9.290039,6.08,4.08,5.77
9.380005,4.94,1.1,2.39
9.460022,7.1,1.96,1.96
9.550049,13.65,5.14,7.22
9.630005,8.55,9.96,11.81
9.720032,8.08,1.77,8.43
9.809998,5.37,2.98,4.55
9.890015,7.1,2.94,6.55
9.9800415,5.88,2.79,4.55
10.059998,9.77,4.71,11.02
10.150024,5.53,8.9,15.85
10.240051,5.65,14.63,1.26
10.320007,3.77,-1.45,5.65
10.410034,5.06,2.2,2.59
10.490051,8.67,3.96,2.28
10.580017,12.63,6.16,2.86
10.670044,8.83,5.1,8.83
10.75,9.34,5.14,7.77
10.840027,8.16,5.81,2.51
10.930054,5.96,1.84,6.55
11.01001,6.39,1.8,6.98
11.100037,9.22,2.2,11.18
11.180054,7.41,8.24,13.1
11.27002,7.81,4.94,8.51
