"NAME:","run_3_1.csv"
"EXPERIMENT TIME:","2023/06/18 17:46"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","20"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-11.26","2.51","-1.06"
"0.1","-9.65","-1.77","-0.90"
"0.201","-10.08","1.14","-1.65"
"0.303","-11.30","0.12","-0.75"
"0.403","-9.45","-0.08","-1.45"
"0.505","-9.85","-0.94","-1.10"
"0.605","-9.89","-0.55","-1.22"
"0.706","-9.69","-0.31","-0.59"
"0.807","-10.43","-1.69","1.41"
"0.908","-5.77","-6.63","-5.18"
"1.01","-8.79","0.20","-2.47"
"1.11","-15.57","1.37","-1.57"
"1.211","-6.35","11.02","0.04"
"1.312","-3.49","3.02","-13.14"
"1.413","-14.08","6.90","1.77"
"1.515","-11.02","-8.16","0.94"
"1.615","0.75","-2.39","-6.12"
"1.716","-20.01","1.26","-7.49"
"1.818","-15.49","7.96","-0.39"
"1.918","-3.57","4.12","-4.20"
"2.019","-13.34","-2.43","-7.49"
"2.12","-20.01","-3.41","-2.63"
"2.221","1.02","3.10","-4.08"
"2.322","-16.71","6.98","-3.80"
"2.423","-20.01","5.57","-0.12"
"2.525","-2.00","4.47","-2.71"
"2.625","-6.24","-12.71","-9.85"
"2.726","-20.01","3.33","-0.16"
"2.828","-4.98","3.41","-1.65"
"2.928","-5.41","0.63","-5.65"
"3.03","-20.01","-0.63","3.10"
"3.13","1.22","-4.82","-4.31"
"3.231","-2.12","-1.41","-2.86"
"3.332","-15.93","-3.80","-2.71"
"3.433","-10.20","-2.47","-2.31"
"3.535","-1.14","-3.26","-7.81"
"3.635","-17.30","7.81","-8.47"
"3.736","-18.01","8.98","0.75"
"3.837","-1.41","7.34","-5.06"
"3.938","-18.55","-6.86","2.75"
"4.04","-20.01","5.84","-1.10"
"4.14","0.67","-2.55","-5.84"
"4.241","-15.61","5.06","-20.01"
"4.342","-20.01","-8.16","3.06"
"4.443","0.00","-1.41","-4.08"
"4.545","-8.00","-2.31","-2.86"
"4.645","-20.01","8.90","-1.02"
"4.746","-17.73","-7.65","-1.65"
"4.847","1.53","-0.75","-7.53"
"4.948","-11.65","-5.10","12.98"
"5.05","-10.87","3.61","0.71"
"5.15","-0.08","5.02","-6.67"
"5.251","-17.02","-7.41","2.12"
"5.352","-20.01","4.04","-2.31"
"5.453","2.98","2.71","0.67"
"5.555","-3.69","-3.88","-1.49"
"5.655","-4.67","-2.24","0.27"
"5.756","-10.08","9.57","3.33"
"5.857","0.90","5.61","-7.61"
"5.958","-11.61","0.12","3.61"
"6.059","-14.91","-6.35","0.20"
"6.16","1.37","-6.04","-9.18"
"6.261","-10.59","7.02","8.08"
"6.362","-19.18","5.18","1.02"
"6.463","-0.71","-2.90","-4.71"
"6.564","-12.28","-2.16","-5.45"
"6.665","-18.95","3.37","-0.78"
"6.766","-7.10","6.79","-0.75"
"6.867","-2.20","-4.47","-5.41"
"6.968","-17.06","-0.04","-2.71"
"7.069","-6.79","4.35","1.61"
"7.17","-0.90","6.00","-5.30"
"7.271","-20.01","0.43","-4.31"
"7.372","-18.08","-1.65","-1.37"
"7.473","0.75","-1.10","-4.47"
"7.574","-6.94","-1.06","-1.65"
"7.675","-8.20","-4.59","-0.08"
"7.776","-16.16","3.22","2.59"
"7.877","2.35","-1.18","-4.31"
"7.978","-20.01","5.37","-4.39"
"8.079","-8.94","4.94","-3.53"
"8.18","-6.24","-3.02","0.82"
"8.281","-6.43","-1.84","-4.28"
"8.382","-20.01","4.90","-4.00"
"8.483","-15.14","2.24","-4.24"
"8.584","-5.69","2.04","-1.61"
"8.685","-8.36","-4.67","-0.04"
"8.786","-14.32","2.28","-5.49"
"8.887","-3.57","1.14","-2.43"
"8.988","-10.36","-1.53","-2.67"
"9.089","-11.10","1.80","-4.98"
"9.19","-9.57","-0.67","-2.47"
"9.291","-10.63","-0.59","-2.71"
"9.392","-10.40","-0.24","-2.98"
"9.493","-10.71","0.00","-2.51"
"9.594","-10.63","0.08","-2.86"
"9.695","-9.85","0.08","-2.08"
