NAME:,walk_3_1.csv,,
EXPERIMENT TIME:,06/06/2023 11:53,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,60,,
,,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
202.087,-6.550843,0.11768,1.686744
202.168,-11.807208,-0.784532,5.570178
202.249,-13.023232,-0.627626,-0.078453
202.33,-7.256921,-1.84365,0.549172
202.411,-11.218808,-3.373488,0.588399
202.492,-7.531507,-2.432049,-0.11768
202.573,-9.139798,-0.823759,0.23536
202.654,-9.963557,-1.098345,0.666852
202.735,-11.297261,1.922104,-1.216025
202.816,-12.748646,-3.020448,-1.176798
202.897,-12.709418,-7.727641,1.294478
202.978,-10.787315,-0.902212,-0.156906
203.059,-8.276814,0.470719,0.274586
203.14,-5.570178,-0.509946,1.96133
203.221,-6.00167,0.11768,1.098345
203.302,-20.005568,-4.903325,5.256365
203.383,-12.748646,1.569064,1.647517
203.464,-7.727641,-4.001113,1.019892
203.545,-8.43372,-1.098345,0.823759
203.626,-8.590626,-3.098902,-0.392266
203.707,-8.237586,-0.23536,-0.353039
203.788,-10.081236,-0.274586,-0.392266
203.869,-10.865768,-0.549172,0.431493
203.95,-15.141468,-2.392823,0.23536
204.031,-11.414941,-6.393936,-0.745305
204.112,-10.591183,-3.098902,0.823759
204.193,-10.120463,0.549172,0.196133
204.274,-5.76631,-0.313813,1.569064
204.355,-7.178468,0.784532,2.706636
204.436,-18.554182,-5.295591,-1.647517
204.517,-12.630966,2.510503,2.157463
204.598,-10.39505,-6.943109,0.549172
204.679,-7.649188,0.627626,0.078453
204.76,-10.15969,-2.981222,-0.274586
204.841,-7.649188,-0.549172,0.039227
204.922,-10.120463,-0.353039,-0.627626
205.003,-9.532064,-1.569064,1.529837
205.084,-12.670193,-0.039227,1.96133
205.165,-10.826543,-4.824872,-2.118237
205.246,-10.238143,-6.393936,2.549729
205.327,-10.708862,1.725971,-0.431493
205.408,-5.687858,-0.549172,0.902212
205.489,-6.197803,-0.980665,2.549729
205.57,-8.08068,-0.353039,1.647517
205.651,-10.983448,-1.137571,5.177911
205.732,-11.571848,0.588399,-0.23536
205.813,-7.492281,-1.608291,-0.196133
205.894,-11.807208,-4.354153,1.255251
205.975,-7.217695,-1.882877,0.078453
206.056,-9.335931,-0.745305,-0.11768
206.137,-9.414385,-1.451384,1.019892
206.218,-10.708862,2.549729,-0.23536
206.299,-12.513286,-3.961887,-1.569064
206.38,-13.219365,-7.688414,2.275143
206.461,-11.807208,1.686744,-0.549172
207.109,-7.178468,-2.31437,-0.039227
207.19,-9.453611,-0.588399,-0.156906
207.271,-9.532064,-0.196133,0.313813
207.352,-11.493395,0.470719,-0.627626
207.433,-15.102242,-2.588956,-0.706079
207.514,-11.454168,-6.354709,0.470719
207.595,-8.943666,-0.823759,0.156906
207.676,-9.924331,-1.255251,0.274586
207.757,-6.668522,-1.098345,2.07901
207.838,-6.315483,1.922104,2.510503
207.919,-20.005568,-6.746975,1.569064
208,-13.140911,1.725971,2.588956
208.081,-9.688971,-5.138685,0.313813
208.162,-8.747532,0.392266,0.470719
208.243,-9.296705,-2.235916,-0.039227
208.324,-7.453054,-0.313813,0.156906
208.405,-10.27737,-0.470719,-0.588399
208.486,-10.15969,-1.804424,0.706079
208.567,-13.337045,-1.098345,2.07901
208.648,-10.15969,-4.354153,-1.647517
208.729,-11.258035,-5.138685,1.647517
208.81,-10.51273,0.784532,-0.666852
208.891,-6.040897,0.23536,0.784532
208.972,-6.590069,0.156906,2.785089
209.053,-8.825986,-1.137571,-0.039227
209.134,-12.47406,-1.608291,3.177355
209.215,-12.277926,-5.138685,1.372931
209.296,-8.551399,0.078453,-1.019892
209.377,-9.845878,-4.079566,0.392266
209.458,-8.276814,-2.07901,0.078453
209.539,-8.708306,-0.902212,-0.23536
209.62,-9.728197,-1.216025,1.019892
209.701,-11.022676,1.96133,1.059118
209.782,-10.002784,-3.491168,-1.84365
209.863,-13.180139,-7.806094,2.549729
209.944,-10.120463,1.333704,-0.902212
210.025,-6.393936,-0.274586,1.098345
210.106,-6.23703,-0.784532,3.020448
210.187,-6.629296,0.980665,0.274586
210.268,-12.2387,-2.981222,4.001113
210.349,-11.140355,-1.725971,0.588399
210.43,-8.747532,0.039227,-0.941438
210.511,-9.924331,-4.942552,0.980665
210.592,-7.453054,-2.275143,0.156906
210.673,-9.218252,-0.666852,-0.509946
210.754,-9.571291,-0.431493,1.098345
210.835,-11.061902,1.451384,0.509946
210.916,-11.807208,-3.491168,-2.667409
210.997,-12.787872,-7.884547,2.000557
211.078,-10.865768,1.490611,-0.902212
211.159,-6.825429,0.078453,0.784532
211.24,-6.040897,-0.862985,2.785089
211.321,-5.805537,0.431493,1.137571
211.402,-19.534847,-3.844207,5.88399
211.483,-12.513286,0.862985,0.11768
211.564,-7.649188,-3.216581,1.255251
211.645,-10.355823,-2.118237,0.823759
211.726,-7.531507,-2.628182,-0.353039
211.807,-8.43372,-0.392266,-0.23536
211.888,-10.15969,-0.078453,0
211.969,-11.414941,-0.549172,-0.392266
212.05,-15.141468,-3.883434,-0.23536
212.131,-11.650301,-6.550843,-0.196133
212.212,-10.15969,-1.294478,0.11768
212.293,-8.865212,-0.23536,0.156906
212.374,-6.080123,-0.470719,1.451384
212.941,-8.159133,-0.470719,-0.431493
213.022,-9.532064,-0.509946,0.039227
213.103,-10.04201,-0.784532,0.941438
213.184,-12.160246,-0.706079,1.765197
213.265,-9.767424,-4.628739,-1.529837
213.346,-12.513286,-5.295591,2.19669
213.427,-11.414941,0.627626,-0.353039
213.508,-6.23703,-0.196133,0.196133
213.589,-5.923217,-1.333704,2.471276
213.67,-7.178468,0.862985,1.216025
213.751,-11.493395,-1.255251,4.432606
213.832,-12.513286,-1.176798,-0.039227
213.913,-7.649188,-1.569064,-0.039227
213.994,-10.708862,-4.746419,0.431493
214.075,-7.139242,-2.392823,0.196133
214.156,-9.610518,-0.627626,-0.549172
214.237,-8.551399,-0.745305,1.216025
214.318,-11.964113,1.647517,-0.23536
214.399,-13.925444,-2.667409,-1.412158
214.48,-10.826543,-7.060789,1.255251
214.561,-10.551956,0.902212,0.11768
214.642,-8.159133,0.156906,0.470719
214.723,-6.158576,-2.07901,2.745862
214.804,-6.433163,1.922104,1.216025
214.885,-20.005568,-6.00167,5.76631
214.966,-12.12102,1.176798,1.098345
215.047,-9.218252,-4.393379,1.098345
215.128,-9.924331,-1.529837,0.823759
215.209,-7.766868,-2.000557,-0.392266
215.29,-8.198359,-0.156906,0.11768
215.371,-9.610518,0.11768,0.156906
215.452,-10.120463,-1.137571,0.392266
215.533,-14.592296,-1.216025,1.137571
215.614,-10.15969,-4.981779,-1.490611
215.695,-10.787315,-4.981779,2.31437
215.776,-10.04201,0,-0.666852
215.857,-6.158576,0.431493,1.019892
215.938,-6.354709,0.039227,2.510503
216.019,-7.100015,-0.706079,-0.980665
216.1,-12.47406,-2.000557,3.92266
216.181,-12.866325,-4.393379,1.451384
216.262,-7.609961,-0.039227,-0.431493
216.343,-10.238143,-4.001113,0.23536
216.424,-7.884547,-2.118237,0.353039
216.505,-9.375158,-0.353039,-0.392266
216.586,-9.532064,-0.549172,1.137571
216.667,-10.944222,0.509946,1.412158
216.748,-11.88566,-3.138128,-2.157463
216.829,-11.53262,-6.668522,1.725971
216.91,-9.492838,1.333704,-0.588399
216.991,-7.884547,0.353039,-0.313813
217.072,-6.825429,-1.372931,2.628182
217.153,-5.962444,1.137571,1.176798
217.234,-15.337602,-2.000557,5.060232
217.315,-11.454168,0.823759,-0.588399
217.396,-9.335931,-3.726527,0.431493
217.477,-9.492838,-1.84365,0.902212
217.558,-8.708306,-2.471276,-0.509946
217.639,-8.629852,-0.196133,0.196133
217.72,-10.120463,0.039227,-0.23536
217.801,-9.963557,-1.647517,0.862985
217.882,-13.729311,-2.19669,1.294478
217.963,-9.885103,-4.079566,-2.392823
218.044,-11.061902,-4.04034,1.922104
218.125,-11.179583,-0.823759,0.23536
218.206,-6.197803,0.078453,1.019892
218.854,-10.27737,-1.412158,-0.11768
218.935,-8.590626,-1.725971,0.23536
219.016,-10.63041,-0.509946,-1.176798
219.097,-13.415498,-2.549729,0.666852
219.178,-8.982892,-5.334818,0.509946
219.259,-11.375715,-1.647517,0.784532
219.34,-10.787315,-0.353039,0.784532
219.421,-8.394493,-1.529837,1.059118
219.502,-8.982892,-2.824315,1.804424
219.583,-8.943666,-1.686744,0.980665
219.664,-9.296705,-1.882877,1.804424
219.745,-9.375158,-0.784532,1.686744
219.826,-12.984006,-3.334261,-0.196133
219.907,-7.884547,-1.529837,0.509946
219.988,-11.022676,-2.19669,-0.353039
220.069,-9.728197,-1.96133,0.313813
220.15,-10.198917,-1.412158,-0.156906
220.231,-10.39505,-1.529837,-0.156906
220.312,-10.081236,-1.372931,0.11768
220.393,-10.27737,-1.569064,-0.078453
220.474,-10.355823,-1.490611,-0.039227
220.555,-10.27737,-1.686744,-0.11768
220.636,-10.081236,-2.235916,0
