"NAME:","run_1_1.csv"
"EXPERIMENT TIME:","2023/06/18 17:45"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","22"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-10.67","0.16","-1.92"
"0.101","-10.63","0.04","-1.77"
"0.202","-10.47","0.12","-1.77"
"0.303","-11.02","0.27","-2.16"
"0.404","-10.59","0.20","-1.73"
"0.505","-9.73","0.16","-2.59"
"0.606","-10.75","-0.35","-0.43"
"0.707","-10.40","-1.06","-2.35"
"0.808","-8.55","0.78","-1.57"
"0.909","-12.59","0.08","-1.65"
"1.01","-10.71","0.47","-0.47"
"1.111","-9.69","0.71","0.31"
"1.212","-11.73","2.86","1.49"
"1.313","-14.16","4.43","-3.02"
"1.414","-11.77","-1.65","-2.86"
"1.515","-15.77","-0.04","-1.61"
"1.616","-9.10","-3.41","-1.53"
"1.717","-0.08","-2.16","-6.67"
"1.818","-16.32","2.20","-3.14"
"1.919","-13.93","7.45","2.00"
"2.02","-2.90","3.45","-1.57"
"2.121","-9.18","-4.43","-10.71"
"2.222","-20.01","1.73","-0.55"
"2.323","-6.16","3.80","-2.00"
"2.424","-5.41","-3.30","-12.36"
"2.525","-14.12","-6.16","1.88"
"2.626","-7.18","1.14","-0.04"
"2.727","1.96","10.12","-2.71"
"2.828","-19.81","0.31","1.88"
"2.929","-16.83","-7.81","1.33"
"3.03","-1.96","-1.61","-6.86"
"3.131","-19.26","6.47","0.35"
"3.232","-17.34","7.06","1.02"
"3.333","-1.92","2.75","-1.18"
"3.434","-14.16","-4.00","6.04"
"3.535","-19.30","2.82","-1.69"
"3.636","-2.28","0.78","-1.84"
"3.737","-10.04","4.59","-12.75"
"3.838","-18.48","-7.41","3.65"
"3.939","-5.61","0.12","-0.63"
"4.04","-5.14","7.81","-4.79"
"4.141","-12.04","7.22","5.10"
"4.242","-15.42","-9.14","-1.49"
"4.343","2.43","1.02","-11.45"
"4.444","-11.26","-0.51","-7.96"
"4.545","-15.69","9.30","0.63"
"4.646","-3.14","5.69","-4.51"
"4.747","-14.40","-2.31","-3.69"
"4.848","-20.01","-1.06","0.08"
"4.949","0.94","3.69","-1.49"
"5.05","-10.71","12.00","-7.18"
"5.151","-20.01","0.27","1.26"
"5.252","0.12","-5.26","-5.81"
"5.353","-10.04","2.71","-9.96"
"5.454","-16.48","4.86","1.41"
"5.555","-4.98","-1.69","-2.28"
"5.656","-2.75","-1.77","-7.22"
"5.757","-9.26","10.67","-5.61"
"5.858","-20.01","12.63","4.94"
"5.959","0.08","7.45","-2.67"
"6.06","-8.83","-6.32","-1.84"
"6.161","-16.44","-5.88","0.04"
"6.262","-0.78","-2.79","-5.10"
"6.363","-8.39","6.16","-0.98"
"6.464","-20.01","6.67","2.71"
"6.565","-0.82","-6.51","-3.14"
"6.666","-7.18","-5.53","-3.06"
"6.767","-20.01","-3.33","7.77"
"6.868","-16.55","-0.47","-1.33"
"6.969","1.49","-8.63","-8.08"
"7.07","-20.01","5.57","2.79"
"7.171","-20.01","9.34","2.43"
"7.272","3.84","4.04","-5.77"
"7.373","-8.63","-2.63","-1.77"
"7.474","-19.69","-0.55","1.80"
"7.575","-6.16","5.30","-2.12"
"7.676","-4.71","0.00","2.04"
"7.777","-9.49","5.22","-2.51"
"7.878","-14.98","11.38","4.75"
"7.979","-2.24","-0.67","-1.33"
"8.08","-13.45","-1.26","-1.92"
"8.181","-19.18","-6.08","2.20"
"8.282","1.77","-1.18","-3.45"
"8.383","-13.61","3.33","-20.01"
"8.484","-9.77","-5.73","0.00"
"8.585","-11.57","3.33","3.14"
"8.686","0.82","-3.41","-2.31"
"8.787","-20.01","5.22","-5.73"
"8.888","-9.96","4.90","-2.12"
"8.989","-6.79","0.47","-1.14"
"9.09","-10.08","-5.30","1.14"
"9.191","-20.01","11.73","-2.08"
"9.292","-13.53","-0.59","-3.37"
"9.393","-6.79","1.88","-1.37"
"9.494","-6.90","0.24","-0.67"
"9.595","-10.63","3.53","-2.67"
"9.696","-11.38","3.37","-3.65"
"9.797","-11.10","-0.16","-3.49"
"9.898","-7.10","1.45","-2.31"
"9.999","-15.89","3.06","-6.04"
"10.1","-11.02","5.53","-2.24"
"10.201","-9.30","1.53","-0.82"
"10.302","-8.63","4.12","0.08"
"10.403","-18.20","-2.86","-4.43"
"10.504","-8.75","1.96","-3.02"
"10.605","-10.40","0.47","-2.98"
"10.706","-10.20","-0.35","-3.14"
"10.807","-10.40","-0.04","-2.90"
"10.908","-10.08","0.27","-2.28"
"11.009","-10.87","-0.63","-2.55"
"11.11","-10.24","0.35","-2.51"
"11.211","-10.16","1.45","-2.31"
"11.312","-10.87","1.61","-1.73"
"11.413","-10.90","1.84","-1.49"
"11.514","-10.16","1.22","-1.33"
"11.615","-10.59","1.84","-1.14"
"11.716","-10.43","1.37","-1.61"
"11.817","-10.67","1.02","-1.77"
"11.918","-10.79","1.06","-1.49"
"12.019","-10.67","1.18","-1.80"
"12.12","-10.63","1.10","-1.96"
"12.221","-10.67","0.90","-1.84"
"12.322","-10.63","0.94","-1.88"
"12.423","-10.51","0.78","-2.00"
