NAME:,run_3_1,,
EXPERIMENT TIME:,08/06/2023 10:37,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,130,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.062,-1.58,-9.11,2.9
0.155,-1.67,-9.01,2.99
0.269,-1.79,-8.96,3.14
0.325,-1.97,-8.93,3.18
0.435,-1.97,-8.93,3.18
0.493,-1.97,-8.93,3.18
0.573,-1.97,-8.93,3.18
0.659,-1.97,-8.93,3.18
0.747,-1.97,-8.93,3.18
0.832,-1.97,-8.93,3.18
0.892,-1.97,-8.93,3.18
0.976,-2.08,-8.89,3.23
1.06,-2.11,-8.89,3.19
1.147,-2.08,-8.81,3.28
1.203,-2.08,-8.81,3.28
1.291,-2.08,-8.81,3.28
1.374,-2.08,-8.81,3.28
1.454,-2.08,-8.81,3.28
1.54,-2.08,-8.81,3.28
1.592,-2.08,-8.81,3.28
1.676,-2.08,-8.81,3.28
1.757,-2.75,-10.98,3.13
1.847,-3.48,-11.55,2.82
1.942,-2.98,-9.51,1.27
2.022,-2.98,-9.51,1.27
2.102,-2.98,-9.51,1.27
2.19,-2.98,-9.51,1.27
2.276,-2.98,-9.51,1.27
2.362,-2.98,-9.51,1.27
2.449,-2.98,-9.51,1.27
2.532,-2.98,-9.51,1.27
2.619,-1.37,-11.09,1.48
2.708,-0.51,-10.02,0.8
2.761,-1.05,-8.56,0.68
2.851,-1.05,-8.56,0.68
2.917,-1.05,-8.56,0.68
3,-1.05,-8.56,0.68
3.093,-1.05,-8.56,0.68
3.149,-1.05,-8.56,0.68
3.24,-1.05,-8.56,0.68
3.332,-1.05,-8.56,0.68
3.426,-0.44,-8.56,0.51
3.488,-0.44,-9.44,0.44
3.572,-0.2,-8.97,1.1
3.665,-0.2,-8.97,1.1
3.721,-0.2,-8.97,1.1
3.812,-0.2,-8.97,1.1
3.9,-0.2,-8.97,1.1
3.964,-0.2,-8.97,1.1
4.045,-0.2,-8.97,1.1
4.132,-0.2,-8.97,1.1
4.224,-1.28,-8.97,1.2
4.316,-0.97,-8.15,0.81
4.407,-0.39,-8.39,-0.97
4.463,-0.39,-8.39,-0.97
4.52,-0.39,-8.39,-0.97
4.613,-0.39,-8.39,-0.97
4.703,-0.39,-8.39,-0.97
4.796,-0.39,-8.39,-0.97
4.885,-0.39,-8.39,-0.97
4.946,-0.39,-8.39,-0.97
5.001,-0.37,-8.39,-0.9
5.094,-0.89,-6.11,-0.22
5.19,-1.24,-6.51,0.75
5.287,-1.24,-6.51,0.75
5.38,-1.24,-6.51,0.75
5.442,-1.24,-6.51,0.75
5.534,-1.24,-6.51,0.75
5.596,-1.24,-6.51,0.75
5.686,-1.24,-6.51,0.75
5.747,-1.24,-6.51,0.75
5.834,-2.64,-5.86,-0.29
5.927,-1.6,-4.08,0.04
6.016,-1.43,-5.75,1.19
6.076,-1.43,-5.75,1.19
6.167,-1.43,-5.75,1.19
6.227,-1.43,-5.75,1.19
6.32,-1.43,-5.75,1.19
6.412,-1.43,-5.75,1.19
6.505,-1.43,-5.75,1.19
6.564,-1.43,-5.75,1.19
6.655,0,1.18,0.75
6.716,-0.18,-0.67,-0.89
6.807,-4.9,-5.95,-0.34
6.897,-4.9,-5.95,-0.34
6.995,-4.9,-5.95,-0.34
7.058,-4.9,-5.95,-0.34
7.147,-4.9,-5.95,-0.34
7.211,-4.9,-5.95,-0.34
7.299,-4.9,-5.95,-0.34
7.361,-4.9,-5.95,-0.34
7.456,-6.13,-6.9,-0.46
7.551,-7.11,-9.87,2.01
7.621,-4.69,-8.07,2.5
7.707,-4.69,-8.07,2.5
7.772,-4.69,-8.07,2.5
7.873,-4.69,-8.07,2.5
7.937,-4.69,-8.07,2.5
8.032,-4.69,-8.07,2.5
8.127,-4.69,-8.07,2.5
8.189,-4.69,-8.07,2.5
8.274,-4.6,-7.98,3.47
8.369,-0.97,-11.19,5.56
8.469,2.51,-12.46,4.65
8.477,2.51,-12.46,4.65
8.57,2.51,-12.46,4.65
8.659,2.51,-12.46,4.65
8.752,2.51,-12.46,4.65
8.845,2.51,-12.46,4.65
8.931,2.51,-12.46,4.65
8.988,2.51,-12.46,4.65
9.077,3.52,-14.23,5.7
9.14,1.69,-13.7,3.19
9.229,1.32,-14.33,2.33
9.313,1.32,-14.33,2.33
9.4,1.32,-14.33,2.33
9.497,1.32,-14.33,2.33
9.556,1.32,-14.33,2.33
9.65,1.32,-14.33,2.33
9.742,1.32,-14.33,2.33
9.805,1.32,-14.33,2.33
9.897,7.31,-19.29,2.29
9.96,6.09,-20.01,4.33
10.051,4.99,-13.57,3.99
10.144,4.99,-13.57,3.99
10.208,4.99,-13.57,3.99
10.301,4.99,-13.57,3.99
10.36,4.99,-13.57,3.99
10.417,4.99,-13.57,3.99
10.505,4.99,-13.57,3.99
10.594,4.99,-13.57,3.99
10.686,2.31,-13.55,5.15
10.781,4.68,-12.17,4.28
10.844,3.71,-11.34,6.97
10.934,3.71,-11.34,6.97
11.032,3.71,-11.34,6.97
11.095,3.71,-11.34,6.97
11.189,3.71,-11.34,6.97
11.283,3.71,-11.34,6.97
11.344,3.71,-11.34,6.97
11.434,3.71,-11.34,6.97
11.494,0.13,-7.28,4.28
11.59,-1.78,-0.56,2.21
11.683,-1.27,-6.64,0.8
11.773,-1.27,-6.64,0.8
11.845,-1.27,-6.64,0.8
11.939,-1.27,-6.64,0.8
12.009,-1.27,-6.64,0.8
12.102,-1.27,-6.64,0.8
12.16,-1.27,-6.64,0.8
12.221,-1.27,-6.64,0.8
12.313,-1.45,-2.67,0.75
12.41,-1.7,-10.76,3.45
12.504,-1.37,-11.95,2.93
12.561,-1.37,-11.95,2.93
12.653,-1.37,-11.95,2.93
12.718,-1.37,-11.95,2.93
12.808,-1.37,-11.95,2.93
12.905,-1.37,-11.95,2.93
12.968,-1.37,-11.95,2.93
13.025,-1.37,-11.95,2.93
13.12,-2.11,-20.01,7.45
13.216,-2.69,-20.01,4.48
13.309,-1.77,-11.53,4.31
13.406,-1.77,-11.53,4.31
13.47,-1.77,-11.53,4.31
13.53,-1.77,-11.53,4.31
13.625,-1.77,-11.53,4.31
13.692,-1.77,-11.53,4.31
13.782,-1.77,-11.53,4.31
13.848,-1.77,-11.53,4.31
13.942,-1.92,-11.53,-0.55
14.044,-1.14,-3.84,-0.34
14.104,-1.77,-5.77,0.99
14.192,-1.77,-5.77,0.99
14.291,-1.77,-5.77,0.99
14.357,-1.77,-5.77,0.99
14.411,-1.77,-5.77,0.99
14.51,-1.77,-5.77,0.99
14.572,-1.77,-5.77,0.99
14.666,-1.77,-5.77,0.99
14.763,0.17,0.76,1.18
14.825,0.42,0.14,0.68
14.922,-0.65,-1.97,-1.43
15.018,-0.65,-1.97,-1.43
15.114,-0.65,-1.97,-1.43
15.175,-0.65,-1.97,-1.43
15.233,-0.65,-1.97,-1.43
15.327,-0.65,-1.97,-1.43
15.421,-0.65,-1.97,-1.43
15.483,-0.65,-1.97,-1.43
15.576,-0.48,-1.19,-2.07
15.638,-1.39,-2.51,-1.09
15.732,1.53,-6.69,1.19
