"NAME: ","walk_3_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:39:39"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","56"

"Time[sec]","ACC X","ACC Y","ACC Z"
"15.8","-4.31","8.36","0.35"
"15.9","-4.75","9.81","1.29"
"16.0","-5.14","10.04","1.18"
"16.1","-5.33","7.73","1.06"
"16.2","-4.94","7.73","0.86"
"16.3","-5.02","8.20","1.02"
"16.4","-4.90","10.08","0.98"
"16.5","-4.75","9.61","0.47"
"16.6","-4.59","7.69","-0.63"
"16.7","-4.71","8.51","-1.22"
"16.8","-4.31","9.14","0.16"
"16.9","-4.71","8.90","-0.24"
"17.0","-4.79","7.85","0.04"
"17.1","-5.33","8.00","0.24"
"17.2","-5.88","9.30","-0.04"
"17.3","-6.28","10.87","-0.12"
"17.4","-5.37","9.06","0.08"
"17.5","-5.06","7.65","-0.12"
"17.6","-5.18","8.24","0.35"
"17.7","-5.53","9.02","0.27"
"17.8","-3.92","8.04","-0.43"
"17.9","-3.92","8.87","0.12"
"18.0","-3.92","9.26","0.43"
"18.1","-4.86","8.24","0.71"
"18.2","-5.30","8.55","0.75"
"18.3","-6.32","9.96","0.12"
"18.4","-5.33","8.04","0.59"
"18.5","-4.79","7.30","1.18"
"18.6","-5.49","7.22","0.39"
"18.7","-5.45","9.77","0.71"
"18.8","-4.63","10.51","0.00"
"18.9","-3.61","8.63","0.16"
"19.0","-4.75","8.83","-1.92"
"19.1","-4.63","8.83","-2.51"
"19.2","-4.55","8.55","-0.63"
"19.3","-5.81","9.69","-0.16"
"19.4","-6.51","8.90","-0.39"
"19.5","-6.47","8.94","-0.82"
"19.6","-5.96","8.63","-0.59"
"19.7","-5.84","7.61","-1.22"
"19.8","-5.61","8.20","-0.39"
"19.9","-5.53","8.87","-0.12"
"20.0","-5.45","10.04","-0.04"
"20.1","-4.63","9.49","0.04"
"20.2","-4.20","7.96","0.27"
"20.3","-4.12","7.57","0.59"
