"NAME:","run_1_1"
"EXPERIMENT TIME:","2023-06-09 16:55:15"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","100"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.051","0.59","0.43","9.57"
"0.102","0.59","0.35","9.81"
"0.153","0.51","0.63","9.81"
"0.204","0.63","0.67","9.85"
"0.255","0.71","0.55","9.77"
"0.306","0.71","0.43","10.04"
"0.357","0.78","0.47","9.61"
"0.408","0.63","0.51","9.57"
"0.459","0.82","0.47","9.53"
"0.51","0.71","0.35","9.96"
"0.561","0.55","0.16","9.45"
"1020.3306","0.59","0.39","9.41"
"0.714","1.1","0.31","9.65"
"0.765","1.1","0.16","9.89"
"0.816","0.67","0.12","10.75"
"0.867","1.61","-0.27","9.85"
"0.918","0.9","0.12","9.77"
"0.969","-0.08","0.98","9.26"
"1.02","-0.24","0.75","8.24"
"1.071","-0.82","1.02","7.61"
"1.122","-0.63","1.37","9.02"
"1.173","-0.27","0.43","14.28"
"1.224","0.86","1.96","14.83"
"1.275","0.08","4.47","13.61"
"1.326","2.2","2.43","10.08"
"1.377","2.16","1.8","4.82"
"1.428","1.41","1.53","1.14"
"1.479","-0.98","3.69","17.14"
"1.53","3.14","-1.02","11.18"
"1.581","1.33","1.26","14.44"
"1.632","3.8","4.39","9.49"
"1.683","0.71","1.92","8.9"
"1.734","-0.24","-2.86","7.34"
"1.785","-1.49","-1.61","6.55"
"1.836","-2.0","-1.29","5.96"
"1.887","-2.35","-2.2","7.81"
"1.938","-0.04","2.55","10.75"
"1.989","1.37","0.51","20.01"
"2.04","0.75","0.71","11.45"
"2.091","-1.29","4.86","2.28"
"2.142","2.39","0.98","3.77"
"2.193","2.04","2.28","6.47"
"2.244","0.59","1.49","13.45"
"2.295","4.35","-0.43","12.24"
"2.346","-0.86","5.3","19.81"
"2.397","0.04","-3.37","14.4"
"2.448","-2.82","-2.16","6.2"
"2.499","-1.8","-2.2","7.96"
"2.55","-0.94","-1.26","2.9"
"2.601","-2.51","1.73","4.98"
"2.652","2.16","-3.8","14.67"
"2.703","-0.86","10.71","12.55"
"2.754","0.86","-1.02","19.61"
"1042.2612","-0.59","3.57","2.9"
"2.907","2.39","0.39","3.8"
"2.958","2.24","2.28","9.06"
"3.009","6.83","-1.53","16.67"
"3.06","8.94","-0.2","20.01"
"3.111","4.67","-2.94","16.59"
"3.162","-1.06","-0.31","3.3"
"3.213","-4.75","0.31","3.88"
"3.264","-4.43","1.18","-0.75"
"3.315","-1.69","-0.2","1.8"
"3.366","1.06","0.0","13.02"
"3.417","-0.67","4.43","19.77"
"3.468","0.27","0.51","15.26"
"3.519","-3.1","8.87","11.22"
"3.57","2.24","-0.82","6.86"
"3.621","4.28","-1.22","4.9"
"3.672","4.43","0.08","5.26"
"3.723","6.59","0.0","15.22"
"3.774","5.88","-0.71","19.02"
"3.825","3.53","-0.94","12.55"
"3.876","-2.63","-0.47","9.41"
"3.927","-3.06","-2.79","5.06"
"3.978","-2.16","-0.59","2.43"
"4.029","-2.12","2.67","6.04"
"4.08","0.86","-0.12","11.53"
"4.131","2.39","-2.51","16.32"
"4.182","0.98","0.2","12.59"
"4.233","-0.78","4.86","6.79"
"4.284","2.43","-0.71","6.12"
"4.335","7.73","-2.59","5.84"
"4.386","5.02","1.06","12.43"
"4.437","5.26","-1.65","12.83"
"4.488","0.43","3.8","18.75"
"4.539","1.37","-1.84","15.06"
"4.59","0.47","-1.77","7.61"
"4.641","-0.59","-2.67","7.37"
"4.692","-3.8","3.18","1.8"
"4.743","-3.18","0.12","2.67"
"5.713","2.86","0.82","1.02"
"5.764","4.31","1.77","0.39"
"5.815","3.45","3.1","3.61"
"5.866","5.73","-4.08","12.75"
"5.917","5.3","3.22","6.98"
"5.968","2.98","-2.0","20.01"
"6.019","-0.24","1.96","6.75"
"6.07","-2.47","3.57","7.77"
"6.121","-2.67","1.88","4.98"
"6.172","0.27","-2.82","6.39"
"6.223","-3.8","-0.31","13.18"
"6.274","-2.08","4.63","10.16"
"6.325","0.71","-2.24","17.85"
"6.376","1.53","0.98","11.53"
"6.427","3.92","0.35","1.8"
"6.478","2.9","2.82","0.94"
"6.529","2.16","3.41","5.18"
"6.58","3.33","-4.39","19.93"
"6.631","4.0","3.26","12.98"
"6.682","3.06","-0.47","19.93"
"6.733","2.98","-2.24","10.43"
"6.784","-2.43","1.61","4.94"
"6.835","-1.29","-1.65","2.43"
"6.886","-1.77","0.43","1.41"
"6.937","0.31","0.63","11.22"
"6.988","1.14","7.1","11.26"
"7.039","1.49","5.92","13.1"
"7.09","-1.45","2.71","10.83"
"7.141","0.59","2.16","1.02"
"7.192","3.8","0.16","4.28"
"7.243","3.84","1.73","7.61"
"7.294","4.31","-1.26","13.42"
"7.345","7.3","4.79","10.55"
"7.396","5.81","2.08","16.36"
"7.447","1.57","-0.67","10.9"
"7.498","-2.35","-1.33","4.51"
"7.549","-0.55","-0.86","1.1"
"7.6","-0.63","-1.65","7.37"
"7.651","-2.67","-2.59","18.51"
"7.702","1.77","6.83","5.45"
"7.753","3.92","2.39","13.22"
"7.804","-0.63","2.0","10.32"
"7.855","0.39","1.14","4.31"
"1093.2721","2.24","-0.04","6.43"
"8.009","6.04","-6.94","18.12"
"8.06","1.33","9.65","11.14"
"8.111","3.22","0.16","19.93"
"8.162","0.94","-3.33","16.71"
"8.213","-0.98","2.79","1.57"
"8.264","-2.24","-0.47","3.88"
"8.315","-1.61","-0.35","3.57"
"8.366","-1.26","0.12","14.12"
"8.417","-1.77","2.16","19.57"
"8.468","1.84","0.31","13.65"
"8.519","0.94","1.8","6.47"
"8.57","1.37","2.98","4.31"
"1100.4242","2.79","2.55","6.67"
"8.723","5.84","-1.88","9.41"
"8.774","5.92","7.45","14.75"
"8.825","3.18","-2.16","20.01"
"8.876","-1.41","-0.31","10.04"
"8.927","-2.86","1.45","3.65"
"8.978","-2.2","-1.02","3.1"
"9.029","-3.33","0.04","3.33"
"9.08","-4.67","-4.67","14.83"
"9.131","1.06","8.39","11.57"
"9.182","4.08","4.55","13.14"
"9.233","-2.55","4.9","12.08"
"9.284","0.59","-0.78","6.32"
"1107.5662","3.77","-1.65","4.35"
"9.437","7.02","-3.73","14.24"
"9.488","3.92","8.2","10.94"
"9.539","4.24","-3.61","20.01"
"9.59","-1.57","0.39","12.67"
"9.641","-3.26","-0.39","6.08"
"9.692","-2.79","-0.04","5.77"
"9.743","-1.18","-0.08","0.35"
"9.794","-2.75","-3.45","10.9"
"9.845","-3.18","5.37","13.42"
"9.896","1.73","-1.61","18.36"
"9.947","0.63","1.65","14.83"
"9.998","-0.24","2.39","6.28"
"10.049","4.2","-0.12","4.63"
"10.1","4.12","5.26","0.43"
"10.151","7.73","-7.34","9.26"
"10.202","2.39","16.75","8.08"
"10.253","4.71","-3.8","19.38"
"10.304","-0.16","1.57","9.22"
"10.355","-0.82","-1.57","6.94"
"10.406","-2.04","-2.0","5.96"
"10.457","-1.22","-2.47","2.98"
"10.508","-1.73","-0.43","6.08"
"10.559","-0.63","-1.02","19.26"
"10.61","3.96","-2.12","18.44"
"10.661","2.63","-3.65","16.12"
"10.712","0.12","4.35","3.49"
"10.763","-0.43","5.22","1.84"
"10.814","5.1","0.82","2.98"
"1122.8655","8.71","-2.55","13.18"
"11.222","1.22","-4.98","12.75"
"11.273","-4.71","3.69","14.04"
"1127.4526","-5.3","0.67","18.99"
"12.24","4.94","4.79","3.61"
"1137.123","7.65","-1.18","14.16"
"1143.2458","1255425.4","1.18","4.31"
"14.193","0.75","-0.94","15.49"
"14.244","2.0","2.08","7.02"
"14.295","3.33","0.82","13.26"
"14.346","3.84","4.47","4.12"
"14.397","5.77","-0.16","6.94"
"14.448","7.14","0.63","8.98"
"14.499","4.79","5.73","12.32"
"14.55","-0.59","-1.33","16.28"
"14.601","-2.86","-1.92","15.85"
"14.652","-1.02","-2.39","5.37"
"14.703","-1.92","-3.22","3.53"
"14.754","-3.3","0.08","5.14"
"14.805","-0.75","-0.24","17.5"
"14.856","2.71","1.49","13.22"
"14.907","4.67","-0.35","10.47"
"14.958","1.96","2.59","5.81"
"15.009","4.43","1.06","8.12"
"15.06","4.98","4.47","3.96"
"15.111","6.0","-2.24","16.79"
"15.162","4.35","4.2","10.94"
"15.213","2.55","2.63","18.91"
"15.264","1.1","-2.04","14.08"
"15.315","-1.57","-1.14","5.96"
"15.366","-1.1","-1.14","2.35"
"15.417","-3.22","1.02","2.43"
"15.468","-4.16","-2.12","7.57"
"15.519","0.04","8.24","10.75"
"15.57","5.26","-1.69","16.71"
"15.621","3.88","5.22","6.98"
"15.672","3.37","0.16","3.49"
"15.723","3.3","1.69","4.2"
"15.774","4.35","3.14","4.2"
"15.825","6.83","-2.75","12.67"
"15.876","4.94","4.59","9.73"
"1173.4803","4.35","2.16","19.34"
"16.08","-2.98","0.9","2.04"
"16.131","-2.98","0.63","2.63"
"16.182","-0.98","-2.94","10.67"
"16.233","-1.61","7.65","12.51"
"16.284","4.98","-1.96","15.34"
"16.335","3.22","3.14","8.32"
"16.386","3.37","3.73","3.3"
"16.437","5.84","0.47","5.65"
"16.488","6.63","2.28","4.28"
"16.539","4.71","-1.45","15.57"
"1180.1144","3.84","3.14","9.53"
"16.692","0.04","-1.06","17.5"
"16.743","-1.02","-2.31","7.14"
"16.794","-3.53","1.02","0.67"
"16.845","-3.45","1.49","0.31"
"16.896","-1.45","-1.88","9.3"
"16.947","-3.37","7.81","12.67"
"16.998","3.26","0.2","14.36"
"17.049","3.18","0.43","11.18"
"17.1","2.55","2.39","5.18"
"17.151","5.81","-0.24","5.22"
"17.203","6.43","3.06","4.79"
"17.254","6.59","-2.04","12.47"
"17.305","4.28","2.75","9.57"
"17.356","5.26","-2.08","17.38"
"17.407","-0.04","-2.08","16.59"
"17.458","-2.12","-1.14","6.47"
"17.509","-2.16","-0.47","3.65"
"17.56","-3.57","1.33","3.14"
"17.611","2.9","-6.9","19.65"
"17.662","0.47","7.49","12.0"
"17.713","2.12","-4.16","14.24"
"17.764","1.26","5.37","5.57"
"1192.3677","5.41","0.31","0.78"
"17.968","7.26","1.41","15.1"
"18.019","4.16","2.63","17.14"
"18.07","-1.73","1.45","19.02"
"18.121","-0.55","-1.73","8.36"
"18.172","-0.51","-1.22","2.98"
"18.325","-5.53","1.73","18.55"
"18.376","-2.75","-1.06","19.42"
"18.427","2.12","2.39","7.88"
"18.478","2.98","2.67","5.73"
"18.529","6.35","0.16","2.0"
"18.58","6.63","2.31","1.92"
"18.631","7.22","-0.59","14.04"
"18.682","7.22","0.24","15.89"
"18.733","4.31","1.02","19.97"
"18.784","0.55","0.0","16.48"
"18.835","-0.94","-3.3","7.14"
"18.886","-3.02","-0.2","0.31"
"18.937","-4.08","0.27","-0.55"
"19.09","2.9","-1.18","16.99"
"19.141","1.22","3.02","10.87"
"19.192","0.2","3.33","8.63"
"1206.6477","6.12","-1.1","4.24"
"20.161","2.51","3.41","20.01"
"20.212","-0.16","-0.43","16.91"
"20.263","-0.98","-3.02","8.24"
"20.416","-4.35","-5.88","9.49"
"20.467","-2.63","5.96","12.08"
"20.518","2.0","-0.16","12.04"
"20.569","0.47","2.63","7.69"
"20.62","4.43","-0.24","3.14"
"20.671","6.67","0.43","9.61"
"20.722","7.73","3.49","6.86"
"20.773","8.63","-2.86","15.22"
"20.824","3.45","3.26","11.18"
"20.875","2.24","1.77","15.73"
"20.926","0.0","-2.59","13.61"
"20.977","-0.98","-4.24","6.43"
"21.028","-3.1","1.02","2.12"
"21.079","-3.18","-2.47","-0.2"
"21.13","1.02","-5.3","9.85"
"21.181","-4.67","5.18","17.65"
"21.232","1.8","-1.61","14.16"
"21.283","0.82","-0.24","10.83"
"21.334","4.28","0.75","5.41"
"21.385","9.38","-0.2","5.06"
"21.436","8.12","1.06","6.32"
"21.487","6.0","-3.96","16.99"
"21.538","1.61","4.39","14.98"
"21.589","0.59","-0.43","17.34"
"21.64","-0.27","-1.92","12.12"
"21.691","-1.33","-2.55","4.98"
"21.742","-3.61","1.18","-0.86"
"21.794","-4.9","0.31","2.31"
"21.845","-0.71","-1.69","16.79"
"21.896","3.96","1.06","11.06"
"21.947","4.63","0.16","11.45"
"21.998","1.53","5.45","8.59"
"22.049","5.41","0.04","4.0"
"22.1","6.51","4.94","5.65"
"22.151","6.83","0.39","9.81"
"22.202","7.45","-1.22","15.3"
"22.253","4.9","-0.71","20.01"
"22.304","2.04","0.94","16.04"
"22.355","-0.75","-1.88","9.92"
"22.406","-2.82","-1.06","3.73"
"22.457","-4.35","1.26","-1.26"
"22.61","-2.39","0.78","18.79"
"22.661","0.86","6.12","8.28"
"22.712","3.61","-6.55","12.79"
"22.763","7.77","-0.63","8.59"
"22.814","6.16","2.39","1.22"
"22.865","7.81","1.73","4.16"
"22.916","6.08","2.67","18.51"
"22.967","3.92","3.26","17.5"
"23.018","1.96","-0.51","16.48"
"23.069","-2.86","-1.14","7.26"
"23.12","-1.1","-2.86","3.88"
"23.171","-3.06","0.43","0.9"
"23.222","-6.86","-0.24","6.63"
"23.273","-4.67","0.63","19.57"
"23.324","0.31","0.94","16.63"
"23.375","0.35","2.75","14.04"
"23.426","2.51","3.61","10.0"
"23.477","7.81","-0.27","3.61"
"23.528","8.67","-1.14","1.65"
"23.579","5.96","1.41","10.87"
"23.63","5.06","-0.27","18.16"
"23.681","2.0","-1.69","20.01"
"23.732","-1.8","-0.47","16.87"
"23.783","-1.73","-1.06","8.94"
"23.834","-6.24","3.49","4.59"
"23.885","-5.61","3.26","0.98"
"23.936","-4.71","-0.47","4.71"
"23.987","0.0","-0.75","10.71"
"24.038","-0.47","0.82","9.45"
"24.089","3.53","-2.63","9.65"
"24.14","4.55","3.26","6.59"
"24.191","9.02","-0.51","9.61"
"24.242","7.22","3.8","8.43"
"24.293","6.83","-1.8","12.91"
"24.344","7.88","-1.45","14.12"
"24.395","5.1","-1.96","17.73"
"24.446","-1.45","0.75","14.71"
"24.497","-2.86","-3.33","7.22"
"24.548","-3.73","-2.71","3.92"
"24.599","-4.67","0.12","0.35"
"24.65","-4.31","-2.28","11.26"
"1261.2229","1.45","4.67","10.28"
"24.803","0.94","2.39","13.81"
"24.854","5.69","2.63","5.84"
"24.905","10.2","-1.65","4.67"
"24.956","6.12","4.35","1.14"
"25.007","6.86","-3.3","15.93"
"25.058","7.37","1.06","11.18"
"25.109","2.63","2.43","19.14"
"25.16","0.2","-2.28","13.14"
"25.211","-1.06","-2.63","5.26"
"26.129","2.0","10.04","6.98"
"26.18","4.12","3.26","15.49"
"26.231","0.31","6.51","9.89"
"26.282","8.08","-3.33","4.47"
"26.333","9.02","3.33","-0.98"
"26.384","8.9","1.26","7.06"
"26.435","8.55","1.96","18.01"
"26.486","7.45","3.06","20.01"
"26.537","3.53","-0.16","19.34"
"26.588","-0.55","-1.33","10.32"
"26.639","-1.49","-2.75","4.35"
"26.69","-2.12","0.27","2.98"
"26.741","-5.45","2.43","1.96"
"26.792","-3.84","-2.63","12.87"
"26.843","0.67","1.37","11.18"
"26.894","3.06","4.43","13.06"
"26.945","5.14","0.51","14.16"
"26.996","3.57","6.04","9.22"
"27.047","7.53","2.43","1.69"
"27.098","9.38","-3.14","7.96"
"27.149","2.55","5.37","20.01"
"27.2","3.92","3.3","20.01"
"27.251","2.16","0.78","18.87"
"27.302","-0.94","-3.06","10.36"
"27.353","-2.75","0.59","1.92"
"27.404","-2.39","-3.26","4.35"
"27.455","-6.2","1.02","4.51"
"27.506","-0.24","-3.3","6.67"
"27.557","-0.59","11.22","12.0"
"27.608","3.53","-0.67","19.5"
"27.659","5.81","1.61","11.41"
"27.71","7.57","3.14","1.02"
"27.761","6.43","4.63","0.78"
"27.812","7.41","0.12","5.33"
"27.863","8.24","-0.39","16.0"
"27.914","9.26","1.8","20.01"
"27.965","1.14","2.08","15.73"
"28.016","0.86","-2.94","6.43"
"28.067","-1.33","-3.41","5.18"
"28.118","-2.98","2.28","3.57"
"28.169","-3.92","1.41","5.14"
"28.22","2.9","-2.35","10.28"
"28.271","0.47","8.32","16.0"
"28.322","1.49","6.35","12.16"
"28.373","4.55","1.69","6.83"
"28.424","7.3","0.24","5.26"
"28.475","7.06","3.06","2.2"
"28.526","8.63","-1.61","8.71"
"28.577","6.75","1.92","12.12"
"28.628","8.83","-0.04","18.99"
"28.679","1.57","1.1","19.34"
"28.73","-2.24","-0.59","10.24"
"28.781","-2.39","-0.9","4.35"
"28.832","-2.82","4.24","-2.08"
"28.883","-3.49","-0.55","11.34"
"28.934","-5.3","2.0","13.73"
"28.985","1.33","-0.98","14.51"
"29.036","4.2","-0.47","11.96"
"1305.0885","6.32","3.06","5.06"
"29.189","7.45","5.81","2.51"
"29.24","9.96","-5.06","7.61"
"29.291","7.92","3.18","12.36"
"29.342","6.67","-0.67","18.99"
