NAME:,run_4_1,,
EXPERIMENT TIME:,Thu Jun 01 21:49:42 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,130,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
0,-9.89,0.47,-4.94
0.08388608,-9.69,0.16,-5.14
0.159383552,-9.1,1.06,-5.26
0.260046848,-9.89,0.67,-5.3
0.33554432,-8.75,0.51,-6.47
0.4194304,-6.59,0.08,-2.28
0.494927872,-12.36,0.59,-4.67
0.578813952,-18.75,1.84,-8.9
0.67108864,-9.65,0.94,-8.71
0.746586112,0.63,0.67,-1.37
1.711276032,-0.24,0.55,-2.47
2.214592512,-11.06,0.35,-7.45
2.717908992,-20.01,0.31,-7.81
2.76824064,-20.01,-0.08,-9.69
2.793406464,-1.1,0.27,-5.37
2.801795072,-20.01,5.73,-10.24
2.818572288,-20.01,0.2,-8.94
2.85212672,-11.85,0.51,-6.12
2.860515328,0.39,-0.24,1.84
2.877292544,-0.47,1.69,-0.98
2.89406976,-8.94,-0.24,-6.24
2.902458368,-20.01,0.82,-9.14
2.910846976,-20.01,-2.08,-10.08
2.927624192,-20.01,-1.69,-7.02
2.9360128,-20.01,1.14,-11.89
2.969567232,-11.73,3.65,-4.59
3.028287488,5.06,1.33,2.94
3.087007744,-4,-3.73,-2.75
3.162505216,-5.22,2.12,-3.49
3.246391296,-20.01,0.82,-11.1
3.347054592,-20.01,6,-10.59
3.447717888,-3.65,-4.31,-1.49
3.514826752,-1.57,-1.88,1.1
3.573547008,-0.82,7.14,-4.2
3.64904448,-13.89,-2.82,-7.26
3.741319168,-20.01,3.65,-7.65
3.825205248,-17.85,2.08,-5.73
3.90070272,3.8,0.47,-1.73
3.9845888,0.04,-2.31,-1.26
4.060086272,-2.28,-5.06,-4.31
4.143972352,-20.01,10.83,-6.75
4.219469824,-20.01,2.59,-7.85
4.303355904,-7.34,1.69,-5.1
4.378853376,-0.94,-1.69,1.77
4.462739456,1.1,3.45,-2.67
4.555014144,-6.67,1.96,-3.49
4.622123008,-20.01,3.18,-7.77
4.69762048,-20.01,2.47,-6.9
4.78150656,-0.59,1.14,-1.88
4.857004032,-1.18,0.43,-0.67
4.957667328,-3.49,-0.47,-1.22
5.041553408,-11.41,2.86,-11.77
5.11705088,-20.01,1.29,-6.98
5.184159744,-16.71,1.18,-8.83
5.293211648,3.73,-3.49,0.47
5.36870912,-0.55,1.49,-0.27
5.435817984,-0.27,2.94,-1.45
5.511315456,-20.01,-1.61,-6.67
5.595201536,-20.01,6.86,-8.67
5.679087616,-11.81,1.69,-6.16
5.754585088,4,-0.12,0.82
5.855248384,-1.77,0.67,-2.08
5.930745856,-3.92,-3.22,-3.22
6.006243328,-19.97,5.77,-10.87
6.090129408,-20.01,3.73,-8.71
6.16562688,-5.1,-0.31,-3.96
6.24951296,-4.08,-0.75,1.96
6.33339904,-0.67,3.96,-4.08
6.41728512,-8.43,2.43,-7.14
6.492782592,-20.01,3.26,-11.02
6.593445888,-19.46,3.73,-7.85
6.660554752,-0.55,-0.24,-1.69
6.727663616,-0.31,0.47,-2.47
6.811549696,-1.14,-2.35,-2.98
