NAME:,run_1_2,,
EXPERIMENT TIME:,Thu Jun 08 15:37:21 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,133,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
0,9.53,3.45,-0.24
0.101,8.98,4.31,-0.08
0.202,8.98,4.47,0.39
0.303,10.04,4.47,-0.51
0.404,8.39,4.67,0.04
0.505,7.92,1.53,0.55
0.606,12.51,3.8,2.16
0.707,16.48,8.98,4.98
0.808,7.88,3.53,3.61
0.909,-2.9,-3.41,-3.49
1.01,5.92,-5.02,3.41
1.111,14.75,10.16,6.2
1.212,11.22,3.37,-0.16
1.313,-5.18,-3.41,-5.81
1.414,6.35,4.35,5.96
1.515,8.9,3.18,2.24
1.616,-9.14,-4.08,-4.16
1.717,20.01,3.3,-8.08
1.818,13.02,6.59,5.37
1.919,6.08,1.92,2.35
2.02,-3.8,-4.43,-4.67
2.121,20.01,17.69,-7.49
2.222,6.63,2.82,5.14
2.323,-9.49,-3.84,-2.63
2.424,20.01,9.22,-10.9
2.525,9.92,9.53,6.32
2.626,10.51,-1.77,-0.78
2.727,2.86,-8.08,-6.63
2.828,18.79,16,10.94
2.929,-3.88,-11.89,5.02
3.03,8.79,-6.59,5.61
3.131,14.44,8.98,6.86
3.232,10.43,-1.02,0.9
3.333,-8.47,-7.1,-1.8
3.434,11.3,4.55,0.63
3.535,1.88,-2.08,2.24
3.636,-0.86,0,3.18
3.737,20.01,-1.22,-10.43
3.838,13.14,14.04,5.02
3.939,3.65,-4.63,-5.1
4.04,9.85,-5.96,6.86
4.141,19.93,20.01,11.1
4.242,-5.69,-12.36,-9.38
4.343,20.01,-14.83,-6.24
4.444,11.38,10.75,5.49
4.545,12.51,-8.51,-8.98
4.646,-5.41,-1.02,-2.59
4.747,20.01,18.01,9.96
4.848,5.73,-7.69,1.88
4.949,-1.02,0.12,5.33
5.05,-1.33,6.51,12.94
5.151,7.81,16.36,2.43
5.252,-0.75,-2.24,2.51
5.353,10.16,-4.59,-6.75
5.454,7.49,20.01,8.08
5.555,-4.2,-19.85,-10.59
5.656,11.3,5.49,2.75
5.757,20.01,20.01,6.59
5.858,10.71,0.43,-4.82
5.959,-8.51,-4.43,-5.84
6.06,16.63,14.04,6.32
6.161,3.57,-10.67,4.08
6.262,-4.98,-0.98,4.59
6.363,-18.91,8.98,7.18
6.464,3.18,20.01,5.53
6.565,-0.9,0.08,-0.63
6.666,7.88,0.63,-10.24
6.767,12.51,20.01,8.67
6.868,-0.27,-5.41,-12.16
6.969,6.47,4.86,-1.1
7.07,20.01,19.26,13.96
7.171,8.28,-6.67,1.8
7.272,-1.29,-2.94,-2.59
7.373,20.01,20.01,1.22
7.474,2.39,3.69,6.79
7.575,-7.61,0.51,2.86
7.676,-20.01,20.01,20.01
7.777,1.45,19.97,2.63
7.878,1.33,-0.24,-3.3
7.979,15.3,-8.71,8.39
8.08,15.1,20.01,11.22
8.181,-12.24,-14.4,-8.04
8.282,14.36,4.55,-3.61
8.383,3.77,20.01,15.77
8.484,-0.51,5.53,5.77
8.585,-1.33,-4.63,0.78
8.686,19.89,-4.04,0.94
8.787,6.86,5.88,-0.43
8.888,-10,1.88,2.08
8.989,-10.63,7.77,8.83
9.09,7.53,6.63,-4.24
9.191,2.59,1.49,-4.39
9.292,0.47,-19.81,16.4
9.393,20.01,19.73,10.08
