"NAME:","Run_2_1"
"EXPERIMENT TIME:","2023/06/06 12:12:04"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","150"

"Time[sec]","ACC X","ACC Y","ACC Z"
"0","1.73","-8.04","-5.22"
"0.08101025390624272","2.90","-6.71","-3.53"
"0.16201025390626","1.45","-9.57","-4.00"
"0.24301025390627728","1.22","-12.12","-3.73"
"0.32401025390629457","1.37","-0.63","-7.61"
"0.40501025390619816","1.26","-4.75","-11.06"
"0.48601025390621544","2.39","-14.71","-10.59"
"0.5670102539062327","-4.16","-16.12","-6.59"
"0.64801025390625","0.67","2.75","1.92"
"0.7290102539062673","-1.84","-0.12","-3.84"
"0.8100102539062846","-2.47","-11.14","-10.43"
"0.8910102539063018","-0.31","-20.01","-6.04"
"0.9720102539062054","0.82","-9.77","-0.94"
"1.0530102539062227","4.20","1.61","-1.26"
"1.13401025390624","-2.43","6.04","-0.16"
"1.2150102539062573","1.61","-20.01","-10.94"
"1.2960102539062746","4.39","-20.01","-2.08"
"1.3770102539062918","0.86","1.84","-3.30"
"1.4580102539061954","-2.24","-5.77","-1.22"
"1.5390102539062127","3.06","1.37","-2.82"
"1.62001025390623","-2.55","-20.01","-16.44"
"2.349010253906272","0.31","-20.01","-10.08"
"2.430010253906289","-3.84","-15.30","-5.41"
"3.888010253906259","0.12","-20.01","-20.01"
"3.9690102539062764","-0.78","-7.73","-4.59"
"4.941010253906256","0.08","2.43","-9.65"
"5.022010253906274","0.98","-20.01","-20.01"
"5.103010253906291","-3.49","-9.22","-2.35"
"5.1840102539061945","-1.10","0.51","2.08"
"5.265010253906212","0.98","0.82","-2.90"
"5.346010253906229","-7.88","-15.89","-11.89"
"5.427010253906246","-0.55","-20.01","-2.86"
"5.508010253906264","0.27","-0.51","-1.41"
"5.589010253906281","2.08","-3.53","-3.33"
"5.670010253906298","-0.55","0.27","-3.06"
"5.751010253906202","-5.22","-20.01","-15.97"
"5.832010253906219","1.49","-12.67","-3.65"
"5.913010253906236","1.49","6.90","2.24"
"5.994010253906254","0.43","1.53","-4.43"
"6.075010253906271","-3.84","-1.22","-15.30"
"6.156010253906288","-3.88","-20.01","-9.73"
"6.2370102539063055","3.22","-3.61","-2.82"
"6.318010253906209","3.73","-0.82","0.63"
"6.399010253906226","-3.49","2.16","-1.69"
"6.480010253906244","1.33","-20.01","-8.20"
"6.561010253906261","9.85","-17.02","0.31"
"6.642010253906278","0.24","5.02","-2.79"
"6.7230102539062955","-2.71","-5.06","-1.49"
"6.804010253906199","0.98","3.33","-2.39"
"6.885010253906216","0.47","-20.01","-15.18"
"6.966010253906234","-0.94","-5.65","-4.63"
"7.047010253906251","-1.49","3.37","-1.18"
"7.128010253906268","-0.08","0.78","-4.71"
"7.2090102539062855","-1.37","9.02","-9.85"
"7.290010253906303","3.33","-20.01","-20.01"
"7.371010253906206","-0.43","0.04","-4.20"
"7.452010253906224","-1.45","-8.59","1.37"
"7.533010253906241","1.53","0.67","0.27"
"7.614010253906258","-0.08","-19.02","-13.30"
"7.6950102539062755","-2.04","-20.01","-3.73"
"7.776010253906293","0.86","-0.39","-0.98"
"7.857010253906196","0.86","-2.75","-2.16"
"7.938010253906214","0.16","2.59","-1.88"
"8.019010253906231","-11.57","-20.01","-20.01"
"8.100010253906248","-3.14","-7.37","1.33"
"8.181010253906265","1.41","0.71","1.65"
"8.262010253906283","-1.53","1.18","-2.43"
"8.3430102539063","-3.53","-11.77","-14.08"
"8.424010253906204","-2.63","-20.01","-2.00"
"8.505010253906221","1.61","1.33","-1.88"
"8.586010253906238","4.31","-4.08","-3.96"
"8.667010253906255","-3.57","-0.78","0.90"
"8.748010253906273","-0.55","-20.01","-20.01"
"8.82901025390629","1.53","-15.02","-4.75"
"8.910010253906194","2.94","6.32","-1.77"
"8.991010253906211","-2.39","0.35","-5.26"
"9.072010253906228","2.86","0.82","-6.63"
"9.153010253906245","1.57","-20.01","-20.01"
