"NAME: ","run_2_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:42:58"
"ACTIVITY TYPE: ","RUNNING"
"COUNT OF ACTUAL STEPS: ","135"

"Time[sec]","ACC X","ACC Y","ACC Z"
"0.0","-4.04","7.49","2.39"
"0.1","-3.77","6.67","1.84"
"0.2","-4.94","10.16","4.67"
"0.3","-7.73","11.57","2.04"
"0.4","-5.33","8.08","2.43"
"0.5","-2.31","5.06","-0.08"
"0.6","-1.29","3.33","1.73"
"0.7","-4.86","12.98","5.37"
"0.8","-8.28","16.67","5.92"
"0.9","-4.51","9.06","0.16"
"1.0","-2.51","0.86","-0.35"
"1.1","-1.96","2.86","0.75"
"1.2","-8.98","16.87","6.12"
"1.3","-5.26","14.36","6.39"
"1.4","-0.78","5.22","-0.67"
"1.5","2.12","4.59","-1.84"
"1.6","-2.75","5.84","3.53"
"1.7","-9.30","11.53","10.67"
"1.8","-5.22","8.59","3.92"
"1.9","-2.82","1.37","-0.86"
"2.0","-3.96","4.51","-1.10"
"2.1","-11.96","13.42","5.92"
"2.2","-4.31","11.73","10.63"
"2.3","0.51","8.04","0.71"
"2.4","0.71","3.53","0.00"
"2.5","-2.82","8.79","4.31"
"2.6","-9.96","12.63","2.47"
"2.7","-6.55","8.32","0.47"
"2.8","-4.43","2.67","-1.10"
"2.9","-6.79","8.04","-0.86"
"3.0","-5.22","15.02","7.73"
"3.1","-1.22","9.53","7.49"
"3.2","0.75","5.49","1.06"
"3.3","1.37","4.12","0.43"
"3.4","-2.59","10.12","1.73"
"3.5","-9.26","15.30","5.96"
"3.6","-4.35","9.49","3.61"
"3.7","-2.24","1.80","0.55"
"3.8","-2.43","2.08","-1.33"
"3.9","-7.92","12.63","4.24"
"4.0","-11.41","14.12","6.55"
"4.1","-3.57","7.10","2.51"
"4.2","0.94","3.26","1.10"
"4.3","2.31","7.81","2.31"
"4.4","-6.12","12.28","6.63"
"4.5","-8.28","12.71","6.43"
"4.6","-3.33","3.22","0.12"
"4.7","-2.63","2.63","1.69"
"4.8","-2.75","7.53","3.22"
"4.9","-7.22","11.61","9.69"
"5.0","-3.84","10.08","5.96"
"5.1","-1.06","4.04","-0.31"
"5.2","0.39","4.98","1.49"
"5.3","-3.96","13.57","4.98"
"5.4","-8.63","13.26","8.43"
"5.5","-4.00","2.90","-0.20"
"5.6","-3.69","0.16","-0.47"
"5.7","-5.77","8.87","2.35"
"5.8","-10.79","16.24","5.30"
"5.9","-4.35","8.28","6.43"
"6.0","2.63","1.10","1.77"
"6.1","-0.16","7.37","-0.31"
"6.2","-4.39","10.24","4.98"
"6.3","-9.02","14.79","8.98"
"6.4","-1.92","4.67","-0.43"
"6.5","-4.20","-0.24","-2.98"
"6.6","-8.55","8.12","2.00"
"6.7","-12.00","16.79","9.85"
"6.8","-2.94","7.53","4.82"
"6.9","1.10","-0.31","-1.02"
"7.0","1.92","6.04","2.43"
"7.1","-3.69","11.26","5.57"
"7.2","-7.81","11.73","7.96"
"7.3","-3.06","1.88","-0.16"
"7.4","-2.86","1.29","-1.37"
"7.5","-11.06","15.81","4.16"
"7.6","-7.10","13.26","7.65"
"7.7","-0.08","5.45","1.96"
"7.8","2.98","4.55","-0.27"
"7.9","1.18","7.77","1.88"
"8.0","-9.26","11.14","6.67"
"8.1","-7.45","10.71","3.26"
"8.2","-3.69","3.57","0.08"
"8.3","-4.59","0.24","-1.10"
"8.4","-11.14","7.14","3.02"
"8.5","-6.98","15.34","10.40"
"8.6","-2.71","8.36","2.00"
"8.7","1.06","1.73","-0.82"
"8.8","1.69","-0.39","-2.28"
"8.9","-5.88","15.10","8.55"
"9.0","-7.14","18.04","8.39"
"9.1","-4.31","7.22","3.45"
"9.2","-4.08","-2.04","-2.86"
"9.3","-4.47","3.14","-0.67"
"9.4","-13.96","16.51","3.22"
"9.5","-9.22","15.93","8.47"
"9.6","-0.98","4.67","0.86"
"9.7","1.77","1.49","-0.31"
"9.8","-0.24","4.08","1.45"
"9.9","-11.22","17.57","5.30"
"10.0","-6.98","14.40","2.63"
"10.1","-5.45","2.51","-0.59"
"10.2","-5.02","0.20","-4.16"
"10.3","-10.59","7.37","-2.08"
"10.4","-13.93","15.93","1.49"
"10.5","-5.61","8.79","0.55"
"10.6","2.12","1.88","-0.20"
"10.7","-1.92","8.47","-0.08"
"10.8","-9.22","13.89","0.75"
"10.9","-8.94","12.59","1.37"
"11.0","-4.79","3.33","-3.37"
"11.1","-4.71","2.39","-1.88"
"11.2","-11.89","7.37","-1.49"
"11.3","-14.36","14.12","0.43"
"11.4","-5.45","6.43","1.77"
"11.5","0.59","4.82","2.98"
"11.6","0.59","7.53","1.18"
"11.7","-7.77","14.47","0.55"
"11.8","-9.06","12.94","0.94"
"11.9","-3.61","6.83","1.22"
"12.0","-5.69","3.73","0.35"
"12.1","-9.65","12.83","5.77"
"12.2","-10.04","9.38","4.55"
"12.3","-2.51","4.82","2.55"
"12.4","1.61","2.82","1.33"
"12.5","-4.12","6.94","-0.51"
"12.6","-13.14","14.55","5.88"
"12.7","-6.08","9.69","4.24"
"12.8","-5.26","1.18","2.28"
"12.9","-5.26","1.88","1.18"
"13.0","-7.77","8.16","4.20"
"13.1","-12.32","14.32","2.86"
"13.2","-4.75","7.14","1.88"
"13.3","-0.35","3.88","1.61"
"13.4","0.08","6.16","2.55"
"13.5","-8.47","12.40","5.73"
"13.6","-8.79","9.06","6.24"
"13.7","-3.69","1.02","2.47"
"13.8","-5.57","-0.75","-0.35"
"13.9","-8.16","7.61","3.73"
"14.0","-13.06","13.02","2.16"
"14.1","-6.20","7.10","2.98"
"14.2","-1.92","5.14","-0.75"
"14.3","-0.08","3.73","0.82"
"14.4","-4.63","9.89","6.90"
"14.5","-9.92","15.18","7.41"
"14.6","-5.81","1.65","1.33"
"14.7","-4.51","0.98","1.33"
"14.8","-11.14","8.87","5.88"
"14.9","-10.16","9.92","8.94"
"15.0","-0.86","3.92","2.55"
"15.1","2.35","3.02","3.18"
"15.2","-2.35","7.06","4.55"
"15.3","-12.55","13.77","7.10"
"15.4","-6.67","3.06","2.67"
"15.5","-4.55","-0.31","1.29"
"15.6","-10.32","7.18","4.59"
"15.7","-12.94","12.87","7.85"
"15.8","-3.96","7.49","3.14"
"15.9","-0.12","2.55","-1.06"
"16.0","-3.33","5.73","0.98"
"16.1","-8.47","14.00","9.65"
"16.2","-10.87","11.02","2.79"
"16.3","-5.88","1.14","0.20"
"16.4","-5.37","-0.12","-2.39"
"16.5","-15.34","6.83","5.61"
"16.6","-4.94","16.32","10.79"
"16.7","1.06","5.37","1.92"
"16.8","1.29","4.59","1.57"
"16.9","-2.98","7.73","5.92"
"17.0","-12.12","13.02","5.57"
"17.1","-4.79","3.96","3.26"
"17.2","-7.30","0.31","-2.00"
"17.3","-9.61","1.41","-3.77"
"17.4","-13.10","9.45","5.81"
"17.5","-2.24","5.73","1.53"
"17.6","2.28","2.94","-0.27"
"17.7","0.94","9.34","1.29"
"17.8","-10.90","20.01","2.82"
"17.9","-7.81","8.51","5.96"
"18.0","-3.61","-0.51","-1.10"
"18.1","-5.92","3.65","-2.28"
"18.2","-17.73","15.34","3.65"
"18.3","-2.20","10.51","10.51"
"18.4","1.02","2.98","1.29"
"18.5","1.26","3.65","1.69"
"18.6","-12.67","10.67","3.57"
"18.7","-12.98","10.51","0.67"
"18.8","-3.84","1.92","1.77"
"18.9","-6.71","1.69","-0.55"
"19.0","-8.00","9.57","10.47"
"19.1","-8.83","14.71","4.31"
"19.2","-2.43","6.59","-0.82"
"19.3","2.90","1.37","0.94"
"19.4","-3.22","8.59","0.08"
"19.5","-12.67","17.30","3.57"
"19.6","-10.08","6.75","0.98"
"19.7","-4.94","0.67","0.86"
"19.8","-7.14","4.39","1.77"
"19.9","-14.91","17.18","-4.79"
"20.0","-6.04","20.01","3.41"
"20.1","9.89","1.69","10.00"
"20.2","-0.55","1.77","0.35"
"20.3","-4.82","8.24","9.96"
"20.4","-11.30","4.94","11.10"
"20.5","-4.94","2.04","0.86"
"20.6","-4.47","-2.04","-1.14"
"20.7","-8.28","4.31","3.30"
"20.8","-14.47","12.87","10.16"
"20.9","-4.20","5.84","2.59"
"21.0","2.79","0.27","0.63"
"21.1","2.16","4.75","4.28"
"21.2","-8.51","14.55","11.14"
"21.3","-7.92","7.73","8.04"
"21.4","-4.24","2.16","0.08"
"21.5","-4.90","0.51","-2.28"
"21.6","-12.36","6.79","5.96"
"21.7","-12.91","10.20","9.85"
"21.8","-2.67","5.33","5.37"
"21.9","1.96","1.49","0.59"
"22.0","1.77","3.41","1.22"
"22.1","-7.34","14.44","13.61"
