NAME:,matan w 1,,
EXPERIMENT TIME:,Thu Jun 01 11:56:25 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
14.29418803,8.36,-2.08,-2.71
14.34451968,6.71,-2.86,-1.14
14.42840576,8.2,-2.39,-1.37
14.49551462,14.55,-5.88,-1.96
14.5794007,14.63,-7.34,-4.82
14.66328678,3.1,0.31,-2.86
14.75556147,13.69,-6.55,-4.71
14.83105894,9.45,-3.14,-2.75
14.91494502,8.04,-0.98,-3.02
14.9904425,6.71,-0.59,-1.65
15.13304883,9.69,-0.86,-2.82
15.2001577,12.91,-2,-0.51
15.26726656,16.51,-3.45,-2.2
15.3092096,3.57,-2.55,-4.12
15.38470707,8.87,0.55,-4.71
15.48537037,9.3,-1.8,-3.3
15.56086784,7.61,-3.18,-2.98
15.64475392,6.32,-2.67,-0.86
15.72025139,8.94,-3.18,-2.43
15.80413747,13.22,-2.2,-2.67
15.92996659,10.67,-6.47,-4.9
15.99707546,4.98,1.84,-3.69
16.06418432,12.71,-6.71,-5.14
16.13968179,8.59,-2.67,-2.79
16.20679066,8.28,-0.94,-2.47
16.29906534,5.88,-1.18,-1.06
16.3577856,10.12,-1.45,-4.43
16.4584489,13.85,-4.28,-5.18
16.52555776,10.51,-1.61,-3.37
16.60944384,1.73,-1.61,-5.77
16.70171853,12.08,-0.51,-3.3
16.76043878,7.92,-1.29,-4.16
16.8862679,7.85,-3.33,-2.79
16.95337677,7.49,-2.63,-1.29
17.02048563,8.79,-2.63,-2
17.0875945,14.95,-4.39,-2.04
17.18825779,13.22,-6.08,-4.79
17.25536666,4.39,1.61,-4.71
17.33925274,12.04,-4.51,-4.86
17.43152742,8.28,-3.49,-2.63
17.49863629,7.92,-1.61,-2.28
17.58252237,7.53,0.51,-1.1
17.67479706,9.02,-1.69,-2.47
17.73351731,11.3,-3.3,-1.96
17.85095782,11.49,1.45,-4.28
17.91806669,2.12,-1.1,-5.02
17.98517555,11.73,-2,-4.55
18.05228442,8.83,-0.94,-4.08
18.1445591,8.12,-2.71,-2.94
18.22844518,6.98,-2.82,-1.49
18.31233126,8.98,-2.28,-1.14
18.37944013,12.63,-2.08,-0.71
18.46332621,14.71,-7.22,-4.28
18.54721229,2.59,-0.71,-5.22
18.64787558,10.94,-5.02,-5.06
18.71498445,10.2,-3.77,-3.53
19.20152371,7.14,-0.9,-2.86
19.70484019,8,-0.63,-2.04
19.73000602,8.51,-1.06,-1.84
19.73839462,16.63,-2.55,-4.43
19.75517184,15.1,-4.16,-5.37
19.83905792,5.18,-1.8,-4.39
19.922944,10.12,-2.31,-4.2
20.0319959,9.49,-4.31,-1.8
20.09071616,7.88,-1.18,-3.49
20.17460224,8.28,-1.06,-1.65
20.25848832,7.1,-1.06,-0.55
20.31720858,12.79,-1.96,-2.12
20.40109466,16.36,-2.24,-7.02
20.49336934,7.69,0.71,-5.49
20.57725542,7.92,-3.06,-5.33
20.70308454,12.83,-0.78,-4.12
20.77019341,6.63,-1.88,-3.14
20.83730227,6.32,-3.84,-1.57
20.90441114,8.75,-2.86,-1.49
20.97152,13.57,-2.43,-1.37
21.0721833,15.22,-5.96,-4.28
21.13929216,4.63,-0.04,-3.77
21.22317824,6.79,-1.61,-3.77
21.31545293,10.98,-5.53,-2.67
21.3909504,8.47,-1.49,-3.06
21.45805926,7.69,-0.9,-1.61
21.54194534,6.83,-2.2,-0.78
21.62583142,13.14,-2.75,0.27
21.7097175,16.08,-2.51,-4.43
21.78521498,4.79,0.12,-3.69
21.9194327,8.94,-4.12,-3.61
21.96976435,11.85,-1.29,-4.31
22.04526182,8.51,-2.35,-2.43
22.1291479,6.9,-2,-0.98
22.18786816,7.96,-2.51,-0.94
22.27175424,13.02,-1.61,-1.33
22.35564032,14.71,-4.9,-3.84
22.44791501,3.69,-2.98,-4.9
22.52341248,9.69,-0.82,-5.06
22.61568717,10.79,-4.2,-2.28
22.68279603,7.37,-2.04,-3.45
22.7499049,7.85,-0.9,-2.12
22.88412262,7.73,-1.41,-1.22
22.92606566,12.28,-2.55,-3.65
23.00156314,14.98,-3.53,-5.45
23.08544922,7.81,-0.04,-4.24
23.1777239,6.43,-1.92,-3.37
23.26160998,11.81,-2.24,-4.12
23.33710746,9.14,-1.14,-2.67
23.40421632,7.53,-2.67,-1.88
23.4881024,8.08,-2.9,-0.2
23.58037709,9.1,-2.39,-1.06
23.65587456,14.63,-6.55,-4.12
23.72298342,3.92,-4.39,-4.08
23.85720115,8.71,1.06,-4.9
23.89914419,10.51,-3.8,-3.22
23.99141888,9.53,-2.39,-3.3
24.05013914,7.49,-0.51,-2
24.13402522,7.18,-0.94,-0.75
24.2179113,12.04,-1.77,-3.96
24.30179738,13.65,-5.96,-4.43
24.39407206,10,1.18,-4.63
24.47795814,5.69,-2.55,-4.12
24.54506701,12.43,-1.02,-4.16
24.61217587,7.3,-1.61,-2.43
24.71283917,7.1,-3.02,-2.04
25.19098982,7.88,-2.79,-0.59
25.6943063,9.96,-1.41,-1.02
25.73624934,14.28,-2.35,-4.04
25.74463795,5.18,-2.75,-4.35
25.74463795,6.39,-0.2,-4.16
25.76141517,6.86,-2.2,-2.94
25.83691264,11.89,-1.22,-5.61
25.92918733,9.53,-2.55,-2.75
25.99629619,6.79,-2.35,-1.41
26.08857088,8,-2.2,-1.14
26.17245696,13.61,-2.39,-1.69
26.23956582,14.32,-4.55,-4.59
26.3234519,4.9,-0.75,-3.61
26.39894938,6.24,-1.53,-3.96
26.54155571,13.38,-6.51,-4.75
26.60027597,9.18,-1.92,-4.24
26.67577344,7.45,-1.06,-2.12
26.71771648,6.83,-1.1,-0.51
26.80999117,11.77,-2.04,-2.24
26.89387725,18.16,-4.47,-5.92
26.97776333,6.63,-0.2,-4.28
27.07003802,8.04,-2.79,-2.9
27.1539241,12.4,-1.14,-4.08
27.20425574,8.43,-2.31,-2.08
27.29653043,7.3,-2.28,-1.14
27.42235955,8,-3.22,-1.33
27.48946842,17.26,-5.88,-2.71
27.55657728,13.89,-6.9,-4.86
27.62368614,3.96,1.26,-2.67
27.69079501,12.71,-4.79,-4.24
27.79984691,8.43,-3.41,-2.51
27.85856717,8.79,-1.69,-3.14
27.94245325,7.22,-0.82,-1.8
28.02633933,8.24,-1.22,-2.79
28.11022541,14,-1.06,0.47
28.2025001,12.04,-1.41,-2.71
28.27799757,5.3,-3.49,-4.82
28.37866086,8.59,-1.37,-2.94
28.44576973,8.04,-0.39,-4.08
28.51287859,8.98,-3.18,-2.16
28.6219305,8,-3.1,-1.53
28.68065075,7.96,-2.2,-1.65
28.74775962,15.57,-4.47,-3.53
28.8316457,10.4,-5.57,-3.3
28.92392038,4.12,1.1,-3.45
28.99102925,12.98,-5.41,-4.94
29.09169254,9.26,-2.94,-2.79
29.1504128,7.61,-1.33,-2.24
29.23429888,6.59,-0.86,-0.71
29.33496218,11.22,-1.88,-3.65
29.40207104,15.18,-6.39,-5.88
29.53628877,8.67,0.82,-3.65
