NAME:,run_3_2,,
EXPERIMENT TIME:,Thu Jun 08 15:46:05 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS,155,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
0,5.84,-2.39,2.16
0.101,9.22,-4.39,-1.22
0.202,8.79,-4.98,0.55
0.303,8.87,-5.88,-0.82
0.404,14.08,-5.3,1.1
0.505,15.22,-2.86,0
0.808,17.34,-3.84,-4.16
0.909,12.75,-4.43,0.71
1.01,-8.67,-2.39,2.39
1.111,9.26,-5.37,-0.9
1.212,19.14,-15.97,3.22
1.313,8.71,0.24,-0.2
1.414,-5.84,-10.43,-2.63
1.515,1.06,-0.2,11.06
1.616,20.01,-7.57,-20.01
1.717,-4.82,0.98,-1.77
1.818,1.69,-3.14,1.49
1.919,20.01,20.01,20.01
2.02,8.16,1.57,-5.57
2.121,-3.3,-8.36,-5.53
2.222,4.51,4.43,20.01
2.323,20.01,0.35,-19.18
2.424,0.31,0.43,-5.22
2.525,4.59,-8.9,1.69
2.626,20.01,-6.24,-11.61
2.727,9.96,-0.08,-5.06
2.828,-3.33,-11.18,-8.67
2.929,0.08,-4.51,20.01
3.03,20.01,-5.88,-20.01
3.131,-8.87,0.59,4.98
3.232,1.92,-12.28,2.31
3.333,20.01,-20.01,-20.01
3.434,8.08,-5.14,-6.51
3.535,-4.9,-8.39,-4.94
3.636,2.51,-1.69,11.96
3.737,20.01,-0.2,-20.01
3.838,-7.34,2.12,-5.77
3.939,2.2,-9.22,1.29
4.04,20.01,18.32,7.49
4.141,6.2,-2.08,-2.31
4.242,-5.18,-3.69,-0.63
4.343,11.57,-20.01,19.61
4.444,20.01,2.35,-20.01
4.545,-19.69,2.04,19.38
4.646,20.01,-16.75,4.67
4.747,7.61,-11.02,5.06
4.848,-3.06,-12.94,16
4.949,-9.38,4.43,7.53
5.05,2.08,4.31,0.71
5.151,4.59,-2.79,-4.28
5.252,0.35,5.14,-3.57
5.353,11.57,-20.01,-20.01
5.454,11.34,-10.08,4.28
5.555,-3.26,-14.95,0.24
5.656,-1.61,6.04,2.24
5.757,15.69,-0.2,-2.79
5.858,1.8,-3.77,2.75
5.959,2.2,3.92,3.92
6.06,20.01,-20.01,-20.01
6.161,18.01,-12.28,15.14
6.262,-1.69,-11.85,2.2
6.363,-0.08,5.26,0.9
6.464,14.28,-10.47,-9.73
6.565,1.61,-6.08,8.43
6.666,-1.57,6.16,-2
6.767,20.01,-13.02,20.01
6.868,16.83,-12.24,19.57
6.969,-1.29,-8.16,1.69
7.07,-4.28,8.08,8.32
7.171,20.01,-20.01,-20.01
7.272,5.14,-6.71,11.53
