"NAME: ","wal_1_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:35:29"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","100"

"Time[sec]","ACC X","ACC Y","ACC Z"
"16.1","-10.47","7.96","1.41"
"16.2","-8.55","6.47","0.31"
"16.3","-7.69","6.00","-0.47"
"16.4","-6.28","3.49","0.43"
"16.5","-6.94","3.33","1.84"
"16.6","-10.94","6.20","1.37"
"16.7","-10.87","6.98","1.33"
"16.8","-7.14","5.33","-0.94"
"16.9","-7.22","5.45","-0.82"
"17.0","-7.14","4.59","-0.12"
"17.1","-8.24","4.79","0.31"
"17.2","-9.85","6.47","1.02"
"17.3","-9.34","7.88","0.67"
"17.4","-8.08","7.81","-0.08"
"17.5","-6.08","4.63","0.20"
"17.6","-6.12","3.80","0.31"
"17.7","-8.43","5.06","1.37"
"17.8","-9.92","8.20","2.28"
"17.9","-9.73","7.81","-0.59"
"18.0","-7.81","5.96","0.04"
"18.1","-4.63","3.57","-0.12"
"18.2","-5.73","3.73","0.04"
"18.3","-8.87","6.98","1.73"
"18.4","-10.67","10.16","2.94"
"18.5","-9.69","7.65","2.47"
"18.6","-7.02","4.43","1.02"
"18.7","-5.02","3.22","0.00"
"18.8","-6.24","3.88","1.22"
"18.9","-8.08","4.55","2.79"
"19.0","-11.81","8.04","3.49"
"19.1","-10.24","7.61","0.51"
"19.2","-7.45","5.45","0.75"
"19.3","-4.94","3.22","0.90"
"19.4","-7.18","4.55","1.18"
"19.5","-9.02","6.55","1.33"
"19.6","-8.47","7.22","1.77"
"19.7","-8.24","8.87","2.24"
"19.8","-5.84","5.10","2.12"
"19.9","-4.94","3.02","1.49"
"20.0","-8.43","4.51","2.04"
"20.1","-9.96","7.34","0.24"
"20.2","-10.00","8.90","0.59"
"20.3","-8.24","6.67","-0.12"
"20.4","-5.69","3.65","0.00"
"20.5","-7.14","4.31","0.63"
"20.6","-8.87","5.96","1.33"
"20.7","-8.59","7.49","0.35"
"20.8","-8.47","9.06","1.02"
"20.9","-6.47","3.57","1.88"
"21.0","-4.98","2.00","-0.39"
"21.1","-8.28","4.59","3.18"
"21.2","-12.04","7.96","1.69"
"21.3","-8.47","6.08","0.43"
"21.4","-7.34","5.61","0.12"
"21.5","-6.94","4.20","0.39"
"21.6","-7.02","3.92","0.86"
"21.7","-9.53","7.49","2.12"
"21.8","-8.87","8.00","1.18"
"21.9","-8.08","7.26","1.14"
"22.0","-5.69","3.92","0.75"
"22.1","-5.73","4.16","1.57"
"22.2","-9.18","4.51","4.04"
"22.3","-11.61","4.55","1.80"
"22.4","-9.02","5.69","0.63"
"22.5","-7.26","5.22","0.98"
"22.6","-6.75","4.94","1.29"
"22.7","-7.53","4.63","1.92"
"22.8","-8.79","6.94","1.80"
"22.9","-9.30","6.86","2.04"
"23.0","-7.49","6.16","2.31"
"23.1","-6.79","4.55","2.59"
"23.2","-6.24","3.37","2.35"
"23.3","-7.18","3.65","2.31"
"23.4","-9.61","6.86","3.22"
"23.5","-9.73","7.26","1.61"
"23.6","-7.34","5.33","0.75"
"23.7","-5.92","2.94","0.67"
"23.8","-7.85","3.65","1.14"
"23.9","-9.30","5.37","1.37"
"24.0","-9.65","7.41","1.37"
"24.1","-9.10","6.71","0.75"
"24.2","-6.98","6.20","1.53"
"24.3","-5.73","4.59","1.10"
"24.4","-6.16","4.75","1.45"
"24.5","-9.02","5.02","2.86"
"24.6","-11.18","6.86","2.16"
"24.7","-7.85","6.20","0.35"
"24.8","-6.94","5.69","0.98"
"24.9","-6.28","3.88","1.37"
"25.0","-7.49","4.04","1.49"
"25.1","-9.69","7.77","2.16"
"25.2","-8.87","8.12","1.49"
"25.3","-7.22","6.71","1.26"
"25.4","-6.51","4.67","1.06"
"25.5","-6.16","4.20","1.33"
"25.6","-8.12","3.80","2.59"
"25.7","-10.04","6.51","3.10"
"25.8","-8.87","6.79","2.12"
"25.9","-8.00","5.81","0.35"
"26.0","-6.71","4.47","0.63"
"26.1","-6.71","4.16","1.22"
"26.2","-8.83","6.08","1.37"
"26.3","-9.34","6.59","1.84"
"26.4","-8.71","5.61","1.37"
"26.5","-7.18","3.92","1.49"
"26.6","-5.96","3.65","1.80"
"26.7","-7.69","4.16","2.51"
"26.8","-10.12","6.83","2.67"
"26.9","-9.96","6.63","1.96"
"27.0","-8.04","5.88","0.43"
"27.1","-6.24","3.96","0.51"
"27.2","-6.79","4.04","1.18"
"27.3","-8.04","4.67","1.61"
"27.4","-9.65","7.34","1.88"
"27.5","-9.06","6.39","1.45"
"27.6","-7.22","5.02","1.73"
"27.7","-5.57","3.53","0.86"
"27.8","-7.96","3.14","2.28"
"27.9","-9.77","6.43","2.98"
"28.0","-9.61","7.41","1.37"
"28.1","-8.75","7.22","0.55"
"28.2","-6.32","3.69","0.43"
"28.3","-6.47","2.98","0.82"
"28.4","-8.90","4.82","1.06"
"28.5","-10.28","6.08","1.49"
"28.6","-9.38","6.51","1.14"
"28.7","-7.37","4.67","1.33"
"28.8","-5.88","3.61","1.49"
"28.9","-6.98","3.22","1.45"
"29.0","-12.40","5.77","2.20"
"29.1","-11.22","6.90","2.20"
"29.2","-8.04","5.53","0.27"
"29.3","-5.92","4.04","0.31"
"29.4","-6.75","3.77","0.86"
"29.5","-8.43","5.88","1.18"
"29.6","-9.61","7.61","1.02"
"29.7","-8.43","5.73","1.65"
"29.8","-7.88","6.32","1.69"
"29.9","-6.39","3.84","1.26"
"30.0","-7.30","2.59","1.37"
"30.1","-9.77","4.04","1.73"
"30.2","-11.26","6.59","1.02"
"30.3","-9.61","7.41","1.29"
"30.4","-6.94","4.47","0.78"
"30.5","-6.20","3.14","0.59"
"30.6","-7.61","4.24","0.78"
"30.7","-8.90","6.67","1.33"
"30.8","-9.18","6.51","0.78"
"30.9","-8.20","7.41","1.53"
"31.0","-5.77","4.28","1.10"
"31.1","-6.83","3.77","1.29"
"31.2","-9.81","5.06","1.65"
"31.3","-10.94","6.79","1.73"
"31.4","-8.67","5.69","0.24"
"31.5","-7.61","5.02","0.59"
"31.6","-6.59","3.18","1.14"
"31.7","-7.30","4.12","1.06"
"31.8","-9.77","7.49","0.63"
"31.9","-8.24","5.84","1.96"
"32.0","-7.92","6.83","1.65"
"32.1","-6.32","4.08","1.29"
"32.2","-6.28","3.30","1.26"
"32.3","-9.85","4.55","1.73"
"32.4","-11.81","7.34","1.96"
"32.5","-8.55","6.63","0.35"
"32.6","-7.34","5.45","0.82"
"32.7","-6.51","3.69","1.10"
"32.8","-6.86","4.55","0.86"
"32.9","-8.75","7.41","0.31"
"33.0","-8.67","7.41","1.26"
"33.1","-8.08","7.96","1.61"
"33.2","-6.35","4.79","1.18"
"33.3","-6.47","3.30","0.75"
"33.4","-9.14","3.26","1.57"
"33.5","-10.83","6.04","1.45"
"33.6","-9.69","5.88","1.02"
"33.7","-8.55","6.71","0.98"
"33.8","-6.35","4.00","0.43"
"33.9","-6.55","3.41","0.35"
"34.0","-8.87","5.26","0.43"
"34.1","-9.92","6.47","1.41"
"34.2","-9.45","7.30","1.22"
"34.3","-7.02","4.43","1.53"
"34.4","-6.63","3.77","0.82"
"34.5","-8.00","3.10","1.53"
"34.6","-10.12","5.65","1.41"
"34.7","-9.53","6.86","1.14"
"34.8","-9.06","6.67","0.31"
"34.9","-7.57","4.20","0.08"
"35.0","-7.06","3.33","0.59"
"35.1","-8.12","4.67","0.27"
"35.2","-9.89","6.98","0.55"
"35.3","-8.20","5.26","1.22"
"35.4","-8.87","6.43","0.98"
"35.5","-7.10","5.22","1.41"
"35.6","-6.79","3.41","0.86"
"35.7","-8.83","3.65","1.26"
"35.8","-11.22","7.41","0.71"
"35.9","-8.67","5.77","0.27"
"36.0","-8.12","6.35","0.47"
"36.1","-6.63","3.77","0.51"
"36.2","-6.79","4.43","1.41"
"36.3","-9.53","7.06","0.82"
"36.4","-8.98","7.57","0.86"
"36.5","-7.57","7.06","1.10"
"36.6","-6.83","4.04","0.55"
"36.7","-6.47","4.31","1.33"
"36.8","-8.75","4.08","2.98"
"36.9","-10.20","6.32","1.77"
