"NAME:","run_2_1"
"EXPERIMENT TIME:","2023-06-09 16:56:42"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","110"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"10.15","-5.1","0.63","0.0"
"10.201","-0.2","-10.51","14.0"
"10.252","-4.75","5.88","13.96"
"10.303","-0.08","1.33","15.89"
"10.354","-0.24","4.51","7.85"
"10.405","1.45","3.73","4.12"
"10.456","6.55","4.0","5.92"
"10.507","5.1","0.82","11.18"
"10.711","-2.63","-2.82","6.55"
"10.762","-0.55","-2.12","2.47"
"10.813","-3.14","1.45","4.39"
"10.864","-1.84","-2.79","8.16"
"10.915","-1.77","1.57","9.89"
"10.966","-2.39","3.3","16.24"
"11.017","2.35","-0.27","11.53"
"11.068","2.47","3.96","6.12"
"11.119","5.22","-0.59","9.69"
"11.17","2.71","4.43","7.73"
"11.221","5.61","-2.63","12.94"
"11.272","0.2","3.88","8.75"
"11.323","1.69","0.16","19.3"
"11.374","-2.12","0.08","15.18"
"11.425","0.08","-5.65","4.04"
"11.476","-3.1","1.49","4.71"
"11.527","-4.0","0.59","3.18"
"11.578","-4.98","-4.98","8.55"
"11.629","-9.02","5.53","8.2"
"11.68","-2.12","3.26","8.2"
"11.731","-2.63","2.59","9.34"
"11.782","3.37","-2.43","11.73"
"11.833","3.61","1.65","12.87"
"11.884","4.71","1.41","6.55"
"11.935","2.39","-1.69","14.83"
"11.986","-2.51","3.84","14.95"
"12.037","-4.24","0.47","16.95"
"12.088","-4.28","-0.86","11.06"
"12.139","-3.69","-0.86","3.61"
"12.19","-2.31","-0.75","2.86"
"12.241","-2.43","0.04","0.71"
"12.292","-0.71","-2.63","14.44"
"12.343","-3.02","1.84","15.73"
"12.394","-1.61","2.9","10.04"
"12.445","-0.59","2.75","7.96"
"264.3467","5.1","0.24","6.63"
"13.363","1.69","4.86","13.61"
"13.414","1.53","2.43","14.16"
"13.465","-3.77","0.35","12.36"
"13.516","-2.24","-4.82","7.1"
"13.567","-2.82","0.2","3.8"
"13.618","-2.86","-2.43","3.49"
"13.669","-3.33","-4.35","11.61"
"13.72","-3.73","0.08","16.32"
"13.771","-1.26","3.69","13.18"
"13.822","0.78","2.28","10.43"
"13.873","1.37","2.0","5.61"
"13.924","2.9","2.86","6.47"
"13.975","2.9","1.29","8.43"
"14.026","0.71","-0.59","16.79"
"14.077","0.9","6.35","14.2"
"14.128","-4.08","3.61","14.79"
"14.179","-2.0","-3.84","15.1"
"14.23","-1.65","-0.82","4.82"
"14.281","-2.35","-0.55","0.16"
"14.332","-3.69","-1.96","5.84"
"14.383","-6.24","3.3","14.04"
"14.434","0.12","2.98","16.04"
"14.485","-0.71","3.02","12.28"
"14.536","1.96","1.29","4.79"
"14.587","2.67","2.0","6.55"
"14.638","1.22","4.39","5.65"
"14.689","4.47","0.71","12.16"
"14.74","-0.98","14.12","14.98"
"14.791","7.61","-0.94","18.83"
"14.842","-0.39","-1.84","13.3"
"14.893","-0.78","-5.92","3.88"
"14.944","-1.96","-3.84","3.69"
"15.097","-4.0","6.55","13.02"
"15.148","-0.04","3.96","12.91"
"15.199","1.41","3.8","11.14"
"15.25","3.06","1.73","8.28"
"15.301","3.18","5.06","5.06"
"15.352","4.55","1.65","6.63"
"15.403","3.73","1.33","16.67"
"15.454","1.06","6.04","13.42"
"15.505","0.0","1.26","13.85"
"15.556","-3.06","-0.04","12.28"
"15.607","-2.04","-1.61","4.67"
"15.658","-2.24","1.02","0.08"
"15.71","-1.22","-2.94","5.65"
"15.761","-5.06","1.33","14.4"
"15.812","-5.06","6.32","14.51"
"15.863","-0.59","2.79","10.04"
"15.914","3.73","0.47","9.81"
"15.965","2.47","3.1","6.2"
"16.016","4.67","2.9","5.88"
"16.067","5.33","0.59","10.24"
"16.118","4.35","2.94","11.81"
"16.169","-0.71","-0.04","20.01"
"16.22","-5.88","1.88","15.26"
"16.271","-1.45","-3.69","6.55"
"16.322","-1.29","-3.33","3.88"
"16.373","-4.31","1.77","2.94"
"16.424","-3.96","-4.43","10.28"
"16.475","-5.81","7.06","11.92"
"16.526","-1.53","4.2","12.51"
"16.577","2.35","0.51","9.96"
"16.628","2.2","1.92","4.55"
"16.679","2.47","4.16","8.9"
"16.73","2.12","3.41","8.12"
"16.781","2.59","0.24","12.55"
"16.832","-1.1","6.39","8.43"
"16.883","-2.51","0.16","16.63"
"16.934","-5.69","0.39","10.47"
"16.985","-2.86","-1.18","11.61"
"17.036","-2.86","1.61","4.55"
"17.087","-3.53","-2.47","7.65"
"17.138","-6.2","0.78","9.73"
"17.291","1.73","1.73","7.92"
"17.342","4.24","1.61","3.22"
"17.393","1.92","5.1","3.61"
"17.444","2.0","2.47","10.9"
"17.495","0.86","5.33","15.26"
"17.546","-2.28","6.43","15.69"
"17.597","-5.3","5.22","10.12"
"17.648","-1.53","-1.88","4.43"
"17.699","-0.86","-3.22","4.94"
"17.75","-4.31","0.55","4.12"
"17.801","-4.16","-6.43","11.57"
"17.852","-10.12","4.9","10.36"
"17.903","-4.16","1.41","12.59"
"17.954","-0.24","-0.08","10.12"
"18.005","8.47","-2.04","20.01"
"18.056","7.41","2.86","7.85"
"18.107","5.45","2.63","3.96"
"18.158","2.98","-0.59","14.12"
"18.209","-2.9","2.16","15.89"
"18.26","-1.61","0.35","15.65"
"18.311","-3.1","0.75","13.65"
"18.362","-0.98","-3.26","5.53"
"18.413","-1.33","-1.33","-0.98"
"18.464","-3.22","-2.39","7.1"
"324.53403","-4.94","1.29","9.41"
"19.392","2.59","2.12","-2.2"
"19.443","1.45","2.16","5.06"
"19.494","2.16","2.86","6.43"
"19.545","2.24","1.06","13.26"
"19.596","-0.35","3.33","18.12"
"19.647","-2.47","4.04","19.93"
"19.698","-2.71","1.57","17.69"
"19.749","-0.59","-4.86","7.73"
"19.8","-1.57","-2.51","1.33"
"19.851","-3.96","0.71","-2.24"
"19.902","-2.94","-4.55","9.77"
"19.953","-2.12","2.86","13.53"
"20.004","-2.51","4.71","10.9"
"20.055","-2.67","4.12","10.59"
"340.44937","2.04","2.9","8.16"
"20.208","5.96","2.9","7.88"
"20.259","3.45","-0.2","13.57"
"20.31","-1.37","5.1","14.0"
"20.361","-2.47","4.04","13.49"
"20.412","-1.88","-0.94","12.04"
"20.463","-1.18","-1.88","3.92"
"20.514","-1.33","-0.71","1.45"
"20.565","-3.84","-0.04","3.8"
"20.616","-2.9","-3.41","16.16"
"20.667","-3.88","2.82","16.67"
"20.718","-1.06","1.77","10.47"
"20.769","-1.57","6.55","9.53"
"20.82","6.28","-0.94","8.9"
"20.871","2.59","5.73","4.86"
"20.922","2.9","0.78","9.73"
"20.973","0.35","1.88","13.14"
"21.024","2.2","3.02","14.36"
"21.075","-2.94","1.57","19.89"
"21.126","-1.84","1.18","10.63"
"21.177","-1.41","1.02","1.33"
"21.228","-2.98","2.24","0.43"
"21.279","-5.18","-3.14","8.59"
"21.33","-9.1","2.24","16.95"
"21.381","1.18","-2.79","16.75"
"21.432","0.16","5.84","10.87"
"21.483","4.94","-0.86","5.33"
"21.534","3.26","3.02","4.28"
"21.585","5.69","1.26","6.35"
"21.636","4.08","-2.31","14.44"
"21.687","-1.26","6.35","14.0"
"21.738","-0.71","0.27","18.48"
"21.789","-1.26","-1.84","12.08"
"21.84","-0.78","-1.73","5.1"
"21.891","-1.37","0.2","-0.59"
"21.942","-3.8","-1.14","6.86"
"21.993","-2.16","-1.33","16.24"
"22.044","0.71","3.14","12.24"
"22.095","2.63","0.04","13.73"
"22.146","2.47","5.1","9.02"
"22.197","4.12","3.92","3.92"
"361.8664","2.9","5.06","2.28"
"22.35","4.28","-0.12","16.67"
"22.401","3.06","5.14","17.22"
"22.452","-2.59","3.41","17.46"
"22.503","-2.9","-2.71","9.81"
"22.554","-1.29","-1.65","4.12"
"22.605","-2.51","1.61","1.26"
"22.656","-4.04","-5.84","9.53"
"22.707","-6.83","3.53","13.06"
"22.758","-3.1","0.86","16.83"
"22.809","-3.69","6.0","13.53"
"22.86","1.53","3.22","11.34"
"22.911","5.45","1.92","3.73"
"22.962","3.92","2.9","4.86"
"369.51733","3.1","1.45","7.92"
"23.115","0.63","5.84","17.42"
"23.166","-3.69","4.35","14.67"
"23.217","-1.33","-4.39","9.14"
"23.268","-0.27","-3.69","3.77"
"23.319","-3.14","1.18","1.49"
"23.37","-3.3","-1.41","7.06"
"23.421","-4.0","4.98","12.04"
"23.472","-2.55","3.33","18.48"
"23.523","-1.14","2.47","14.87"
"23.574","3.73","1.77","8.43"
"23.625","4.98","1.92","3.57"
"23.676","3.73","4.16","5.53"
"23.727","4.2","0.12","14.24"
"377.1631","0.94","5.57","10.63"
"23.881","-0.27","0.12","14.79"
"23.932","-2.71","-1.49","6.71"
"23.983","-2.08","-0.98","0.94"
"24.034","-2.79","0.0","-1.26"
"24.085","-3.33","-1.33","11.77"
"24.136","-2.2","5.69","12.16"
"24.187","0.12","7.61","12.36"
"24.238","-3.77","9.73","10.32"
"24.289","3.92","-3.45","10.75"
"24.34","4.0","3.18","6.32"
"24.391","3.96","2.71","4.75"
"24.442","2.55","-1.06","14.44"
"384.31454","-1.84","11.26","11.57"
"25.36","-2.28","-2.94","6.04"
"25.411","-4.47","0.86","0.67"
"25.462","-3.84","-3.73","5.18"
"25.513","-5.45","-1.61","15.38"
"25.564","-1.06","6.0","18.51"
"25.615","-0.39","6.86","14.79"
"25.666","0.94","4.31","8.75"
"25.717","3.3","3.02","4.86"
"25.768","4.35","3.14","6.35"
"25.819","1.45","3.84","7.06"
"25.87","3.1","0.67","14.4"
"25.921","-2.59","5.88","19.65"
"25.972","-2.39","1.41","17.06"
"26.023","-2.67","-1.37","10.12"
"26.074","-1.69","-0.55","1.92"
"26.125","-4.28","1.77","0.55"
"26.176","0.39","-5.26","7.14"
"26.227","-3.61","3.96","9.18"
"26.278","2.59","1.57","13.65"
"26.329","-0.82","4.94","12.63"
"26.38","0.31","4.86","10.24"
"26.431","4.55","0.94","6.86"
"26.482","0.98","6.35","4.9"
"26.533","4.16","-0.59","10.2"
"26.584","-0.67","3.84","16.51"
"26.635","0.08","4.79","15.65"
"26.788","-1.45","-2.08","0.9"
"26.839","-2.59","1.02","-2.04"
"26.89","-2.86","-5.81","13.77"
"26.941","-7.57","8.71","8.9"
"26.992","1.45","2.16","11.41"
"27.043","0.86","1.8","15.1"
"27.094","2.59","2.98","8.75"
"27.145","2.12","3.53","4.51"
"27.196","2.47","5.1","2.98"
"27.247","2.59","0.98","18.04"
"27.298","2.43","7.1","12.43"
"27.349","1.1","5.3","15.02"
"413.38318","-0.43","1.77","9.3"
"27.502","-2.28","-1.33","2.08"
"27.553","-3.88","-2.12","2.16"
"27.604","-3.02","-3.77","16.08"
"27.655","0.47","1.92","17.22"
"27.706","2.12","5.57","13.42"
"27.757","2.04","6.2","13.34"
"27.808","0.12","6.59","6.83"
"27.859","1.53","4.94","0.78"
"27.91","2.2","0.31","6.98"
"27.961","-0.67","5.84","15.49"
"28.012","4.35","5.22","15.14"
"28.063","-0.24","6.67","13.81"
"28.114","-0.16","-4.71","10.47"
"28.165","-1.96","-1.22","1.49"
"28.216","-3.22","-0.24","1.53"
"28.267","-2.98","-4.35","11.06"
"28.318","-4.67","3.3","11.92"
"28.369","-0.94","4.9","14.83"
"28.42","-1.26","4.71","16.12"
"28.471","1.57","4.28","9.18"
"28.522","2.2","4.0","2.86"
"28.573","3.02","4.12","3.26"
"28.624","5.22","-0.08","14.87"
"28.675","0.0","10.08","12.32"
"28.726","1.73","2.75","14.91"
"28.777","-3.18","2.28","14.4"
"28.828","-1.88","-2.43","6.47"
"28.981","-3.49","-3.92","1.57"
"29.032","-8.63","8.12","14.47"
"29.083","-1.06","2.86","20.01"
"29.134","-3.41","6.24","17.97"
"29.185","0.24","4.28","12.28"
"29.236","1.77","5.18","3.73"
"29.287","3.37","4.08","2.47"
"29.338","3.45","1.53","13.89"
"29.389","1.18","3.57","15.65"
"29.44","-1.33","5.18","12.0"
"29.491","-1.18","-0.47","11.3"
"29.542","-1.1","-2.63","3.37"
"29.695","-5.73","0.39","15.65"
"29.746","-2.59","2.04","14.87"
"29.797","0.04","3.49","9.02"
"29.848","1.14","1.45","12.0"
"29.899","4.86","1.65","9.02"
"29.95","4.28","3.8","3.65"
"30.001","3.26","4.08","6.43"
"30.052","2.08","1.57","18.79"
"30.103","-1.92","8.04","16.87"
"30.154","-2.55","2.98","15.57"
"30.205","-6.08","0.27","12.47"
"30.256","-3.26","0.04","2.2"
"30.307","-3.92","1.69","0.82"
"30.358","-3.45","-4.71","4.59"
"30.409","-2.59","-2.9","14.04"
"31.327","4.75","1.22","4.47"
"31.378","2.98","5.81","4.55"
"31.429","3.22","0.39","13.85"
"31.48","-0.94","4.2","14.51"
"31.531","-4.43","5.22","16.12"
"31.582","-3.8","1.22","13.02"
"31.633","-1.84","-4.35","5.65"
"31.684","1.53","-3.37","1.22"
"31.735","-2.63","1.26","3.77"
"31.786","-7.65","0.98","12.47"
"31.837","-6.67","4.71","9.77"
"31.888","-2.43","-0.71","15.38"
"31.939","-2.98","1.22","13.65"
"31.99","0.24","4.47","5.45"
"32.041","7.96","2.16","6.39"
