NAME:,run_5_1,,
EXPERIMENT TIME:,Thu Jun 01 21:51:35 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,133,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
12.55774618,-8.9,2.2,-4.04
12.63324365,0.63,-2.08,0.78
12.71712973,-0.24,0.16,-1.92
12.80101581,-6.35,-1.14,-8.39
12.87651328,-19.46,-5.77,-12.16
12.96878797,-20.01,5.3,-10.24
13.05267405,-4.28,0,-2.59
13.11978291,0.86,3.3,0.24
13.2120576,-4.28,-1.18,-3.22
13.28755507,-13.81,0.82,-12.4
13.37144115,-20.01,-4.04,-11.49
13.44693862,-11.34,1.1,-6.24
13.5308247,0.24,-0.43,1.22
13.61471078,-0.2,0.04,-2.28
13.69020826,-4.47,3.26,-4.28
13.76570573,-20.01,4.08,-10.2
13.84959181,-20.01,3.65,-7.88
13.93347789,-3.61,0.16,-2.59
14.03414118,-0.63,0.47,-1.53
14.11802726,-1.49,-1.41,-3.37
14.17674752,-19.93,10.67,-1.26
14.24385638,-19.18,-2.04,-11.14
14.35290829,-16.79,0.71,-7.34
14.43679437,-0.16,1.14,-1.65
14.52906906,-2.12,1.26,-0.63
14.60456653,-2.2,1.88,-4.47
14.66328678,-18.79,-4.86,-8.32
14.73878426,-20.01,4.9,-9.73
14.82267034,-10.63,0.63,-5.33
14.89816781,3.69,0.2,2.39
14.98205389,-2.75,-1.29,-5.49
15.05755136,-12.67,-2.82,-7.81
15.13304883,-20.01,3.77,-8.59
15.24210074,-17.93,4.71,-7.41
15.34276403,-0.86,-0.16,-1.22
15.4182615,-2.86,1.45,-2.04
15.48537037,-2.08,0.59,-1.26
15.57764506,-18.63,2.55,-14.95
15.66153114,-20.01,3.92,-5.41
15.73702861,-8.98,-0.16,-5.22
15.80413747,1.77,3.1,0.27
15.87963494,-1.53,-3.73,-2.47
15.94674381,-14.59,1.41,-7.77
16.0474071,-20.01,4.47,-12.51
16.13968179,-18.48,4.39,-9.22
16.65138688,-2.43,-1.18,-1.29
16.65977549,-0.47,-0.16,-1.65
16.70171853,-1.53,1.02,-1.96
16.71010714,-20.01,1.45,-4.94
16.71849574,-19.69,1.14,-8.51
16.72688435,-12.75,1.18,-6.79
16.74366157,0.16,-0.04,0.82
16.80238182,-1.1,-0.71,-2.43
16.85271347,-3.65,-2.51,-4.86
16.94498816,-19.46,5.06,-9.06
17.02048563,-20.01,4,-9.1
17.0959831,-8.24,0.67,-4.51
17.17986918,1.41,-0.39,0.27
17.25536666,-0.55,0.63,-2.82
17.33925274,-5.49,1.49,-10.67
17.41475021,-19.77,-5.02,-11.41
17.5070249,-20.01,2.51,-7.53
17.58252237,-2.71,0.47,-1.96
17.67479706,-1.37,0.47,0.47
17.75029453,-0.86,-0.2,-2.82
17.84256922,-15.73,-1.49,-13.69
17.9264553,-20.01,-0.43,-11.18
17.99356416,-14.32,3.22,-7.61
18.07745024,2.35,-3.06,-0.94
18.16133632,-0.39,0.47,-1.61
18.2452224,-4.43,2.31,-2.31
18.32910848,-20.01,0.71,-10.43
18.39621734,-20.01,4.82,-12.32
18.48849203,-5.81,-0.78,-2.98
18.5556009,1.37,2,0.08
18.64787558,-2.04,1.53,-2.63
18.74015027,-17.14,0.55,-8
18.81564774,-20.01,-1.26,-8.9
18.90792243,-15.46,2.98,-10.28
18.9834199,-2.71,0.04,-0.59
19.05891738,-1.53,1.88,2.35
19.14280346,-2.75,0.31,-3.3
19.22668954,-15.97,-0.31,-9.85
19.31057562,-20.01,0.2,-8.67
19.3944617,-12.91,1.77,-6.08
19.47834778,0.82,-1.73,-0.04
19.6125655,-0.39,0.2,-3.26
19.62934272,-8.71,-1.06,-5.33
19.7132288,-20.01,4.98,-9.26
19.77194906,-18.91,1.02,-7.92
19.86422374,-3.26,1.57,-2.47
19.94810982,-1.84,1.53,-0.9
20.0319959,-2,-0.51,-0.35
20.10749338,-20.01,3.8,-12.04
20.19137946,-20.01,6.47,-10.63
20.28365414,-12.91,0.86,-4.94
20.35915162,2.04,0.2,-1.41
20.4514263,-1.53,0.51,-3.77
20.51853517,-7.06,-2.98,-3.18
20.58564403,-20.01,5.45,-5.1
20.66953011,-20.01,4.08,-9.3
20.75341619,-1.57,-0.39,-2.39
20.85407949,-2.04,2.04,-0.2
20.93796557,-2.55,-1.06,-2.75
21.02185165,-16.51,1.61,-5.14
21.09734912,-19.38,6.9,-6.67
21.1812352,-14.51,0.98,-6.55
21.27350989,1.06,0.51,-0.75
21.34061875,-1.57,-0.47,-2.2
21.40772762,-7.26,0.24,-3.02
21.48322509,-20.01,5.26,-10.16
21.56711117,-19.46,3.22,-8.71
21.65099725,-5.14,1.41,-2.71
22.14592512,-5.61,-1.49,1.06
22.66601882,-2.08,3.14,-18.01
22.68279603,-20.01,7.45,-22.2
22.69118464,1.61,0.9,-2.08
22.74151629,-3.69,-0.75,-9.69
