NAME:,matan r 2,,
EXPERIMENT TIME:,Thu Jun 01 12:45:58 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,163,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
13.26238925,-8.2,-1.45,-2.04
13.35466394,0.71,-0.63,-4.24
13.48049306,20.01,-4.16,-20.01
13.54760192,17.38,-1.06,-7.34
13.60632218,1.29,2.12,-1.41
13.68181965,-7.18,2.55,-3.06
13.76570573,4.47,5.1,-7.02
13.82442598,18.44,7.69,-19.89
13.91670067,10.04,0.16,-5.06
14.00058675,-6.9,0.04,-1.73
14.08447283,1.06,-3.77,-3.22
14.16835891,20.01,-7.69,2.39
14.23546778,14.87,-0.82,-9.34
14.32774246,5.73,3.22,-3.96
14.45357158,-8.47,4.16,-1.33
14.51229184,2.16,2.31,-5.33
14.5794007,20.01,2.98,-20.01
14.65489818,9.53,-0.47,-6.43
14.72200704,-0.78,-0.39,-2.04
14.80589312,-3.14,-3.41,-2.28
14.8897792,2.39,-2.04,-15.93
14.96527667,19.18,0.43,-6.16
15.05755136,9.81,3.8,-5.88
15.13304883,-11.3,1.92,0.08
15.22532352,2.2,1.29,-5.02
15.29243238,20.01,-1.06,-20.01
15.4182615,12.2,5.69,-7.73
15.47698176,-1.1,-1.06,-2.12
15.55247923,-2.71,-3.73,-2.82
15.6195881,3.1,-0.51,-5.61
15.71186278,20.01,-1.49,-20.01
15.78736026,16.12,2.82,-7.02
17.27214387,-6.67,0.9,-2.39
17.77546035,-2.31,2.28,-2.86
18.26199962,1.37,3.92,-17.22
18.27877683,19.97,7.57,-4.59
18.7653161,8.59,-1.73,-9.49
18.7737047,0.4,2.12,-0.47
19.26024397,0.59,-1.1,-3.61
19.2937984,19.97,-3.26,-15.18
19.30218701,20.01,-1.57,-10.91
19.32735283,-12.63,-0.16,-2.08
19.38607309,0.67,-0.9,-3.61
19.46995917,20.01,-2.04,-12.04
19.56223386,19.53,-2.16,-6.67
19.65450854,-1.37,1.92,-1.29
19.72161741,-3.65,3.57,-3.3
19.8138921,0.59,2.16,-3.92
19.89777818,20.01,-1.53,-20.01
19.94810982,9.3,-0.04,-6.86
20.04038451,-0.08,-0.78,-2.12
20.12427059,-2.98,-4.86,-2.94
20.19976806,2.98,0.51,-6.08
20.3423744,18.16,7.53,-14.87
20.37592883,13.65,1.02,-4.08
20.45981491,-8.55,0.63,-1.49
20.52692378,0.39,1.45,-4.24
20.61080986,1.69,8.24,-19.02
20.69469594,20.01,7.18,-4.35
20.78697062,10.51,-1.65,-3.53
20.84569088,-11.65,-4.43,3.1
20.93796557,2.94,-0.08,-3.45
21.03024026,20.01,3.92,-17.85
21.15606938,18.44,-3.26,-7.41
21.21478963,3.61,4.59,-2.98
21.2902871,-9.02,0.51,-2.51
21.34900736,3.1,0.82,-3.65
21.43289344,20.01,1.41,-20.01
21.4916137,13.69,2.67,-7.34
21.6006656,-2.51,-1.18,-1.57
21.65099725,-2.82,-3.1,-1.77
21.74327194,0.51,-3.02,-18.2
21.82715802,20.01,1.14,-13.1
21.9110441,11.22,2.82,-6.59
22.00331878,-11.22,2.43,-2.63
22.10398208,1.06,1.33,-4.51
22.16270234,15.14,10.87,-9.89
22.23819981,14.28,3.49,-1.22
22.31369728,6.79,-3.45,-3.26
22.40597197,-3.1,-5.22,-2.28
22.46469222,-0.12,0.71,-3.77
22.5485783,20.01,-2.63,-20.01
22.64085299,17.34,-4.43,-5.73
22.72473907,3.77,4.59,-4.9
22.81701376,-9.02,1.18,-1.65
22.88412262,2.28,0.78,-3.84
22.97639731,20.01,5.61,-20.01
23.068672,15.06,-0.51,-7.65
23.14416947,-1.33,-0.86,-1.41
23.21127834,-4.55,-4.67,-2.55
23.26999859,5.22,-3.06,-5.92
23.36227328,20.01,-2.12,-7.69
23.44615936,11.06,0.71,-6.12
23.53843405,-6.08,2.59,-2
23.5971543,-1.57,2.63,-3.49
23.6978176,0.16,3.73,-16.55
23.78170368,12.28,12.12,1.45
23.84042394,11.61,-0.67,-4.75
23.93269862,-6.2,-3.1,-2.16
24.02497331,0.78,-3.65,-1.84
24.10047078,20.01,-5.61,-20.01
24.15919104,18.36,-5.77,-4.86
24.26824294,1.53,2.2,-3.22
24.75478221,-8.51,2.98,-2.04
25.25809869,1.77,2.04,-4.71
25.2748759,20.01,-2,-20.01
25.28326451,14.36,1.69,-7.06
25.30843034,16.71,1.02,-4.9
25.39231642,8.2,-1.92,-2.94
25.4845911,-11.92,-1.73,-3.1
25.56008858,2.71,-2.12,-4.79
25.64397466,20.01,6.55,-20.01
25.71947213,17.97,-2.94,-3.26
25.78658099,-4.39,6.43,-2.55
25.87885568,-3.06,-0.04,-2.04
26.01307341,1.49,3.02,-5.81
26.08018227,20.01,10.59,-12.94
26.12212531,12.55,-4.98,-5.61
26.20601139,-7.53,-4.24,-2.24
26.28150886,-2.08,-0.86,-3.77
26.36539494,20.01,4.47,-19.81
26.44928102,19.02,-5.49,-7.18
26.51638989,-1.1,-0.55,-1.49
26.60027597,-8.24,3.53,-3.84
26.69255066,3.02,2.63,-4.28
26.78482534,20.01,8.55,-20.01
26.89387725,13.26,-0.35,-8.08
26.96098611,-4.51,-3.53,0.24
27.03648358,-3.1,-1.92,-2.9
27.07842662,8.43,-14.04,-11.14
27.1623127,20.01,-3.88,-12.2
27.25458739,8.28,2.24,-7.02
27.33847347,-7.57,4.31,-2.59
27.42235955,1.41,1.41,-2.39
27.49785702,20.01,2.51,-11.02
27.5733545,15.53,8.39,-8.55
27.65724058,5.14,-2.16,-4.12
27.74951526,-4.43,-3.77,-2.31
27.85017856,0.24,-0.82,-2.28
27.91728742,20.01,-0.78,-20.01
27.97600768,17.93,-6.59,-4.08
28.06828237,-6.67,3.8,-1.14
28.16055706,-2.98,2.39,-1.41
28.21927731,2.35,3.14,-14.83
28.30316339,19.97,6.35,-13.49
28.38704947,10.2,-1.61,-5.3
28.47932416,-8.04,-4.86,-1.37
28.53804442,0,0.39,-2.59
28.6219305,20.01,3.14,-17.61
28.71420518,19.3,-5.92,-9.02
28.81486848,2.08,1.18,-3.3
28.88197734,-10.04,6.47,-3.33
28.96586342,3.18,3.18,-2.59
29.0497495,20.01,4.2,-20.01
29.10846976,11.45,2.39,-9.45
29.20074445,-3.14,-4.39,-1.84
29.28463053,-1.53,-1.92,-2.75
29.36851661,4.79,-7.92,-19.14
29.44401408,16.95,-1.1,-13.02
29.53628877,9.69,1.37,-7.85
29.58662042,-10.55,4.55,-2.16
29.68728371,-0.16,0.27,-1.33
29.75439258,17.26,7.81,-16.08
29.89699891,19.85,11.26,-10.83
29.93894195,3.26,0.2,-2.67
30.00605082,-5.61,-3.73,-3.26
30.0899369,-0.67,-1.29,-3.8
30.16543437,20.01,-4.67,-20.01
30.26609766,15.65,-0.63,-8.67
30.73585971,-1.57,-0.24,1.69
31.26434202,-6.12,2.04,-2.82
31.27273062,6.35,3.14,-13.14
31.28111923,19.46,6.98,-13.1
31.28111923,9.57,0,-10.04
31.31467366,20.01,12.63,-20.01
31.38178253,9.26,0.78,-8.12
31.46566861,-3.22,-2.75,-0.16
31.54116608,-3.88,-4.2,-5.14
31.63344077,20.01,1.14,-15.42
31.7676585,18.87,-0.63,-14.63
31.82637875,10.47,2.28,-6.59
31.8767104,-6.2,1.02,-1.29
31.96059648,-1.92,1.14,-3.06
32.02770534,17.57,7.14,-14.98
32.11998003,17.53,8.51,-8.83
32.20386611,6.47,-0.27,-1.69
32.27097498,-10.04,-5.57,-2.59
32.35486106,3.92,-4.82,-8.28
32.43874714,20.01,-3.8,-20.01
32.52263322,17.42,-5.96,-4.82
32.64846234,-1.69,0.27,-0.82
32.7155712,-6.83,4.55,-2.2
32.78268006,3.49,2.71,-10.43
32.84140032,20.01,8.71,-20.01
32.9252864,9.34,-0.08,-5.33
33.01756109,-3.3,-3.06,-1.57
33.09305856,-2.75,-3.41,-7.81
33.17694464,20.01,-1.53,-20.01
33.2356649,18.16,-0.2,-10.08
33.32793958,1.8,-0.12,-2.08
33.42021427,-7.37,3.18,-4.51
33.48732314,2,7.02,-7.26
33.59637504,20.01,9.85,-20.01
33.6550953,8.79,1.29,-10.71
33.72220416,-1.53,-2.08,-1.61
33.81447885,-5.26,-3.49,-2
33.89836493,11.69,-1.22,-13.77
33.99063962,19.14,-3.77,-14.98
34.06613709,9.81,3.96,-6.51
34.14163456,-7.02,0.35,-1.02
34.22552064,-0.98,1.96,-2.67
34.30940672,9.89,5.65,-16.79
34.40168141,20.01,8.75,-9.34
34.46040166,7.02,0.71,-3.49
34.56106496,-7.57,-2.75,-2.9
34.62817382,2.04,-4.28,-4.31
34.69528269,20.01,-7.34,-20.01
34.80433459,17.61,-4.63,-10.43
34.86305485,-2.9,0.2,3.37
34.93855232,-6.39,3.77,-2.51
35.0224384,3.8,6.24,-17.06
