NAME:,run_1_1.csv,,
EXPERIMENT TIME:,05/06/2023 12:03,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,160,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,8.75,-2.67,-0.08
0.070007324,8.9,-2.79,0.12
0.15000916,8.51,-2.43,0.75
0.22000122,8.2,-3.02,0.47
0.29000854,8.67,-2.35,0.47
0.3600006,8.59,-3.92,0.82
1.2799988,7.61,-6.39,6.9
1.3500061,10.67,-0.08,-5.26
1.4199982,-0.63,4.71,-6.43
1.5,0.35,-2.86,0.51
1.5700073,-2.67,-1.96,-5.3
1.6399994,4.79,-20.01,-6.04
1.7100067,13.96,6.63,0.47
1.7799988,11.73,2.94,7.41
1.8500061,10,11.65,-3.53
1.9199982,-3.49,-0.08,8.75
1.9900055,6.2,-12.08,-3.8
2.0599976,20.01,6.35,-4.75
2.130005,20.01,-0.86,4.04
2.199997,-0.86,0.2,-1.49
2.2799988,-2.04,-5.84,-8.94
2.350006,1.14,9.92,-0.51
2.4199982,-2.04,-9.73,-17.57
2.4900055,20.01,15.69,-20.01
2.5599976,17.93,-1.8,-1.33
2.630005,5.92,-1.18,2.51
2.699997,3.41,-14.36,-2.82
2.7700043,10.75,1.69,-16.71
2.8399963,19.3,11.57,-6.08
2.9199982,1.06,-1.73,-1.29
2.9900055,-9.85,-7.61,-2.08
3.0599976,-6.43,14.36,0.04
3.130005,-12.55,-16.4,-17.53
3.199997,20.01,-6.63,-19.57
3.2700043,3.61,-0.35,-8.71
3.3399963,4.79,14.51,-2.94
3.4100037,-2.94,4.43,1.53
3.4799957,5.18,5.73,-20.01
3.550003,15.65,4.86,-20.01
3.6200104,6.63,-3.77,-2.98
3.699997,-7.1,2.08,-2.35
3.7700043,-5.06,7.18,-0.27
3.8399963,-0.12,-7.81,-4.35
3.9100037,14.75,-17.65,11.69
3.9799957,-15.22,20.01,20.01
4.050003,9.61,12.43,-8.83
4.1200104,-2.35,-4.35,13.26
4.1900024,-9.3,6.67,-19.57
4.26001,20.01,-1.61,-20.01
4.3399963,-2.16,2.9,-4
4.4100037,-4.55,0.12,6.24
4.4799957,-11.73,-4,-5.41
4.550003,-1.77,14.55,-5.77
4.6200104,18.67,17.34,2.16
4.6900024,-7.65,8.43,11.3
4.76001,-4.86,20.01,0.04
4.830002,-4.28,-6.98,-5.26
4.900009,-3.3,7.69,-20.01
4.970001,9.34,0.16,-20.01
5.0400085,-2.71,-2.39,-9.02
5.1200104,-16.16,-11.22,3.1
5.1900024,1.37,6.86,-0.35
5.26001,-20.01,-9.02,12.28
5.330002,20.01,-8.2,-9.22
5.400009,-20.01,20.01,20.01
5.470001,8.51,6.16,-19.57
5.5400085,1.77,-3.73,2.47
5.6100006,-3.57,-9.22,-20.01
5.680008,6.32,-2.39,-16.12
5.76001,-2.94,-2.31,-5.37
5.830002,-7.92,-5.77,-0.75
5.900009,-0.9,2,2.16
5.970001,-14.04,-7.81,7.26
6.0400085,20.01,20.01,-20.01
6.1100006,1.41,3.02,-19.81
6.180008,0,-2.2,-5.41
6.25,-1.61,-20.01,-3.8
6.3200073,-0.35,-4.08,-17.42
7.25,-3.61,7.06,-3.96
7.3200073,-12.43,3.96,1.8
7.3899994,20.01,-16.59,-3.02
7.4600067,-3.61,4.35,20.01
7.529999,2.39,11.3,-4.79
7.600006,0.27,-10,-1.18
7.669998,-0.67,13.53,-20.01
7.7400055,11.73,-3.61,-20.01
