"NAME: ","walk_5_2.csv"
"EXPERIMENT TIME: ","08/06/2023 14:52:48"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","85"

"Time[sec]","ACC X","ACC Y","ACC Z"
"0.0","-0.31","3.41","7.53"
"0.1","0.00","2.28","8.04"
"0.2","-0.71","2.67","8.24"
"0.3","0.27","2.35","11.53"
"0.4","4.39","1.02","6.94"
"0.5","-0.63","2.75","5.69"
"0.6","-0.31","1.18","7.85"
"0.7","-0.78","2.51","7.10"
"0.8","-0.24","2.63","8.12"
"0.9","2.51","3.77","12.28"
"1.0","2.75","-0.47","5.26"
"1.1","0.35","1.33","6.08"
"1.2","-0.20","1.57","5.30"
"1.3","-0.98","0.20","7.88"
"1.4","-1.53","1.29","10.75"
"1.5","4.08","2.00","9.57"
"1.6","3.30","1.37","5.96"
"1.7","0.24","0.67","7.81"
"1.8","-2.31","1.69","4.71"
"1.9","-1.84","3.14","6.47"
"2.0","1.57","3.14","12.32"
"2.1","1.69","-1.45","4.12"
"2.2","-0.47","1.80","4.47"
"2.3","-1.10","1.69","6.20"
"2.4","-1.41","2.08","7.22"
"2.5","-3.18","2.94","10.71"
"2.6","2.43","-1.88","11.18"
"2.7","-0.08","7.92","6.00"
"2.8","-1.80","0.08","6.00"
"2.9","-1.37","4.39","4.47"
"3.0","-0.12","4.98","9.22"
"3.1","-2.12","8.28","9.22"
"3.2","4.75","-0.20","6.63"
"3.3","1.65","2.43","8.67"
"3.4","-0.12","0.63","5.69"
"3.5","-1.22","1.53","7.37"
"3.6","-1.02","1.61","9.53"
"3.7","4.90","1.53","11.92"
"3.8","2.55","2.47","6.24"
"3.9","-0.63","-1.77","8.04"
"4.0","-0.59","2.16","6.67"
"4.1","-1.33","1.92","7.14"
"4.2","0.55","3.77","9.53"
"4.3","4.67","1.22","10.71"
"4.4","0.27","2.24","6.16"
"4.5","0.55","0.90","6.35"
"4.6","-0.82","1.45","6.71"
"4.7","-0.08","0.75","8.20"
"4.8","-1.10","3.88","10.79"
"4.9","3.57","-0.12","7.37"
"5.0","1.02","4.20","7.73"
"5.1","0.59","1.65","6.63"
"5.2","-1.26","2.12","6.51"
"5.3","-2.00","2.08","8.63"
"5.4","-3.33","7.57","12.16"
"5.5","4.39","-1.33","8.47"
"5.6","-1.33","4.20","7.85"
"5.7","0.39","1.14","5.61"
"5.8","-0.27","2.00","6.86"
"5.9","-1.10","1.10","9.61"
"6.0","2.43","0.04","12.08"
"6.1","2.31","4.75","7.77"
"6.2","0.71","-0.16","7.45"
"6.3","-1.61","1.26","6.59"
"6.4","-2.55","2.79","5.73"
"6.5","-2.20","4.39","9.53"
"6.6","1.92","-0.08","10.55"
"6.7","0.59","1.10","7.81"
"6.8","0.08","1.84","6.24"
"6.9","-0.75","0.78","6.32"
"7.0","-1.41","1.22","9.10"
"7.1","-0.98","3.73","11.38"
"7.2","5.33","1.10","6.63"
"7.3","1.80","2.04","7.69"
"7.4","-2.28","2.28","6.20"
"7.5","0.04","-0.59","5.18"
"7.6","-2.08","1.41","9.18"
"7.7","0.00","1.22","11.41"
"7.8","0.63","-0.39","6.32"
"7.9","0.16","0.82","7.49"
"8.0","-0.90","1.22","6.08"
"8.1","-0.71","1.14","7.77"
"8.2","-2.12","2.31","10.24"
"8.3","2.75","2.00","8.87"
"8.4","0.00","1.49","7.73"
"8.5","-0.82","1.77","5.77"
"8.6","-1.10","2.82","6.98"
"8.7","-2.51","2.55","9.38"
"8.8","0.67","0.98","8.24"
"8.9","3.57","-1.49","7.57"
"9.0","-1.49","1.22","4.82"
"9.1","-0.82","1.61","5.53"
"9.2","-2.79","1.65","7.61"
"9.3","-2.35","2.35","9.96"
"9.4","1.26","1.57","8.67"
"9.5","0.12","6.51","7.14"
"9.6","-1.06","0.63","8.00"
