"NAME: ","walk_2_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:38:06"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","80"

"Time[sec]","ACC X","ACC Y","ACC Z"
"0.0","-0.98","9.61","0.59"
"0.1","-0.94","9.77","0.75"
"0.2","-1.33","10.00","0.43"
"0.3","-1.65","9.96","0.20"
"0.4","-2.00","9.26","0.90"
"0.5","-2.31","9.22","0.98"
"0.6","-2.31","10.51","0.71"
"0.7","-2.24","10.28","1.06"
"0.8","-1.45","9.14","0.31"
"0.9","-0.86","8.79","-0.24"
"1.0","-1.37","9.53","0.71"
"1.1","-0.59","10.51","0.75"
"1.2","-1.73","10.04","0.55"
"1.3","-1.22","11.10","0.31"
"1.4","-2.16","11.53","-0.59"
"1.5","-0.20","11.49","-1.02"
"1.6","-0.71","9.18","-0.35"
"1.7","-1.53","8.47","0.16"
"1.8","-2.00","7.77","1.69"
"1.9","-3.84","8.28","1.61"
"2.0","-2.75","11.73","1.69"
"2.1","-2.28","10.71","-0.51"
"2.2","-1.88","10.20","-1.33"
"2.3","-1.96","9.10","-0.35"
"2.4","-2.39","8.98","0.35"
"2.5","-2.16","8.94","0.90"
"2.6","-2.12","9.38","0.55"
"2.7","-2.35","11.49","0.78"
"2.8","-1.80","10.90","0.75"
"2.9","-1.45","9.57","0.59"
"3.0","-2.51","8.94","0.59"
"3.1","-2.86","6.43","1.88"
"3.2","-2.71","9.77","0.86"
"3.3","-3.26","10.04","0.78"
"3.4","-2.90","11.69","0.71"
"3.5","-2.79","9.57","-0.59"
"3.6","-2.00","10.71","-0.86"
"3.7","-1.61","9.38","-0.24"
"3.8","-2.51","8.67","0.31"
"3.9","-2.67","9.14","0.31"
"4.0","-3.18","9.18","1.10"
"4.1","-2.24","11.57","0.67"
"4.2","-3.49","9.77","-0.20"
"4.3","-1.77","9.38","0.63"
"4.4","-2.79","9.10","0.39"
"4.5","-2.98","8.59","2.47"
"4.6","-3.49","8.79","1.80"
"4.7","-4.24","9.14","1.57"
"4.8","-3.02","11.38","2.04"
"4.9","-1.53","9.53","0.04"
"5.0","-2.82","9.41","-0.24"
"5.1","-2.67","8.87","1.10"
"5.2","-3.22","8.12","0.86"
"5.3","-3.02","8.12","1.22"
"5.4","-3.33","10.90","1.45"
"5.5","-2.43","11.81","1.84"
"5.6","-0.47","10.08","2.39"
"5.7","-2.63","8.12","0.04"
"5.8","-3.69","8.43","0.39"
"5.9","-4.28","7.77","1.88"
"6.0","-4.86","7.85","1.41"
"6.1","-4.43","9.96","1.84"
"6.2","-3.06","11.14","0.51"
"6.3","-1.96","11.06","-0.20"
"6.4","-2.08","8.98","0.00"
"6.5","-2.71","8.36","0.82"
"6.6","-3.65","8.12","0.78"
"6.7","-3.96","8.24","0.82"
"6.8","-3.96","9.22","1.37"
"6.9","-3.33","10.98","1.73"
"7.0","-2.90","9.57","1.92"
"7.1","-2.28","10.79","1.22"
"7.2","-2.28","8.43","1.29"
"7.3","-3.06","7.26","1.53"
"7.4","-3.53","8.94","1.29"
"7.5","-4.12","11.30","2.20"
"7.6","-4.31","10.87","2.08"
"7.7","-3.37","7.45","-0.27"
"7.8","-2.24","8.55","-0.08"
"7.9","-2.86","9.06","0.51"
"8.0","-3.37","9.34","1.02"
"8.1","-3.10","8.90","1.73"
"8.2","-3.30","10.55","1.49"
"8.3","-4.04","12.36","-0.35"
"8.4","-2.94","8.36","0.43"
"8.5","-3.49","8.83","-0.31"
"8.6","-3.49","7.92","0.43"
"8.7","-3.53","8.98","0.82"
"8.8","-3.88","9.34","0.86"
"8.9","-4.04","10.04","1.33"
"9.0","-5.45","10.32","0.24"
"9.1","-3.77","9.14","-0.47"
"9.2","-3.92","8.36","-1.33"
"9.3","-3.41","8.63","-0.20"
"9.4","-3.80","7.77","-0.71"
"9.5","-4.04","10.12","-0.16"
"9.6","-3.96","10.43","0.63"
"9.7","-4.59","10.12","-0.12"
"9.8","-4.24","10.36","-1.45"
"9.9","-4.04","7.88","-1.33"
"10.0","-4.47","8.47","-1.69"
"10.1","-4.51","9.14","-0.43"
"10.2","-4.86","8.55","0.27"
"10.3","-5.02","8.47","0.24"
"10.4","-4.82","10.87","0.63"
"10.5","-4.39","11.45","0.47"
"10.6","-4.08","7.30","-0.94"
"10.7","-3.30","8.63","-1.57"
"10.8","-4.24","9.81","-0.51"
"10.9","-4.16","9.38","0.71"
"11.0","-4.75","8.63","0.31"
"11.1","-4.90","8.51","0.08"
"11.2","-4.39","9.85","0.12"
"11.3","-4.75","9.61","-0.63"
"11.4","-4.35","8.16","-0.75"
"11.5","-3.73","9.69","0.24"
"11.6","-3.49","9.81","1.26"
"11.7","-3.53","8.67","0.55"
"11.8","-3.92","8.04","0.47"
"11.9","-4.86","9.53","1.10"
"12.0","-4.59","10.24","0.82"
"12.1","-3.37","9.14","-0.35"
"12.2","-4.28","7.96","-0.86"
"12.3","-3.33","10.51","0.67"
"12.4","-4.75","8.98","0.16"
"12.5","-4.63","8.16","0.86"
"12.6","-5.02","8.36","0.35"
"12.7","-5.26","9.96","-0.08"
"12.8","-4.08","10.71","-1.45"
"12.9","-3.37","9.49","-0.86"
"13.0","-3.33","8.67","-0.67"
"13.1","-3.26","9.57","-0.67"
"13.2","-3.22","9.77","0.71"
"13.3","-4.00","9.65","0.67"
"13.4","-5.26","8.32","0.04"
"13.5","-5.65","9.18","-0.35"
"13.6","-4.39","9.34","0.67"
"13.7","-3.37","8.71","-0.63"
"13.8","-3.18","10.63","-2.04"
"13.9","-3.06","8.20","0.51"
"14.0","-4.47","9.41","0.71"
"14.1","-5.22","9.30","0.31"
"14.2","-5.41","8.24","0.43"
"14.3","-4.20","10.32","0.12"
"14.4","-3.53","11.38","0.39"
"14.5","-3.73","7.85","-0.67"
"14.6","-4.67","8.24","-0.47"
"14.7","-4.63","9.57","0.16"
"14.8","-4.67","9.41","0.82"
"14.9","-4.63","7.53","0.94"
"15.0","-5.49","8.36","0.67"
"15.1","-5.45","10.75","-0.78"
"15.2","-4.75","8.79","-1.65"
"15.3","-3.80","8.04","-1.18"
