"NAME:","walk_4_2.csv"
"EXPERIMENT TIME:","07/06/2023 21:44"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"

"Time [sec]","ACC X","ACC Y","ACC Z"
"503.38","10.04","-2.47","4.63"
"503.47","10.08","-2.55","4.47"
"503.56","10.16","-2.71","4.12"
"503.65","10.04","-2.59","4.24"
"503.74","10.16","-2.75","4.47"
"503.83","10.0","-2.51","3.92"
"503.92","9.85","-2.98","3.65"
"504.01","10.08","-2.2","3.3"
"504.1","9.1","-2.39","4.31"
"504.19","11.73","-3.61","-5.41"
"504.29","11.77","-2.94","3.88"
"504.38","9.85","-2.2","1.53"
"504.47","9.69","-0.82","1.49"
"504.56","10.51","-0.67","0.71"
"504.65","14.32","-0.55","-1.14"
"504.74","13.61","-2.59","-1.02"
"504.83","13.81","-6.51","3.8"
"504.92","10.71","-3.84","2.71"
"505.01","10.51","1.06","11.22"
"505.1","5.02","1.41","3.77"
"505.19","10.47","0.12","7.96"
"505.29","11.34","-6.79","13.26"
"505.38","11.3","-6.47","3.96"
"505.47","6.75","-6.55","-0.31"
"505.56","5.41","-1.22","1.1"
"505.65","7.61","1.02","-0.86"
"505.74","10.28","-3.14","5.88"
"505.83","13.69","-11.06","5.45"
"505.92","4.86","-1.65","9.49"
"506.01","6.59","0.35","4.12"
"506.1","6.9","0.63","8.28"
"506.2","11.41","0.47","6.55"
"506.29","10.55","-6.0","7.49"
"506.38","15.97","-2.28","3.02"
"506.47","6.59","3.88","5.57"
"506.56","-20.01","-1.57","-0.67"
"506.65","9.69","0.43","-0.24"
"506.74","10.79","-0.94","-0.27"
"506.83","9.26","-5.73","4.12"
"506.92","5.14","0.51","8.12"
"507.01","10.43","-1.06","4.04"
"507.11","3.69","0.9","8.0"
"507.2","12.98","-0.31","9.1"
"507.29","14.91","-7.3","10.63"
"507.38","15.57","-4.79","5.77"
"507.47","-1.96","-6.28","2.98"
"507.56","6.35","-0.78","0.43"
"507.65","15.89","-0.16","1.33"
"507.74","13.57","-10.9","-0.39"
"507.83","5.45","-2.86","12.51"
"507.92","10.75","-9.49","5.57"
"508.02","6.35","-2.75","7.18"
"508.11","7.49","1.65","5.84"
"508.2","12.43","3.37","9.65"
"508.29","13.22","-9.3","8.39"
"508.38","13.61","-7.02","5.37"
"508.47","15.38","6.0","-8.0"
"508.56","4.51","-0.04","-0.12"
"508.65","11.61","-7.02","3.92"
"508.74","20.01","-13.26","3.92"
"508.84","8.12","1.22","10.9"
