"NAME:","run_4_1.csv"
"EXPERIMENT TIME:","2023/06/18 17:47"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","22"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-10.90","0.00","-3.37"
"0.101","-10.43","-0.12","-2.82"
"0.202","-10.00","0.04","-3.41"
"0.303","-8.16","1.80","-2.63"
"0.404","-12.20","0.16","-3.49"
"0.505","-9.30","0.12","-1.77"
"0.606","-10.90","0.00","-1.84"
"0.707","-12.79","2.08","1.18"
"0.808","-14.40","4.35","-6.90"
"0.909","-6.67","0.67","-4.12"
"1.01","-18.48","-2.67","-2.04"
"1.111","-13.42","-7.41","-4.59"
"1.212","2.75","2.43","-11.06"
"1.313","-20.01","-1.33","-1.77"
"1.414","-9.41","-1.73","-2.31"
"1.515","-4.43","6.75","-5.73"
"1.616","-16.28","3.61","-5.14"
"1.717","-20.01","-5.96","-3.61"
"1.818","2.59","2.00","-6.20"
"1.919","-20.01","1.02","5.14"
"2.02","-17.50","14.83","2.47"
"2.121","3.02","-4.51","-6.43"
"2.222","-12.40","-2.35","-13.38"
"2.323","-13.34","3.61","-3.33"
"2.424","-2.67","3.57","-2.00"
"2.525","-0.55","-0.16","-5.49"
"2.626","-18.59","-5.22","-0.12"
"2.727","-3.41","-4.31","-4.71"
"2.828","-5.65","2.59","-4.16"
"2.929","-19.93","5.37","0.55"
"3.03","-8.04","1.84","-1.57"
"3.131","-3.14","-1.84","-13.38"
"3.232","-20.01","-8.55","2.59"
"3.333","-1.53","-1.53","-3.57"
"3.434","-4.67","2.00","-5.26"
"3.535","-19.81","-2.75","-0.67"
"3.636","-8.63","-4.98","-3.22"
"3.737","-1.06","-7.02","-9.69"
"3.838","-20.01","6.86","-1.84"
"3.939","-16.24","10.98","-0.86"
"4.04","3.88","-3.92","-6.59"
"4.141","-10.83","-5.14","-10.55"
"4.242","-20.01","-14.59","-1.96"
"4.343","1.69","3.06","-3.96"
"4.444","-6.00","7.77","-18.87"
"4.545","-20.01","-6.28","3.10"
"4.646","0.94","-7.26","-7.57"
"4.747","-8.12","-7.41","-1.69"
"4.848","-14.95","9.22","1.84"
"4.949","-19.53","-5.84","-4.08"
"5.05","-0.43","-4.98","-7.77"
"5.151","-20.01","5.69","-8.36"
"5.252","-13.06","12.75","1.14"
"5.353","-1.69","8.71","-9.77"
"5.454","-12.63","2.00","-1.26"
"5.555","-19.65","-2.31","4.47"
"5.656","0.31","0.71","0.24"
"5.757","-9.02","2.20","-15.77"
"5.858","-17.22","-9.26","3.26"
"5.959","-2.86","-4.63","-3.80"
"6.06","-8.87","4.82","-4.28"
"6.161","-19.26","-2.39","4.98"
"6.262","-15.06","-8.04","0.08"
"6.363","4.39","-8.04","-4.35"
"6.464","-20.01","7.96","5.45"
"6.565","-14.98","6.35","6.04"
"6.666","4.98","3.57","-3.69"
"6.767","-9.77","0.71","-16.32"
"6.868","-10.90","-0.04","7.22"
"6.969","-15.38","6.83","-0.16"
"7.07","-1.77","-5.61","-10.00"
"7.171","-20.01","4.55","16.20"
"7.272","-18.55","5.77","1.53"
"7.373","-0.78","-2.79","-6.55"
"7.474","-6.75","6.79","-6.08"
"7.575","-18.36","-6.43","1.22"
"7.676","-16.44","-6.35","1.22"
"7.778","3.77","-4.16","-4.47"
"7.878","-7.57","4.90","-20.01"
"7.979","-5.41","-8.63","0.08"
"8.08","-10.12","4.55","2.43"
"8.181","1.88","-1.69","-0.82"
"8.282","-20.01","-2.51","-2.55"
"8.383","-17.50","5.37","-5.26"
"8.484","-3.26","-2.71","-1.45"
"8.585","-11.18","0.20","-3.57"
"8.686","-9.30","-1.22","-2.08"
"8.787","-10.71","-1.69","-2.82"
"8.888","-10.79","0.04","-3.18"
"8.989","-10.87","0.31","-3.26"
"9.09","-10.90","0.35","-3.22"
