NAME:,run_2_1.csv,,
EXPERIMENT TIME:,18/06/2023 05:57,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS: ,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,9.61,-0.67,-2.43
0.070999146,10,-1.02,-2.2
0.14199829,9.41,-0.75,-2.59
0.21299744,9.57,-0.86,-2.71
0.28399658,10,-1.02,-2.39
0.35499573,9.18,-0.63,-2.55
0.42599487,9.69,-0.2,-2.28
0.49699402,9.41,0.86,-2.31
0.56799316,10.47,0.47,-1.53
0.6389923,11.06,-0.31,-2.2
0.70999146,8.2,2.24,-2.04
0.7809906,11.65,2.43,0.2
0.85198975,12.47,0.12,-0.59
0.9229889,12.24,0.39,2.71
0.99398804,10.32,1.61,0.24
1.0649872,8.16,-0.08,-0.24
1.1359863,1.26,2.51,-5.37
1.2070007,13.96,2.71,-2.9
1.2779999,14.83,1.26,-3.92
1.348999,13.06,0.31,1.41
1.4199982,10.04,-2.79,-1.8
1.4909973,6.39,-1.22,-6.43
1.5619965,-0.2,4.59,-1.29
1.6329956,14.28,0.35,-2.51
1.7039948,19.26,0.08,-0.78
1.7749939,13.34,0.98,1.14
1.845993,4.94,0.63,-2.12
1.9169922,-4.31,1.69,-2.82
1.9879913,10.08,3.88,-11.69
2.0589905,18.24,2.94,-8.08
2.1299896,15.46,0.39,-1.26
2.2009888,13.06,-1.41,-3.06
2.271988,3.37,0.12,-4
2.342987,-1.14,2.16,-3.37
2.4139862,15.65,2.2,-7.81
2.4850006,20.01,0.2,1.57
2.5559998,14.63,-1.77,-1.53
2.626999,-0.16,1.69,-2.39
2.697998,-3.49,2.79,-2.94
2.7689972,4.08,14.36,-16.95
2.8399963,20.01,-10.71,-4.12
2.9109955,18.12,0.24,-1.18
2.9819946,9.38,-0.27,-3.3
3.0529938,3.73,-0.31,-4.28
3.123993,-0.24,0.78,-4.59
3.194992,12.51,3.49,-6.32
3.2659912,20.01,-2.59,-6.08
3.3369904,15.06,-1.41,-3.53
3.4079895,4.28,1.49,-1.29
3.4789886,-6.28,2.59,-4.16
3.5499878,8.87,2.12,-8.36
3.620987,18.59,-6.2,-8.75
3.691986,17.61,0.78,2.55
3.7630005,13.26,-0.71,-3.8
3.8339996,3.45,0.31,-2.9
3.9049988,-1.49,-0.27,-5.77
3.975998,8.94,1.96,-6
4.046997,20.01,-6.86,-5.02
4.117996,12.55,-0.75,-0.2
4.1889954,3.92,1.37,-3.57
4.2599945,-3.22,2,-3.33
4.3309937,5.96,2.24,-9.1
4.401993,18.36,-5.22,-6.28
4.472992,20.01,0.98,-1.14
4.543991,9.22,0.71,-2.75
4.61499,4.51,-0.12,-3.84
4.6859894,-1.14,1.69,-4.43
4.7569885,7.81,-2.67,-6.55
4.8279877,20.01,-4.82,-5.14
4.898987,14.87,-2.67,-1.8
4.969986,3.73,1.92,-2
5.0410004,-4.43,1.61,-3.69
5.1119995,4.28,3.69,-9.89
5.1829987,20.01,-2.82,-13.02
5.253998,19.18,-5.61,-5.49
5.324997,17.61,0.59,-8.47
5.395996,3.96,0.39,-2.24
5.4669952,0.2,1.02,-1.49
5.5379944,7.3,-5.53,-10.98
5.6089935,20.01,0.67,-8.28
5.6799927,17.57,0.75,-5.45
5.750992,6.2,0.82,-2.24
5.821991,-6.04,0.75,-3.37
5.89299,5.3,1.29,-0.55
5.9639893,12,-2.79,-5.69
6.0349884,20.01,3.84,-4.75
6.1059875,11.85,1.92,-6.47
6.1769867,9.26,-1.8,-1.88
6.248001,-4.71,2.16,-1.96
6.3190002,5.73,1.73,-2.75
6.3899994,20.01,-0.98,-5.41
6.4609985,20.01,-1.1,-2.86
6.5319977,5.53,-0.39,-3.8
6.602997,2.43,0.75,-2.08
6.673996,-1.14,3.49,-0.27
6.744995,16.95,-4.39,4.24
6.8159943,20.01,0.27,-12.47
6.8869934,11.1,5.65,-3.02
6.9579926,7.14,1.77,-1.29
7.0289917,0.94,-2.63,-3.06
7.099991,2.79,-2.39,-3.14
7.17099,20.01,0.94,-9.89
7.241989,20.01,1.77,-3.14
7.3129883,6.94,-1.69,-2.31
7.3839874,0.59,-0.86,-2.63
7.4549866,0.35,4,-0.86
7.526001,11.02,2.94,2.55
7.597,16.55,3.41,-5.1
7.6679993,16.04,-1.14,-2.28
7.7389984,10.79,0.9,-4.51
7.8099976,0.9,1.06,-4.2
7.8809967,2.08,1.1,-3.14
7.951996,16.08,-2.75,-7.02
8.022995,20.01,1.69,-1.49
8.093994,10.83,-1.84,-1.77
8.164993,2.28,-1.61,-0.98
8.235992,-4.82,2.39,-3.37
8.306992,6.47,2.75,-7.81
8.377991,15.14,-4.35,-4.59
8.44899,20.01,3.49,-5.1
8.519989,8.79,1.69,-3.53
8.590988,4.47,-0.67,-1.92
8.661987,-2.39,1.41,-3.33
8.732986,5.77,-2.59,-12.08
8.804001,20.01,-3.73,-6.16
8.875,17.73,1.1,-3.57
8.945999,4.9,1.22,-1.84
9.016998,-4.86,0.04,-3.22
9.087997,5.14,0.63,-1.88
9.158997,20.01,-3.69,-9.85
9.229996,18.51,4.35,0.39
9.300995,10.24,0.47,-4.98
9.371994,6.59,0.24,-2.59
9.442993,0.12,0.04,-3.06
9.513992,4.16,2.94,-11.22
9.584991,19.81,-5.53,-4.71
9.655991,20.01,-3.73,-3.18
9.72699,5.49,3.37,-1.49
9.797989,-1.18,-0.2,-2.47
9.868988,3.73,2.82,-2.04
9.939987,14.04,-2.94,2.55
10.010986,18.95,1.49,-7.3
10.082001,8.79,1.1,-2.55
10.153,11.96,-2.67,-2.12
10.223999,-1.92,2.51,-3.69
10.294998,2.67,-0.31,-3.14
10.365997,20.01,-2.75,-5.65
10.436996,20.01,-0.24,-5.37
10.507996,10.16,0.47,-0.59
10.578995,-0.27,-0.08,-2.24
10.649994,-0.82,3.65,-2.04
10.720993,9.22,0.63,-2.47
10.791992,20.01,1.06,-9.22
10.862991,11.57,0.82,-4.31
10.9339905,10.47,0.39,-2.67
11.00499,0.67,-0.51,-2.86
11.075989,3.26,0.12,-3.61
11.146988,20.01,-0.51,-9.26
11.217987,20.01,-1.1,-3.57
11.288986,13.69,-0.82,-3.18
11.360001,2.31,0.04,-3.22
11.431,-5.06,4.12,-1.61
11.501999,4.04,0.59,-11.53
11.572998,20.01,-4.67,-3.65
11.643997,16.87,1.84,-0.51
11.714996,6.98,-0.08,-1.45
11.7859955,5.33,-0.71,-4.28
11.856995,0.98,0,-3.96
11.927994,10.04,2.2,-5.73
11.998993,20.01,1.1,-2.67
12.069992,12.36,-1.33,-2.63
12.140991,3.84,1.02,-0.35
12.21199,-4.24,0.12,-5.3
12.2829895,8.79,2.47,-9.18
12.353989,20.01,-1.26,-6.59
12.424988,15.14,0.39,-2.31
12.495987,8.32,0.2,-1.73
12.566986,3.22,-0.9,-2.67
12.6380005,1.96,0.2,-6.24
12.709,5.65,0.51,-9.81
12.779999,20.01,-1.41,-1.57
12.850998,11.89,1.49,-2.16
12.921997,5.77,2.35,-1.18
12.992996,-4.63,-0.04,-6.32
13.063995,6.55,1.06,-6.63
13.1349945,20.01,-4.63,-7.26
13.205994,15.38,2.94,-0.9
13.276993,9.02,2.08,-4.86
13.347992,3.92,-2,-4.63
13.418991,-1.26,0.43,-4.55
13.48999,1.53,3.3,-9.1
13.560989,20.01,-2.55,-1.53
13.631989,12.59,-0.31,-1.41
13.702988,2.35,0.27,-1.77
13.773987,-3.22,2.51,-4.2
13.844986,7.53,-0.12,-4.12
13.916,19.22,-4.24,-8.24
13.9869995,15.89,3.92,-2
