"NAME:","run_1_2.csv"
"EXPERIMENT TIME:","07/06/2023 21:38"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","150"

"Time [sec]","ACC X","ACC Y","ACC Z"
"143.38","8.0","10.87","4.86"
"143.47","-0.35","-13.45","6.86"
"143.56","20.01","7.69","7.26"
"143.65","20.01","-7.53","0.59"
"143.74","13.93","-4.39","9.81"
"143.83","5.06","0.2","5.57"
"143.93","-0.43","-8.0","10.2"
"144.02","20.01","-8.2","2.31"
"144.11","17.81","9.02","-4.2"
"144.2","-1.1","-1.18","-3.26"
"144.29","5.84","2.55","5.53"
"144.38","4.08","5.49","-0.04"
"144.47","11.1","3.61","9.02"
"144.56","0.2","-0.39","4.24"
"144.65","1.77","0.55","2.35"
"144.74","14.51","-4.24","-2.79"
"144.84","14.59","19.89","5.81"
"144.93","0.59","3.02","1.92"
"145.02","-0.78","2.2","13.1"
"145.11","4.39","-3.65","2.63"
"145.2","15.38","12.83","11.45"
"145.29","7.22","0.27","7.69"
"145.38","0.86","-1.53","2.63"
"145.47","15.57","1.1","5.3"
"145.56","15.85","14.71","6.0"
"145.65","0.08","1.61","3.37"
"145.75","3.41","-8.2","8.47"
"145.84","4.71","-19.93","-6.08"
"145.93","13.77","-0.86","6.59"
"146.02","10.55","2.55","2.75"
"146.11","5.33","-3.69","0.0"
"146.2","20.01","2.08","4.67"
"146.29","0.35","-5.84","-6.39"
"146.38","6.24","5.41","-2.86"
"146.47","3.65","3.22","1.88"
"146.56","20.01","10.98","20.01"
"146.65","20.01","-2.16","-3.69"
"146.75","14.08","2.12","1.53"
"146.84","1.1","-1.92","1.77"
"146.93","20.01","2.94","8.71"
"147.02","18.32","17.14","4.79"
"147.11","8.39","5.61","-3.02"
"147.2","4.28","-7.73","-14.44"
"147.29","20.01","-7.45","-6.16"
"147.38","9.38","6.94","-4.0"
"147.47","14.51","4.43","10.36"
"147.56","-0.9","0.12","5.45"
"147.66","-0.31","-0.82","0.59"
"147.75","19.06","-6.75","8.16"
"147.84","15.1","9.18","3.02"
"147.93","5.53","7.77","-2.31"
"148.02","-5.33","-7.69","-5.14"
"148.11","12.12","-11.85","1.65"
"148.2","6.67","10.2","7.85"
"148.29","13.73","6.47","9.81"
"148.38","-1.14","0.12","3.73"
"148.47","0.04","-1.53","1.61"
"148.57","16.2","-9.49","5.22"
"148.66","14.4","7.14","-2.55"
"148.75","-1.8","-1.1","-1.49"
"148.84","4.98","0.55","5.57"
"148.93","11.02","-12.98","6.08"
"149.02","9.3","6.9","7.06"
"149.11","8.55","0.0","10.28"
"149.2","1.61","2.98","3.88"
"149.29","15.22","-4.51","4.39"
"149.38","15.3","11.81","1.18"
"149.48","0.82","0.82","-6.47"
"149.57","1.8","1.33","4.75"
"149.66","8.94","11.41","0.82"
"149.75","20.01","-0.59","1.77"
"149.84","9.77","-0.47","9.81"
"149.93","-1.29","0.98","4.28"
"150.02","9.34","-19.02","8.32"
"150.11","15.49","-1.06","17.61"
"150.2","9.69","4.75","-1.53"
"150.29","-5.1","-3.73","7.96"
"150.39","20.01","-4.35","19.97"
"150.48","20.01","0.82","14.67"
"150.57","11.89","0.31","6.79"
"150.66","-2.47","3.14","-1.18"
"150.75","0.04","-2.16","3.61"
"150.84","20.01","-18.67","-7.85"
"150.93","20.01","15.34","-3.45"
"151.02","-0.98","-0.2","-0.75"
"151.11","6.28","4.63","5.26"
"151.21","6.28","-4.43","6.04"
"151.3","12.24","10.63","14.44"
"151.39","8.59","0.43","9.53"
"151.48","1.53","-2.08","3.18"
"151.57","18.79","4.35","6.28"
"151.66","14.4","16.24","0.04"
"151.75","6.12","4.86","-0.12"
"151.84","3.53","-6.2","-3.22"
"151.93","20.01","10.71","-7.14"
"152.02","20.01","1.69","2.24"
"152.12","16.87","0.9","6.59"
"152.21","4.16","0.27","3.41"
"152.3","0.12","-0.43","3.69"
"152.39","18.36","-12.0","3.41"
"152.48","19.97","5.84","20.04"
"152.57","-0.12","-0.31","-1.53"
"152.66","3.92","6.55","3.53"
"152.75","15.81","-7.65","9.92"
"152.84","18.32","6.83","12.79"
"152.93","-0.35","4.67","4.55"
"153.02","0.16","-1.37","2.94"
"153.12","13.96","-5.65","-0.86"
"153.21","10.63","8.55","-1.53"
"153.3","1.61","3.53","1.41"
"153.39","1.29","3.3","5.73"
"153.48","7.57","-7.14","-16.55"
"153.57","16.2","6.71","11.38"
"153.66","15.93","0.55","8.98"
"153.75","4.94","-2.0","0.71"
"153.84","4.9","-10.98","19.22"
"153.93","19.18","7.37","11.85"
"154.03","9.65","3.8","-4.9"
"154.12","0.35","-6.51","-3.8"
"154.21","20.01","-4.9","-1.29"
"154.3","8.71","3.8","6.32"
"154.39","16.2","-0.63","9.73"
"154.48","0.24","1.92","2.55"
"154.57","3.02","-1.22","2.75"
"154.66","20.01","-8.67","-0.98"
"154.75","19.97","9.65","-2.24"
"154.84","-2.24","-4.04","1.1"
"154.94","8.71","-8.24","9.65"
"155.03","1.1","-19.97","6.35"
"155.12","18.36","8.47","-0.35"
"155.21","11.1","1.06","6.47"
"155.3","1.8","-1.73","2.43"
"155.39","7.85","-20.01","10.75"
"155.48","20.01","-2.67","7.53"
"155.57","16.95","11.53","-1.88"
"155.66","-3.02","-3.33","-1.02"
"155.75","6.55","-1.26","3.96"
"155.85","7.73","-2.82","11.26"
"155.94","20.01","2.75","17.89"
"156.03","-1.53","-1.49","4.59"
"156.12","1.06","-1.92","1.1"
"156.21","-2.47","-15.42","18.71"
"156.3","12.0","10.16","10.55"
"156.39","12.24","10.0","-4.16"
