NAME:,walk arbel.csv,,
EXPERIMENT TIME:,18/06/2023 9:36,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,104,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
16.729996,0.45,1.45,-9.41
16.830002,0.14,-1.06,-10
16.940002,0.16,-0.12,-8.59
17.04,0.31,-0.67,-9.61
17.14,-0.71,0,-10.63
17.239998,2.08,-3.22,-13.85
17.339996,0.51,0,-9.69
17.449997,0.77,-0.08,-10.67
17.549995,0.71,0.51,-8.36
17.650002,0.04,0.08,-9.22
17.75,0.43,0.12,-10.55
17.849998,1.53,0.59,-12.71
17.96,0.31,2,-11.1
18.059998,1.53,-0.98,-9.18
18.159996,0.24,0.55,-8.87
18.260002,0.27,-0.08,-9.65
18.36,1.45,-1.1,-10.87
18.470001,0.39,-1.1,-12.55
18.57,1.69,0.27,-11.81
18.669998,0,0.04,-10.51
18.769997,0.22,0.67,-7.73
18.869995,0,-0.16,-9.41
18.979996,0.24,0.55,-9.26
19.080002,0.98,0,-12.63
19.18,0.33,1.29,-11.26
19.279999,1.92,-0.51,-9.22
19.379997,0.27,-0.12,-9.1
19.489998,0.43,-0.63,-9.69
19.589996,-0.94,-1.18,-10.47
19.690002,-0.63,-1.33,-12.4
19.79,0.33,-0.67,-12.12
19.89,0.04,-0.75,-9.02
20,0.78,0.51,-8
20.099998,-0.51,-0.24,-9.38
20.199997,-0.75,-0.35,-10.87
20.299995,-0.55,0,-13.14
20.400002,0.49,1.8,-11.06
20.510002,0.55,-0.12,-9.92
20.61,1.49,-0.63,-8.12
20.71,0.35,-0.59,-9.77
20.809998,-1.49,-0.78,-11.1
20.909996,-0.94,-1.96,-12.55
21.019997,0.96,-0.08,-11.06
21.119995,0.77,-0.9,-11.61
21.220001,0.78,-0.12,-7.92
21.32,-0.39,-0.55,-9.34
21.419998,0.16,-0.08,-10.16
21.529999,1.22,-0.59,-13.02
21.629997,0.31,1.84,-10.83
21.729996,0.37,-0.71,-10.2
21.830002,-0.12,0.2,-8.2
21.93,0.04,-0.78,-9.69
22.04,-1.29,-0.55,-11.06
22.14,-0.2,-0.67,-12.51
22.239998,0.75,-0.2,-12.63
22.339996,2.9,-0.39,-10.04
22.440002,0.51,0.16,-7.81
22.549995,0.08,0.04,-9.3
22.650002,1.22,-0.2,-10.55
22.75,-0.39,0.27,-12.04
22.849998,0.71,1.49,-11.96
22.949997,2.04,-0.98,-8.16
23.059998,-0.47,0,-9.45
23.159996,0.51,-0.43,-9.85
23.260002,1.18,-0.9,-9.53
23.36,1.22,-0.98,-11.85
23.46,1.14,-0.08,-14
23.57,0.06,-0.47,-8.24
23.669998,0.16,-0.08,-10
23.769997,0,-0.12,-8.67
23.869995,-1.53,-0.27,-9.45
23.970001,-1.1,-0.86,-11.73
24.080002,2.82,-0.94,-14.16
24.18,0.84,-1.1,-7.81
24.279999,-0.31,-0.82,-10.55
24.379997,0.82,-0.24,-9.14
24.479996,1.37,-0.98,-9.65
24.589996,0.67,-0.67,-11.18
24.690002,1.96,-1.45,-14.59
24.79,0.43,0.86,-7.53
24.89,0.2,-0.39,-9.89
24.989998,0.47,0.2,-8.87
25.099998,1.14,-0.12,-9.18
25.199997,1.77,-0.82,-12.4
25.299995,2.16,-1.18,-13.18
