NAME:,walk_3_1.csv,,
EXPERIMENT TIME:,18/06/2023 05:40,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS: ,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,9.18,-0.12,1.22
0.07098389,9.41,-0.16,1.8
0.14202881,9.34,0.12,1.18
0.2130127,9.26,-0.35,1.45
0.28399658,9.41,-0.35,1.49
0.35498047,9.14,0,1.41
0.4260254,8.83,-0.2,1.77
0.49700928,8.24,-0.35,1.92
0.56799316,10.43,-1.37,1.33
0.63897705,10.83,0.9,0.08
0.710022,9.89,2.55,-1.57
0.78100586,9.22,-2.86,1.45
0.85198975,9.22,-0.35,-0.31
0.92303467,8.87,-0.43,-0.67
0.99401855,9.49,-0.59,-0.75
1.0650024,9.89,-0.16,-2.2
1.1359863,11.69,-1.61,-1.61
1.2070312,13.65,-2.82,2.86
1.2780151,8.47,-2.63,1.1
1.348999,7.22,-4.31,3.26
1.4199829,8.51,-1.14,3.37
1.4910278,7.61,-1.8,2.75
1.5620117,8.12,-1.88,1.18
1.6329956,8.32,-1.29,2.08
1.7039795,9.1,0.39,1.73
1.7750244,8.75,-0.12,1.77
1.8460083,9.02,-0.9,-0.16
1.9169922,11.06,0.51,1.88
1.9880371,9.85,2.16,0.47
2.059021,11.57,-2.67,4.43
2.130005,10.51,-3.77,5.61
2.2009888,8.36,-2,1.29
2.2720337,7.41,-1.88,0.82
2.3430176,7.88,-0.39,0.08
2.4140015,8.83,-1.73,0.16
2.4849854,8.47,-0.67,-0.59
2.5560303,9.3,-2.12,-3.26
2.6270142,10.87,-1.22,-0.78
2.697998,12,0.31,-1.92
2.768982,12.87,-2.04,4.31
2.8400269,7.73,-2.71,2.59
2.9110107,8.67,-2.86,1.69
2.9819946,8.12,-1.65,0.55
3.0529785,7.65,-0.86,0.59
3.1240234,8.87,-1.14,1.49
3.1950073,8.83,0.39,0
3.2659912,9.96,0.27,-0.12
3.3370361,10.43,-0.12,-0.16
3.40802,9.77,1.26,-1.69
3.479004,11.53,-0.59,2.04
3.5499878,10.67,-2.12,3.53
3.6210327,9.61,-1.02,0.12
3.6920166,7.41,-0.82,0.82
3.7630005,8.39,-0.82,-0.39
3.8339844,9.26,-0.86,0.2
3.9050293,8.75,-0.51,-0.43
3.9760132,9.57,0.04,-2.04
4.046997,11.06,-1.26,-0.98
4.117981,12.83,-0.67,1.49
4.189026,9.89,-2.71,5.1
4.26001,8.16,-3.84,1.49
4.3309937,8.16,-1.96,1.18
4.4019775,8.08,-0.75,0.35
4.4730225,8.47,-1.22,0.86
4.5440063,8.71,-0.31,0.86
4.61499,8.87,0.35,0.31
4.686035,9.41,0.04,0.08
4.757019,10.36,-0.43,0.51
4.828003,12.87,-1.45,0.98
4.898987,9.96,-2.39,5.45
4.9700317,10.59,-0.24,0.9
5.0410156,7.77,-1.41,2.12
5.1119995,6.63,-0.27,0.59
5.1829834,8.12,-1.14,-0.82
5.2540283,8.43,-0.51,0.39
5.325012,9.89,-0.43,-1.02
5.395996,11.38,-0.9,0.12
5.46698,14.36,-1.49,0.98
5.538025,9.38,-2.43,3.22
5.609009,8.87,-3.37,2.08
5.6799927,8.71,-1.69,0.86
5.7510376,7.37,-0.86,1.61
5.8220215,8.32,-0.51,0.59
5.8930054,8.79,-0.35,0.78
5.9639893,9.38,-0.55,0.16
6.035034,9.61,-0.12,0.12
6.106018,11.61,-0.08,0.43
6.177002,12.4,-0.86,3.49
6.247986,8.04,-3.61,2.08
6.319031,10.71,-1.33,0.47
6.3900146,7.77,-0.55,1.45
6.4609985,7.69,-0.47,-0.51
6.5319824,8.2,-0.86,-0.12
6.6030273,8.71,-0.67,-0.86
6.674011,10.43,-1.61,-1.65
6.744995,12.32,-0.31,-1.69
6.815979,12.63,-1.1,1.88
6.887024,7.18,-2.16,2.51
6.958008,8.2,-3.33,1.88
7.0289917,8.43,-1.8,0.94
7.1000366,7.96,-1.26,1.06
7.1710205,8.39,-0.82,0.24
7.2420044,8.43,-0.63,0.98
7.3129883,9.49,-0.55,-0.16
7.384033,9.92,-0.35,0.43
7.455017,10.98,-0.08,-1.41
7.526001,12,-1.88,4.51
7.596985,8.59,-2.67,4.2
7.66803,10.87,-0.82,-0.59
7.7390137,8.04,-1.26,1.88
7.8099976,7.22,-0.16,-0.04
7.8809814,8.9,-1.33,-0.94
7.9520264,8.59,-0.82,0
8.02301,10.2,-0.75,-1.29
8.093994,11.53,-0.43,-1.65
8.164978,12.83,-0.94,2.08
8.236023,6.67,-0.67,1.69
8.307007,8.71,-3.73,1.02
8.377991,8.75,-1.18,-0.08
8.449036,7.49,-0.39,1.84
