NAME:,run_5_1.csv,,
EXPERIMENT TIME:,06/06/2023 12:13,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,60,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
31.815,-10.63041,-0.078453,0
31.896,-10.120463,-0.588399,0.156906
31.977,-10.002784,-1.569064,0.470719
32.058,-10.787315,-0.902212,0.313813
32.139,-10.04201,-0.666852,0.784532
32.22,-10.473503,-0.392266,0.156906
32.301,-10.002784,-1.647517,1.176798
32.382,-10.27737,-0.274586,0.980665
32.463,-9.845878,-0.666852,1.412158
32.544,-10.120463,-0.784532,0.470719
32.625,-10.39505,-1.451384,1.137571
32.706,-10.002784,-0.823759,1.294478
32.787,-10.591183,0.078453,2.000557
32.868,-11.218808,-0.706079,2.628182
32.949,-9.649744,-1.569064,2.941995
33.03,-8.512173,-0.549172,1.569064
33.111,-5.88399,-2.471276,0.274586
33.192,-7.492281,-3.569621,4.432606
33.84,6.23703,3.020448,-1.922104
33.921,-20.005568,-7.492281,15.69064
34.002,-20.005568,4.197247,6.590069
34.083,-3.295035,0.431493,0.706079
34.164,1.882877,-3.295035,-7.884547
34.245,-2.745862,-6.511616,4.04034
34.326,-15.376828,14.513843,9.296705
34.407,-15.416055,5.805537,0.11768
34.488,-9.022119,-4.942552,0.902212
34.569,1.019892,-5.413271,-3.098902
34.65,2.118237,-0.470719,-4.628739
34.731,-20.005568,-2.392823,-1.882877
34.812,-11.454168,0.823759,4.667965
34.893,2.157463,1.96133,-3.844207
34.974,-1.098345,-5.76631,0.706079
35.055,-11.571848,-18.083464,2.157463
35.136,-16.63208,-2.353596,6.11935
35.217,-8.43372,0.11768,-2.157463
35.298,-2.118237,-4.314926,-2.588956
35.379,0.313813,-3.255808,-3.92266
35.46,-20.005568,1.255251,7.688414
35.541,-17.691198,7.806094,4.511059
35.622,3.216581,3.961887,1.725971
35.703,0.706079,-8.08068,-4.628739
35.784,-9.453611,-5.805537,-13.846991
35.865,-14.866882,-0.588399,2.902768
35.946,-11.807208,-1.765197,-3.530394
36.027,-1.725971,-5.256365,-3.216581
36.108,1.255251,-2.19669,-6.393936
36.189,-17.691198,-12.827099,-7.806094
36.27,-20.005568,7.531507,8.512173
36.351,1.84365,1.294478,1.137571
36.432,4.471833,-1.490611,-7.806094
36.513,-7.100015,-6.668522,1.098345
36.594,-16.945892,20.005568,16.122133
36.675,-20.005568,4.981779,-2.432049
36.756,-13.258593,-8.159133,-7.178468
36.837,2.118237,-3.80498,-5.021005
36.918,-8.43372,-3.92266,-8.865212
36.999,-20.005568,-1.686744,2.19669
37.08,-5.76631,-3.295035,-2.941995
37.161,3.92266,1.255251,-7.688414
37.242,-2.392823,-10.355823,0.823759
37.323,-20.005568,2.824315,-2.31437
37.404,-15.572961,12.317153,8.551399
37.485,-4.589512,-5.844764,-2.31437
37.566,1.882877,-0.353039,-1.804424
37.647,2.667409,-2.981222,-6.354709
37.728,-20.005568,-8.708306,17.573517
37.809,-10.826543,7.84532,6.040897
37.89,2.824315,4.197247,-3.92266
37.971,-2.039783,-6.825429,-7.649188
38.052,-6.825429,3.020448,-6.903882
38.133,-18.436504,5.374045,4.550286
38.214,-12.003341,-3.255808,-4.942552
38.295,-0.431493,-4.707192,-1.882877
38.376,5.687858,-2.941995,-5.923217
38.457,-20.005568,-10.904996,-5.452498
38.538,-20.005568,17.33816,9.688971
38.619,0.784532,-1.019892,0
38.7,2.549729,-3.373488,-6.550843
38.781,-8.43372,-7.256921,2.785089
38.862,-20.005568,20.005568,6.982335
38.943,-20.005568,1.255251,-2.981222
39.024,-8.198359,-7.335374,-5.334818
39.105,3.138128,-1.137571,-6.197803
39.753,-10.787315,-3.726527,-7.100015
39.834,3.020448,-3.138128,-1.569064
39.915,-4.001113,-5.334818,0.313813
39.996,-20.005568,14.592296,9.80665
40.077,-7.100015,2.863542,4.118793
40.158,4.746419,2.19669,-2.863542
40.239,-5.334818,-8.982892,-5.844764
40.32,-20.005568,-1.333704,-9.80665
40.401,-9.492838,7.413828,10.39505
40.482,-6.707749,-4.15802,-4.079566
40.563,0.706079,-4.550286,-0.902212
40.644,3.765754,-1.765197,-6.11935
40.725,-20.005568,-4.2757,0.627626
40.806,-20.005568,11.493395,8.512173
40.887,1.490611,1.84365,1.255251
40.968,5.727084,0.11768,-10.002784
41.049,-11.336488,-5.138685,7.84532
41.13,-19.299488,20.005568,14.945335
41.211,-17.691198,3.138128,-4.471833
41.292,-7.923774,-6.590069,-6.276257
41.373,2.785089,0.902212,-2.588956
41.454,-2.549729,-4.667965,-1.804424
41.535,-20.005568,2.19669,10.198917
41.616,-12.709418,1.294478,2.275143
41.697,4.785645,-0.509946,-4.393379
41.778,-3.648074,-6.11935,-5.76631
41.859,-4.550286,1.725971,-1.96133
41.94,-17.33816,7.570734,7.256921
42.021,-20.005568,-1.412158,-4.118793
42.102,-5.099459,-5.687858,-2.824315
42.183,6.629296,-0.392266,-6.040897
42.264,-20.005568,-4.314926,-15.455281
42.345,-20.005568,11.728755,9.571291
42.426,-0.11768,-0.745305,0.823759
42.507,9.963557,1.882877,-9.688971
42.588,-15.808321,-9.257479,5.413271
42.669,3.687301,20.005568,2.549729
42.75,-19.338715,9.649744,0.823759
42.831,-6.746975,-6.629296,-4.785645
42.912,0.745305,-0.078453,-1.137571
42.993,1.059118,-5.060232,-3.059675
43.074,-20.005568,2.000557,6.707749
43.155,-12.709418,2.000557,4.864099
43.236,2.275143,0,-1.765197
43.317,-0.666852,-5.099459,-6.786202
43.398,-12.827099,0.627626,5.099459
43.479,-12.513286,16.279039,8.590626
43.56,-15.494508,0.196133,-4.393379
43.641,-6.668522,-6.23703,-3.255808
43.722,4.354153,-0.274586,-10.081236
43.803,-20.005568,-3.491168,-12.630966
43.884,-20.005568,13.337045,8.276814
43.965,-1.372931,0.039227,-1.529837
44.046,11.964113,1.098345,-8.629852
44.127,-15.337602,-8.002227,8.394493
44.208,-5.923217,19.6133,17.024345
44.289,-20.005568,12.160246,4.628739
44.37,-2.706636,-7.727641,-5.334818
44.451,-0.039227,1.686744,-2.353596
44.532,1.255251,-4.393379,-4.197247
44.613,-20.005568,3.687301,3.765754
44.694,-10.904996,2.785089,4.432606
44.775,4.15802,-1.333704,-1.294478
44.856,-0.941438,-7.217695,-8.472946
44.937,-13.101686,-2.706636,-0.745305
45.585,8.747532,1.098345,-7.609961
45.666,-8.394493,-8.237586,-0.11768
45.747,-20.005568,-2.353596,10.944222
45.828,-20.005568,13.925444,8.825986
45.909,-3.177355,-6.197803,-1.529837
45.99,-2.588956,-3.334261,-0.274586
46.071,3.961887,-5.021005,-4.864099
46.152,-20.005568,-6.511616,6.197803
46.233,-20.005568,11.650301,5.923217
46.314,1.412158,1.569064,-0.588399
46.395,-0.431493,-2.941995,-7.766868
46.476,-7.021562,-3.451941,3.412714
46.557,-15.298375,20.005568,9.100572
46.638,-20.005568,1.686744,-4.079566
46.719,-10.904996,-5.648631,-7.060789
46.8,2.824315,-0.706079,-6.668522
46.881,-6.903882,-3.177355,1.647517
46.962,-20.005568,14.396163,-5.295591
47.043,-7.296148,0.392266,-1.059118
47.124,6.786202,0.549172,-5.844764
47.205,-4.824872,-5.923217,-3.648074
47.286,-17.181252,-8.629852,-8.982892
47.367,-18.318823,15.102242,11.807208
47.448,-14.239256,-9.257479,-2.039783
47.529,-0.980665,-4.314926,-1.569064
47.61,4.2757,-1.725971,-7.766868
47.691,-20.005568,-7.84532,-10.355823
47.772,-20.005568,15.063015,11.375715
47.853,2.07901,-1.372931,1.294478
47.934,8.708306,0.549172,-8.159133
48.015,-10.198917,-5.530951,6.354709
48.096,-4.903325,20.005568,5.88399
48.177,-17.377384,7.923774,2.510503
48.258,-0.549172,-5.923217,-3.255808
48.339,0.431493,-1.647517,0.039227
48.42,0.588399,-1.255251,-3.295035
48.501,-20.005568,-3.765754,-1.176798
48.582,-12.827099,2.628182,5.021005
48.663,2.000557,0.627626,-0.392266
48.744,0.353039,-4.785645,-8.394493
48.825,-10.826543,1.490611,9.532064
48.906,-20.005568,20.005568,4.001113
48.987,-20.005568,-2.785089,-0.902212
49.068,-10.316596,-4.903325,-5.021005
49.149,3.726527,0.431493,-6.472389
49.23,-1.686744,-2.941995,-0.313813
49.311,-20.005568,8.002227,12.984006
49.392,-11.061902,1.019892,3.883434
49.473,2.628182,1.019892,-1.412158
49.554,-0.039227,-5.217138,-7.609961
49.635,-10.551956,5.021005,11.689528
49.716,-9.218252,13.258593,8.276814
49.797,-19.691755,0.313813,-1.019892
49.878,-6.982335,-6.158576,-6.668522
49.959,5.217138,-2.471276,-5.962444
50.04,-4.628739,0.11768,1.255251
50.121,-20.005568,2.628182,10.51273
50.202,-6.668522,1.294478,1.882877
50.283,4.628739,-0.274586,-4.864099
50.364,-4.001113,-6.00167,-6.668522
50.445,-20.005568,1.019892,-8.66908
50.526,-5.060232,11.375715,8.276814
50.607,-13.96467,-2.863542,-3.216581
50.85,-5.295591,-2.981222,1.294478
51.062,-2.785089,-7.570734,-6.23703
51.203,-10.591183,-1.412158,7.374601
51.386,-20.005568,17.455837,-0.039227
51.546,-20.005568,-3.138128,-2.392823
51.663,-3.295303,-4.981779,-4.432606
51.799,-3.295035,-4.981779,-4.432606
51.949,2.392823,-4.354153,-6.668522
51.984,-2.785089,-7.570734,-6.23703
52.065,-10.591183,-1.412158,7.374601
52.146,-20.005568,17.455837,-0.039227
52.227,-20.005568,-3.138128,-2.392823
52.308,-3.295035,-4.981779,-4.432606
52.389,2.392823,-4.354153,-6.668522
52.47,-1.569064,-2.353596,2.902768
52.551,-20.005568,13.729311,20.005568
52.794,-2.353596,-5.962444,-3.608848
52.875,-14.788428,-4.15802,-5.413271
52.956,-8.198359,17.416613,11.061902
53.037,-16.435947,-3.295035,-5.609404
53.118,-6.354709,-4.942552,-5.570178
53.199,4.432606,-2.07901,-7.060789
53.28,-1.96133,-2.235916,2.981222
53.523,3.177355,2.510503,-1.137571
53.604,2.941995,-7.100015,-4.981779
53.685,-13.886217,2.510503,-0.666852
53.766,-9.100572,16.200586,5.295591
53.847,-15.023788,0.549172,-2.588956
53.928,-3.334261,-4.864099,-4.197247
54.009,2.157463,-3.177355,-6.197803
54.09,-4.628739,-3.608848,4.2757
54.171,-20.005568,6.197803,18.946449
54.252,-3.373488,6.550843,2.902768
54.333,4.197247,1.765197,-4.15802
54.414,-1.529837,-7.139242,-3.412714
54.495,-9.061345,-2.235916,-12.59174
54.576,-8.198359,18.279596,11.611073
54.657,-14.20003,-5.530951,-2.941995
54.738,-2.628182,-3.80498,-4.079566
54.819,2.353596,-2.039783,-5.88399
54.9,-6.354709,-1.647517,-0.470719
54.981,-20.005568,4.511059,8.198359
55.062,-7.649188,4.197247,3.373488
55.143,3.059675,0.313813,-2.981222
55.224,0.23536,-5.452498,-4.15802
55.305,-14.55307,-0.706079,-19.848661
55.386,-9.532064,13.258593,3.687301
55.467,-15.965227,-1.137571,-0.353039
55.548,-2.471276,-2.039783,-4.589512
55.629,3.334261,-6.354709,-3.92266
55.71,-5.491724,-2.902768,0.156906
55.791,-20.005568,15.926001,4.903325
55.872,-10.983448,2.745862,5.805537
55.953,3.098902,0.353039,0.549172
56.034,2.706636,-3.648074,-6.158576
56.115,-20.005568,-4.236473,1.451384
56.196,-9.532064,18.632637,4.824872
56.277,-14.827656,-1.608291,-0.353039
56.358,-1.96133,-3.059675,-3.138128
56.439,2.628182,-4.118793,-4.2757
56.52,-10.120463,-2.471276,-7.178468
56.601,-19.142582,20.005568,-5.609404
56.682,-13.96467,1.216025,6.943109
56.763,1.725971,2.353596,-2.039783
56.844,1.569064,-5.962444,-5.138685
56.925,-20.005568,-3.883434,-11.964113
57.006,-12.277926,18.946449,6.982335
57.087,-20.005568,-1.725971,-2.235916
57.168,-3.098902,-4.589512,-2.275143
57.249,0.862985,2.510503,-4.550286
57.33,-7.413828,2.118237,0.745305
57.411,-20.005568,1.451384,9.335931
57.492,-9.061345,9.688971,3.648074
57.897,-9.296705,6.864655,1.569064
57.978,-9.061345,-4.667965,1.647517
58.059,-6.550843,3.177355,-0.823759
