"NAME:","walk_3_2.csv"
"EXPERIMENT TIME:","05/06/2023 12:29 "
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","85"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-1.88","4.51","-8.28"
"0.08000183","-2.94","7.18","-10.28"
"0.15000153","-16.83","-3.02","-8.39"
"0.22000122","-7.06","6.43","-11.26"
"0.29000092","-3.37","2.39","-6.67"
"0.3600006","-3.18","5.61","-7.69"
"0.4300003","-2.55","2.94","-6.20"
"0.5","-4.00","4.12","-8.94"
"0.5699997","-3.88","5.33","-8.47"
"0.6399994","-4.75","5.14","-8.28"
"0.7099991","-4.63","5.06","-8.75"
"0.7800026","-3.45","6.43","-10.83"
"0.8600006","-4.39","6.16","-10.00"
"0.9300003","-4.16","5.92","-9.18"
"1.0","-1.53","2.63","-6.86"
"1.0699997","-2.79","6.12","-6.24"
"1.1399994","-2.63","8.20","-17.02"
"1.2099991","-1.80","4.79","-3.49"
"1.2800026","-2.98","7.18","-8.75"
"1.3500023","-3.26","5.49","-12.59"
"1.420002","-4.94","6.47","-9.06"
"1.4900017","-2.35","5.02","-13.02"
"1.5699997","-1.92","6.12","-8.39"
"1.6399994","-2.98","8.08","-13.89"
"1.7099991","-1.88","5.26","-7.30"
"1.7800026","-2.71","6.39","-14.83"
"1.8500023","0.55","1.29","-14.16"
"1.920002","-3.61","8.83","-2.47"
"1.9900017","-11.10","-3.77","-10.94"
"2.0600014","-1.73","4.04","-5.37"
"2.130001","-2.47","-0.31","-11.02"
"2.209999","-4.35","0.08","-13.61"
"2.2800026","-4.28","3.96","-12.43"
"2.3500023","-2.98","5.57","-19.14"
"2.420002","-2.31","3.22","-1.33"
"2.4900017","-1.84","6.63","-8.75"
"2.5600014","-1.22","7.06","-11.85"
"2.630001","-2.51","4.67","-3.80"
"2.7000008","-5.02","8.24","-17.85"
"-45.379997",".75","-15.73","52.85-3.45"
"4.049999","-4.00","6.59","-7.81"
"-61.46",".85","54.20-3.06","7.57"
"5.549999","-2.55","6.55","-12.43"
"5.970001","-4.08","5.10","-9.57"
"6.040001","-4.31","4.59","-7.73"
"6.1100006","3.14","-10.43","-12.51"
"6.1900024","-1.84","5.22","-14.59"
"6.260002","-3.49","4.75","-11.89"
"6.330002","-4.55","7.18","-13.26"
"6.4000015","-2.98","5.77","-15.26"
"6.470001","-2.04","4.00","-2.94"
"6.540001","-2.98","8.59","-7.26"
"6.6100006","-0.94","6.04","-15.06"
"6.6800003","-2.31","5.10","-7.02"
"6.75","-4.94","7.85","-18.36"
"6.8199997","-6.43","1.29","-10.40"
"6.8899994","-3.49","3.84","-6.39"
"6.970001","-3.26","6.35","-13.30"
"7.040001","-4.12","8.32","-10.28"
"7.1100006","-5.18","11.22","-19.18"
"7.1800003","0.43","3.61","-11.26"
"7.25","-2.51","4.71","-0.24"
"7.3199997","-3.61","5.92","-5.92"
"7.3899994","-12.98","-4.00","-19.77"
"7.459999","-2.35","1.10","-5.96"
"7.5300026","-2.98","3.33","-13.57"
"7.6000023","-3.06","3.77","-8.08"
"7.6800003","-7.49","10.63","-17.53"
"7.75","-1.06","2.51","-7.30"
"7.8199997","-1.57","5.06","-2.04"
"7.8899994","-2.28","9.41","-17.89"
"7.959999","-2.20","4.28","-4.79"
"8.030003","-5.69","8.90","-14.36"
"8.100002","-19.02","-20.01","-8.59"
"8.170002","-2.90","6.24","-8.59"
"8.240002","-0.82","4.47","-11.73"
"8.32","-3.26","8.39","-11.73"
"8.389999","-3.02","13.69","-11.85"
"8.459999","-4.28","8.79","-18.04"
"8.530003","-3.84","3.96","-5.06"
"8.600002","-3.96","4.51","-2.82"
"8.670002","-2.28","5.73","-7.61"
"8.740002","-3.77","4.43","-4.43"
"8.810001","1.29","-2.28","-19.73"
"8.880001","-4.35","4.43","-11.45"
"8.950001","-3.49","5.22","-8.32"
"9.030003","-3.80","7.26","-17.77"
"9.100002","-2.35","4.79","-1.18"
"9.170002","-1.33","7.92","-16.71"
"9.240002","-1.37","3.92","-5.41"
"9.310001","-4.04","7.61","-9.85"
"9.380001","-3.88","4.43","-16.51"
"9.450001","-3.88","7.18","-6.79"
"9.52","-2.63","7.61","-17.85"
"9.59","-2.20","6.47","-7.41"
"9.66","-2.47","7.34","-13.57"
"9.73","-4.24","9.02","-14.47"
"9.810001","-4.39","5.18","-3.49"
"9.880001","-7.92","5.77","-9.96"
"9.950001","-1.65","1.69","-6.24"
"10.02","-3.77","4.71","-8.00"
"10.09","-2.59","2.79","-17.02"
"10.16","-3.53","3.30","-7.53"
"10.23","-5.30","9.41","-19.10"
"10.299999","0.08","-0.08","-3.77"
"10.369999","-1.92","5.02","-2.16"
"10.440002","-2.35","3.65","-19.10"
"10.52","-3.22","2.82","-1.10"
"10.59","-6.04","9.85","-13.02"
"10.66","-11.45","-18.20","-7.49"
"10.73","-4.04","7.02","-6.83"
"10.799999","-1.45","5.92","-14.44"
"10.869999","-2.55","8.28","-10.87"
"10.940002","-2.75","6.00","-11.02"
"11.010002","-20.01","20.01","0.00"
"12.010002","-2.71","8.00","-14.24"
"12.080002","-3.84","7.22","-8.12"
"12.150002","-3.57","-2.16","-7.37"
"12.220001","-4.16","10.08","-17.46"
"12.290001","-2.00","4.47","1.96"
"12.360001","-0.27","2.12","-5.96"
"12.43","-2.67","5.69","-4.71"
"12.5","-4.94","9.34","-7.41"
"12.580002","-4.75","1.88","-14.95"
"12.650002","-0.98","0.59","-12.08"
"12.720001","-6.83","5.49","-16.75"
"12.790001","-2.12","2.67","-7.65"
"12.860001","-4.20","4.31","-3.45"
"12.93","-2.00","5.18","-12.91"
"13.0","-2.55","3.49","-4.43"
"13.07","-4.20","7.37","-9.61"
"13.139999","-2.98","4.59","-11.34"
"13.209999","-4.90","8.00","-6.75"
"13.280003","-2.08","4.20","-14.08"
"13.360001","1.57","5.73","-10.20"
"13.43","0.00","7.45","-19.89"
"13.5","-5.22","19.02","-18.32"
"13.57","-1.26","4.24","-5.18"
"13.639999","-1.84","5.26","-5.06"
"13.709999","-3.02","6.16","-11.53"
