"NAME:","walk_3_1.csv"
"EXPERIMENT TIME:","2023/06/18 17:38"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","75"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-10.71","-0.94","-2.63"
"0.101","-10.36","-0.86","-2.47"
"0.202","-10.40","-0.94","-2.47"
"0.303","-10.36","-1.18","-2.43"
"0.404","-10.51","-1.10","-2.47"
"0.505","-10.12","-1.22","-2.55"
"0.606","-10.51","-1.37","-2.24"
"0.707","-10.67","-0.94","-1.69"
"0.808","-10.94","-0.78","-1.45"
"0.909","-10.43","-0.71","-1.37"
"1.01","-10.20","-0.12","-1.10"
"1.111","-10.16","-0.47","-0.47"
"1.212","-10.00","-0.20","-0.90"
"1.313","-11.85","0.08","-0.75"
"1.414","-11.30","0.27","-1.33"
"1.515","-10.47","-0.86","-3.61"
"1.616","-10.83","-0.31","-2.39"
"1.717","-9.14","-1.37","-1.57"
"1.818","-9.69","-0.71","-1.33"
"1.919","-10.75","-1.29","-1.45"
"2.02","-11.06","-1.49","-0.27"
"2.121","-12.67","-3.45","-2.31"
"2.222","-7.57","-0.24","-4.43"
"2.323","-10.75","-1.37","-2.98"
"2.424","-8.90","0.51","-2.55"
"2.525","-9.73","-0.55","-1.53"
"2.626","-8.63","-0.43","-0.39"
"2.727","-11.49","-0.90","-0.82"
"2.828","-10.28","-0.24","0.94"
"2.929","-11.10","0.20","-2.67"
"3.03","-11.69","-0.35","-2.55"
"3.131","-8.67","-1.10","-2.12"
"3.232","-10.12","-0.94","-1.92"
"3.333","-10.71","-1.45","-0.86"
"3.434","-11.89","-3.45","-0.94"
"3.535","-13.30","-4.47","-2.98"
"3.636","-7.22","-0.08","-2.63"
"3.737","-11.69","0.04","-2.55"
"3.838","-9.10","0.86","-1.69"
"3.939","-8.67","-0.75","-0.98"
"4.04","-10.98","-0.31","-0.47"
"4.141","-10.75","-1.26","0.63"
"4.242","-12.16","0.35","-2.79"
"4.343","-9.77","0.12","-2.75"
"4.444","-9.53","-0.63","-2.82"
"4.545","-10.75","-1.37","-1.77"
"4.646","-9.49","-1.14","-0.47"
"4.747","-12.20","-2.08","-1.14"
"4.848","-11.81","-3.69","-0.20"
"4.949","-8.90","1.57","-5.53"
"5.05","-11.22","-2.20","-3.02"
"5.151","-8.83","1.29","-1.80"
"5.252","-7.96","-1.02","-2.04"
"5.353","-10.40","-0.98","-0.86"
"5.454","-12.94","-1.18","-0.35"
"5.555","-16.12","3.73","-4.16"
"5.656","-6.98","-2.75","-5.10"
"5.757","-10.94","-0.39","-2.20"
"5.858","-8.04","-2.04","-1.80"
"5.959","-9.53","-1.22","-1.06"
"6.06","-10.59","-1.80","-0.35"
"6.161","-11.49","-1.92","0.75"
"6.262","-14.08","-3.80","-2.79"
"6.363","-13.93","-0.98","-3.10"
"6.464","-7.88","-0.75","-1.88"
"6.565","-8.90","0.43","-1.29"
"6.666","-9.73","-0.35","-0.20"
"6.767","-11.41","-1.06","-0.24"
"6.868","-16.83","2.28","-3.69"
"6.969","-7.41","-2.63","-5.30"
"7.07","-10.16","-0.63","-2.39"
"7.171","-7.81","-0.82","-2.04"
"7.272","-10.16","-1.49","-0.75"
"7.373","-9.85","-1.06","-0.47"
"7.474","-10.90","-1.84","1.65"
"7.575","-14.67","0.98","-4.79"
"7.676","-12.91","-0.86","-3.33"
"7.777","-9.69","-0.55","-2.28"
"7.878","-8.36","0.31","-1.18"
"7.979","-9.81","-1.33","0.27"
"8.08","-12.20","0.16","1.18"
"8.181","-16.40","2.98","-2.90"
"8.282","-12.08","-0.04","-3.65"
"8.383","-7.53","0.00","-2.86"
"8.484","-9.53","-1.80","-1.53"
