NAME:,walk_2_2,,
EXPERIMENT TIME:,08/06/2023 10:46,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,85,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.013,-0.41,-0.43,-11.55
0.129,0.48,-1.31,-11.1
0.212,1.16,-1.46,-11.01
0.306,1.63,-1.99,-10.8
0.377,1.63,-1.99,-10.8
0.467,1.63,-1.99,-10.8
0.515,1.63,-1.99,-10.8
0.599,1.63,-1.99,-10.8
0.677,1.63,-1.99,-10.8
0.741,1.63,-1.99,-10.8
0.839,1.63,-1.99,-10.8
0.912,0.81,-2.25,-10.16
0.998,0.16,-2.85,-10.4
1.087,0.13,-2.8,-10.62
1.163,0.13,-2.8,-10.62
1.245,0.13,-2.8,-10.62
1.338,0.13,-2.8,-10.62
1.409,0.13,-2.8,-10.62
1.492,0.13,-2.8,-10.62
1.564,0.13,-2.8,-10.62
1.642,0.13,-2.8,-10.62
1.733,0.68,-2.21,-11.75
1.812,1.19,-2.14,-10.76
1.892,1.18,-1.66,-10.54
1.976,1.18,-1.66,-10.54
2.053,1.18,-1.66,-10.54
2.13,1.18,-1.66,-10.54
2.211,1.18,-1.66,-10.54
2.289,1.18,-1.66,-10.54
2.367,1.18,-1.66,-10.54
2.473,1.18,-1.66,-10.54
2.544,1.31,-2.12,-10.63
2.62,0.82,-1.57,-11.44
2.702,0.18,-1.35,-11.49
2.777,0.18,-1.35,-11.49
2.867,0.18,-1.35,-11.49
2.951,0.18,-1.35,-11.49
3.029,0.18,-1.35,-11.49
3.126,0.18,-1.35,-11.49
3.2,0.18,-1.35,-11.49
3.273,0.18,-1.35,-11.49
3.362,0.22,-0.54,-11.05
3.436,1.19,-0.54,-10.36
3.508,2,-0.54,-10.42
3.582,2,-0.54,-10.42
3.662,2,-0.54,-10.42
3.771,2,-0.54,-10.42
3.843,2,-0.54,-10.42
3.918,2,-0.54,-10.42
4.009,2,-0.54,-10.42
4.086,2,-0.54,-10.42
4.166,1.11,-0.09,-10.43
4.246,0.13,0.1,-11.21
4.333,-0.71,0.04,-11.48
4.41,-0.71,0.04,-11.48
4.496,-0.71,0.04,-11.48
4.575,-0.71,0.04,-11.48
4.652,-0.71,0.04,-11.48
4.726,-0.71,0.04,-11.48
4.803,-0.71,0.04,-11.48
4.895,-0.71,0.04,-11.48
4.983,-0.03,-0.68,-12.25
5.057,0.39,0.17,-12.28
5.137,1.95,-1.4,-13.15
5.214,1.95,-1.4,-13.15
5.299,1.95,-1.4,-13.15
5.377,1.95,-1.4,-13.15
5.455,1.95,-1.4,-13.15
5.539,1.95,-1.4,-13.15
5.639,1.95,-1.4,-13.15
5.715,1.95,-1.4,-13.15
5.796,1.29,-0.63,-12.76
5.878,1.1,-2.56,-13.44
5.956,-0.17,-2.08,-12.04
6.034,-0.17,-2.08,-12.04
6.112,-0.17,-2.08,-12.04
6.2,-0.17,-2.08,-12.04
6.279,-0.17,-2.08,-12.04
6.363,-0.17,-2.08,-12.04
6.444,-0.17,-2.08,-12.04
6.521,-0.17,-2.08,-12.04
6.596,1.28,-3.75,-13.18
6.676,1.37,-3.15,-11.11
6.753,1.67,-2.31,-11.4
6.832,1.67,-2.31,-11.4
6.919,1.67,-2.31,-11.4
6.996,1.67,-2.31,-11.4
7.081,1.67,-2.31,-11.4
7.159,1.67,-2.31,-11.4
7.236,1.67,-2.31,-11.4
7.324,1.67,-2.31,-11.4
7.404,0.58,-0.95,-10.6
7.502,0.46,-0.34,-11.38
7.576,0.77,0.43,-10.97
7.657,0.77,0.43,-10.97
7.735,0.77,0.43,-10.97
7.813,0.77,0.43,-10.97
7.901,0.77,0.43,-10.97
7.98,0.77,0.43,-10.97
8.06,0.77,0.43,-10.97
8.131,0.77,0.43,-10.97
8.206,0.81,0.59,-10.08
8.29,0.46,0.99,-10.53
8.369,-0.08,0.93,-10.94
8.449,-0.08,0.93,-10.94
8.535,-0.08,0.93,-10.94
8.611,-0.08,0.93,-10.94
8.691,-0.08,0.93,-10.94
8.77,-0.08,0.93,-10.94
8.866,-0.08,0.93,-10.94
8.946,-0.08,0.93,-10.94
9.026,0.27,0.77,-10.92
9.116,0.77,0.64,-10.85
9.193,1.12,0.5,-11.56
9.274,1.12,0.5,-11.56
9.348,1.12,0.5,-11.56
9.433,1.12,0.5,-11.56
9.507,1.12,0.5,-11.56
9.579,1.12,0.5,-11.56
9.661,1.12,0.5,-11.56
9.741,1.12,0.5,-11.56
9.815,0.71,0.56,-12.02
9.895,0.31,0.54,-12.51
9.972,-0.22,-0.67,-13.1
10.076,-0.22,-0.67,-13.1
10.159,-0.22,-0.67,-13.1
10.232,-0.22,-0.67,-13.1
10.317,-0.22,-0.67,-13.1
10.421,-0.22,-0.67,-13.1
10.497,-0.22,-0.67,-13.1
10.577,-0.22,-0.67,-13.1
10.658,0.24,0.14,-13.3
10.734,1.54,-1.52,-13.56
10.812,1.67,-0.97,-11.6
10.898,1.67,-0.97,-11.6
10.986,1.67,-0.97,-11.6
11.06,1.67,-0.97,-11.6
11.156,1.67,-0.97,-11.6
11.23,1.67,-0.97,-11.6
11.303,1.67,-0.97,-11.6
11.377,1.67,-0.97,-11.6
11.455,1.56,-2.68,-10.68
11.53,0.67,-1.56,-10.6
11.621,0.67,-1.7,-10.64
11.694,0.67,-1.7,-10.64
11.779,0.67,-1.7,-10.64
11.864,0.67,-1.7,-10.64
11.939,0.67,-1.7,-10.64
12.021,0.67,-1.7,-10.64
